date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,10.2,10.8199,10.045,10.57,12739073.0
2021-03-11,10.04,10.645,9.85,10.59,15548764.0
2021-03-10,10.67,10.68,9.61,9.85,16103306.0
2021-03-09,9.91,10.4,9.7,10.3,11890599.0
2021-03-08,9.68,9.91,9.2,9.61,9751495.0
2021-03-05,9.79,9.85,8.65,9.6,15406664.0
2021-03-04,10.36,10.61,9.42,9.82,16179910.0
2021-03-03,11.16,11.27,10.28,10.46,13024799.0
2021-03-02,11.2,12.08,11.01,11.03,15442144.0
2021-03-01,10.84,11.41,10.75,11.04,8461734.0
2021-02-26,10.84,11.19,10.48,10.52,11802556.0
2021-02-25,11.63,11.708,10.74,10.82,11597309.0
2021-02-24,11.35,11.77,11.0,11.64,11139704.0
2021-02-23,11.04,11.34,10.1,11.21,18376407.0
2021-02-22,12.0,12.39,11.7,11.77,13017594.0
2021-02-19,12.1,12.6,11.81,12.21,13458531.0
2021-02-18,13.02,13.5603,12.01,12.02,20705432.0
2021-02-17,13.29,13.74,12.8289,13.06,19083142.0
2021-02-16,13.0,14.09,12.85,14.09,31461815.0
2021-02-12,13.07,14.5,12.35,12.48,56674238.0
2021-02-11,18.58,18.93,14.39,14.47,82628452.0
2021-02-10,18.53,18.98,16.495,18.92,79698625.0
2021-02-09,15.28,16.77,15.09,15.61,51974822.0
2021-02-08,13.18,15.0,12.91,14.87,34583782.0
2021-02-05,13.27,13.33,12.56,12.8,16874413.0
2021-02-04,13.57,14.14,12.78,13.07,24098748.0
2021-02-03,13.23,14.15,12.89,13.75,47535566.0
2021-02-02,11.31,12.95,11.1225,12.7,39505019.0
2021-02-01,11.35,11.44,10.8,11.2,14602166.0
2021-01-29,11.84,12.32,11.06,11.15,24965213.0
2021-01-28,11.22,12.13,11.2,11.7,21739649.0
2021-01-27,10.41,11.68,10.27,11.2,30355704.0
2021-01-26,10.41,11.17,10.16,10.67,26726856.0
2021-01-25,10.64,10.8987,10.04,10.16,22256309.0
2021-01-22,10.39,10.74,10.22,10.65,29047276.0
2021-01-21,11.43,11.62,10.83,11.17,18552870.0
2021-01-20,11.62,11.96,11.35,11.54,13009082.0
2021-01-19,12.13,12.245,11.23,11.84,22653279.0
2021-01-15,12.85,13.32,11.85,12.04,45620941.0
2021-01-14,11.43,12.21,11.18,11.96,46534167.0
2021-01-13,10.55,11.63,10.3568,10.91,37852318.0
2021-01-12,10.5,10.78,10.19,10.56,16575166.0
2021-01-11,9.83,10.73,9.73,10.44,23184033.0
2021-01-08,10.25,10.48,9.72,9.99,24637080.0
2021-01-07,10.56,10.955,10.01,10.19,37080536.0
2021-01-06,11.09,11.3,10.12,10.27,73972026.0
2021-01-05,9.75,9.87,9.07,9.7,23970657.0
2021-01-04,8.48,9.67,8.38,9.52,27213044.0
2020-12-31,8.71,8.75,8.3,8.31,8240204.0
2020-12-30,8.31,8.78,8.21,8.78,12047711.0
2020-12-29,8.71,8.84,8.16,8.4,12036467.0
2020-12-28,8.97,9.069,8.64,8.69,9270354.0
