date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,32.76,32.76,32.25,32.56,56280.0
2021-03-11,32.46,32.9,32.46,32.69,38641.0
2021-03-10,32.79,32.98,31.96,32.04,66889.0
2021-03-09,31.21,32.3262,31.21,32.18,55600.0
2021-03-08,31.34,31.9,30.85,30.9,67054.0
2021-03-05,32.0,32.16,30.21,31.46,97400.0
2021-03-04,33.53,33.58,31.28,31.82,107297.0
2021-03-03,34.38,34.5499,33.47,33.54,65545.0
2021-03-02,34.89,34.99,34.08,34.57,45895.0
2021-03-01,34.27,34.82,34.0,34.62,73097.0
2021-02-26,32.89,33.4906,32.59,33.47,40405.0
2021-02-25,33.97,34.13,32.7516,32.81,53649.0
2021-02-24,34.03,34.19,33.6701,33.97,31244.0
2021-02-23,34.51,34.58,32.55,33.87,107881.0
2021-02-22,35.25,35.25,34.38,34.65,67452.0
2021-02-19,35.24,35.435,34.915,35.19,20259.0
2021-02-18,35.49,35.49,34.27,34.9,51784.0
2021-02-17,35.96,35.96,35.25,35.66,32683.0
2021-02-16,35.8,35.99,35.5,35.9,36835.0
2021-02-12,35.19,35.86,35.16,35.66,43524.0
2021-02-11,35.31,35.44,35.0,35.05,41663.0
2021-02-10,35.41,35.4899,35.0,35.04,48270.0
2021-02-09,35.19,35.61,35.13,35.37,52671.0
2021-02-08,34.8,35.5,34.8,35.14,53714.0
2021-02-05,34.73,34.75,34.33,34.65,43564.0
2021-02-04,34.16,34.47,34.16,34.35,44171.0
2021-02-03,34.42,34.4383,33.9,34.08,42584.0
2021-02-02,33.59,34.19,33.34,34.05,33259.0
2021-02-01,32.56,33.5893,32.45,33.2,33437.0
2021-01-29,32.94,33.17,31.77,32.25,67222.0
2021-01-28,32.77,32.99,32.62,32.82,42617.0
2021-01-27,33.91,34.485,32.1338,32.68,74046.0
2021-01-26,34.05,34.28,33.91,34.0,27233.0
2021-01-25,34.13,34.37,34.0,34.05,42697.0
2021-01-22,34.2,34.34,34.0,34.1,36413.0
2021-01-21,34.65,34.65,34.09,34.11,47970.0
2021-01-20,34.17,34.4,33.72,34.24,31026.0
2021-01-19,34.0,34.01,33.57,33.712,36822.0
2021-01-15,34.22,34.22,33.76,33.84,31955.0
2021-01-14,34.11,34.49,33.93,33.98,36956.0
2021-01-13,33.95,34.18,33.6701,34.12,48969.0
2021-01-12,33.43,34.0,33.4101,34.0,41040.0
2021-01-11,33.38,33.62,33.0448,33.62,60153.0
2021-01-08,33.13,33.34,32.74,33.34,49069.0
2021-01-07,32.69,33.12,32.62,32.96,35684.0
2021-01-06,32.53,32.7899,31.79,32.26,27011.0
2021-01-05,32.09,32.51,31.74,32.45,38687.0
2021-01-04,32.64,32.98,31.74,31.93,90689.0
2020-12-31,32.98,32.98,32.61,32.68,38561.0
2020-12-30,32.54,32.93,32.46,32.78,29139.0
2020-12-29,32.82,32.82,32.37,32.46,28333.0
