date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,25.21,25.21,25.02,25.19,11720.0
2021-03-11,25.15,25.3,25.12,25.25,17028.0
2021-03-10,25.1688,25.19,25.145,25.18,5283.0
2021-03-09,25.11,25.19,25.04,25.19,6250.0
2021-03-08,25.1,25.14,25.05,25.14,4605.0
2021-03-05,25.0877,25.21,25.0,25.09,7313.0
2021-03-04,25.02,25.18,25.02,25.085,8172.0
2021-03-03,24.95,25.21,24.93,25.1517,20257.0
2021-03-02,24.81,25.05,24.81,24.95,20113.0
2021-03-01,24.8,24.97,24.76,24.83,16136.0
2021-02-26,24.87,24.87,24.6182,24.75,17983.0
2021-02-25,25.04,25.07,24.81,24.86,38861.0
2021-02-24,25.05,25.18,25.05,25.05,12039.0
2021-02-23,25.22,25.22,25.07,25.09,27187.0
2021-02-22,25.28,25.28,25.13,25.22,18560.0
2021-02-19,25.15,25.24,25.15,25.22,11828.0
2021-02-18,25.16,25.19,25.09,25.15,12365.0
2021-02-17,25.06,25.23,25.06,25.1,19893.0
2021-02-16,25.19,25.2,25.0501,25.06,51676.0
2021-02-12,25.15,25.15,25.0,25.14,22480.0
2021-02-11,25.25,25.265,25.2,25.22,11706.0
2021-02-10,25.22,25.28,25.1203,25.21,14394.0
2021-02-09,25.22,25.29,25.22,25.24,13481.0
2021-02-08,25.245,25.28,25.21,25.27,14970.0
2021-02-05,25.19,25.28,25.15,25.23,9138.0
2021-02-04,25.135,25.3,25.1,25.25,13844.0
2021-02-03,25.24,25.26,25.11,25.13,15417.0
2021-02-02,25.25,25.38,25.24,25.3,13578.0
2021-02-01,25.2221,25.36,25.2,25.31,19793.0
2021-01-29,25.13,25.31,25.06,25.31,26686.0
2021-01-28,25.16,25.23,25.02,25.2,9884.0
2021-01-27,25.25,25.25,25.04,25.04,18373.0
2021-01-26,25.2302,25.27,25.2302,25.25,8274.0
2021-01-25,25.19,25.2698,25.17,25.23,13423.0
2021-01-22,25.19,25.29,25.15,25.27,13861.0
2021-01-21,25.261,25.28,25.1513,25.25,21213.0
2021-01-20,25.32,25.32,25.1003,25.25,34095.0
2021-01-19,25.1,25.25,25.03,25.25,21999.0
2021-01-15,25.16,25.22,25.12,25.14,17881.0
2021-01-14,25.09,25.24,25.09,25.24,11355.0
2021-01-13,25.0,25.25,25.0,25.16,16278.0
2021-01-12,24.94,24.94,24.74,24.92,35543.0
2021-01-11,25.0,25.05,24.85,24.85,27450.0
2021-01-08,25.05,25.05,24.94,25.05,19769.0
2021-01-07,25.0,25.13,24.9299,25.05,57349.0
2021-01-06,25.06,25.185,24.95,24.96,22639.0
2021-01-05,25.06,25.26,25.06,25.18,12344.0
2021-01-04,25.38,25.38,25.1,25.22,20939.0
2020-12-31,25.28,25.44,25.27,25.44,42859.0
2020-12-30,25.17,25.28,25.15,25.28,12077.0
2020-12-29,25.15,25.28,25.11,25.19,16260.0
2020-12-28,25.07,25.2,25.07,25.17,13387.0
2020-12-24,25.14,25.21,25.04,25.17,13799.0
2020-12-23,25.06,25.13,25.025,25.13,19185.0
2020-12-22,25.11,25.19,24.8651,25.06,53442.0
2020-12-21,24.971,25.3,24.95,25.16,20037.0
2020-12-18,24.97,25.0,24.81,25.0,50437.0
2020-12-17,25.03,25.03,24.97,24.97,33925.0
2020-12-16,25.07,25.1,24.98,25.04,22347.0
2020-12-15,25.0,25.1,24.9766,24.99,22678.0
2020-12-14,24.93,25.0884,24.93,25.05,19858.0
2020-12-11,25.02,25.02,24.93,24.95,21019.0
2020-12-10,24.935,24.985,24.9333,24.95,31638.0
2020-12-09,25.02,25.0521,24.935,24.95,23056.0
2020-12-08,25.035,25.1,24.9183,25.08,27337.0
