date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,25.31,25.32,25.31,25.32,10944.0
2021-03-11,25.3,25.33,25.3,25.33,30749.0
2021-03-10,25.3,25.33,25.3,25.32,17699.0
2021-03-09,25.32,25.33,25.3,25.31,2862.0
2021-03-08,25.34,25.34,25.29,25.32,23575.0
2021-03-05,25.34,25.34,25.29,25.29,16441.0
2021-03-04,25.34,25.34,25.29,25.3,134836.0
2021-03-03,25.32,25.32,25.29,25.32,91296.0
2021-03-02,25.34,25.34,25.3,25.3,125853.0
2021-03-01,25.33,25.33,25.3,25.3,40028.0
2021-02-26,25.315,25.315,25.3,25.31,22424.0
2021-02-25,25.3,25.32,25.3,25.31,46982.0
2021-02-24,25.3,25.38,25.3,25.32,55457.0
2021-02-23,25.45,25.47,25.3,25.37,70651.0
2021-02-22,25.81,26.0,25.72,25.76,29463.0
2021-02-19,25.73,26.01,25.7014,25.9,22406.0
2021-02-18,25.8,25.964,25.62,25.78,8290.0
2021-02-17,25.53,26.0,25.53,25.84,27779.0
2021-02-16,25.75,25.75,25.5585,25.56,20165.0
2021-02-12,25.85,25.9074,25.75,25.75,9649.0
2021-02-11,26.1,26.16,25.77,25.79,14265.0
2021-02-10,25.81,26.28,25.81,26.05,15874.0
2021-02-09,26.17,26.28,25.853,25.86,24036.0
2021-02-08,25.64,26.01,25.64,25.9967,13176.0
2021-02-05,25.97,26.2,25.65,25.81,19655.0
2021-02-04,26.1815,26.19,25.84,25.91,21788.0
2021-02-03,26.35,26.35,26.1,26.2299,4696.0
2021-02-02,26.01,26.35,26.01,26.31,9552.0
2021-02-01,25.77,26.09,25.6836,25.9685,16841.0
2021-01-29,25.74,25.89,25.62,25.89,30024.0
2021-01-28,26.0,26.0,25.77,25.77,5886.0
2021-01-27,26.0835,26.1745,25.8,25.8,10138.0
2021-01-26,25.8,26.39,25.8,26.15,12342.0
2021-01-25,25.85,26.04,25.8,25.9,7634.0
2021-01-22,26.04,26.05,25.95,25.98,5540.0
2021-01-21,26.0,26.41,25.83,26.1324,9215.0
2021-01-20,25.58,26.0,25.58,26.0,16750.0
2021-01-19,25.51,25.81,25.5,25.66,16302.0
2021-01-15,25.73,25.73,25.53,25.6,6340.0
2021-01-14,25.685,25.7198,25.4,25.52,12870.0
2021-01-13,25.64,25.682,25.4971,25.53,11044.0
2021-01-12,25.3,25.5894,25.26,25.47,43070.0
2021-01-11,25.61,25.62,25.37,25.37,24301.0
2021-01-08,25.62,25.718,25.5,25.68,18775.0
2021-01-07,26.09,26.1,25.7202,25.73,8432.0
2021-01-06,26.46,26.46,26.03,26.03,4987.0
2021-01-05,26.277,26.635,26.27,26.57,8222.0
2021-01-04,26.74,26.74,26.2,26.55,5068.0
2020-12-31,26.18,26.92,26.1702,26.89,39363.0
2020-12-30,26.37,26.37,26.14,26.33,5750.0
2020-12-29,26.73,26.95,26.51,26.63,17557.0
2020-12-28,26.56,26.77,26.4863,26.77,14420.0
2020-12-24,26.63,26.95,26.63,26.95,4510.0
2020-12-23,26.2526,26.73,26.21,26.53,9799.0
2020-12-22,26.17,26.48,26.17,26.38,10651.0
2020-12-21,26.41,26.48,26.17,26.17,8300.0
2020-12-18,26.3,26.38,26.21,26.38,1826.0
2020-12-17,26.1,26.33,26.0249,26.22,3895.0
2020-12-16,26.03,26.3,26.01,26.02,9330.0
2020-12-15,26.27,26.27,26.03,26.03,15741.0
2020-12-14,26.19,26.31,26.11,26.11,5647.0
2020-12-11,26.25,26.345,26.19,26.21,3082.0
2020-12-10,26.61,26.62,26.2044,26.29,11053.0
2020-12-09,26.27,26.66,26.231,26.66,20914.0
2020-12-08,26.12,26.25,26.08,26.25,16860.0
2020-12-07,26.25,26.2652,26.0675,26.0675,10417.0
2020-12-04,26.24,26.25,26.03,26.25,3145.0
2020-12-03,26.17,26.28,26.0,26.13,5497.0
2020-12-02,26.16,26.18,26.05,26.18,1637.0
2020-12-01,26.05,26.23,26.05,26.14,6649.0
2020-11-30,25.97,26.19,25.85,26.19,6393.0
2020-11-27,25.96,26.02,25.861,25.923,2421.0
