date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.82,14.84,14.76,14.79,60370.0
2021-03-11,14.97,15.0,14.78,14.78,55171.0
2021-03-10,14.77,14.89,14.77,14.88,66880.0
2021-03-09,14.65,14.7,14.65,14.7,110631.0
2021-03-08,14.6,14.69,14.59,14.64,49310.0
2021-03-05,14.53,14.7,14.47,14.7,69000.0
2021-03-04,14.56,14.63,14.5,14.51,102658.0
2021-03-03,14.5,14.61,14.5,14.59,82279.0
2021-03-02,14.51,14.58,14.49,14.54,61324.0
2021-03-01,14.49,14.59,14.48,14.53,73182.0
2021-02-26,14.52,14.58,14.5,14.5,68420.0
2021-02-25,14.64,14.78,14.49,14.49,106149.0
2021-02-24,14.72,14.79,14.68,14.68,42501.0
2021-02-23,14.68,14.72,14.65,14.7,49724.0
2021-02-22,14.57,14.72,14.57,14.7,79591.0
2021-02-19,14.6,14.6,14.53,14.55,38660.0
2021-02-18,14.61,14.61,14.57,14.58,79891.0
2021-02-17,14.59,14.6362,14.55,14.61,52058.0
2021-02-16,14.67,14.67,14.61,14.63,84794.0
2021-02-12,14.7,14.75,14.65,14.7,106332.0
2021-02-11,14.7,14.87,14.7,14.72,117089.0
2021-02-10,14.73,14.79,14.68,14.79,90662.0
2021-02-09,14.65,14.665,14.5795,14.66,79588.0
2021-02-08,14.65,14.69,14.58,14.61,111809.0
2021-02-05,14.65,14.66,14.59,14.65,55205.0
2021-02-04,14.58,14.66,14.58,14.66,57741.0
2021-02-03,14.6,14.64,14.55,14.56,39356.0
2021-02-02,14.67,14.67,14.53,14.57,41174.0
2021-02-01,14.59,14.65,14.5,14.5979,39345.0
2021-01-29,14.56,14.58,14.5,14.53,47781.0
2021-01-28,14.58,14.6,14.47,14.56,68977.0
2021-01-27,14.5,14.58,14.47,14.55,65887.0
2021-01-26,14.63,14.63,14.5,14.53,27540.0
2021-01-25,14.66,14.69,14.54,14.54,38201.0
2021-01-22,14.7,14.71,14.54,14.58,51888.0
2021-01-21,14.63,14.6465,14.51,14.63,43235.0
2021-01-20,14.69,14.71,14.6,14.6,25713.0
2021-01-19,14.61,14.74,14.57,14.63,60143.0
2021-01-15,14.64,14.64,14.59,14.61,28202.0
2021-01-14,14.7,14.7183,14.625,14.63,71977.0
2021-01-13,14.76,14.78,14.695,14.72,57058.0
2021-01-12,14.65,14.73,14.56,14.72,62816.0
2021-01-11,14.45,14.65,14.43,14.6,92385.0
2021-01-08,14.48,14.48,14.4,14.46,73459.0
2021-01-07,14.32,14.43,14.32,14.42,41483.0
2021-01-06,14.39,14.46,14.24,14.36,34864.0
2021-01-05,14.3,14.37,14.29,14.35,29688.0
2021-01-04,14.37,14.3836,14.26,14.3,31516.0
2020-12-31,14.37,14.42,14.3602,14.4,43953.0
2020-12-30,14.3,14.36,14.26,14.33,69138.0
2020-12-29,14.49,14.49,14.35,14.36,57174.0
2020-12-28,14.46,14.52,14.44,14.46,108733.0
2020-12-24,14.34,14.43,14.34,14.4,27686.0
2020-12-23,14.27,14.34,14.27,14.3,64071.0
2020-12-22,14.29,14.29,14.22,14.25,72210.0
2020-12-21,14.26,14.28,14.16,14.23,55917.0
2020-12-18,14.26,14.29,14.2377,14.27,34262.0
2020-12-17,14.23,14.3,14.1855,14.25,48962.0
2020-12-16,14.14,14.18,14.1,14.15,78543.0
2020-12-15,14.1,14.17,14.09,14.15,53715.0
2020-12-14,14.16,14.16,14.07,14.09,55202.0
2020-12-11,14.09,14.105,14.02,14.05,93440.0
2020-12-10,13.99,14.09,13.99,14.04,29677.0
2020-12-09,13.97,14.05,13.97,14.02,45135.0
2020-12-08,13.98,14.05,13.97,13.97,77202.0
2020-12-07,13.83,14.03,13.83,13.9,54277.0
2020-12-04,13.84,13.95,13.8,13.93,51444.0
2020-12-03,13.74,13.84,13.74,13.83,68928.0
2020-12-02,13.64,13.77,13.625,13.77,82411.0
2020-12-01,13.53,13.68,13.53,13.66,47051.0
2020-11-30,13.5,13.6,13.5,13.56,48337.0
2020-11-27,13.51,13.57,13.51,13.56,30437.0
2020-11-25,13.52,13.56,13.5,13.52,53677.0
2020-11-24,13.5,13.5317,13.45,13.52,62951.0
2020-11-23,13.32,13.45,13.32,13.45,54436.0
2020-11-20,13.31,13.41,13.31,13.32,43044.0
