date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,7.8,8.1182,7.68,8.04,3411841.0
2021-03-11,7.93,8.07,7.77,7.94,2951027.0
2021-03-10,7.85,7.935,7.65,7.86,2813216.0
2021-03-09,7.86,8.09,7.73,7.76,3082774.0
2021-03-08,7.74,7.765,7.4855,7.61,3177089.0
2021-03-05,7.55,7.7,7.4284,7.68,3544271.0
2021-03-04,7.28,7.77,7.25,7.54,5409134.0
2021-03-03,7.35,7.4,7.02,7.3,4366430.0
2021-03-02,7.21,7.6,7.12,7.55,4251576.0
2021-03-01,7.25,7.36,7.045,7.2,5853383.0
2021-02-26,7.54,7.6,7.06,7.1,6500112.0
2021-02-25,7.77,8.2,7.5145,7.58,4850413.0
2021-02-24,7.53,7.82,7.39,7.77,3270308.0
2021-02-23,7.63,7.7,7.37,7.53,2515207.0
2021-02-22,7.5,7.79,7.43,7.74,7993349.0
2021-02-19,7.69,7.74,7.36,7.42,5126693.0
2021-02-18,7.94,7.99,7.64,7.66,2867006.0
2021-02-17,8.0,8.05,7.82,7.9,3049342.0
2021-02-16,8.07,8.285,7.9138,8.07,2242419.0
2021-02-12,8.04,8.28,7.9,8.15,2341868.0
2021-02-11,8.29,8.39,8.05,8.09,2648696.0
2021-02-10,8.18,8.29,8.05,8.24,2226325.0
2021-02-09,8.2,8.24,8.045,8.1,2051805.0
2021-02-08,8.16,8.24,8.055,8.12,2704872.0
2021-02-05,7.98,8.0664,7.885,8.0,3521943.0
2021-02-04,7.94,8.0,7.62,7.9,5075364.0
2021-02-03,7.96,8.2,7.904,8.11,2430317.0
2021-02-02,7.99,8.025,7.75,7.92,3059279.0
2021-02-01,8.31,8.34,7.9097,8.13,3930902.0
2021-01-29,8.4,8.43,7.93,8.0,2520674.0
2021-01-28,8.13,8.49,7.855,8.05,3007982.0
2021-01-27,7.87,8.16,7.67,7.9,2878031.0
2021-01-26,7.92,8.1862,7.88,8.02,2134081.0
2021-01-25,8.04,8.07,7.75,7.91,2233796.0
2021-01-22,7.88,8.065,7.77,7.95,1792341.0
2021-01-21,8.24,8.24,7.95,8.09,1923751.0
2021-01-20,8.1,8.27,7.985,8.24,3266215.0
2021-01-19,8.04,8.12,7.855,7.92,3236234.0
2021-01-15,8.25,8.28,7.87,7.87,3361425.0
2021-01-14,8.34,8.41,8.16,8.26,3091321.0
2021-01-13,8.45,8.54,8.3,8.32,2116155.0
2021-01-12,8.48,8.5,8.24,8.43,2650475.0
2021-01-11,8.68,8.765,8.46,8.48,3066814.0
2021-01-08,9.2697,9.2697,8.72,8.91,4024857.0
2021-01-07,9.5,9.64,9.24,9.43,2929379.0
2021-01-06,9.4,9.63,9.23,9.63,3013644.0
2021-01-05,9.82,9.87,9.39,9.52,2523840.0
2021-01-04,9.2,9.71,9.11,9.64,5390362.0
2020-12-31,9.0,9.01,8.64,8.75,1961751.0
2020-12-30,8.68,9.0,8.68,8.99,2329474.0
2020-12-29,8.7,8.79,8.58,8.65,1876674.0
2020-12-28,8.95,9.03,8.65,8.68,1630484.0
2020-12-24,8.74,8.89,8.63,8.81,1033842.0
2020-12-23,8.88,8.98,8.63,8.76,3193975.0
2020-12-22,9.2,9.28,8.695,8.76,2722534.0
2020-12-21,9.29,9.44,9.12,9.19,2362368.0
2020-12-18,9.8,9.8,9.24,9.25,7240218.0
2020-12-17,9.53,9.85,9.48,9.83,3848529.0
2020-12-16,9.27,9.36,9.03,9.33,2495324.0
2020-12-15,9.05,9.29,9.026,9.22,2660281.0
2020-12-14,8.95,9.19,8.8,8.8,2582671.0
2020-12-11,9.1,9.145,8.88,8.95,2770568.0
2020-12-10,9.28,9.42,8.98,9.11,3582774.0
2020-12-09,9.18,9.195,8.9137,9.09,3362357.0
2020-12-08,9.31,9.4,9.205,9.25,2154389.0
2020-12-07,8.75,9.43,8.71,9.29,4001516.0
2020-12-04,8.77,8.84,8.59,8.75,2627438.0
2020-12-03,8.74,8.76,8.48,8.7,2953238.0
2020-12-02,8.63,8.685,8.505,8.67,2293786.0
2020-12-01,8.55,8.7366,8.45,8.69,3065109.0
2020-11-30,8.15,8.28,7.98,8.27,1974127.0
2020-11-27,8.01,8.25,7.9462,8.24,1281499.0
2020-11-25,7.94,8.16,7.9,8.12,3701519.0
2020-11-24,8.0,8.15,7.77,7.77,7098384.0
2020-11-23,8.58,8.6451,8.19,8.22,4887081.0
2020-11-20,8.81,8.9436,8.64,8.71,2046120.0
2020-11-19,8.64,8.76,8.545,8.65,3226572.0
2020-11-18,8.8,8.885,8.69,8.69,2129383.0
2020-11-17,8.99,8.99,8.76,8.87,2441570.0
2020-11-16,8.98,9.14,8.8,9.01,2773407.0
2020-11-13,9.2,9.2,8.97,9.0,2374818.0
2020-11-12,9.0,9.145,8.94,8.97,2753906.0
2020-11-11,9.0,9.09,8.82,8.87,2696255.0
2020-11-10,9.43,9.44,9.04,9.06,2349404.0
2020-11-09,9.22,9.35,8.85,9.35,4235376.0
2020-11-06,10.07,10.21,9.83,10.02,2703762.0
2020-11-05,9.59,10.07,9.47,10.03,4118539.0
2020-11-04,9.29,9.43,9.084,9.18,2441711.0
2020-11-03,9.56,9.59,9.285,9.39,2286493.0
2020-11-02,9.25,9.48,9.06,9.48,2352561.0
2020-10-30,9.25,9.295,8.89,9.15,3757614.0
2020-10-29,8.36,9.19,8.32,9.15,6229080.0
2020-10-28,8.65,8.66,8.09,8.12,5978703.0
2020-10-27,8.62,8.86,8.62,8.86,4489069.0
2020-10-26,8.35,8.7099,8.35,8.62,2674938.0
2020-10-23,8.49,8.49,8.3201,8.4,2079109.0
2020-10-22,8.4,8.5,8.23,8.5,1781310.0
2020-10-21,8.44,8.69,8.4,8.53,2113340.0
2020-10-20,8.32,8.44,8.16,8.34,2019945.0
2020-10-19,8.65,8.68,8.29,8.29,1879601.0
2020-10-16,8.92,8.93,8.5,8.53,3043578.0
2020-10-15,8.92,9.02,8.835,8.86,1476696.0
2020-10-14,9.27,9.31,8.99,9.07,2411079.0
2020-10-13,9.22,9.25,8.895,9.1,2189504.0
2020-10-12,9.27,9.5,9.13,9.35,2316371.0
2020-10-09,9.05,9.27,8.93,9.27,1946291.0
2020-10-08,8.81,8.88,8.6748,8.8,1490769.0
2020-10-07,8.8,8.83,8.635,8.74,2420412.0
2020-10-06,8.99,9.09,8.61,8.63,2651156.0
2020-10-05,8.85,9.04,8.81,8.95,2620767.0
2020-10-02,8.83,8.9125,8.71,8.76,1207035.0
2020-10-01,8.89,9.05,8.825,8.89,1438072.0
2020-09-30,8.77,8.955,8.7,8.81,1888857.0
2020-09-29,8.9,9.0,8.81,8.82,2718181.0
2020-09-28,8.95,9.02,8.73,8.85,1894416.0
2020-09-25,8.74,8.84,8.57,8.77,2035434.0
2020-09-24,8.46,8.93,8.31,8.84,4174750.0
2020-09-23,9.12,9.18,8.51,8.6,5571192.0
2020-09-22,9.22,9.32,9.1,9.3,1693232.0
2020-09-21,9.21,9.32,8.94,9.18,4881885.0
2020-09-18,9.7,9.82,9.44,9.44,5103504.0
2020-09-17,9.6,9.78,9.4633,9.65,2581275.0
2020-09-16,10.14,10.14,9.77,9.83,2864857.0
2020-09-15,10.26,10.3399,10.0,10.06,2349380.0
2020-09-14,9.85,10.175,9.84,10.16,2485982.0
2020-09-11,10.12,10.145,9.66,9.69,2000247.0
2020-09-10,10.21,10.28,9.95,10.02,2038571.0
2020-09-09,9.95,10.19,9.9,10.13,2833771.0
2020-09-08,9.75,10.105,9.66,9.8,3268261.0
2020-09-04,10.02,10.115,9.58,10.05,2615008.0
2020-09-03,9.95,10.13,9.745,10.11,1950307.0
2020-09-02,10.01,10.14,9.705,10.1,2574707.0
2020-09-01,10.79,10.79,10.05,10.17,2318283.0
2020-08-31,10.39,10.6494,10.305,10.46,1915608.0
2020-08-28,10.08,10.37,10.0,10.28,1857210.0
2020-08-27,10.42,10.42,9.755,9.87,2552686.0
2020-08-26,9.73,10.22,9.73,10.21,2551996.0
2020-08-25,9.88,9.92,9.55,9.87,2322884.0
2020-08-24,10.22,10.22,9.87,9.91,1954968.0
2020-08-21,10.25,10.275,9.96,10.05,1569529.0
2020-08-20,10.33,10.53,10.2,10.38,3243106.0
2020-08-19,10.61,10.67,10.32,10.36,2094227.0
2020-08-18,10.99,10.99,10.42,10.64,2347952.0
2020-08-17,10.45,10.75,10.4,10.74,2290381.0
2020-08-14,9.89,10.03,9.78,10.02,1847631.0
2020-08-13,9.73,10.01,9.615,9.9,2713667.0
2020-08-12,9.7,9.795,9.48,9.51,4135456.0
2020-08-11,9.54,9.905,9.4,9.52,3631517.0
2020-08-10,10.35,10.52,10.08,10.1,1810235.0
2020-08-07,10.31,10.395,10.0546,10.24,3149809.0
2020-08-06,10.9,10.91,10.32,10.48,2528597.0
2020-08-05,11.22,11.22,10.69,10.69,4503013.0
2020-08-04,10.47,10.89,10.3,10.89,2969595.0
2020-08-03,10.65,10.68,10.19,10.47,2205374.0
2020-07-31,10.67,10.74,10.4962,10.6,2834115.0
2020-07-30,10.73,10.86,10.06,10.44,3824302.0
2020-07-29,11.54,11.56,10.88,11.09,3443120.0
2020-07-28,11.24,11.58,11.15,11.47,3438182.0
2020-07-27,11.4,11.54,11.23,11.43,4337988.0
2020-07-24,10.85,10.985,10.71,10.95,2809159.0
2020-07-23,10.94,11.1001,10.48,10.7,3611294.0
2020-07-22,11.3,11.35,10.9,11.09,3630448.0
2020-07-21,11.11,11.24,10.94,11.15,3285002.0
2020-07-20,10.64,10.96,10.63,10.75,3365630.0
2020-07-17,10.3,10.44,10.11,10.4,2172728.0
2020-07-16,10.34,10.46,10.03,10.13,2210738.0
2020-07-15,10.4,10.46,10.14,10.34,3445773.0
2020-07-14,9.84,10.4,9.77,10.4,2411401.0
2020-07-13,10.41,10.55,9.8,9.84,3255810.0
2020-07-10,10.46,10.53,10.17,10.27,1972777.0
2020-07-09,10.57,10.57,10.02,10.35,3586557.0
2020-07-08,10.4,10.57,10.1,10.4,4234840.0
2020-07-07,9.73,10.32,9.63,10.17,5165046.0
2020-07-06,9.52,9.82,9.41,9.73,3256102.0
2020-07-02,9.36,9.54,9.21,9.3,2670404.0
2020-07-01,9.38,9.44,9.11,9.4,2976627.0
2020-06-30,9.03,9.5,8.9,9.38,5718770.0
2020-06-29,8.8,9.09,8.63,9.07,3639151.0
2020-06-26,8.34,8.78,8.22,8.73,3533241.0
2020-06-25,8.27,8.43,8.11,8.42,2702658.0
2020-06-24,8.53,8.67,8.26,8.3,3494292.0
2020-06-23,8.6,8.73,8.44,8.55,2762094.0
2020-06-22,8.3,8.58,8.17,8.43,4288258.0
2020-06-19,7.61,8.07,7.53,7.99,4278424.0
2020-06-18,7.58,7.61,7.38,7.41,1577577.0
2020-06-17,7.6,7.79,7.51,7.59,2628896.0
2020-06-16,7.92,8.03,7.63,7.65,1924318.0
2020-06-15,7.55,7.99,7.31,7.98,2450149.0
2020-06-12,8.0,8.03,7.67,7.77,4288116.0
2020-06-11,8.15,8.28,7.71,7.85,5648320.0
2020-06-10,7.88,8.13,7.52,8.1,3916056.0
2020-06-09,7.98,8.06,7.73,7.79,2315632.0
2020-06-08,7.55,7.83,7.43,7.82,4837965.0
2020-06-05,7.35,7.47,7.24,7.46,3396414.0
2020-06-04,7.7,7.79,7.61,7.72,2059690.0
2020-06-03,7.6,7.68,7.4,7.54,3376582.0
2020-06-02,8.27,8.33,7.79,7.8,2894953.0
2020-06-01,8.17,8.31,8.08,8.31,1467831.0
2020-05-29,8.23,8.25,8.03,8.1,2738906.0
2020-05-28,8.17,8.34,7.87,8.0,3486640.0
2020-05-27,7.56,8.05,7.47,8.03,2622254.0
2020-05-26,8.1,8.17,7.76,7.79,3358385.0
2020-05-22,8.3,8.54,8.17,8.24,2831476.0
2020-05-21,8.26,8.31,8.01,8.26,1955872.0
2020-05-20,8.5,8.53,8.25,8.4,3909932.0
2020-05-19,8.33,8.66,8.28,8.46,4415246.0
2020-05-18,8.5,8.56,8.03,8.12,3473759.0
2020-05-15,8.48,8.58,8.3,8.49,3956264.0
2020-05-14,7.75,8.21,7.65,8.19,3920204.0
2020-05-13,8.04,8.06,7.59,7.77,3737854.0
2020-05-12,7.97,8.2,7.8,7.84,2940400.0
2020-05-11,8.26,8.35,7.83,7.93,3957572.0
2020-05-08,8.47,8.66,8.15,8.27,2943075.0
2020-05-07,8.33,8.6,8.04,8.53,5275466.0
2020-05-06,8.31,8.45,8.13,8.23,2553366.0
2020-05-05,8.28,8.57,8.07,8.51,2075212.0
2020-05-04,8.6,8.61,8.28,8.35,3193137.0
2020-05-01,7.84,8.44,7.8,8.4,3938282.0
2020-04-30,8.35,8.77,8.02,8.07,6829854.0
