date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,13.89,14.0,13.8,13.96,611098.0
2021-03-11,13.85,14.12,13.72,13.82,198209.0
2021-03-10,13.66,13.92,13.6,13.81,303875.0
2021-03-09,14.17,14.28,13.66,13.68,278516.0
2021-03-08,13.52,14.32,13.43,14.17,329040.0
2021-03-05,13.17,13.41,13.05,13.35,271755.0
2021-03-04,12.99,13.35,12.82,12.99,285628.0
2021-03-03,12.66,13.22,12.66,12.98,318888.0
2021-03-02,12.84,12.985,12.575,12.64,192114.0
2021-03-01,13.16,13.24,12.87,12.89,260414.0
2021-02-26,13.18,13.26,12.91,12.91,300322.0
2021-02-25,13.39,13.56,13.08,13.08,205526.0
2021-02-24,13.34,13.71,13.1,13.38,309552.0
2021-02-23,12.79,13.23,12.74,13.05,221381.0
2021-02-22,12.5,12.75,12.15,12.72,189733.0
2021-02-19,12.61,12.77,12.51,12.55,244440.0
2021-02-18,12.5,12.76,12.18,12.63,243042.0
2021-02-17,12.23,12.55,12.17,12.47,239169.0
2021-02-16,12.12,12.42,11.84,12.31,570115.0
2021-02-12,12.01,12.05,11.86,11.91,308655.0
2021-02-11,12.13,12.37,11.8628,12.01,270747.0
2021-02-10,12.08,12.41,12.04,12.09,181356.0
2021-02-09,11.63,12.09,11.56,12.07,228746.0
2021-02-08,11.37,11.6,11.32,11.5,195570.0
2021-02-05,11.4,11.58,11.22,11.33,138853.0
2021-02-04,11.04,11.38,11.04,11.29,121664.0
2021-02-03,11.14,11.17,10.83,11.06,126470.0
2021-02-02,10.99,11.14,10.82,11.11,184794.0
2021-02-01,10.81,10.98,10.62,10.95,165336.0
2021-01-29,10.85,11.12,10.71,10.75,272205.0
2021-01-28,10.9,11.14,10.8425,10.97,246947.0
2021-01-27,10.84,11.03,10.76,10.82,392787.0
2021-01-26,11.41,11.6,11.06,11.14,441342.0
2021-01-25,11.36,11.54,11.23,11.39,156720.0
2021-01-22,11.51,11.57,11.22,11.51,202176.0
2021-01-21,11.8,11.87,11.3552,11.61,212694.0
2021-01-20,11.29,11.88,11.29,11.65,239988.0
2021-01-19,11.45,11.45,11.225,11.35,353442.0
2021-01-15,11.26,11.43,11.12,11.37,188772.0
2021-01-14,11.4,11.51,11.25,11.42,241233.0
2021-01-13,11.34,11.53,11.23,11.29,125926.0
2021-01-12,11.15,11.305,11.06,11.3,153060.0
2021-01-11,11.09,11.42,11.02,11.19,166279.0
2021-01-08,11.31,11.34,11.12,11.25,218381.0
2021-01-07,11.68,11.77,11.12,11.26,239504.0
2021-01-06,11.07,11.74,11.07,11.57,440239.0
2021-01-05,11.04,11.19,10.95,11.0,246783.0
2021-01-04,11.31,11.31,10.95,10.98,316161.0
2020-12-31,11.08,11.23,11.01,11.22,178944.0
2020-12-30,11.03,11.24,10.995,11.11,208323.0
2020-12-29,11.12,11.28,10.86,11.06,274528.0
2020-12-28,11.18,11.56,11.14,11.33,328291.0
2020-12-24,10.96,11.15,10.9,11.12,68410.0
2020-12-23,10.89,11.13,10.89,10.94,232881.0
2020-12-22,10.67,10.88,10.65,10.85,165646.0
2020-12-21,10.64,10.79,10.51,10.67,222593.0
2020-12-18,11.25,11.3184,10.7,10.7,1513793.0
2020-12-17,11.19,11.33,11.02,11.3,227436.0
2020-12-16,11.19,11.34,11.0,11.16,252409.0
2020-12-15,11.05,11.18,10.81,11.17,265664.0
2020-12-14,10.86,11.145,10.77,10.97,242632.0
2020-12-11,10.81,10.85,10.59,10.76,227734.0
2020-12-10,10.89,10.98,10.8,10.88,327669.0
2020-12-09,10.76,10.9,10.65,10.84,265174.0
2020-12-08,10.72,10.89,10.66,10.76,220998.0
2020-12-07,11.34,11.44,10.8,10.82,250073.0
2020-12-04,11.21,11.4,11.21,11.35,314301.0
2020-12-03,11.03,11.255,10.84,11.15,307113.0
2020-12-02,10.86,11.135,10.76,11.04,221011.0
2020-12-01,10.79,11.11,10.68,10.92,283841.0
2020-11-30,10.79,11.09,10.46,10.61,474696.0
2020-11-27,11.03,11.14,10.71,10.89,207234.0
2020-11-25,11.53,11.53,11.12,11.18,205648.0
2020-11-24,11.27,11.63,11.27,11.47,401239.0
2020-11-23,10.89,11.4,10.7,11.16,407382.0
2020-11-20,10.46,10.71,10.42,10.68,361485.0
2020-11-19,10.54,10.74,10.34,10.59,195099.0
2020-11-18,11.01,11.14,10.6,10.6,450316.0
2020-11-17,10.99,11.14,10.69,10.99,382211.0
2020-11-16,10.87,11.2,10.8,11.06,384146.0
2020-11-13,10.39,10.59,10.16,10.38,446903.0
2020-11-12,10.46,10.48,10.08,10.3,318295.0
2020-11-11,10.89,10.91,10.31,10.62,335650.0
2020-11-10,10.3,10.9,10.23,10.88,473340.0
2020-11-09,9.36,10.7999,9.3041,10.39,544708.0
2020-11-06,9.12,9.2102,8.59,8.72,259432.0
2020-11-05,8.86,9.35,8.86,9.15,245529.0
2020-11-04,8.98,9.08,8.78,9.0,200351.0
2020-11-03,9.01,9.11,8.82,9.06,231545.0
2020-11-02,9.18,9.24,8.63,8.85,354956.0
2020-10-30,8.58,9.17,8.58,9.01,692805.0
2020-10-29,8.47,8.73,8.25,8.66,274014.0
2020-10-28,8.2,8.55,8.2,8.51,377960.0
2020-10-27,8.65,8.73,8.38,8.38,200483.0
2020-10-26,8.88,8.88,8.6,8.7,212211.0
2020-10-23,8.84,8.98,8.73,8.96,199119.0
2020-10-22,8.8,8.9165,8.76,8.79,173161.0
2020-10-21,8.81,8.86,8.684,8.85,125186.0
2020-10-20,8.72,8.895,8.69,8.83,162530.0
2020-10-19,8.87,8.91,8.64,8.65,185195.0
2020-10-16,9.13,9.15,8.82,8.88,216068.0
2020-10-15,8.9,9.24,8.89,9.16,197473.0
2020-10-14,9.13,9.2,8.94,8.95,171750.0
2020-10-13,9.29,9.325,8.97,9.07,261416.0
2020-10-12,9.25,9.459,9.16,9.37,196485.0
2020-10-09,9.46,9.51,9.21,9.26,220948.0
2020-10-08,9.4,9.46,9.19,9.4,240940.0
