date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,1.61,1.65,1.54,1.56,262112.0
2021-03-17,1.52,1.71,1.52,1.66,623352.0
2021-03-16,1.67,1.72,1.55,1.56,436292.0
2021-03-15,1.54,1.735,1.53,1.71,649898.0
2021-03-12,1.5,1.53,1.451,1.53,228945.0
2021-03-11,1.53,1.62,1.46,1.51,815059.0
2021-03-10,1.45,1.57,1.4,1.51,611726.0
2021-03-09,1.59,1.59,1.42,1.43,623330.0
2021-03-08,1.47,1.55,1.46,1.52,340624.0
2021-03-05,1.46,1.5,1.3025,1.48,365562.0
2021-03-04,1.56,1.57,1.37,1.44,633363.0
2021-03-03,1.57,1.65,1.55,1.57,254643.0
2021-03-02,1.67,1.68,1.59,1.61,502069.0
2021-03-01,1.55,1.71,1.52,1.69,664222.0
2021-02-26,1.56,1.57,1.47,1.54,411512.0
2021-02-25,1.65,1.6987,1.51,1.54,607823.0
2021-02-24,1.67,1.77,1.6511,1.7,399897.0
2021-02-23,1.6,1.6681,1.48,1.63,1362464.0
2021-02-22,1.95,1.975,1.85,1.87,1192748.0
2021-02-19,2.04,2.12,1.9011,2.0,1295614.0
2021-02-18,2.05,2.08,1.91,2.05,1661726.0
2021-02-17,2.04,2.17,1.91,2.03,2580052.0
2021-02-16,1.88,2.46,1.85,2.0,4929627.0
2021-02-12,1.85,1.87,1.74,1.85,790955.0
2021-02-11,2.0,2.08,1.82,1.88,1354106.0
2021-02-10,1.98,2.18,1.93,1.95,2874790.0
2021-02-09,1.88,1.97,1.79,1.93,1669954.0
2021-02-08,1.83,1.83,1.6519,1.79,972531.0
2021-02-05,1.69,1.8,1.62,1.74,690492.0
2021-02-04,1.56,1.78,1.55,1.73,1788349.0
2021-02-03,1.51,1.64,1.51,1.54,1349257.0
2021-02-02,1.5,1.75,1.4806,1.55,2064958.0
2021-02-01,1.51,1.56,1.4,1.44,617230.0
2021-01-29,1.38,1.44,1.36,1.39,321646.0
2021-01-28,1.38,1.52,1.2947,1.48,968892.0
2021-01-27,1.5,1.5,1.37,1.4,433917.0
2021-01-26,1.47,1.6,1.47,1.49,361767.0
2021-01-25,1.58,1.58,1.45,1.48,480682.0
2021-01-22,1.55,1.59,1.52,1.58,292736.0
2021-01-21,1.54,1.6,1.51,1.55,327113.0
2021-01-20,1.51,1.63,1.49,1.53,456105.0
2021-01-19,1.47,1.53,1.44,1.48,484449.0
2021-01-15,1.5,1.53,1.45,1.53,511053.0
2021-01-14,1.48,1.68,1.45,1.52,3943150.0
2021-01-13,1.75,1.92,1.51,1.54,8843716.0
2021-01-12,1.33,1.54,1.3166,1.53,3559530.0
2021-01-11,1.35,1.3592,1.31,1.31,92146.0
2021-01-08,1.35,1.35,1.31,1.34,91193.0
2021-01-07,1.34,1.3489,1.28,1.3,135574.0
2021-01-06,1.28,1.34,1.26,1.3,228243.0
2021-01-05,1.26,1.28,1.2306,1.26,130212.0
2021-01-04,1.31,1.31,1.22,1.25,152727.0
2020-12-31,1.29,1.29,1.21,1.23,191175.0
2020-12-30,1.24,1.29,1.24,1.2601,106095.0
2020-12-29,1.38,1.38,1.25,1.26,202675.0
2020-12-28,1.2,1.35,1.19,1.24,681375.0
2020-12-24,1.2,1.2,1.19,1.1901,31901.0
2020-12-23,1.19,1.2,1.17,1.18,87587.0
2020-12-22,1.18,1.19,1.16,1.16,36951.0
2020-12-21,1.17,1.2,1.16,1.16,86041.0
2020-12-18,1.25,1.25,1.16,1.16,137807.0
2020-12-17,1.19,1.21,1.18,1.19,180976.0
2020-12-16,1.22,1.23,1.19,1.19,98098.0
2020-12-15,1.23,1.24,1.19,1.2,81961.0
2020-12-14,1.23,1.23,1.18,1.2,123523.0
2020-12-11,1.26,1.28,1.21,1.23,63067.0
2020-12-10,1.22,1.25,1.2,1.24,105552.0
2020-12-09,1.28,1.3035,1.211,1.24,244866.0
2020-12-08,1.36,1.37,1.2663,1.3,111897.0
2020-12-07,1.33,1.39,1.32,1.34,301090.0
2020-12-04,1.3,1.4,1.23,1.35,411192.0
2020-12-03,1.32,1.3689,1.29,1.3,236786.0
2020-12-02,1.28,1.3591,1.27,1.3,291033.0
2020-12-01,1.41,1.41,1.25,1.31,204836.0
2020-11-30,1.27,1.58,1.26,1.33,1415458.0
2020-11-27,1.22,1.28,1.22,1.27,50085.0
2020-11-25,1.29,1.29,1.2,1.26,157307.0
2020-11-24,1.3,1.315,1.2,1.269,331080.0
2020-11-23,1.15,1.42,1.15,1.33,1036812.0
2020-11-20,1.21,1.22,1.15,1.16,72446.0
2020-11-19,1.24,1.24,1.17,1.22,75978.0
2020-11-18,1.15,1.21,1.15,1.21,109790.0
2020-11-17,1.13,1.17,1.13,1.16,89463.0
2020-11-16,1.13,1.2,1.13,1.16,75138.0
2020-11-13,1.125,1.18,1.1,1.14,135648.0
2020-11-12,1.13,1.17,1.11,1.11,64224.0
2020-11-11,1.28,1.28,1.12,1.14,83778.0
2020-11-10,1.14,1.19,1.11,1.13,113932.0
2020-11-09,1.17,1.18,1.11,1.14,156826.0
2020-11-06,1.08,1.12,1.01,1.1186,450582.0
2020-11-05,1.17,1.17,1.08,1.105,311593.0
2020-11-04,1.09,1.1,1.05,1.0709,200282.0
2020-11-03,1.18,1.21,1.06,1.075,371920.0
2020-11-02,1.17,1.3,1.16,1.3,1042137.0
2020-10-30,1.37,1.53,1.14,1.32,17162710.0
2020-10-29,0.9637,1.04,0.9386,1.0327,1874746.0
2020-10-28,0.9801,1.0,0.96,0.9637,49163.0
2020-10-27,0.9986,1.015,0.9856,0.9954,62540.0
2020-10-26,1.03,1.03,0.99,0.9901,90462.0
2020-10-23,1.03,1.05,1.02,1.0392,54819.0
2020-10-22,1.07,1.0724,1.03,1.03,79945.0
2020-10-21,1.06,1.1499,1.05,1.07,208940.0
2020-10-20,1.07,1.08,1.04,1.07,48919.0
2020-10-19,1.08,1.09,1.06,1.07,18450.0
2020-10-16,1.1,1.1,1.07,1.07,45077.0
2020-10-15,1.12,1.13,1.08,1.0824,43222.0
2020-10-14,1.08,1.12,1.06,1.12,71716.0
2020-10-13,1.09,1.1099,1.05,1.07,197119.0
2020-10-12,1.09,1.13,1.08,1.09,46480.0
2020-10-09,1.12,1.15,1.09,1.09,102141.0
2020-10-08,1.15,1.15,1.12,1.14,17492.0
2020-10-07,1.15,1.15,1.1,1.15,20561.0
2020-10-06,1.14,1.19,1.105,1.13,60164.0
2020-10-05,1.1299,1.19,1.12,1.14,36366.0
2020-10-02,1.1,1.13,1.1,1.13,35140.0
2020-10-01,1.19,1.24,1.1,1.13,114506.0
2020-09-30,1.27,1.49,1.21,1.22,374423.0
2020-09-29,1.16,1.27,1.16,1.26,94589.0
2020-09-28,1.1,1.19,1.1,1.15,22478.0
2020-09-25,1.14,1.14,1.0675,1.1,40143.0
2020-09-24,1.08,1.15,1.0706,1.12,24691.0
2020-09-23,1.08,1.13,1.08,1.09,20221.0
2020-09-22,1.07,1.12,1.06,1.12,10800.0
2020-09-21,1.14,1.14,1.06,1.06,18690.0
2020-09-18,1.09,1.11,1.05,1.11,21547.0
2020-09-17,1.11,1.12,1.07,1.08,38758.0
2020-09-16,1.1167,1.1293,1.11,1.11,12644.0
2020-09-15,1.1,1.1399,1.1,1.11,21791.0
2020-09-14,1.1,1.15,1.1,1.105,8334.0
2020-09-11,1.1055,1.11,1.1,1.1,16533.0
2020-09-10,1.1,1.1319,1.1,1.1,15117.0
2020-09-09,1.12,1.13,1.11,1.11,16756.0
2020-09-08,1.075,1.11,1.0603,1.1,9614.0
2020-09-04,1.11,1.13,1.0653,1.1,42883.0
2020-09-03,1.16,1.16,1.095,1.12,29806.0
2020-09-02,1.2,1.2,1.13,1.14,23058.0
2020-09-01,1.09,1.163,1.09,1.163,62049.0
2020-08-31,1.07,1.109,1.06,1.1,59053.0
2020-08-28,1.15,1.17,1.1,1.12,38437.0
2020-08-27,1.15,1.19,1.15,1.15,53604.0
2020-08-26,1.21,1.2299,1.2,1.205,32862.0
2020-08-25,1.21,1.22,1.21,1.22,19414.0
2020-08-24,1.22,1.23,1.21,1.21,19223.0
2020-08-21,1.26,1.27,1.22,1.23,36946.0
2020-08-20,1.25,1.3,1.25,1.28,20714.0
2020-08-19,1.3,1.305,1.25,1.26,39709.0
2020-08-18,1.32,1.32,1.25,1.25,71815.0
2020-08-17,1.4,1.41,1.32,1.36,118722.0
2020-08-14,1.29,1.33,1.275,1.33,58664.0
2020-08-13,1.25,1.28,1.24,1.26,36921.0
2020-08-12,1.27,1.32,1.25,1.26,18282.0
2020-08-11,1.23,1.38,1.23,1.25,121804.0
2020-08-10,1.24,1.27,1.2,1.25,67599.0
2020-08-07,1.33,1.34,1.25,1.27,82213.0
2020-08-06,1.38,1.3999,1.33,1.33,68670.0
2020-08-05,1.39,1.39,1.33,1.36,89397.0
2020-08-04,1.19,1.3399,1.19,1.32,76342.0
2020-08-03,1.28,1.4,1.23,1.3,134313.0
2020-07-31,1.18,1.21,1.18,1.18,38617.0
2020-07-30,1.18,1.19,1.15,1.16,43524.0
2020-07-29,1.18,1.2,1.18,1.19,13336.0
2020-07-28,1.2,1.215,1.18,1.19,11606.0
2020-07-27,1.12,1.24,1.12,1.22,42537.0
2020-07-24,1.22,1.23,1.19,1.21,51764.0
2020-07-23,1.24,1.245,1.18,1.22,24681.0
2020-07-22,1.2,1.25,1.2,1.24,43881.0
2020-07-21,1.2,1.21,1.19,1.19,18402.0
2020-07-20,1.23,1.26,1.16,1.19,50449.0
2020-07-17,1.27,1.31,1.21,1.23,29000.0
2020-07-16,1.29,1.3,1.25,1.28,23200.0
2020-07-15,1.16,1.28,1.16,1.28,90200.0
2020-07-14,1.24,1.24,1.14,1.15,81000.0
2020-07-13,1.33,1.33,1.25,1.25,47200.0
2020-07-10,1.4,1.4,1.26,1.31,67800.0
2020-07-09,1.3,1.42,1.27,1.4,67300.0
2020-07-08,1.4,1.41,1.21,1.33,354700.0
2020-07-07,1.41,1.49,1.39,1.42,77800.0
2020-07-06,1.44,1.49,1.4,1.41,163900.0
2020-07-02,1.26,1.42,1.22,1.38,385800.0
2020-07-01,1.17,1.3,1.13,1.24,521900.0
2020-06-30,1.18,1.2,1.15,1.19,39800.0
2020-06-29,1.28,1.28,1.14,1.15,49100.0
2020-06-26,1.11,1.22,1.05,1.22,142100.0
2020-06-25,1.1,1.11,1.08,1.09,18700.0
2020-06-24,1.12,1.13,1.08,1.1,45200.0
2020-06-23,1.15,1.22,1.12,1.13,66500.0
2020-06-22,1.15,1.21,1.15,1.17,41900.0
2020-06-19,1.17,1.21,1.16,1.16,75200.0
2020-06-18,1.16,1.23,1.16,1.17,42300.0
2020-06-17,1.2,1.21,1.16,1.17,30300.0
2020-06-16,1.21,1.23,1.2,1.21,48300.0
2020-06-15,1.17,1.21,1.16,1.2,39000.0
2020-06-12,1.2,1.2,1.15,1.17,61600.0
2020-06-11,1.18,1.21,1.15,1.15,67400.0
2020-06-10,1.29,1.29,1.18,1.23,129400.0
2020-06-09,1.26,1.29,1.23,1.25,76200.0
2020-06-08,1.25,1.25,1.2,1.23,123800.0
2020-06-05,1.22,1.25,1.19,1.21,93100.0
2020-06-04,1.16,1.19,1.14,1.19,99000.0
2020-06-03,1.18,1.2,1.09,1.15,64400.0
2020-06-02,1.13,1.2,1.12,1.19,77300.0
2020-06-01,1.05,1.15,1.01,1.14,140700.0
2020-05-29,0.96,1.04,0.96,1.04,80800.0
2020-05-28,0.98,1.01,0.98,1.0,58400.0
2020-05-27,1.01,1.01,0.98,0.98,73000.0
2020-05-26,0.93,1.01,0.93,1.01,112400.0
2020-05-22,1.0,1.0,0.91,0.95,68700.0
2020-05-21,1.04,1.04,0.96,0.97,47200.0
2020-05-20,0.9,1.01,0.9,1.01,58000.0
2020-05-19,1.05,1.05,0.99,1.01,83600.0
2020-05-18,1.02,1.04,1.0,1.04,105200.0
2020-05-15,1.08,1.08,1.02,1.05,49600.0
2020-05-14,1.02,1.06,1.02,1.06,17900.0
2020-05-13,1.08,1.08,1.04,1.05,37600.0
2020-05-12,1.08,1.08,1.05,1.06,19000.0
2020-05-11,1.05,1.1,1.04,1.08,46900.0
2020-05-08,1.03,1.06,1.01,1.04,31300.0
