date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,127.76,130.39,127.52,127.52,320854.0
2021-03-11,129.51,129.82,128.14,128.14,865.0
2021-03-10,128.22,130.46,128.17,130.34,64513.0
2021-03-09,124.93,129.09,124.93,126.74,11822.0
2021-03-08,126.39,127.434,125.64,125.64,1737.0
2021-03-05,121.5,122.51,121.36,122.51,23220.0
2021-03-04,121.1,121.1,119.87,120.27,101610.0
2021-03-03,121.0,121.11,120.28,120.28,2260.0
2021-03-02,118.1,118.1,118.045,118.045,24811.0
2021-03-01,115.5,119.27,115.5,119.27,27060.0
2021-02-26,118.29,118.29,115.99,115.99,195095.0
2021-02-25,121.97,122.0,119.29,119.36,1816.0
2021-02-24,123.09,123.09,122.22,122.22,2510.0
2021-02-23,120.58,121.92,120.58,121.77,3207.0
2021-02-22,117.53,120.77,117.43,120.75,286667.0
2021-02-19,117.0,117.63,116.37,117.53,2219.0
2021-02-18,117.95,118.42,116.67,116.67,45938.0
2021-02-17,119.0,119.01,119.0,119.01,46817.0
2021-02-16,119.77,120.1,119.19,119.19,176272.0
2021-02-12,122.41,122.41,120.27,121.24,28086.0
2021-02-11,120.73,123.46,120.73,123.29,153778.0
2021-02-10,124.49,126.87,116.9,122.09,417097.0
2021-02-09,127.72,128.74,127.72,128.7,153723.0
2021-02-08,128.24,128.24,128.22,128.22,79540.0
2021-02-05,125.0,126.2,124.7,126.2,26906.0
2021-02-04,126.39,126.39,124.53,124.7,103408.0
2021-02-03,125.9,126.17,125.5,126.16,102184.0
2021-02-02,128.23,128.23,126.68,126.94,54627.0
2021-02-01,126.11,126.11,123.44,125.7401,150280.0
2021-01-29,125.35,128.63,125.35,128.31,105798.0
2021-01-28,125.11,126.92,125.11,125.85,51587.0
2021-01-27,122.23,124.23,122.23,123.75,40740.0
2021-01-26,124.5,125.1995,122.78,123.89,26444.0
2021-01-25,127.68,127.68,126.87,126.87,26315.0
2021-01-22,129.77,129.77,127.81,127.81,21520.0
2021-01-21,134.27,134.4,130.28,130.29,6512.0
2021-01-20,135.45,135.45,134.26,134.26,8370.0
2021-01-19,131.82,135.33,131.82,135.14,16251.0
2021-01-15,128.26,132.39,128.26,132.39,5497.0
2021-01-14,131.92,132.58,129.29,129.29,51319.0
2021-01-13,133.18,133.65,132.64,132.81,6242.0
2021-01-12,129.81,133.55,129.81,133.55,6503.0
2021-01-11,127.71,130.85,127.71,130.14,3296.0
2021-01-08,131.4036,131.4036,129.43,129.43,636.0
2021-01-07,130.51,132.33,130.51,132.33,755.0
2021-01-06,127.3952,131.07,127.37,130.32,2729.0
2021-01-05,125.01,125.47,125.0,125.29,1932.0
2021-01-04,128.85,128.85,124.97,124.97,2248.0
2020-12-31,125.94,129.85,125.94,129.85,3402.0
2020-12-30,127.33,127.33,127.33,127.33,413.0
2020-12-29,126.67,126.67,126.51,126.51,1066.0
2020-12-28,126.67,126.84,126.67,126.84,411.0
2020-12-24,125.65,125.65,125.5036,125.5036,555.0
2020-12-23,125.39,125.8,125.34,125.8,8720.0
2020-12-22,124.89,124.91,124.88,124.91,26574.0
2020-12-21,123.26,124.24,123.26,124.24,1006.0
2020-12-18,126.29,126.29,126.29,126.29,339.0
2020-12-17,126.7678,126.84,125.81,125.81,1463.0
2020-12-16,126.9,127.66,126.87,127.66,11049.0
2020-12-15,125.25,126.8,125.25,125.95,28148.0
2020-12-14,126.16,127.07,124.91,125.07,5675.0
2020-12-11,125.36,125.36,125.36,125.36,20166.0
2020-12-10,125.59,127.78,125.5,126.03,3291.0
2020-12-09,125.52,125.52,125.18,125.18,466.0
2020-12-08,125.1138,125.86,125.1138,125.86,2065.0
2020-12-07,124.95,124.95,124.8861,124.8861,41775.0
2020-12-04,125.96,126.09,125.24,125.24,1160.0
2020-12-03,124.25,125.25,123.87,125.2,166406.0
2020-12-02,121.62,125.325,121.62,125.325,3198.0
2020-12-01,122.9,122.9,122.9,122.9,12325.0
2020-11-30,125.53,125.53,122.89,122.9,31239.0
2020-11-27,129.11,131.57,128.44,128.81,41316.0
2020-11-25,130.52,130.52,130.52,130.52,443.0
2020-11-24,130.494,130.77,130.494,130.52,15910.0
2020-11-23,128.37,128.37,128.37,128.37,6558.0
2020-11-20,128.16,128.4,128.16,128.37,1746.0
2020-11-19,128.98,129.19,128.815,129.19,1027.0
2020-11-18,133.26,133.26,130.14,130.14,965.0
2020-11-17,132.1267,132.29,132.1267,132.29,17824.0
2020-11-16,130.85,132.26,130.85,132.26,2306.0
2020-11-13,128.16,128.34,127.96,128.2632,1393.0
2020-11-12,128.79,128.79,124.72,125.09,1573.0
2020-11-11,128.75,128.75,128.75,128.75,25359.0
2020-11-10,127.22,128.75,127.22,128.75,101015.0
2020-11-09,127.83,130.43,126.48,129.47,5324.0
2020-11-06,124.86,124.86,122.65,123.42,1850.0
2020-11-05,123.25,123.25,121.9,123.05,1071.0
2020-11-04,122.13,125.2,122.13,123.57,2681.0
2020-11-03,126.1,126.13,121.14,121.65,153240.0
2020-11-02,121.18,124.99,121.18,124.74,192801.0
2020-10-30,120.16,121.19,119.4,120.69,7594.0
2020-10-29,117.89,121.67,117.89,121.67,42265.0
