date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,25.81,25.83,25.75,25.83,2928.0
2021-03-12,25.6999,25.79,25.6999,25.75,3856.0
2021-03-11,25.75,25.75,25.57,25.66,1355.0
2021-03-10,25.36,25.88,25.33,25.79,14021.0
2021-03-09,25.14,25.28,25.14,25.28,956.0
2021-03-08,25.38,25.41,25.32,25.39,1205.0
2021-03-05,25.19,25.388,25.15,25.175,4023.0
2021-03-04,25.25,25.4196,25.1,25.12,4603.0
2021-03-03,25.0,25.2,25.0,25.2,5468.0
2021-03-02,25.0,25.0,25.0,25.0,30104.0
2021-03-01,25.0,25.0,25.0,25.0,831.0
2021-02-26,25.03,25.03,24.8336,24.85,4182.0
2021-02-25,25.07,25.07,24.73,24.77,7452.0
2021-02-24,24.8,24.92,24.8,24.92,3257.0
2021-02-23,24.8399,24.8399,24.77,24.805,31644.0
2021-02-22,24.62,24.73,24.62,24.64,6266.0
2021-02-19,24.81,24.97,24.525,24.575,405222.0
2021-02-18,24.91,24.91,24.88,24.9,2206.0
2021-02-17,25.08,25.09,25.04,25.07,4537.0
2021-02-16,24.89,25.0,24.89,24.96,5058.0
2021-02-12,25.04,25.2275,24.62,24.9901,15563.0
2021-02-11,24.92,25.3538,24.88,24.9,2801.0
2021-02-10,25.06,25.0728,24.97,24.97,2426.0
2021-02-09,24.8535,25.006,24.8535,25.006,4931.0
2021-02-08,24.85,24.865,24.78,24.86,3155.0
2021-02-05,24.85,24.85,24.85,24.85,3058.0
2021-02-04,24.81,24.87,24.71,24.73,3890.0
2021-02-03,24.6515,24.88,24.6515,24.73,6683.0
2021-02-02,24.56,24.84,24.56,24.64,7311.0
2021-02-01,24.5,24.675,24.37,24.56,6160.0
2021-01-29,24.45,24.52,24.1935,24.52,5929.0
2021-01-28,24.66,24.66,24.35,24.518,3592.0
2021-01-27,24.7,24.74,24.5,24.53,6623.0
2021-01-26,24.64,24.82,24.64,24.81,1239.0
2021-01-25,24.79,24.9,24.59,24.7,13794.0
2021-01-22,24.8,24.85,24.72,24.72,6139.0
2021-01-21,24.85,24.93,24.63,24.87,6178.0
2021-01-20,24.95,25.06,24.64,24.82,4646.0
2021-01-19,24.77,24.97,24.55,24.85,6819.0
2021-01-15,25.09,25.09,24.52,24.91,5132.0
2021-01-14,24.95,25.1,24.85,25.1,9903.0
2021-01-13,24.71,25.1341,24.71,25.04,34396.0
2021-01-12,24.6,24.81,24.5,24.76,21312.0
2021-01-11,24.53,24.78,24.44,24.44,8962.0
2021-01-08,24.55,24.55,24.44,24.52,2251.0
2021-01-07,24.41,24.5,24.31,24.43,2344.0
2021-01-06,24.49,24.55,24.2,24.38,468444.0
2021-01-05,24.51,24.85,24.2,24.5,207809.0
2021-01-04,24.69,24.71,24.41,24.62,4288.0
2020-12-31,24.92,25.12,24.0,24.41,79456.0
2020-12-30,25.25,25.25,24.65,24.9,9335.0
2020-12-29,25.5325,25.5325,25.3,25.3,3643.0
2020-12-28,25.46,25.53,25.46,25.53,598.0
2020-12-24,25.34,25.52,25.34,25.52,1417.0
2020-12-23,25.27,25.39,25.18,25.23,3545.0
2020-12-22,25.62,25.62,25.29,25.35,11266.0
2020-12-21,25.3102,25.85,25.3102,25.66,2913.0
2020-12-18,25.75,25.75,25.74,25.74,488.0
2020-12-17,25.83,25.88,25.6283,25.66,2924.0
2020-12-16,25.47,25.7383,25.46,25.61,2645.0
2020-12-15,25.31,25.468,25.28,25.468,1137.0
2020-12-14,25.745,25.745,25.49,25.49,1599.0
2020-12-11,25.37,25.37,25.37,25.37,369.0
2020-12-10,25.51,25.53,25.24,25.3,2819.0
