date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,2.89,2.89,2.6556,2.69,44594.0
2021-03-17,2.79,2.95,2.7621,2.85,92999.0
2021-03-16,2.67,3.03,2.665,2.99,447307.0
2021-03-15,2.68,2.695,2.6417,2.6709,44643.0
2021-03-12,2.55,2.69,2.43,2.67,38658.0
2021-03-11,2.58,2.7738,2.58,2.72,230669.0
2021-03-10,2.62,2.64,2.5335,2.58,87933.0
2021-03-09,2.54,2.64,2.4738,2.56,90823.0
2021-03-08,2.42,2.52,2.41,2.47,46415.0
2021-03-05,2.25,2.4,2.25,2.35,75944.0
2021-03-04,2.43,2.45,2.25,2.27,109919.0
2021-03-03,2.47,2.56,2.44,2.47,43448.0
2021-03-02,2.52,2.59,2.47,2.48,76966.0
2021-03-01,2.7,2.7451,2.51,2.6,451891.0
2021-02-26,2.66,3.32,2.27,2.8,756011.0
2021-02-25,2.76,2.8,2.57,2.64,55592.0
2021-02-24,2.64,2.78,2.64,2.7501,47569.0
2021-02-23,2.96,2.96,2.5307,2.59,143990.0
2021-02-22,3.08,3.3399,2.95,2.97,368887.0
2021-02-19,2.86,3.05,2.86,3.03,134348.0
2021-02-18,2.88,2.89,2.78,2.8798,50368.0
2021-02-17,2.8,2.92,2.6901,2.8926,109486.0
2021-02-16,2.97,3.0,2.8608,2.8856,67227.0
2021-02-12,2.85,3.19,2.72,2.94,358997.0
2021-02-11,2.89,3.2,2.76,2.76,509107.0
2021-02-10,2.9,2.94,2.68,2.9006,112894.0
2021-02-09,2.82,2.95,2.8,2.88,109390.0
2021-02-08,3.0,3.0,2.82,2.88,102973.0
2021-02-05,2.77,3.08,2.54,2.92,364016.0
2021-02-04,2.6,3.1799,2.53,2.83,575584.0
2021-02-03,2.51,2.59,2.48,2.52,60374.0
2021-02-02,2.56,2.56,2.46,2.49,49225.0
2021-02-01,2.55,2.575,2.44,2.55,70386.0
2021-01-29,2.47,2.6095,2.43,2.52,56114.0
2021-01-28,2.53,2.6186,2.393,2.57,102939.0
2021-01-27,2.51,2.61,2.45,2.45,89584.0
2021-01-26,2.52,2.7,2.52,2.66,234653.0
2021-01-25,2.57,2.62,2.49,2.54,54712.0
2021-01-22,2.48,2.55,2.4501,2.54,38190.0
