date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,50.34,51.2,49.04,49.74,264092.0
2021-03-11,50.81,51.435,49.73,50.67,296178.0
2021-03-10,49.98,51.24,49.13,50.65,237280.0
2021-03-09,49.82,50.17,48.32,49.72,216203.0
2021-03-08,49.84,50.4877,47.9,49.19,230125.0
2021-03-05,48.03,49.89,46.46,49.31,270026.0
2021-03-04,48.48,49.58,46.265,47.5,265073.0
2021-03-03,47.69,50.5,47.05,49.05,225612.0
2021-03-02,47.21,49.25,46.565,47.57,274721.0
2021-03-01,48.98,49.7699,46.25,47.17,383294.0
2021-02-26,50.03,50.22,47.785,47.92,352635.0
2021-02-25,57.58,57.58,49.49,50.03,731800.0
2021-02-24,56.66,58.88,56.35,56.81,505709.0
2021-02-23,51.28,56.96,49.36,56.51,1077027.0
2021-02-22,49.41,51.82,49.41,51.22,496036.0
2021-02-19,49.46,50.7,49.02,49.6,213184.0
2021-02-18,48.54,49.7,47.53,49.12,308182.0
2021-02-17,48.56,49.98,47.87,48.78,311750.0
2021-02-16,49.43,50.15,47.395,48.58,281714.0
2021-02-12,45.93,49.48,45.505,48.11,544206.0
2021-02-11,46.5,47.15,45.07,46.37,389313.0
2021-02-10,48.42,48.95,45.36,46.7,438226.0
2021-02-09,51.12,51.56,46.52,47.05,597852.0
2021-02-08,50.54,52.92,49.0876,52.21,428701.0
2021-02-05,49.56,51.04,48.78,49.41,276300.0
2021-02-04,50.0,50.015,47.73,48.85,330437.0
2021-02-03,50.73,51.9795,49.6,49.95,286873.0
2021-02-02,50.05,51.47,49.28,50.0,211954.0
2021-02-01,48.51,49.46,46.62,48.81,313130.0
2021-01-29,50.0,52.52,47.79,47.92,590714.0
2021-01-28,48.06,51.31,48.0,50.03,359417.0
2021-01-27,45.85,49.7368,43.3,48.01,468662.0
2021-01-26,48.69,48.8143,45.74,47.03,324950.0
2021-01-25,50.69,50.99,47.34,48.11,371170.0
2021-01-22,49.42,51.44,49.26,51.12,228393.0
2021-01-21,51.29,51.29,48.51,50.49,426360.0
2021-01-20,53.0,54.32,50.83,51.19,415198.0
2021-01-19,51.73,52.7,50.22,51.99,707967.0
2021-01-15,50.59,51.71,49.18,50.36,373155.0
2021-01-14,50.28,51.53,48.88,50.81,424281.0
2021-01-13,50.1,50.38,48.12,49.52,361038.0
2021-01-12,49.02,51.2,48.64,50.15,548851.0
