date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,4.92,5.37,4.84,5.3,612840.0
2021-03-11,4.9,4.93,4.66,4.9,302026.0
2021-03-10,4.22,4.8399,4.215,4.82,490007.0
2021-03-09,4.28,4.41,4.18,4.22,222539.0
2021-03-08,4.29,4.41,4.17,4.24,206434.0
2021-03-05,4.4,4.42,4.1462,4.26,353968.0
2021-03-04,4.27,4.5,4.17,4.28,328179.0
2021-03-03,4.08,4.38,4.05,4.25,329630.0
2021-03-02,3.82,4.15,3.8,4.05,326911.0
2021-03-01,3.98,4.13,3.7,3.8,596855.0
2021-02-26,4.09,4.14,3.86,3.94,352277.0
2021-02-25,4.16,4.32,4.09,4.13,278791.0
2021-02-24,4.16,4.25,4.14,4.2,191192.0
2021-02-23,4.35,4.35,4.1,4.12,236549.0
2021-02-22,4.18,4.41,4.18,4.31,381399.0
2021-02-19,4.09,4.31,4.09,4.24,378957.0
2021-02-18,4.18,4.2,3.985,4.06,265128.0
2021-02-17,4.14,4.27,4.0811,4.17,245158.0
2021-02-16,4.3,4.4,4.11,4.17,603408.0
2021-02-12,3.89,4.3,3.89,4.21,555263.0
2021-02-11,3.94,4.09,3.85,3.93,567282.0
2021-02-10,3.87,4.06,3.82,3.9,351799.0
2021-02-09,3.95,3.96,3.82,3.87,429562.0
2021-02-08,3.81,3.99,3.77,3.96,629651.0
2021-02-05,3.6,3.77,3.57,3.76,396758.0
2021-02-04,3.46,3.57,3.435,3.54,246376.0
2021-02-03,3.37,3.53,3.37,3.45,316147.0
2021-02-02,3.37,3.42,3.26,3.38,247173.0
2021-02-01,3.26,3.33,3.21,3.33,287587.0
2021-01-29,3.19,3.53,3.15,3.2,627705.0
2021-01-28,3.32,3.35,3.17,3.2,360555.0
2021-01-27,3.33,3.59,3.2148,3.28,434263.0
2021-01-26,3.33,3.56,3.295,3.42,377270.0
2021-01-25,3.31,3.36,3.1927,3.28,313022.0
2021-01-22,3.3,3.35,3.235,3.35,208302.0
2021-01-21,3.31,3.38,3.22,3.33,166325.0
2021-01-20,3.29,3.35,3.2,3.3,316329.0
2021-01-19,3.63,3.64,3.17,3.27,867537.0
2021-01-15,3.89,3.9,3.55,3.57,256159.0
2021-01-14,3.65,3.98,3.65,3.9,213848.0
2021-01-13,3.83,3.8849,3.56,3.62,341605.0
2021-01-12,3.68,3.93,3.67,3.81,244289.0
2021-01-11,3.6,3.66,3.58,3.62,474596.0
2021-01-08,3.55,3.69,3.5,3.67,295016.0
2021-01-07,3.36,3.51,3.3,3.48,219030.0
2021-01-06,3.35,3.42,3.25,3.34,249710.0
2021-01-05,3.34,3.43,3.22,3.25,242050.0
2021-01-04,3.3,3.35,3.2,3.3,220762.0
2020-12-31,3.23,3.3,3.1853,3.27,165641.0
2020-12-30,3.15,3.29,3.13,3.24,165930.0
2020-12-29,3.22,3.25,3.09,3.17,234354.0
2020-12-28,3.23,3.35,3.21,3.25,224674.0
2020-12-24,3.24,3.26,3.14,3.21,78730.0
2020-12-23,3.02,3.225,3.01,3.22,208490.0
2020-12-22,3.08,3.1,2.98,2.98,249838.0
2020-12-21,3.16,3.2,3.05,3.08,393791.0
2020-12-18,3.3,3.32,3.16,3.16,298069.0
2020-12-17,3.28,3.35,3.225,3.29,205887.0
2020-12-16,3.44,3.46,3.27,3.27,163132.0
2020-12-15,3.34,3.48,3.32,3.37,252497.0
2020-12-14,3.55,3.55,3.3,3.3,347405.0
2020-12-11,3.56,3.56,3.37,3.47,182425.0
2020-12-10,3.36,3.62,3.33,3.57,237259.0
2020-12-09,3.36,3.42,3.3,3.36,169769.0
2020-12-08,3.28,3.4,3.28,3.31,168784.0
2020-12-07,3.38,3.4,3.29,3.35,272161.0
2020-12-04,3.27,3.5,3.27,3.45,221045.0
2020-12-03,3.28,3.34,3.185,3.21,222310.0
2020-12-02,3.24,3.36,3.22,3.24,267891.0
2020-12-01,3.39,3.4,3.22,3.23,331399.0
2020-11-30,3.46,3.52,3.3,3.31,363020.0
2020-11-27,3.47,3.54,3.41,3.47,243692.0
2020-11-25,3.47,3.65,3.4,3.52,307279.0
2020-11-24,3.45,3.62,3.435,3.51,394975.0
2020-11-23,3.1,3.62,3.09,3.41,1089386.0
2020-11-20,2.95,3.1,2.95,3.04,505106.0
2020-11-19,2.93,3.02,2.885,2.99,301021.0
2020-11-18,2.95,3.12,2.94,2.94,358269.0
2020-11-17,3.0,3.07,2.93,2.93,290457.0
2020-11-16,2.92,2.995,2.85,2.94,417915.0
2020-11-13,2.93,2.97,2.82,2.83,484561.0
2020-11-12,3.3,3.3,2.85,2.86,523115.0
2020-11-11,3.35,3.48,3.245,3.33,479509.0
2020-11-10,3.26,3.34,3.2,3.33,233354.0
2020-11-09,3.05,3.35,3.0,3.16,714382.0
2020-11-06,2.78,2.835,2.73,2.76,392501.0
2020-11-05,2.78,2.87,2.74,2.79,287723.0
2020-11-04,2.95,3.01,2.7,2.71,636801.0
2020-11-03,3.02,3.05,2.87,2.93,685171.0
2020-11-02,2.84,3.03,2.73,3.01,696242.0
2020-10-30,2.86,2.88,2.61,2.8,487063.0
2020-10-29,2.73,2.86,2.61,2.84,495507.0
2020-10-28,2.8,2.86,2.75,2.78,442536.0
2020-10-27,2.88,2.9388,2.81,2.87,282179.0
2020-10-26,2.91,2.925,2.78,2.87,858697.0
2020-10-23,3.03,3.07,2.92,2.99,439052.0
2020-10-22,3.03,3.07,3.01,3.02,261245.0
2020-10-21,3.1,3.1,3.01,3.05,233828.0
2020-10-20,3.14,3.19,3.02,3.09,288675.0
2020-10-19,3.2,3.24,3.085,3.1,350882.0
2020-10-16,3.21,3.34,3.13,3.19,222680.0
2020-10-15,3.11,3.29,3.11,3.23,243309.0
2020-10-14,3.24,3.3572,3.17,3.17,219426.0
2020-10-13,3.31,3.35,3.18,3.23,264759.0
2020-10-12,3.46,3.46,3.35,3.36,271881.0
2020-10-09,3.65,3.6777,3.46,3.49,112100.0
2020-10-08,3.5,3.63,3.45,3.6,170615.0
2020-10-07,3.55,3.55,3.36,3.45,322015.0
2020-10-06,3.69,3.77,3.39,3.45,387436.0
2020-10-05,3.57,3.71,3.54,3.66,258886.0
2020-10-02,3.41,3.575,3.35,3.55,201386.0
2020-10-01,3.54,3.55,3.4,3.47,242561.0
2020-09-30,3.2,3.64,3.18,3.56,733912.0
2020-09-29,3.19,3.3854,3.13,3.2,663855.0
2020-09-28,3.05,3.0683,2.9399,3.01,404979.0
2020-09-25,3.05,3.1199,2.99,3.02,275620.0
2020-09-24,3.13,3.1801,2.95,3.08,559768.0
2020-09-23,3.38,3.43,3.08,3.13,398500.0
2020-09-22,3.51,3.52,3.2,3.38,755244.0
2020-09-21,3.66,3.68,3.425,3.51,326681.0
2020-09-18,3.79,3.79,3.63,3.74,260612.0
2020-09-17,3.62,3.76,3.59,3.74,293543.0
2020-09-16,3.53,3.69,3.47,3.63,1094785.0
2020-09-15,3.61,3.61,3.5,3.52,300427.0
2020-09-14,3.6,3.62,3.55,3.6,812191.0
2020-09-11,3.56,3.605,3.53,3.55,908392.0
2020-09-10,3.49,3.63,3.48,3.55,425322.0
2020-09-09,3.41,3.6,3.41,3.48,307521.0
2020-09-08,3.6,3.6,3.41,3.43,402331.0
2020-09-04,3.58,3.63,3.45,3.51,442101.0
2020-09-03,3.59,3.64,3.4526,3.55,285812.0
2020-09-02,3.76,3.76,3.57,3.6,324931.0
2020-09-01,3.7,3.79,3.66,3.74,210032.0
2020-08-31,3.78,3.82,3.7,3.7,252441.0
2020-08-28,3.71,3.86,3.69,3.79,253784.0
2020-08-27,3.92,3.95,3.73,3.77,434888.0
2020-08-26,4.04,4.04,3.885,3.91,269856.0
2020-08-25,3.97,4.06,3.94,3.98,196518.0
2020-08-24,3.98,4.03,3.83,3.96,313063.0
2020-08-21,3.98,4.07,3.92,3.93,282163.0
2020-08-20,3.92,3.98,3.88,3.97,293376.0
2020-08-19,4.07,4.09,3.91,3.98,345795.0
2020-08-18,4.28,4.28,4.07,4.08,161954.0
2020-08-17,4.2,4.3,4.13,4.3,165431.0
2020-08-14,4.19,4.22,4.09,4.15,271715.0
2020-08-13,4.26,4.35,4.22,4.24,178815.0
2020-08-12,4.11,4.35,4.0779,4.31,283353.0
2020-08-11,3.95,4.29,3.95,4.02,437303.0
2020-08-10,3.89,4.03,3.86,3.98,301694.0
2020-08-07,3.93,3.95,3.8,3.89,423559.0
2020-08-06,4.09,4.09,3.88,3.92,323075.0
2020-08-05,4.1,4.12,4.0,4.09,295272.0
2020-08-04,4.0,4.1372,3.97,4.05,222235.0
2020-08-03,4.14,4.145,4.01,4.01,253743.0
2020-07-31,4.24,4.24,3.99,4.11,392125.0
2020-07-30,4.41,4.455,4.14,4.27,309863.0
2020-07-29,4.53,4.75,4.46,4.51,438630.0
2020-07-28,4.33,4.62,4.05,4.48,495747.0
2020-07-27,4.08,4.24,4.08,4.22,306972.0
2020-07-24,4.02,4.189,4.0,4.12,348993.0
2020-07-23,4.0,4.0497,3.92,4.02,258926.0
2020-07-22,3.98,4.0401,3.84,4.01,445902.0
2020-07-21,4.02,4.17,3.94,3.96,330829.0
2020-07-20,4.0,4.05,3.87,3.99,278180.0
2020-07-17,4.0,4.1,4.0,4.0,286100.0
2020-07-16,4.07,4.22,3.96,3.96,268700.0
2020-07-15,4.24,4.37,4.05,4.1,532500.0
2020-07-14,4.1,4.24,4.06,4.2,388500.0
2020-07-13,4.41,4.41,4.11,4.11,546900.0
2020-07-10,4.26,4.49,4.21,4.43,252200.0
2020-07-09,4.58,4.58,4.21,4.26,289300.0
2020-07-08,4.55,4.71,4.52,4.65,183400.0
2020-07-07,4.98,5.02,4.51,4.57,384500.0
2020-07-06,4.38,5.04,4.36,5.01,617200.0
2020-07-02,4.58,4.6,4.3,4.31,207700.0
2020-07-01,4.34,4.58,4.34,4.49,225800.0
2020-06-30,4.44,4.44,4.17,4.34,296800.0
2020-06-29,4.26,4.51,4.21,4.51,286500.0
2020-06-26,4.29,4.29,4.155,4.19,443818.0
2020-06-25,4.33,4.4099,4.21,4.35,224888.0
2020-06-24,4.5,4.5,4.22,4.34,405265.0
2020-06-23,4.64,4.65,4.53,4.54,305948.0
2020-06-22,4.63,4.71,4.531,4.59,240220.0
2020-06-19,4.92,4.995,4.64,4.72,407682.0
2020-06-18,4.88,5.08,4.8,4.87,544931.0
2020-06-17,4.81,4.81,4.5665,4.68,333596.0
2020-06-16,5.13,5.14,4.7735,4.81,234959.0
2020-06-15,4.65,5.14,4.65,4.93,277579.0
2020-06-12,4.78,4.85,4.6,4.82,278576.0
2020-06-11,5.05,5.187,4.57,4.72,397651.0
2020-06-10,6.06,6.105,5.3203,5.37,346460.0
2020-06-09,5.87,6.06,5.49,5.97,310135.0
2020-06-08,5.72,5.98,5.59,5.92,291397.0
2020-06-05,5.68,5.74,5.41,5.57,447328.0
2020-06-04,5.51,5.52,5.29,5.43,275694.0
2020-06-03,5.57,5.79,5.46,5.63,223066.0
2020-06-02,5.64,5.64,5.24,5.47,586511.0
2020-06-01,5.89,6.0052,5.71,5.74,180147.0
2020-05-29,5.87,5.95,5.66,5.84,336257.0
2020-05-28,6.26,6.33,5.87,5.92,324039.0
2020-05-27,6.5,6.54,5.75,6.17,738565.0
2020-05-26,5.34,6.23,5.185,6.19,2316512.0
2020-05-22,5.0,5.265,4.81,5.25,269450.0
2020-05-21,5.05,5.1761,5.0,5.03,245795.0
2020-05-20,4.73,5.27,4.73,5.1,389747.0
2020-05-19,4.77,4.8545,4.64,4.65,182825.0
2020-05-18,4.99,5.0399,4.74,4.77,283817.0
2020-05-15,4.72,4.935,4.66,4.84,216524.0
2020-05-14,5.03,5.04,4.67,4.82,314997.0
2020-05-13,5.05,5.21,4.795,5.17,493442.0
2020-05-12,5.36,5.36,5.1,5.11,191274.0
2020-05-11,5.69,5.69,5.09,5.35,743238.0
2020-05-08,5.97,5.97,5.63,5.8,559062.0
2020-05-07,5.71,5.86,5.45,5.86,575195.0
2020-05-06,6.05,6.13,5.45,5.61,952042.0
2020-05-05,6.22,6.35,5.5099,6.03,1393461.0
2020-05-04,6.37,6.87,6.11,6.82,511066.0
2020-05-01,6.42,6.615,6.17,6.36,491482.0
2020-04-30,6.62,6.8299,6.21,6.58,933338.0
2020-04-29,7.27,7.4,6.62,6.93,946961.0
2020-04-28,7.8,7.92,7.04,7.49,771310.0
2020-04-27,6.8,7.2,6.605,7.13,910958.0
2020-04-24,6.11,6.47,6.01,6.37,640000.0
2020-04-23,6.39,6.44,5.75,6.11,698401.0
2020-04-22,6.35,6.35,5.945,6.18,629247.0
2020-04-21,5.81,6.25,5.8,5.93,948632.0
2020-04-20,5.5,5.68,5.27,5.59,1209136.0
2020-04-17,5.2,5.32,5.08,5.24,214074.0
2020-04-16,4.82,5.1,4.6999,5.09,326688.0
2020-04-15,4.84,5.08,4.72,4.74,179303.0
2020-04-14,5.09,5.18,4.8,4.99,173803.0
2020-04-13,5.2,5.42,4.85,4.9,179807.0
2020-04-09,4.78,5.16,4.55,5.14,213578.0
2020-04-08,4.78,4.94,4.59,4.66,261333.0
2020-04-07,4.98,4.99,4.46,4.62,447824.0
2020-04-06,4.61,4.89,4.5,4.8,267701.0
2020-04-03,4.69,4.69,4.4001,4.61,344489.0
2020-04-02,5.22,5.4,4.519,4.71,602343.0
2020-04-01,5.02,5.35,4.74,5.24,466673.0
2020-03-31,5.37,5.6549,5.06,5.25,418148.0
2020-03-30,5.44,5.71,5.37,5.62,512729.0
2020-03-27,4.89,5.37,4.63,5.3,497233.0
2020-03-26,4.56,5.17,4.54,5.13,194993.0
2020-03-25,4.6,4.7251,4.38,4.51,237864.0
2020-03-24,4.39,4.53,4.27,4.5,251741.0
2020-03-23,4.18,4.36,3.75,4.17,244502.0
2020-03-20,4.53,4.6575,4.005,4.07,473289.0
2020-03-19,3.96,4.69,3.79,4.51,390495.0
2020-03-18,4.5,4.92,3.7301,4.01,650944.0
2020-03-17,4.2,4.72,4.2,4.68,525368.0
2020-03-16,4.64,4.64,3.876,4.07,348191.0
2020-03-13,4.58,5.04,4.57,5.04,446266.0
2020-03-12,4.52,4.96,4.16,4.44,573300.0
2020-03-11,5.0,5.4,4.57,4.86,570517.0
2020-03-10,5.07,5.16,4.49,5.14,662161.0
2020-03-09,4.79,5.17,4.6,4.74,424276.0
2020-03-06,4.87,5.1,4.81,4.98,331095.0
2020-03-05,5.22,5.22,4.87,4.95,288938.0
2020-03-04,5.25,5.42,5.14,5.25,181222.0
2020-03-03,5.48,5.48,5.1,5.22,327607.0
2020-03-02,5.5,5.56,5.15,5.52,336151.0
2020-02-28,5.4,5.65,5.31,5.5,320002.0
2020-02-27,5.04,5.695,4.91,5.54,400442.0
2020-02-26,5.21,5.41,5.07,5.2,292771.0
2020-02-25,5.41,5.42,5.01,5.13,552387.0
2020-02-24,5.45,5.56,5.2801,5.42,352927.0
2020-02-21,5.88,5.89,5.55,5.67,426277.0
2020-02-20,6.04,6.05,5.85,5.93,373369.0
2020-02-19,6.16,6.26,6.0,6.11,317614.0
2020-02-18,6.69,6.69,6.1,6.15,582010.0
2020-02-14,6.06,6.77,6.05,6.73,1365945.0
2020-02-13,6.35,6.35,6.03,6.11,269288.0
2020-02-12,6.35,6.65,6.09,6.3,369585.0
2020-02-11,5.54,6.25,5.5,6.23,605686.0
2020-02-10,5.36,5.42,5.2101,5.31,500376.0
2020-02-07,5.64,5.7,5.36,5.36,437190.0
2020-02-06,6.03,6.03,5.635,5.7,248252.0
2020-02-05,6.05,6.1,5.925,6.01,458179.0
2020-02-04,6.2,6.28,5.96,5.99,183734.0
2020-02-03,6.2,6.36,6.02,6.06,340710.0
2020-01-31,6.37,6.4499,6.13,6.15,539040.0
