date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,19.2,19.5,19.2,19.4,16996.0
2021-03-11,19.27,19.5,19.27,19.34,17808.0
2021-03-10,19.21,19.4,19.16,19.317,16947.0
2021-03-09,19.35,19.4093,19.16,19.38,6980.0
2021-03-08,18.96,19.34,18.96,19.17,12647.0
2021-03-05,19.47,19.47,19.05,19.17,4330.0
2021-03-04,19.24,19.4,19.22,19.232,7832.0
2021-03-03,19.41,19.64,19.15,19.34,13686.0
2021-03-02,19.4,19.5288,19.4,19.5,8778.0
2021-03-01,19.63,19.63,19.2263,19.45,9411.0
2021-02-26,19.88,19.88,19.0,19.03,14531.0
2021-02-25,19.12,19.18,18.89,19.0817,18539.0
2021-02-24,19.09,19.36,19.0,19.22,27508.0
2021-02-23,19.25,19.665,18.81,18.99,33125.0
2021-02-22,19.6,19.6,19.01,19.01,22185.0
2021-02-19,19.7,20.29,19.41,19.5,7985.0
2021-02-18,19.725,19.99,19.46,19.46,13893.0
2021-02-17,19.82,20.0,19.82,19.982,7212.0
2021-02-16,19.98,20.26,19.835,20.06,8746.0
2021-02-12,19.99,20.0399,19.5,19.92,24594.0
2021-02-11,20.05,20.05,19.8957,20.03,11340.0
2021-02-10,20.01,20.0499,19.85,19.99,16013.0
2021-02-09,20.39,20.5,19.9741,20.05,15940.0
2021-02-08,20.1,20.35,19.9,20.24,50691.0
2021-02-05,20.03,20.2178,20.0,20.125,13539.0
2021-02-04,20.02,20.24,19.94,20.16,20770.0
2021-02-03,20.25,20.25,19.7605,20.14,32643.0
2021-02-02,19.9,20.24,19.61,20.23,42852.0
2021-02-01,19.79,19.8,19.3,19.78,22070.0
2021-01-29,19.79,19.79,19.15,19.24,29301.0
2021-01-28,19.9,19.9,19.0,19.27,19462.0
2021-01-27,19.97,19.97,18.9577,19.42,15873.0
2021-01-26,20.0,20.0,19.2,19.54,39109.0
2021-01-25,19.93,19.98,19.7401,19.88,18898.0
2021-01-22,19.66,19.971,19.64,19.93,34094.0
2021-01-21,20.05,20.26,19.66,19.895,34023.0
2021-01-20,20.0,20.3664,19.75,19.95,22366.0
2021-01-19,20.5,20.5,19.73,19.78,23783.0
2021-01-15,19.94,20.21,19.765,19.995,18828.0
2021-01-14,20.64,20.64,19.8,20.04,29549.0
2021-01-13,20.01,20.05,19.7438,19.88,23352.0
2021-01-12,19.59,19.96,19.53,19.84,24696.0
2021-01-11,19.7,19.7,19.38,19.69,43676.0
2021-01-08,19.64,19.75,19.354,19.7,53652.0
2021-01-07,19.17,19.49,18.917,19.48,45295.0
2021-01-06,18.55,18.99,18.55,18.91,33903.0
2021-01-05,18.48,18.6874,18.37,18.56,33582.0
2021-01-04,18.66,18.911,18.2501,18.48,33533.0
2020-12-31,19.06,19.2498,18.5,18.51,75295.0
2020-12-30,19.0,19.29,18.93,18.99,36324.0
2020-12-29,18.98,19.2,18.97,19.08,24799.0
2020-12-28,19.08,19.1633,18.87,18.91,29191.0
2020-12-24,19.19,19.19,19.02,19.07,12695.0
2020-12-23,18.99,19.19,18.71,18.98,33452.0
2020-12-22,19.55,19.55,18.75,18.99,45374.0
2020-12-21,19.06,19.69,18.6356,19.2,90651.0
2020-12-18,18.882,19.75,18.7,18.83,28456.0
2020-12-17,18.83,19.25,18.8,18.85,35596.0
