date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.52,14.71,14.335,14.57,641157.0
2021-03-11,14.6,14.83,14.29,14.64,850253.0
2021-03-10,13.68,14.73,13.65,14.5,1276496.0
2021-03-09,14.09,14.29,13.25,13.57,993290.0
2021-03-08,14.36,14.48,14.15,14.38,698814.0
2021-03-05,14.38,14.4,13.6,14.12,668734.0
2021-03-04,14.18,14.68,13.79,14.02,969246.0
2021-03-03,13.9,14.21,13.81,14.07,603625.0
2021-03-02,13.5,13.9699,13.47,13.78,851282.0
2021-03-01,13.65,13.84,13.47,13.47,473894.0
2021-02-26,13.39,13.6,13.15,13.43,763450.0
2021-02-25,13.71,13.865,13.26,13.3,613048.0
2021-02-24,13.8,14.17,13.66,13.7,759677.0
2021-02-23,13.48,13.72,13.07,13.71,688492.0
2021-02-22,13.43,13.7,13.35,13.58,513945.0
2021-02-19,13.3,13.525,13.29,13.41,401550.0
2021-02-18,13.32,13.5,13.05,13.25,668895.0
2021-02-17,13.25,13.47,12.97,13.45,729249.0
2021-02-16,13.5,13.52,13.15,13.22,839105.0
2021-02-12,12.85,13.17,12.7,13.14,645071.0
2021-02-11,12.83,12.84,12.43,12.8,573189.0
2021-02-10,12.93,13.07,12.6,12.72,580370.0
2021-02-09,12.68,12.86,12.45,12.78,598849.0
2021-02-08,12.34,12.81,12.25,12.7,1107029.0
2021-02-05,12.25,12.3498,12.12,12.25,500407.0
2021-02-04,12.05,12.42,11.9663,12.19,708753.0
2021-02-03,11.64,11.95,11.62,11.82,1173953.0
2021-02-02,11.64,11.7,11.38,11.6,626508.0
2021-02-01,11.36,11.66,11.3007,11.51,688542.0
2021-01-29,11.5,11.5,11.15,11.24,632930.0
2021-01-28,11.5,11.54,11.28,11.43,824801.0
2021-01-27,11.0,11.48,10.9,11.45,969960.0
2021-01-26,10.95,11.18,10.82,11.08,572570.0
2021-01-25,11.32,11.3416,10.77,10.92,1221087.0
2021-01-22,10.77,11.39,10.7,11.38,1893263.0
2021-01-21,11.13,11.15,10.79,10.91,1511364.0
2021-01-20,11.3,11.3,10.8,11.14,2106907.0
2021-01-19,11.21,11.3,10.85,11.17,1545578.0
2021-01-15,11.45,11.517,11.06,11.14,554342.0
2021-01-14,11.24,11.655,11.2002,11.6,1733414.0
2021-01-13,11.69,11.705,11.15,11.2,652625.0
2021-01-12,11.48,11.76,11.38,11.66,845799.0
2021-01-11,11.0,11.34,10.91,11.34,762095.0
2021-01-08,10.9,11.11,10.76,11.0,882684.0
2021-01-07,10.84,10.91,10.785,10.86,414531.0
2021-01-06,10.84,10.95,10.71,10.81,459315.0
2021-01-05,10.64,10.84,10.5,10.82,781427.0
2021-01-04,10.95,10.98,10.44,10.62,470825.0
2020-12-31,10.59,10.84,10.56,10.84,405953.0
2020-12-30,10.44,10.79,10.42,10.67,345705.0
2020-12-29,10.55,10.6,10.2936,10.42,423660.0
2020-12-28,10.62,10.65,10.38,10.5,417598.0
2020-12-24,10.5,10.605,10.32,10.57,441949.0
