date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,6.5,6.55,6.4,6.53,38331.0
2021-03-12,6.61,6.6189,6.44,6.45,43929.0
2021-03-11,6.57,6.61,6.51,6.57,182583.0
2021-03-10,6.44,6.52,6.4001,6.52,205660.0
2021-03-09,6.25,6.3899,6.25,6.38,82231.0
2021-03-08,6.32,6.35,6.21,6.26,95233.0
2021-03-05,6.36,6.4,6.27,6.28,85124.0
2021-03-04,6.34,6.4,6.25,6.3,95630.0
2021-03-03,6.4,6.4,6.29,6.32,60386.0
2021-03-02,6.44,6.46,6.35,6.35,34151.0
2021-03-01,6.3,6.49,6.3,6.47,38450.0
2021-02-26,6.32,6.5,6.23,6.28,173509.0
2021-02-25,6.67,6.7396,6.29,6.32,132858.0
2021-02-24,6.61,6.68,6.55,6.64,1195918.0
2021-02-23,6.61,6.64,6.56,6.57,42609.0
2021-02-22,6.65,6.65,6.6,6.6,22744.0
2021-02-19,6.8,6.8,6.64,6.68,40026.0
2021-02-18,6.71,6.8,6.69,6.71,53422.0
2021-02-17,6.79,6.79,6.64,6.68,97655.0
2021-02-16,6.9,6.9,6.74,6.75,68970.0
2021-02-12,6.79,6.84,6.75,6.82,49995.0
2021-02-11,6.82,6.82,6.75,6.76,41338.0
2021-02-10,6.8,6.895,6.75,6.76,81107.0
2021-02-09,6.83,6.83,6.73,6.75,168540.0
2021-02-08,6.8,6.8,6.74,6.79,101388.0
2021-02-05,6.7,6.74,6.66,6.72,23096.0
2021-02-04,6.7,6.7,6.6,6.68,30814.0
2021-02-03,6.7,6.75,6.66,6.69,18147.0
2021-02-02,6.46,6.69,6.46,6.64,25552.0
2021-02-01,6.44,6.54,6.44,6.46,42925.0
2021-01-29,6.53,6.56,6.4,6.41,69478.0
2021-01-28,6.3,6.56,6.3,6.54,71252.0
2021-01-27,6.36,6.4,6.23,6.32,94048.0
2021-01-26,6.59,6.62,6.39,6.39,116653.0
2021-01-25,6.55,6.5975,6.39,6.58,298912.0
2021-01-22,6.64,6.64,6.49,6.59,45726.0
2021-01-21,6.7,6.73,6.68,6.68,47169.0
2021-01-20,6.64,6.9,6.59,6.72,67135.0
2021-01-19,6.74,6.74,6.63,6.66,26350.0
2021-01-15,6.73,6.74,6.63,6.69,40305.0
2021-01-14,6.67,6.83,6.67,6.78,37431.0
2021-01-13,6.71,6.71,6.61,6.67,31674.0
2021-01-12,6.55,6.75,6.55,6.71,49550.0
2021-01-11,6.78,6.78,6.46,6.58,128325.0
2021-01-08,6.8,6.81,6.67,6.81,45383.0
2021-01-07,6.79,6.89,6.75,6.78,89875.0
2021-01-06,6.68,6.88,6.68,6.81,132232.0
2021-01-05,6.87,6.87,6.6,6.68,75099.0
2021-01-04,6.9,7.03,6.83,6.85,88764.0
2020-12-31,6.89,6.89,6.8257,6.88,37997.0
2020-12-30,6.88,6.99,6.88,6.92,70777.0
2020-12-29,6.81,6.98,6.77,6.92,118105.0
2020-12-28,6.87,6.87,6.69,6.83,54614.0
2020-12-24,6.86,6.8803,6.77,6.86,38634.0
2020-12-23,6.81,6.89,6.74,6.86,64663.0
2020-12-22,6.85,6.875,6.7154,6.81,156961.0
2020-12-21,6.91,6.92,6.58,6.86,552595.0
2020-12-18,7.0,7.03,6.965,6.99,48580.0
2020-12-17,6.94,7.01,6.88,7.0,255902.0
2020-12-16,6.8,6.94,6.79,6.92,184265.0
2020-12-15,6.75,6.83,6.65,6.82,155583.0
2020-12-14,6.59,6.68,6.59,6.68,700804.0
2020-12-11,6.64,6.68,6.51,6.59,311194.0
2020-12-10,6.54,6.74,6.54,6.67,168014.0
2020-12-09,6.4,6.7,6.4,6.55,235956.0
2020-12-08,6.34,6.44,6.34,6.41,74502.0
2020-12-07,6.33,6.54,6.25,6.41,164805.0
2020-12-04,6.22,6.4299,6.15,6.39,224946.0
2020-12-03,6.06,6.17,5.996,6.13,96944.0
2020-12-02,5.9,6.0722,5.88,6.04,207131.0
2020-12-01,5.67,5.9011,5.67,5.87,91930.0
2020-11-30,5.61,5.67,5.53,5.67,117704.0
2020-11-27,5.47,5.67,5.4002,5.58,116522.0
2020-11-25,5.54,5.61,5.49,5.5,103449.0
2020-11-24,5.4,5.655,5.2703,5.6,142476.0
2020-11-23,5.2,5.4,5.2,5.39,207107.0
2020-11-20,5.06,5.18,5.04,5.16,61319.0
2020-11-19,5.1,5.18,5.05,5.06,115256.0
2020-11-18,4.98,5.16,4.95,5.06,122841.0
2020-11-17,5.03,5.1,5.0,5.01,489252.0
2020-11-16,5.1,5.11,4.98,5.08,244233.0
2020-11-13,5.01,5.07,4.985,4.99,138869.0
2020-11-12,5.12,5.12,4.98,4.99,26484.0
2020-11-11,5.1,5.18,5.09,5.12,35376.0
2020-11-10,5.05,5.15,5.05,5.09,98326.0
2020-11-09,4.95,5.155,4.95,5.01,195624.0
2020-11-06,4.85,4.8758,4.7735,4.82,59062.0
2020-11-05,4.66,4.82,4.66,4.82,660650.0
2020-11-04,4.65,4.74,4.63,4.68,36175.0
2020-11-03,4.65,4.71,4.61,4.645,105902.0
2020-11-02,4.56,4.65,4.56,4.61,19042.0
2020-10-30,4.45,4.54,4.4401,4.54,91979.0
2020-10-29,4.47,4.51,4.4,4.51,269812.0
2020-10-28,4.57,4.57,4.47,4.48,121791.0
2020-10-27,4.7,4.7,4.58,4.6,64363.0
2020-10-26,4.7,4.7,4.63,4.67,42528.0
2020-10-23,4.78,4.8,4.71,4.71,54810.0
2020-10-22,4.73,4.8,4.72,4.76,96148.0
2020-10-21,4.67,4.78,4.67,4.76,567810.0
2020-10-20,4.59,4.69,4.58,4.67,103380.0
2020-10-19,4.63,4.68,4.59,4.59,59869.0
2020-10-16,4.59,4.64,4.5778,4.63,84894.0
2020-10-15,4.48,4.6,4.405,4.58,527691.0
2020-10-14,4.54,4.57,4.47,4.47,443454.0
2020-10-13,4.55,4.6,4.53,4.54,317073.0
2020-10-12,4.65,4.6599,4.57,4.57,68875.0
2020-10-09,4.68,4.69,4.61,4.64,417435.0
2020-10-08,4.65,4.67,4.62,4.64,122252.0
2020-10-07,4.62,4.64,4.6,4.61,66635.0
2020-10-06,4.67,4.67,4.58,4.58,238468.0
2020-10-05,4.6,4.64,4.5889,4.61,714013.0
2020-10-02,4.61,4.64,4.6,4.6,69616.0
2020-10-01,4.66,4.66,4.61,4.63,100891.0
2020-09-30,4.52,4.65,4.52,4.61,453521.0
2020-09-29,4.65,4.67,4.61,4.61,87748.0
2020-09-28,4.64,4.78,4.64,4.67,91001.0
2020-09-25,4.63,4.64,4.6,4.6,133471.0
2020-09-24,4.56,4.68,4.54,4.66,299239.0
2020-09-23,4.66,4.68,4.575,4.59,100250.0
2020-09-22,4.78,4.78,4.66,4.67,77600.0
2020-09-21,4.75,4.77,4.67,4.75,111282.0
2020-09-18,4.82,4.88,4.79,4.82,431180.0
2020-09-17,4.85,4.89,4.79,4.85,35801.0
2020-09-16,4.87,4.93,4.79,4.87,96359.0
2020-09-15,4.93,4.93,4.82,4.83,76637.0
2020-09-14,5.0,5.0,4.87,4.9,89606.0
2020-09-11,4.91,4.95,4.9,4.91,72140.0
2020-09-10,5.02,5.06,4.91,4.91,151519.0
2020-09-09,4.94,5.04,4.94,4.98,106513.0
2020-09-08,5.0,5.04,4.94,4.94,51695.0
2020-09-04,5.15,5.15,4.97,5.09,88821.0
2020-09-03,5.19,5.24,5.06,5.12,123908.0
2020-09-02,5.16,5.29,5.1,5.19,195761.0
2020-09-01,4.88,5.1,4.88,5.09,108309.0
2020-08-31,5.05,5.08,4.86,4.87,209559.0
2020-08-28,4.81,4.97,4.81,4.97,136126.0
2020-08-27,4.9,4.9,4.75,4.83,94451.0
2020-08-26,4.92,4.92,4.79,4.84,170358.0
2020-08-25,4.82,4.84,4.665,4.84,169592.0
2020-08-24,4.68,4.75,4.59,4.72,161764.0
2020-08-21,4.68,4.68,4.565,4.59,86207.0
2020-08-20,4.68,4.68,4.54,4.62,89986.0
2020-08-19,4.53,4.63,4.52,4.62,199753.0
2020-08-18,4.46,4.53,4.46,4.49,184933.0
2020-08-17,4.51,4.52,4.39,4.44,133757.0
2020-08-14,4.61,4.64,4.49,4.53,68022.0
2020-08-13,4.56,4.6,4.51,4.6,104369.0
2020-08-12,4.7,4.7,4.51,4.52,101829.0
2020-08-11,4.55,4.65,4.55,4.6,51956.0
2020-08-10,4.42,4.545,4.42,4.48,65374.0
2020-08-07,4.5,4.51,4.41,4.43,80031.0
2020-08-06,4.51,4.53,4.5,4.51,62680.0
2020-08-05,4.55,4.57,4.5,4.51,80014.0
2020-08-04,4.48,4.55,4.48,4.5,109094.0
2020-08-03,4.58,4.62,4.5,4.52,154874.0
2020-07-31,4.64,4.67,4.56,4.57,226356.0
2020-07-30,4.72,4.72,4.63,4.68,291013.0
2020-07-29,4.75,4.76,4.69,4.75,244150.0
2020-07-28,4.76,4.81,4.72,4.73,31522.0
2020-07-27,4.73,4.82,4.65,4.78,97918.0
