date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,18.79,19.61,18.275,19.11,24852.0
2021-03-11,18.3,18.79,18.16,18.77,33770.0
2021-03-10,16.76,18.44,16.76,18.15,44038.0
2021-03-09,17.21,17.21,16.51,16.59,22684.0
2021-03-08,16.94,17.8503,16.94,17.08,23063.0
2021-03-05,17.12,17.68,16.33,16.58,24340.0
2021-03-04,16.73,17.35,16.51,16.75,52049.0
2021-03-03,16.85,17.608,16.57,16.57,32234.0
2021-03-02,16.55,17.25,16.41,16.75,23562.0
2021-03-01,16.31,16.5,15.75,16.37,19336.0
2021-02-26,16.23,16.43,15.69,15.88,15907.0
2021-02-25,16.24,16.499,16.13,16.13,16277.0
2021-02-24,15.65,16.44,15.65,16.24,28045.0
2021-02-23,15.6,15.94,15.3,15.4,17217.0
2021-02-22,15.45,16.21,15.45,15.55,17565.0
2021-02-19,14.93,15.79,14.93,15.77,30661.0
2021-02-18,14.49,15.06,14.4006,14.85,12946.0
2021-02-17,14.77,15.0,14.35,14.4,25918.0
2021-02-16,15.24,15.34,14.92,15.0,19086.0
2021-02-12,14.81,15.32,14.52,15.18,21765.0
2021-02-11,15.075,15.25,14.91,14.95,15041.0
2021-02-10,15.055,15.2818,14.89,14.89,11768.0
2021-02-09,14.66,15.43,14.66,15.27,34379.0
2021-02-08,15.23,15.37,14.4046,14.89,59266.0
2021-02-05,14.69,15.54,14.54,15.32,27182.0
2021-02-04,14.17,14.69,14.17,14.6,22367.0
2021-02-03,14.12,14.47,14.0,14.35,31705.0
2021-02-02,14.42,14.42,13.7125,14.13,53428.0
2021-02-01,13.15,14.58,13.15,14.52,53875.0
2021-01-29,12.78,13.27,12.7,13.09,44565.0
2021-01-28,13.27,13.27,12.61,12.96,50295.0
2021-01-27,13.15,13.2,12.75,13.05,97773.0
2021-01-26,13.24,13.48,13.09,13.18,31404.0
2021-01-25,12.89,13.29,12.89,13.04,49514.0
2021-01-22,12.6,13.015,12.4,12.84,35455.0
2021-01-21,12.85,13.165,12.55,12.85,16787.0
2021-01-20,12.89,13.1519,12.7,12.76,35734.0
2021-01-19,12.87,13.305,12.73,13.01,15881.0
2021-01-15,12.68,12.97,12.52,12.7,26967.0
2021-01-14,12.6,13.3,12.59,12.97,8362.0
2021-01-13,13.15,13.15,12.33,12.52,16542.0
2021-01-12,12.81,13.7,12.67,13.16,12054.0
2021-01-11,12.78,12.87,12.72,12.81,7028.0
2021-01-08,13.09,13.11,12.695,12.85,18558.0
2021-01-07,13.7,14.3,12.8,13.14,41579.0
2021-01-06,13.01,14.68,13.01,13.84,46589.0
2021-01-05,12.95,13.2,12.585,12.75,30770.0
2021-01-04,13.85,13.85,12.65,12.77,20729.0
2020-12-31,13.5,13.73,13.5,13.53,32888.0
2020-12-30,12.42,13.37,12.25,13.08,30918.0
2020-12-29,12.35,12.66,12.29,12.37,29317.0
2020-12-28,12.72,12.745,12.45,12.45,28409.0
2020-12-24,12.67,13.0,12.67,12.89,5182.0
