date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,83.2,83.5,81.27,82.16,221105.0
2021-03-11,83.35,83.71,82.02,82.99,246408.0
2021-03-10,82.25,84.72,81.8601,82.81,423607.0
2021-03-09,82.36,82.87,81.678,82.61,375073.0
2021-03-08,79.78,83.67,78.96,81.79,430161.0
2021-03-05,77.26,80.41,76.57,79.92,432256.0
2021-03-04,77.6,79.38,75.63,76.24,279011.0
2021-03-03,76.5,78.65,75.25,77.26,277857.0
2021-03-02,78.44,78.85,76.74,77.51,276246.0
2021-03-01,78.89,81.145,78.0496,79.69,257795.0
2021-02-26,78.12,78.56,75.27,76.83,363909.0
2021-02-25,79.64,81.06,76.82,76.97,248052.0
2021-02-24,81.39,81.58,78.89,80.4,486953.0
2021-02-23,76.64,81.5897,76.16,80.86,836344.0
2021-02-22,72.65,76.04,72.5,76.0,399529.0
2021-02-19,72.51,73.54,71.7435,72.76,245574.0
2021-02-18,72.77,72.94,70.94,71.88,224865.0
2021-02-17,72.62,73.57,72.53,72.83,202017.0
2021-02-16,73.9,74.83,72.33,73.43,222832.0
2021-02-12,73.07,74.3624,72.58,73.42,116503.0
2021-02-11,74.73,75.305,72.4,73.45,219774.0
2021-02-10,75.22,75.77,73.55,74.37,271221.0
2021-02-09,73.4,75.1072,73.32,74.79,265561.0
2021-02-08,71.98,73.43,71.2,73.33,263713.0
2021-02-05,73.0,73.07,71.07,71.52,198492.0
2021-02-04,68.9,72.25,68.77,72.18,275969.0
2021-02-03,70.92,71.35,68.55,68.76,339971.0
2021-02-02,70.35,71.68,69.84,71.38,244986.0
2021-02-01,68.32,69.53,67.37,69.41,382882.0
2021-01-29,69.71,69.74,66.59,68.13,531816.0
2021-01-28,69.92,71.05,68.79,69.89,264732.0
2021-01-27,68.75,71.02,67.17,69.17,494485.0
2021-01-26,72.75,72.75,69.45,69.74,367114.0
2021-01-25,70.67,72.51,68.877,71.89,500352.0
2021-01-22,73.15,73.97,70.29,71.33,382934.0
2021-01-21,73.57,75.5,71.98,74.26,406977.0
2021-01-20,73.44,75.54,72.6,72.82,293863.0
2021-01-19,73.55,73.55,72.22,73.32,266787.0
2021-01-15,73.49,73.97,71.19,72.99,313067.0
2021-01-14,72.47,74.4099,71.64,74.08,294406.0
2021-01-13,72.48,72.65,71.0,71.78,201576.0
2021-01-12,70.08,72.56,69.611,72.26,284798.0
2021-01-11,69.95,70.61,68.96,69.47,296302.0
2021-01-08,72.78,73.37,70.26,70.96,360505.0
2021-01-07,73.25,73.75,71.45,72.7,287883.0
2021-01-06,71.6,73.7,70.7901,72.77,418828.0
2021-01-05,69.44,71.93,69.1801,70.6,492532.0
2021-01-04,72.45,72.6331,67.53,69.77,677429.0
2020-12-31,71.34,72.51,70.73,72.0,277966.0
2020-12-30,70.85,71.87,70.25,71.48,179212.0
2020-12-29,71.62,71.98,69.365,70.52,214950.0
2020-12-28,71.39,72.17,70.86,71.51,222999.0
2020-12-24,71.09,71.1,69.82,70.82,83909.0
2020-12-23,70.82,71.4401,69.93,71.09,219134.0
2020-12-22,69.83,70.575,69.26,70.23,235285.0
2020-12-21,69.5,70.64,68.54,69.96,431339.0
2020-12-18,70.65,71.47,70.33,71.15,1264592.0
2020-12-17,70.46,70.46,68.765,70.41,421067.0
2020-12-16,71.1,71.345,69.57,70.29,491015.0
2020-12-15,68.03,71.15,67.67,71.14,483523.0
2020-12-14,69.83,70.33,66.49,67.16,502214.0
2020-12-11,70.01,70.83,68.135,69.18,382954.0
2020-12-10,69.3,71.23,69.11,71.02,296082.0
2020-12-09,69.5,70.4,67.42,70.29,681744.0
2020-12-08,69.17,70.99,68.58,68.76,618961.0
2020-12-07,73.35,73.35,69.79,69.97,777775.0
2020-12-04,71.68,73.65,70.91,73.4,448999.0
2020-12-03,70.43,72.35,70.3123,70.76,364894.0
2020-12-02,69.55,70.55,68.5,70.18,331352.0
2020-12-01,68.45,70.03,68.0,68.77,503554.0
2020-11-30,68.3,68.835,66.3,67.1,661714.0
2020-11-27,69.76,70.4,68.41,69.0,198950.0
2020-11-25,71.67,71.705,69.506,69.9,366698.0
2020-11-24,70.99,72.45,67.75,72.39,986264.0
2020-11-23,65.77,70.02,65.63,69.25,1146763.0
2020-11-20,63.81,64.88,62.98,64.86,683748.0
2020-11-19,62.39,64.22,60.95,64.11,873844.0
2020-11-18,61.85,64.19,60.82,62.87,957315.0
2020-11-17,58.42,61.91,57.24,61.85,652045.0
