date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,45.35,45.52,44.33,45.41,699479.0
2021-03-11,44.52,46.0,43.63,45.44,1258522.0
2021-03-10,44.44,45.29,43.24,43.6,1059659.0
2021-03-09,42.5,45.03,42.23,44.09,1669614.0
2021-03-08,41.4,42.19,40.33,41.25,1292104.0
2021-03-05,43.46,43.66,39.97,41.49,1732812.0
2021-03-04,45.56,46.63,42.51,43.39,1701012.0
2021-03-03,46.06,46.778,45.21,45.43,1352810.0
2021-03-02,45.91,46.96,45.41,45.96,1046453.0
2021-03-01,47.21,47.3,45.96,46.17,989105.0
2021-02-26,45.65,46.76,44.57,46.18,1237832.0
2021-02-25,46.33,46.78,45.22,45.52,1189102.0
2021-02-24,47.24,47.35,45.86,46.73,1197097.0
2021-02-23,45.45,47.61,44.5,47.26,1607776.0
2021-02-22,48.35,48.49,46.09,46.22,1999143.0
2021-02-19,48.56,49.28,47.71,49.19,1067659.0
2021-02-18,48.01,48.4,46.77,48.23,1555282.0
2021-02-17,48.68,49.48,47.82,48.31,3965662.0
2021-02-16,51.27,51.28,48.3687,48.54,2772111.0
2021-02-12,50.35,50.84,48.87,50.53,2134752.0
2021-02-11,51.0,51.34,49.95,50.25,6038280.0
2021-02-10,53.59,54.14,51.02,52.04,1390461.0
2021-02-09,56.0,56.12,52.95,53.71,1623480.0
2021-02-08,56.22,57.98,55.7101,56.94,716448.0
2021-02-05,54.12,57.02,53.52,56.5,678856.0
2021-02-04,55.46,55.5,53.18,54.19,987731.0
2021-02-03,55.6,55.755,54.36,54.96,669984.0
2021-02-02,56.73,57.63,55.74,55.96,422768.0
2021-02-01,56.24,56.64,54.74,56.15,468945.0
2021-01-29,55.78,56.535,54.9,55.95,572415.0
2021-01-28,55.0,56.74,53.58,56.13,589421.0
2021-01-27,55.0,55.14,52.61,54.58,830600.0
2021-01-26,58.01,58.36,56.01,56.1,447852.0
2021-01-25,59.0,59.94,57.24,58.16,432440.0
2021-01-22,59.01,59.5,57.86,58.67,506916.0
2021-01-21,59.79,60.55,58.95,59.57,541980.0
2021-01-20,59.97,60.67,58.88,58.95,585423.0
2021-01-19,59.11,60.67,58.35,59.66,491054.0
2021-01-15,57.8,58.32,55.31,58.02,588839.0
2021-01-14,60.08,60.1,56.7,57.96,664532.0
2021-01-13,59.32,60.22,58.935,59.57,372081.0
2021-01-12,59.6,59.96,58.57,59.46,545676.0
2021-01-11,61.68,61.8303,58.79,59.32,624972.0
2021-01-08,61.4,63.165,61.4,62.4,473759.0
2021-01-07,62.22,63.11,60.57,61.32,632296.0
2021-01-06,60.04,63.31,59.9,60.48,1049382.0
2021-01-05,58.0,61.17,58.0,60.04,674861.0
2021-01-04,59.16,60.39,57.2861,57.95,766970.0
2020-12-31,58.38,59.678,57.58,58.27,409722.0
