date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.65,14.66,14.4,14.44,103514.0
2021-03-11,14.66,14.7555,14.63,14.72,66714.0
2021-03-10,14.64,14.67,14.5,14.6,72128.0
2021-03-09,14.43,14.56,14.43,14.55,71915.0
2021-03-08,14.79,14.79,14.37,14.39,132374.0
2021-03-05,15.0,15.0,14.64,14.7,125210.0
2021-03-04,15.25,15.25,14.93,14.96,122585.0
2021-03-03,15.14,15.22,15.07,15.18,40878.0
2021-03-02,15.04,15.2,15.04,15.2,65930.0
2021-03-01,15.09,15.27,15.0,15.06,99137.0
2021-02-26,15.07,15.07,14.85,15.0,95523.0
2021-02-25,14.98,15.0,14.77,14.83,119687.0
2021-02-24,14.76,14.97,14.71,14.97,52594.0
2021-02-23,14.93,14.93,14.76,14.8,107106.0
2021-02-22,15.16,15.16,14.94,14.96,74943.0
2021-02-19,15.23,15.24,15.12,15.14,79877.0
2021-02-18,15.29,15.29,15.171,15.21,80509.0
2021-02-17,15.29,15.37,15.22,15.33,43552.0
2021-02-16,15.3,15.3,15.16,15.23,54178.0
2021-02-12,15.39,15.39,15.26,15.3,40764.0
2021-02-11,15.4,15.41,15.3463,15.4,34626.0
2021-02-10,15.3,15.36,15.26,15.36,42500.0
2021-02-09,15.25,15.35,15.23,15.24,188926.0
2021-02-08,15.27,15.309,15.2501,15.27,53864.0
2021-02-05,15.2,15.28,15.17,15.25,60248.0
2021-02-04,15.18,15.2194,15.07,15.17,114858.0
2021-02-03,15.13,15.21,15.07,15.21,76002.0
2021-02-02,15.14,15.21,15.05,15.15,80817.0
2021-02-01,15.24,15.28,15.07,15.12,65521.0
2021-01-29,15.2,15.21,15.1,15.2,50684.0
2021-01-28,15.09,15.19,15.08,15.15,45016.0
2021-01-27,15.13,15.19,15.1,15.13,50082.0
2021-01-26,15.13,15.49,15.07,15.21,67635.0
2021-01-25,15.16,15.16,15.06,15.12,65721.0
2021-01-22,15.05,15.14,15.0,15.09,51868.0
2021-01-21,15.1,15.14,15.0,15.01,65229.0
2021-01-20,15.14,15.15,15.04,15.12,60426.0
2021-01-19,15.07,15.09,15.02,15.06,38774.0
2021-01-15,15.12,15.12,15.0,15.01,48453.0
2021-01-14,15.06,15.1,15.04,15.07,44749.0
2021-01-13,15.04,15.15,15.04,15.12,53569.0
2021-01-12,15.19,15.19,15.07,15.13,68304.0
2021-01-11,15.16,15.16,15.09,15.15,47540.0
2021-01-08,15.25,15.3,15.19,15.19,103607.0
2021-01-07,15.33,15.33,15.23,15.28,73629.0
2021-01-06,15.42,15.42,15.22,15.27,88821.0
2021-01-05,15.47,15.5,15.4101,15.44,36748.0
2021-01-04,15.59,15.62,15.32,15.43,72635.0
2020-12-31,15.37,15.55,15.3457,15.47,71989.0
2020-12-30,15.29,15.37,15.24,15.37,94946.0
2020-12-29,15.34,15.4,15.29,15.29,40678.0
2020-12-28,15.29,15.32,15.25,15.29,52778.0
2020-12-24,15.23,15.39,15.23,15.3,64294.0
2020-12-23,15.1,15.3,15.0632,15.24,135338.0
2020-12-22,15.1,15.1,15.0,15.03,39061.0
2020-12-21,14.93,15.12,14.9235,15.0,67480.0
2020-12-18,14.8,14.94,14.8,14.93,37931.0
2020-12-17,14.78,14.93,14.75,14.79,73218.0
2020-12-16,14.89,15.12,14.84,14.84,54289.0
2020-12-15,14.91,14.99,14.89,14.9,56994.0
2020-12-14,15.03,15.07,14.9,14.92,46233.0
2020-12-11,15.06,15.12,15.04,15.09,50884.0
2020-12-10,15.07,15.2,15.01,15.06,62284.0
2020-12-09,14.98,15.04,14.95,15.04,42325.0
2020-12-08,14.97,15.01,14.91,14.95,78864.0
2020-12-07,14.93,15.02,14.91,14.95,81878.0
2020-12-04,15.0,15.0,14.94,14.95,38069.0
2020-12-03,15.0,15.02,14.925,14.99,81014.0
2020-12-02,14.87,14.9795,14.87,14.95,64656.0
2020-12-01,14.95,15.03,14.89,14.92,134226.0
2020-11-30,14.88,14.88,14.74,14.84,47689.0
2020-11-27,14.83,14.88,14.805,14.81,35230.0
2020-11-25,14.72,14.82,14.72,14.78,52477.0
