date,1. open,2. high,3. low,4. close,5. volume
2020-12-15,14.26,14.275,14.2522,14.2522,5986.0
2020-12-14,14.45,14.45,14.26,14.288,16011.0
2020-12-11,14.79,14.83,14.79,14.82,21284.0
2020-12-10,14.7979,14.81,14.7979,14.8,8946.0
2020-12-09,14.7901,14.82,14.79,14.79,11756.0
2020-12-08,14.8068,14.81,14.8,14.8,9751.0
2020-12-07,14.82,14.82,14.7962,14.8,22670.0
2020-12-04,14.7999,14.8,14.79,14.79,9734.0
2020-12-03,14.7918,14.7999,14.79,14.79,23213.0
2020-12-02,14.7954,14.7954,14.79,14.79,2070.0
2020-12-01,14.78,14.81,14.78,14.79,15448.0
2020-11-30,14.79,14.79,14.78,14.78,21098.0
2020-11-27,14.78,14.79,14.78,14.78,1979.0
2020-11-25,14.781,14.79,14.78,14.78,9564.0
2020-11-24,14.79,14.79,14.78,14.78,6586.0
2020-11-23,14.785,14.7872,14.78,14.78,5664.0
2020-11-20,14.8,14.8,14.78,14.78,31125.0
2020-11-19,14.81,14.81,14.79,14.79,2233.0
2020-11-18,14.79,14.81,14.7801,14.79,15527.0
2020-11-17,14.79,14.79,14.78,14.78,8386.0
2020-11-16,14.79,14.79,14.78,14.78,12588.0
2020-11-13,14.7832,14.79,14.775,14.78,9711.0
2020-11-12,14.75,14.7794,14.75,14.77,1388.0
2020-11-11,14.75,14.79,14.75,14.75,5422.0
2020-11-10,14.75,14.75,14.75,14.75,1538.0
2020-11-09,14.79,14.79,14.7358,14.74,31422.0
2020-11-06,14.7751,14.7751,14.77,14.77,2011.0
2020-11-05,14.78,14.79,14.78,14.78,13463.0
2020-11-04,14.76,14.77,14.76,14.77,2856.0
2020-11-03,14.76,14.76,14.75,14.7572,19101.0
2020-11-02,14.755,14.755,14.75,14.75,8674.0
2020-10-30,14.75,14.752,14.75,14.75,4339.0
2020-10-29,14.74,14.75,14.74,14.75,5595.0
2020-10-28,14.74,14.76,14.74,14.74,3336.0
2020-10-27,14.7365,14.7403,14.73,14.74,13791.0
2020-10-26,14.735,14.7491,14.73,14.74,8373.0
2020-10-23,14.72,14.72,14.72,14.72,586.0
2020-10-22,14.75,14.75,14.72,14.72,8147.0
2020-10-21,14.75,14.75,14.73,14.73,3801.0
2020-10-20,14.75,14.75,14.72,14.72,2859.0
