date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,15.89,15.93,15.81,15.81,40614.0
2021-03-11,15.89,16.0,15.87,15.9298,61232.0
2021-03-10,15.86,15.89,15.79,15.87,68228.0
2021-03-09,15.65,15.85,15.65,15.78,106207.0
2021-03-08,15.57,15.73,15.55,15.62,85764.0
2021-03-05,15.6,15.6639,15.5,15.65,44932.0
2021-03-04,15.59,15.7,15.51,15.58,107145.0
2021-03-03,15.66,15.7111,15.58,15.59,74563.0
2021-03-02,15.64,15.7099,15.64,15.66,44598.0
2021-03-01,15.68,15.76,15.6,15.7,60076.0
2021-02-26,15.4,15.57,15.4,15.57,52148.0
2021-02-25,15.57,15.61,15.33,15.4,116944.0
2021-02-24,15.52,15.655,15.52,15.57,36416.0
2021-02-23,15.55,15.56,15.49,15.52,57307.0
2021-02-22,15.49,15.59,15.49,15.56,68789.0
2021-02-19,15.63,15.64,15.5,15.51,57107.0
2021-02-18,15.57,15.61,15.5475,15.59,29017.0
2021-02-17,15.63,15.7,15.52,15.59,47915.0
2021-02-16,15.67,15.74,15.64,15.72,91063.0
2021-02-12,15.67,15.76,15.64,15.68,93280.0
2021-02-11,15.65,15.9,15.59,15.63,76103.0
2021-02-10,15.6,15.66,15.56,15.61,66159.0
2021-02-09,15.46,15.62,15.46,15.57,45568.0
2021-02-08,15.43,15.5199,15.43,15.49,46322.0
2021-02-05,15.48,15.48,15.37,15.37,55103.0
2021-02-04,15.35,15.47,15.35,15.46,64533.0
2021-02-03,15.4,15.4,15.3,15.37,32173.0
2021-02-02,15.22,15.36,15.2,15.36,91916.0
2021-02-01,15.21,15.234,15.13,15.16,40382.0
2021-01-29,15.14,15.15,15.06,15.11,46858.0
2021-01-28,15.15,15.22,15.09,15.16,111996.0
2021-01-27,15.08,15.17,15.07,15.09,43549.0
2021-01-26,15.25,15.25,15.13,15.23,89272.0
2021-01-25,15.14,15.23,15.09,15.23,56221.0
2021-01-22,15.14,15.215,15.14,15.18,73182.0
2021-01-21,15.25,15.28,15.21,15.23,76510.0
2021-01-20,15.27,15.27,15.2,15.21,50533.0
2021-01-19,15.3,15.34,15.24,15.31,79050.0
2021-01-15,15.36,15.36,15.25,15.29,57079.0
2021-01-14,15.32,15.39,15.23,15.35,68268.0
2021-01-13,15.19,15.29,15.14,15.28,53715.0
2021-01-12,15.02,15.15,15.02,15.14,69410.0
2021-01-11,15.04,15.06,14.98,15.05,83159.0
2021-01-08,15.05,15.1011,15.01,15.05,87140.0
2021-01-07,15.06,15.12,14.93,15.05,105050.0
2021-01-06,14.96,15.0799,14.9101,15.0,43807.0
2021-01-05,14.97,15.06,14.95,15.0,49041.0
2021-01-04,15.1,15.115,14.88,14.95,65669.0
2020-12-31,14.97,15.09,14.94,15.09,86007.0
2020-12-30,14.93,15.01,14.93,14.94,47662.0
2020-12-29,14.92,14.97,14.89,14.92,62409.0
2020-12-28,14.9,14.93,14.87,14.9,63803.0
2020-12-24,14.82,14.86,14.82,14.86,21883.0
2020-12-23,14.8,14.84,14.69,14.82,63286.0
2020-12-22,14.83,14.86,14.8,14.82,79719.0
2020-12-21,14.8,14.835,14.78,14.83,85359.0
2020-12-18,14.97,15.06,14.9,14.98,206329.0
2020-12-17,14.94,15.01,14.93,14.98,87421.0
2020-12-16,14.99,15.029,14.89,14.925,108645.0
2020-12-15,14.91,15.05,14.8991,14.99,69676.0
2020-12-14,14.95,15.04,14.8887,14.9,75880.0
2020-12-11,14.94,14.98,14.9,14.92,76151.0
2020-12-10,14.87,14.9499,14.83,14.92,87218.0
2020-12-09,14.91,14.91,14.79,14.84,62289.0
2020-12-08,14.79,14.8608,14.77,14.82,80969.0
2020-12-07,14.73,14.85,14.72,14.8,70737.0
2020-12-04,14.81,14.88,14.8,14.81,78012.0
2020-12-03,14.73,14.84,14.73,14.82,72498.0
2020-12-02,14.58,14.78,14.58,14.73,100501.0
2020-12-01,14.56,14.64,14.5057,14.61,78685.0
2020-11-30,14.38,14.47,14.33,14.46,87759.0
2020-11-27,14.29,14.4,14.29,14.4,63881.0
2020-11-25,14.28,14.35,14.22,14.3,81005.0
2020-11-24,14.07,14.25,14.07,14.22,114164.0
2020-11-23,14.06,14.0899,14.009,14.06,75397.0
2020-11-20,13.92,14.04,13.92,13.96,76930.0
2020-11-19,13.93,14.029,13.91,13.98,120829.0
2020-11-18,13.86,14.05,13.86,13.93,114468.0
2020-11-17,13.84,14.015,13.8171,14.01,137763.0
2020-11-16,13.73,13.85,13.72,13.85,114654.0
2020-11-13,13.72,13.76,13.705,13.71,62484.0
2020-11-12,13.73,13.74,13.65,13.65,66577.0
2020-11-11,13.69,13.81,13.69,13.77,51942.0
2020-11-10,13.49,13.714,13.48,13.7,101753.0
2020-11-09,13.61,13.61,13.37,13.39,48322.0
2020-11-06,13.27,13.3396,13.27,13.32,44406.0
2020-11-05,13.17,13.31,13.17,13.26,63293.0
2020-11-04,13.0,13.18,13.0,13.1,62770.0
2020-11-03,12.93,13.02,12.93,12.96,58384.0
2020-11-02,12.88,12.94,12.86,12.9,51507.0
2020-10-30,12.79,12.85,12.78,12.82,47096.0
2020-10-29,12.78,12.85,12.77,12.81,52486.0
2020-10-28,12.97,12.98,12.7501,12.76,68149.0
2020-10-27,13.02,13.08,13.02,13.02,38926.0
2020-10-26,13.09,13.097,13.0,13.02,62329.0
2020-10-23,13.17,13.2,13.13,13.13,46358.0
2020-10-22,13.18,13.18,13.0818,13.17,92947.0
2020-10-21,13.21,13.29,13.14,13.16,106188.0
2020-10-20,13.22,13.3335,13.22,13.3,54736.0
2020-10-19,13.33,13.385,13.22,13.22,55954.0
2020-10-16,13.48,13.48,13.31,13.32,55091.0
2020-10-15,13.54,13.54,13.42,13.44,45984.0
2020-10-14,13.56,13.605,13.48,13.55,43508.0
2020-10-13,13.64,13.64,13.55,13.56,45388.0
2020-10-12,13.62,13.645,13.5801,13.64,43568.0
2020-10-09,13.55,13.6458,13.55,13.59,39279.0
2020-10-08,13.57,13.612,13.53,13.53,57357.0
2020-10-07,13.55,13.57,13.47,13.5,62007.0
2020-10-06,13.43,13.49,13.4,13.45,65730.0
2020-10-05,13.41,13.4324,13.34,13.43,54294.0
2020-10-02,13.32,13.42,13.2901,13.41,43109.0
2020-10-01,13.44,13.44,13.315,13.39,52040.0
2020-09-30,13.35,13.41,13.32,13.32,99614.0
2020-09-29,13.35,13.39,13.3246,13.38,93533.0
2020-09-28,13.25,13.4,13.25,13.4,77812.0
2020-09-25,13.26,13.26,13.19,13.22,74633.0
2020-09-24,13.33,13.3962,13.2,13.35,71105.0
2020-09-23,13.55,13.56,13.3,13.3,118724.0
2020-09-22,13.49,13.549,13.49,13.53,49846.0
2020-09-21,13.54,13.54,13.42,13.51,54661.0
2020-09-18,13.7,13.71,13.6,13.69,51246.0
2020-09-17,13.63,13.7,13.6,13.66,36715.0
2020-09-16,13.68,13.72,13.62,13.66,57494.0
2020-09-15,13.6,13.66,13.5663,13.66,41127.0
2020-09-14,13.52,13.55,13.44,13.54,58893.0
2020-09-11,13.5,13.52,13.4,13.51,53211.0
2020-09-10,13.42,13.47,13.39,13.43,61969.0
2020-09-09,13.3,13.41,13.26,13.3898,54955.0
2020-09-08,13.31,13.31,13.19,13.26,81483.0
2020-09-04,13.55,13.55,13.22,13.4,93827.0
2020-09-03,13.41,13.73,13.334,13.73,60610.0
2020-09-02,13.46,13.58,13.37,13.52,75915.0
2020-09-01,13.42,13.46,13.315,13.46,61585.0
2020-08-31,13.28,13.39,13.26,13.36,56439.0
