date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,5.98,6.02,5.96,5.99,140315.0
2021-03-11,6.02,6.04,6.02,6.03,168278.0
2021-03-10,5.98,6.01,5.98,6.0,198309.0
2021-03-09,5.95,5.9853,5.93,5.96,186288.0
2021-03-08,5.92,6.0,5.87,5.87,288709.0
2021-03-05,5.89,5.92,5.84,5.9,195654.0
2021-03-04,5.92,5.92,5.81,5.87,273678.0
2021-03-03,5.93,5.98,5.89,5.9,341157.0
2021-03-02,5.92,5.96,5.88,5.94,197244.0
2021-03-01,5.86,5.92,5.86,5.92,155963.0
2021-02-26,5.87,5.95,5.82,5.84,178525.0
2021-02-25,5.93,5.93,5.82,5.87,369748.0
2021-02-24,5.89,5.94,5.87,5.92,459513.0
2021-02-23,5.85,5.88,5.83,5.87,403759.0
2021-02-22,5.91,5.91,5.89,5.9,241270.0
2021-02-19,5.91,5.97,5.91,5.92,183882.0
2021-02-18,5.94,5.94,5.89,5.91,180134.0
2021-02-17,5.93,5.96,5.91,5.96,168678.0
2021-02-16,5.93,5.97,5.93,5.94,196745.0
2021-02-12,5.91,5.93,5.89,5.91,212617.0
2021-02-11,5.96,5.97,5.91,5.93,184350.0
2021-02-10,5.94,5.99,5.9,5.95,246676.0
2021-02-09,5.93,5.97,5.915,5.94,411798.0
2021-02-08,5.95,5.98,5.92,5.95,309080.0
2021-02-05,5.95,6.0,5.91,5.93,234510.0
2021-02-04,5.99,5.99,5.96,5.97,260065.0
2021-02-03,6.0,6.01,5.96,5.97,149765.0
2021-02-02,5.94,6.0,5.94,5.98,180942.0
2021-02-01,5.94,5.94,5.9,5.9,131891.0
2021-01-29,5.94,5.97,5.84,5.92,267135.0
2021-01-28,5.94,5.99,5.92,5.96,270062.0
2021-01-27,5.94,5.99,5.89,5.94,244879.0
2021-01-26,6.01,6.03,5.98,5.99,180813.0
2021-01-25,6.0,6.02,5.95,6.01,144739.0
2021-01-22,6.0,6.02,5.98,6.02,174184.0
2021-01-21,6.0,6.02,5.98,6.0,152252.0
2021-01-20,6.02,6.02,5.97,6.01,186199.0
2021-01-19,5.9,5.99,5.87,5.98,302138.0
2021-01-15,5.89,5.94,5.88,5.89,274633.0
2021-01-14,5.94,5.98,5.9,5.91,389977.0
2021-01-13,6.0,6.03,5.97,5.99,518511.0
