date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,15.58,15.8,15.58,15.7899,15537.0
2021-03-11,15.63,15.76,15.63,15.76,5582.0
2021-03-10,15.8,15.8,15.604,15.626,2615.0
2021-03-09,16.01,16.01,15.68,15.68,1361.0
2021-03-08,16.0,16.0,15.7,15.7,5411.0
2021-03-05,16.0,16.0,15.787,15.787,1881.0
2021-03-04,15.84,15.84,15.64,15.68,10381.0
2021-03-03,16.08,16.08,15.77,15.8526,16191.0
2021-03-02,16.1,16.1,16.0999,16.0999,842.0
2021-03-01,16.2,16.2,16.08,16.08,6705.0
2021-02-26,16.09,16.15,16.09,16.145,1489.0
2021-02-25,16.22,16.22,16.08,16.15,5568.0
2021-02-24,16.18,16.25,16.18,16.215,6014.0
2021-02-23,16.2,16.2,16.2,16.2,108.0
2021-02-22,16.18,16.245,16.18,16.2,515.0
2021-02-19,16.45,16.4501,16.1071,16.32,9535.0
2021-02-18,16.74,16.74,16.74,16.74,3.0
2021-02-17,16.74,16.74,16.74,16.74,186.0
2021-02-16,16.7697,16.8263,16.56,16.56,4237.0
2021-02-12,16.85,16.85,16.85,16.85,314.0
2021-02-11,16.8741,16.8741,16.81,16.81,3726.0
2021-02-10,16.92,16.92,16.9,16.9001,1182.0
2021-02-09,16.8,16.92,16.8,16.92,1318.0
2021-02-08,16.9099,16.9115,16.8,16.855,4811.0
2021-02-05,16.77,16.9,16.73,16.73,2139.0
2021-02-04,16.6393,16.64,16.6393,16.64,725.0
2021-02-03,16.8,16.8,16.6351,16.6351,2248.0
2021-02-02,16.5,16.86,16.5,16.7595,4607.0
2021-02-01,16.54,16.54,16.425,16.425,923.0
2021-01-29,16.48,16.58,16.31,16.31,6439.0
2021-01-28,16.48,16.5,16.27,16.32,1235.0
2021-01-27,16.4799,16.4799,16.46,16.46,424.0
2021-01-26,16.27,16.6,16.2699,16.5,7261.0
2021-01-25,16.22,16.22,16.08,16.209,3848.0
2021-01-22,16.02,16.02,16.02,16.02,198.0
2021-01-21,15.96,15.96,15.95,15.95,327.0
2021-01-20,15.95,15.95,15.95,15.95,407.0
2021-01-19,16.17,16.17,15.9524,15.9524,368.0
2021-01-15,15.95,16.046,15.95,16.046,548.0
2021-01-14,16.085,16.085,16.0406,16.0406,942.0
2021-01-13,15.97,16.08,15.97,16.08,2811.0
2021-01-12,15.98,15.98,15.98,15.98,107.0
2021-01-11,16.07,16.07,16.04,16.04,2010.0
2021-01-08,15.9,15.9,15.9,15.9,207.0
2021-01-07,16.13,16.13,15.875,15.9,1624.0
2021-01-06,16.03,16.22,16.01,16.22,3691.0
2021-01-05,15.96,16.0388,15.9,16.03,1550.0
2021-01-04,16.0,16.0,15.955,15.96,1822.0
2020-12-31,15.8,15.9,15.77,15.9,2557.0
2020-12-30,15.89,16.06,15.75,15.8,9529.0
2020-12-29,16.33,16.33,15.9,15.9,429.0
2020-12-28,16.31,16.31,15.93,15.93,1419.0
2020-12-24,16.24,16.24,16.16,16.16,403.0
2020-12-23,16.1,16.3,15.9,16.2407,3940.0
2020-12-22,16.1,16.11,16.1,16.11,420.0
2020-12-21,16.0,16.15,16.0,16.15,10803.0
2020-12-18,16.25,16.25,16.0427,16.0427,513.0
2020-12-17,16.1963,16.1963,16.1963,16.1963,1561.0
2020-12-16,16.1289,16.1289,16.1289,16.1289,39.0
2020-12-15,16.19,16.19,16.0,16.1289,5020.0
