date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,12.41,12.53,12.37,12.41,69243.0
2021-03-17,12.36,12.42,12.32,12.42,104992.0
2021-03-16,12.44,12.45,12.35,12.37,75210.0
2021-03-15,12.46,12.5,12.3701,12.46,104151.0
2021-03-12,12.42,12.5001,12.412,12.49,85342.0
2021-03-11,12.5,12.52,12.43,12.45,81235.0
2021-03-10,12.35,12.53,12.311,12.48,94963.0
2021-03-09,12.27,12.35,12.2301,12.27,130188.0
2021-03-08,12.12,12.35,12.1,12.24,178332.0
2021-03-05,11.95,12.08,11.87,12.08,143804.0
2021-03-04,11.99,12.1,11.74,11.89,212810.0
2021-03-03,11.94,12.08,11.9,12.03,172761.0
2021-03-02,11.95,11.98,11.89,11.94,72434.0
2021-03-01,11.74,11.98,11.74,11.93,92703.0
2021-02-26,11.72,11.78,11.59,11.65,99606.0
2021-02-25,11.92,11.95,11.69,11.71,93136.0
2021-02-24,11.76,11.94,11.76,11.9,198337.0
2021-02-23,11.75,11.81,11.65,11.81,226069.0
2021-02-22,11.68,11.8,11.68,11.75,92442.0
2021-02-19,11.72,11.8,11.72,11.73,82171.0
2021-02-18,11.7,11.75,11.64,11.71,74125.0
2021-02-17,11.7,11.8,11.68,11.75,132964.0
2021-02-16,11.56,11.75,11.56,11.71,123460.0
2021-02-12,11.45,11.6,11.45,11.6,64086.0
2021-02-11,11.56,11.58,11.47,11.51,71838.0
2021-02-10,11.6,11.6,11.49,11.54,90541.0
2021-02-09,11.46,11.57,11.46,11.54,160290.0
2021-02-08,11.49,11.495,11.43,11.46,92104.0
2021-02-05,11.39,11.48,11.35,11.38,137228.0
2021-02-04,11.25,11.38,11.23,11.35,119740.0
2021-02-03,11.25,11.25,11.15,11.23,96767.0
2021-02-02,11.16,11.26,11.14,11.22,77227.0
2021-02-01,11.05,11.12,11.01,11.09,127064.0
2021-01-29,11.13,11.14,10.93,11.01,155875.0
2021-01-28,11.05,11.17,11.0301,11.14,112719.0
2021-01-27,11.03,11.1,10.93,11.0,359398.0
2021-01-26,11.2,11.21,11.12,11.18,89050.0
2021-01-25,11.2,11.2,11.12,11.19,95550.0
2021-01-22,11.25,11.27,11.14,11.27,126537.0
2021-01-21,11.32,11.36,11.2322,11.32,162107.0
2021-01-20,11.4,11.429,11.31,11.41,152165.0
2021-01-19,11.28,11.39,11.27,11.35,124587.0
2021-01-15,11.36,11.36,11.22,11.26,406590.0
2021-01-14,11.46,11.48,11.38,11.46,72607.0
2021-01-13,11.38,11.47,11.34,11.4,173647.0
2021-01-12,11.43,11.48,11.39,11.43,94631.0
2021-01-11,11.26,11.4,11.23,11.4,103006.0
2021-01-08,11.34,11.4,11.27,11.35,109935.0
2021-01-07,11.27,11.36,11.24,11.3,254019.0
2021-01-06,11.01,11.3,11.0,11.18,221500.0
2021-01-05,10.96,11.03,10.91,11.01,219867.0
2021-01-04,11.16,11.17,10.92,10.98,202933.0
2020-12-31,11.07,11.16,11.05,11.14,104831.0
2020-12-30,11.1,11.19,11.07,11.08,191258.0
2020-12-29,11.12,11.1499,11.1,11.1,99097.0
2020-12-28,11.12,11.17,11.11,11.11,202484.0
2020-12-24,11.08,11.11,11.07,11.09,27267.0
2020-12-23,10.95,11.0999,10.95,11.06,100347.0
2020-12-22,11.1,11.1,10.97,11.01,66864.0
2020-12-21,11.05,11.1184,10.99,11.09,69888.0
2020-12-18,11.11,11.14,11.03,11.08,105004.0
2020-12-17,11.07,11.1487,11.04,11.07,80469.0
2020-12-16,11.06,11.12,11.05,11.05,92577.0
2020-12-15,11.05,11.16,11.04,11.07,73265.0
2020-12-14,11.08,11.1253,11.0,11.04,125374.0
2020-12-11,11.01,11.1,10.97,11.06,154599.0
2020-12-10,11.14,11.14,11.06,11.08,118473.0
2020-12-09,11.2,11.22,11.125,11.19,179985.0
2020-12-08,11.1,11.18,11.09,11.18,98775.0
2020-12-07,11.11,11.12,11.08,11.11,89758.0
2020-12-04,11.1,11.18,11.06,11.15,108555.0
2020-12-03,11.07,11.1,11.01,11.08,147581.0
2020-12-02,11.02,11.1,11.02,11.09,150778.0
2020-12-01,11.0,11.09,11.0,11.03,97512.0
2020-11-30,10.98,10.99,10.9,10.91,57504.0
2020-11-27,11.05,11.085,11.0099,11.01,22570.0
2020-11-25,11.1,11.1,11.0,11.02,68397.0
2020-11-24,11.0,11.127,10.99,11.06,113274.0
2020-11-23,10.83,10.9,10.83,10.89,108631.0
2020-11-20,10.87,10.8823,10.78,10.79,124594.0
2020-11-19,10.83,10.9,10.82,10.86,309197.0
2020-11-18,10.86,11.04,10.86,10.91,159333.0
2020-11-17,10.77,10.92,10.74,10.9,158217.0
2020-11-16,10.68,10.82,10.68,10.79,109136.0
2020-11-13,10.49,10.65,10.4845,10.62,97068.0
2020-11-12,10.5,10.54,10.41,10.45,153948.0
2020-11-11,10.64,10.64,10.46,10.54,215562.0
2020-11-10,10.35,10.56,10.33,10.53,292753.0
2020-11-09,10.2,10.42,10.19,10.33,406552.0
2020-11-06,9.91,9.925,9.82,9.82,250422.0
2020-11-05,9.83,9.96,9.83,9.88,228901.0
2020-11-04,9.78,9.89,9.69,9.77,236132.0
2020-11-03,9.72,9.85,9.72,9.76,101805.0
2020-11-02,9.53,9.66,9.53,9.62,120209.0
2020-10-30,9.59,9.59,9.43,9.52,256237.0
2020-10-29,9.52,9.57,9.45,9.56,193952.0
2020-10-28,9.56,9.6,9.41,9.5,339435.0
2020-10-27,9.79,9.81,9.7,9.73,101655.0
2020-10-26,9.97,9.97,9.76,9.8,172834.0
2020-10-23,10.05,10.1,9.98,10.01,100516.0
2020-10-22,9.97,10.04,9.9008,10.02,121067.0
2020-10-21,9.99,10.08,9.97,10.05,167168.0
2020-10-20,9.87,10.06,9.87,10.01,180648.0
2020-10-19,10.08,10.0946,9.9,9.9,174735.0
2020-10-16,10.03,10.12,10.03,10.06,142220.0
2020-10-15,9.93,10.04,9.93,10.03,105770.0
2020-10-14,10.04,10.1,9.99,10.0,148617.0
2020-10-13,10.18,10.22,10.04,10.04,184569.0
2020-10-12,10.21,10.3,10.18,10.18,135858.0
2020-10-09,10.27,10.3041,10.17,10.17,124318.0
2020-10-08,10.16,10.24,10.1301,10.24,63346.0
2020-10-07,10.07,10.146,10.05,10.11,139616.0
2020-10-06,10.07,10.14,10.002,10.03,88480.0
2020-10-05,10.07,10.11,10.04,10.07,94772.0
2020-10-02,9.9,10.09,9.9,9.99,116769.0
2020-10-01,10.04,10.1,9.99,10.03,187776.0
2020-09-30,9.91,10.05,9.91,10.0,167386.0
2020-09-29,10.01,10.01,9.91,9.91,106164.0
2020-09-28,9.98,10.0899,9.9601,10.02,98855.0
2020-09-25,9.82,9.92,9.79,9.92,148807.0
2020-09-24,9.88,9.96,9.81,9.87,111539.0
2020-09-23,10.06,10.08,9.8916,9.93,163827.0
2020-09-22,10.02,10.08,9.98,10.03,202100.0
2020-09-21,10.13,10.13,9.91,10.03,162556.0
2020-09-18,10.28,10.35,10.2375,10.28,90735.0
2020-09-17,10.26,10.31,10.22,10.31,178379.0
2020-09-16,10.28,10.38,10.2614,10.37,159575.0
2020-09-15,10.34,10.34,10.25,10.25,135095.0
2020-09-14,10.24,10.32,10.23,10.29,139240.0
2020-09-11,10.15,10.22,10.11,10.18,208134.0
2020-09-10,10.24,10.26,10.13,10.13,115629.0
2020-09-09,10.18,10.31,10.16,10.25,142133.0
2020-09-08,10.15,10.1726,10.03,10.12,164355.0
2020-09-04,10.25,10.2999,10.12,10.23,199152.0
2020-09-03,10.4,10.46,10.13,10.16,212396.0
2020-09-02,10.27,10.42,10.27,10.4,154424.0
2020-09-01,10.22,10.31,10.22,10.27,140621.0
2020-08-31,10.35,10.35,10.22,10.24,315959.0
2020-08-28,10.33,10.3635,10.29,10.33,251980.0
2020-08-27,10.17,10.29,10.17,10.29,125221.0
2020-08-26,10.19,10.24,10.16,10.16,444374.0
2020-08-25,10.26,10.304,10.21,10.21,92906.0
2020-08-24,10.18,10.27,10.16,10.26,155017.0
2020-08-21,10.08,10.15,10.0662,10.15,49334.0
2020-08-20,10.1,10.135,10.08,10.08,81113.0
2020-08-19,10.2,10.24,10.16,10.18,58117.0
2020-08-18,10.2,10.2198,10.15,10.2,85644.0
2020-08-17,10.25,10.25,10.18,10.21,112443.0
2020-08-14,10.25,10.285,10.13,10.25,315926.0
2020-08-13,10.4,10.4018,10.3,10.3,154006.0
2020-08-12,10.46,10.46,10.399,10.42,59232.0
2020-08-11,10.42,10.5,10.38,10.38,167508.0
2020-08-10,10.25,10.34,10.25,10.33,150348.0
2020-08-07,10.07,10.22,10.07,10.22,167336.0
2020-08-06,10.01,10.11,10.01,10.1,342116.0
