date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,17.92,17.925,17.86,17.88,122745.0
2021-03-11,18.02,18.06,17.96,18.03,105333.0
2021-03-10,18.01,18.04,17.93,17.93,136167.0
2021-03-09,17.94,18.01,17.83,17.95,103650.0
2021-03-08,17.81,17.91,17.764,17.86,139951.0
2021-03-05,17.85,17.8911,17.6,17.77,136038.0
2021-03-04,17.87,17.97,17.75,17.79,124546.0
2021-03-03,17.83,17.93,17.76,17.93,96124.0
2021-03-02,17.65,17.87,17.65,17.79,132607.0
2021-03-01,17.7,17.79,17.59,17.7,110241.0
2021-02-26,17.6,17.6699,17.43,17.57,162879.0
2021-02-25,17.68,17.76,17.43,17.46,121627.0
2021-02-24,17.5,17.72,17.49,17.64,140713.0
2021-02-23,17.68,17.68,17.38,17.6,123585.0
2021-02-22,17.67,17.75,17.54,17.71,107946.0
2021-02-19,17.81,17.81,17.62,17.67,113474.0
2021-02-18,17.74,17.81,17.68,17.75,91959.0
2021-02-17,17.82,17.91,17.74,17.78,109575.0
2021-02-16,17.86,17.89,17.66,17.86,273245.0
2021-02-12,17.75,17.86,17.715,17.75,93008.0
2021-02-11,17.87,17.88,17.8,17.86,140201.0
2021-02-10,17.8,17.87,17.75,17.85,214523.0
2021-02-09,17.79,17.83,17.71,17.75,323404.0
2021-02-08,17.65,17.74,17.6227,17.73,193733.0
2021-02-05,17.59,17.6808,17.58,17.63,130948.0
2021-02-04,17.63,17.645,17.55,17.57,238498.0
2021-02-03,17.61,17.62,17.5,17.59,82277.0
2021-02-02,17.28,17.62,17.28,17.54,176541.0
2021-02-01,17.28,17.35,17.2,17.255,102594.0
2021-01-29,17.05,17.5,17.05,17.23,113288.0
2021-01-28,16.98,17.15,16.96,17.11,76274.0
2021-01-27,16.96,17.13,16.75,17.05,141179.0
2021-01-26,17.18,17.2,17.04,17.07,148924.0
2021-01-25,17.4,17.4097,17.12,17.18,147450.0
2021-01-22,17.4,17.5,17.375,17.42,86081.0
2021-01-21,17.46,17.48,17.35,17.43,106241.0
2021-01-20,17.45,17.5,17.4346,17.46,96589.0
2021-01-19,17.3,17.44,17.295,17.42,143653.0
2021-01-15,17.29,17.3,17.19,17.21,85509.0
2021-01-14,17.23,17.31,17.23,17.27,58499.0
2021-01-13,17.16,17.25,17.16,17.21,74258.0
2021-01-12,17.28,17.37,17.1101,17.16,161450.0
2021-01-11,17.3,17.4,17.25,17.3,120432.0
2021-01-08,17.3,17.4,17.23,17.3,112317.0
2021-01-07,17.25,17.3,17.135,17.23,97835.0
2021-01-06,17.02,17.2,16.99,17.14,115532.0
2021-01-05,17.09,17.15,17.04,17.11,88613.0
2021-01-04,17.52,17.54,16.81,17.05,248171.0
2020-12-31,17.3,17.54,17.25,17.54,202946.0
2020-12-30,17.2,17.3,17.16,17.27,114466.0
2020-12-29,17.24,17.28,17.21,17.26,115026.0
2020-12-28,17.09,17.21,17.085,17.21,128288.0
2020-12-24,16.93,17.09,16.93,17.05,71848.0
2020-12-23,16.96,17.03,16.9,16.9,85830.0
2020-12-22,17.02,17.06,16.9102,16.95,108061.0
2020-12-21,16.99,17.0296,16.95,17.0,91571.0
2020-12-18,17.07,17.07,16.97,17.02,103868.0
2020-12-17,17.0,17.04,16.9601,17.02,177346.0
2020-12-16,17.08,17.11,16.96,16.99,109988.0
2020-12-15,17.03,17.15,16.98,17.11,138160.0
2020-12-14,17.07,17.09,16.99,17.01,83430.0
2020-12-11,17.18,17.21,17.07,17.14,101485.0
2020-12-10,17.16,17.21,17.1042,17.18,112905.0
2020-12-09,17.13,17.16,17.1001,17.15,117928.0
2020-12-08,17.14,17.15,17.09,17.13,79176.0
2020-12-07,17.18,17.19,17.06,17.12,185719.0
2020-12-04,17.18,17.2,17.12,17.19,90617.0
2020-12-03,17.1,17.16,17.0454,17.16,84318.0
2020-12-02,16.88,17.1,16.88,17.1,124072.0
2020-12-01,16.94,17.04,16.9,16.92,194043.0
2020-11-30,16.88,16.94,16.78,16.94,159540.0
2020-11-27,16.8,16.86,16.786,16.82,55777.0
2020-11-25,16.72,16.79,16.65,16.79,131325.0
2020-11-24,16.52,16.71,16.484,16.69,151110.0
2020-11-23,16.42,16.47,16.4,16.44,74915.0
2020-11-20,16.42,16.45,16.39,16.41,78346.0
2020-11-19,16.48,16.49,16.38,16.4,125333.0
2020-11-18,16.45,16.5,16.4238,16.48,111770.0
2020-11-17,16.39,16.45,16.387,16.45,112933.0
2020-11-16,16.34,16.43,16.3,16.41,108777.0
2020-11-13,16.33,16.39,16.23,16.34,92607.0
2020-11-12,16.61,16.61,16.42,16.44,105220.0
2020-11-11,16.51,16.56,16.46,16.56,63258.0
2020-11-10,16.37,16.52,16.37,16.45,101135.0
2020-11-09,16.3,16.38,16.22,16.34,213816.0
2020-11-06,16.2,16.24,16.09,16.18,84948.0
2020-11-05,16.06,16.23,16.0,16.17,96122.0
2020-11-04,15.77,16.0,15.77,16.0,81700.0
2020-11-03,15.8,15.83,15.72,15.77,78493.0
2020-11-02,15.75,15.85,15.73,15.75,92591.0
2020-10-30,15.69,15.714,15.6,15.65,92854.0
2020-10-29,15.61,15.72,15.6,15.65,51464.0
2020-10-28,15.78,15.79,15.6178,15.66,87576.0
2020-10-27,15.88,15.91,15.82,15.83,58879.0
2020-10-26,15.86,15.9,15.81,15.85,105470.0
2020-10-23,16.03,16.03,15.95,15.96,60634.0
2020-10-22,15.92,15.97,15.9,15.93,41944.0
2020-10-21,15.98,16.0,15.9,15.98,97000.0
2020-10-20,15.86,15.99,15.86,15.97,72793.0
2020-10-19,15.88,15.94,15.86,15.86,126497.0
2020-10-16,16.0,16.07,15.9,15.9,79294.0
2020-10-15,15.94,16.0499,15.94,16.0,65827.0
2020-10-14,16.17,16.2099,16.07,16.12,108203.0
2020-10-13,16.2,16.309,16.19,16.28,129933.0
2020-10-12,16.13,16.27,16.13,16.24,90998.0
2020-10-09,16.15,16.22,16.1,16.15,105110.0
2020-10-08,16.13,16.21,16.08,16.11,72903.0
2020-10-07,16.1,16.23,16.04,16.04,119623.0
2020-10-06,15.9,16.08,15.875,16.02,78651.0
