date,1. open,2. high,3. low,4. close,5. volume
2020-12-15,14.62,14.64,14.62,14.62,14239.0
2020-12-14,14.8,14.8,14.61,14.63,92056.0
2020-12-11,15.04,15.05,15.04,15.05,59946.0
2020-12-10,15.0427,15.05,15.02,15.03,52917.0
2020-12-09,15.04,15.05,15.04,15.04,41352.0
2020-12-08,15.06,15.06,15.04,15.04,62522.0
2020-12-07,15.07,15.07,15.04,15.05,105988.0
2020-12-04,15.07,15.07,15.06,15.06,32851.0
2020-12-03,15.07,15.07,15.06,15.06,16958.0
2020-12-02,15.06,15.08,15.06,15.06,68247.0
2020-12-01,15.07,15.073,15.06,15.06,42974.0
2020-11-30,15.06,15.07,15.06,15.06,11525.0
2020-11-27,15.06,15.07,15.05,15.05,19377.0
2020-11-25,15.05,15.0591,15.05,15.05,16672.0
2020-11-24,15.03,15.06,15.02,15.05,68054.0
2020-11-23,15.03,15.05,15.02,15.03,24329.0
2020-11-20,15.03,15.04,15.03,15.03,12193.0
2020-11-19,15.025,15.04,15.025,15.03,14704.0
2020-11-18,15.04,15.047,15.01,15.02,101879.0
2020-11-17,15.045,15.06,15.04,15.04,21063.0
2020-11-16,15.05,15.06,15.04,15.05,14686.0
2020-11-13,15.03,15.05,15.03,15.03,32555.0
2020-11-12,15.0397,15.0422,15.03,15.03,43393.0
2020-11-11,15.03,15.04,15.03,15.03,22979.0
2020-11-10,15.04,15.05,15.03,15.03,13814.0
2020-11-09,15.03,15.04,15.02,15.02,18408.0
2020-11-06,15.0301,15.04,15.03,15.03,7272.0
2020-11-05,15.0,15.04,15.0,15.02,14930.0
2020-11-04,14.99,15.01,14.99,15.0,15891.0
2020-11-03,14.99,15.0,14.99,14.99,58831.0
2020-11-02,14.99,15.0,14.99,14.99,62328.0
2020-10-30,14.96,15.02,14.96,15.0,52173.0
2020-10-29,15.0,15.007,14.99,14.99,43976.0
2020-10-28,15.0,15.01,14.99,14.99,50956.0
2020-10-27,15.0,15.01,15.0,15.0,18150.0
2020-10-26,15.0,15.01,15.0,15.0,28026.0
2020-10-23,15.0,15.0124,15.0,15.0,2765.0
2020-10-22,15.01,15.02,15.0,15.0,15470.0
2020-10-21,14.99,15.0099,14.99,15.0054,14717.0
2020-10-20,15.01,15.02,14.99,14.99,28339.0
2020-10-19,15.0,15.017,14.99,15.01,65414.0
2020-10-16,15.005,15.011,15.005,15.005,25759.0
2020-10-15,14.9949,15.01,14.99,15.005,42409.0
2020-10-14,15.0,15.005,14.99,14.99,49041.0
2020-10-13,15.01,15.0173,15.0,15.0,27867.0
2020-10-12,15.0185,15.02,15.01,15.01,11101.0
2020-10-09,15.015,15.0159,15.01,15.01,2594.0
2020-10-08,15.01,15.02,15.01,15.01,9180.0
2020-10-07,15.0373,15.0373,15.02,15.02,8065.0
2020-10-06,15.03,15.04,15.0,15.01,27543.0
2020-10-05,15.0295,15.0295,15.01,15.02,2539.0
2020-10-02,15.01,15.05,15.0,15.0101,38522.0
2020-10-01,15.0,15.0355,14.99,15.02,116598.0
2020-09-30,15.0,15.03,15.0,15.03,43433.0
2020-09-29,15.0,15.02,15.0,15.01,22506.0
2020-09-28,15.0,15.01,15.0,15.01,5681.0
2020-09-25,15.0,15.03,15.0,15.0,21139.0
2020-09-24,15.0001,15.02,15.0,15.01,28523.0
2020-09-23,14.96,15.01,14.95,15.01,68185.0
2020-09-22,14.99,14.99,14.96,14.97,40063.0
2020-09-21,14.99,15.0,14.94,14.95,59028.0
2020-09-18,15.0001,15.01,15.0,15.0,13521.0
2020-09-17,14.99,15.03,14.99,15.0245,18131.0
2020-09-16,15.0,15.005,14.99,14.995,10224.0
2020-09-15,15.0,15.01,15.0,15.0,12752.0
2020-09-14,15.03,15.03,15.0,15.01,12570.0
2020-09-11,15.02,15.03,15.02,15.02,16485.0
2020-09-10,15.01,15.05,15.01,15.02,16389.0
2020-09-09,14.99,15.0295,14.99,15.02,21748.0
2020-09-08,15.02,15.02,14.99,14.995,17747.0
2020-09-04,15.0449,15.05,15.0,15.0,36506.0
2020-09-03,15.02,15.05,15.02,15.045,23392.0
2020-09-02,15.02,15.05,15.02,15.025,14210.0
2020-09-01,15.02,15.05,15.01,15.05,11534.0
2020-08-31,15.05,15.06,15.01,15.01,119356.0
2020-08-28,15.0542,15.06,15.05,15.05,40523.0
2020-08-27,15.05,15.06,15.05,15.06,8727.0
2020-08-26,15.05,15.05,15.04,15.05,36040.0
2020-08-25,15.05,15.06,15.04,15.05,24468.0
2020-08-24,15.0501,15.055,15.02,15.05,46830.0
2020-08-21,15.05,15.055,15.05,15.055,8815.0
2020-08-20,15.05,15.06,15.05,15.055,16845.0
2020-08-19,15.05,15.0501,15.04,15.0499,64982.0
2020-08-18,15.05,15.0501,15.05,15.05,12865.0
2020-08-17,15.05,15.06,15.03,15.05,56210.0
2020-08-14,15.05,15.06,15.05,15.05,18884.0
2020-08-13,15.05,15.06,15.0401,15.05,17980.0
2020-08-12,15.05,15.055,15.0498,15.05,34360.0
2020-08-11,15.05,15.06,15.05,15.05,7825.0
2020-08-10,15.0568,15.06,15.05,15.05,23687.0
2020-08-07,15.0555,15.0555,15.05,15.05,12499.0
2020-08-06,15.05,15.06,15.05,15.05,10558.0
2020-08-05,15.05,15.06,15.05,15.0541,17915.0
2020-08-04,15.05,15.0599,15.04,15.0599,29453.0
2020-08-03,15.05,15.05,15.04,15.05,23206.0
2020-07-31,15.0401,15.045,15.04,15.04,23967.0
2020-07-30,15.0393,15.04,15.03,15.04,21278.0
2020-07-29,15.03,15.04,15.03,15.03,20964.0
2020-07-28,15.035,15.035,15.015,15.02,39433.0
2020-07-27,15.03,15.035,15.03,15.03,20471.0
2020-07-24,15.03,15.0388,15.02,15.03,37442.0
2020-07-23,15.03,15.0301,15.03,15.03,9404.0
2020-07-22,15.03,15.035,15.03,15.0308,55442.0
2020-07-21,15.02,15.04,15.02,15.03,39872.0
2020-07-20,15.02,15.03,15.02,15.03,24115.0
2020-07-17,15.02,15.03,15.02,15.03,12756.0
2020-07-16,15.02,15.03,15.02,15.03,38587.0
2020-07-15,15.01,15.02,15.01,15.01,10385.0
2020-07-14,15.02,15.02,15.01,15.01,7820.0
2020-07-13,15.02,15.03,15.02,15.02,27245.0
2020-07-10,15.02,15.03,15.01,15.02,47202.0
2020-07-09,15.02,15.03,15.02,15.02,35087.0
2020-07-08,15.02,15.03,15.02,15.02,7176.0
2020-07-07,15.0201,15.03,15.02,15.03,4665.0
2020-07-06,15.02,15.03,15.02,15.03,52650.0
2020-07-02,15.02,15.03,15.0,15.02,173518.0
2020-07-01,15.02,15.03,15.02,15.03,35997.0
2020-06-30,14.99,15.03,14.99,15.02,126366.0
2020-06-29,14.99,15.03,14.98,15.02,140828.0
2020-06-26,15.0,15.02,15.0,15.01,40114.0
2020-06-25,14.98,15.02,14.97,15.01,26268.0
2020-06-24,14.99,15.0,14.97,14.99,32147.0
2020-06-23,14.95,14.98,14.95,14.98,53711.0
2020-06-22,14.95,14.96,14.95,14.95,17472.0
2020-06-19,14.95,14.95,14.94,14.95,3684.0
2020-06-18,14.93,14.96,14.93,14.95,21159.0
2020-06-17,14.93,14.97,14.93,14.95,27343.0
2020-06-16,14.96,14.97,14.95,14.96,8203.0
2020-06-15,14.9383,14.955,14.9351,14.9501,11927.0
2020-06-12,14.95,14.97,14.93,14.94,14506.0
2020-06-11,14.95,14.96,14.94,14.95,75407.0
2020-06-10,14.96,14.96,14.95,14.96,65404.0
2020-06-09,14.95,15.0,14.94,14.98,44543.0
2020-06-08,14.92,14.95,14.92,14.95,38689.0
2020-06-05,14.92,14.94,14.91,14.93,23566.0
2020-06-04,14.92,14.93,14.91,14.93,2446.0
2020-06-03,14.9,14.95,14.9,14.93,49395.0
2020-06-02,14.9,14.91,14.89,14.91,35897.0
2020-06-01,14.86,14.91,14.86,14.9,13625.0
2020-05-29,14.9,14.91,14.88,14.9,31584.0
2020-05-28,14.89,14.91,14.87,14.87,26993.0
2020-05-27,14.88,14.9,14.87,14.89,19969.0
2020-05-26,14.87,14.89,14.87,14.87,12219.0
2020-05-22,14.89,14.89,14.87,14.89,32231.0
2020-05-21,14.88,14.89,14.86,14.88,86229.0
2020-05-20,14.86,14.88,14.85,14.88,22278.0
2020-05-19,14.85,14.88,14.85,14.86,14137.0
2020-05-18,14.85,14.89,14.84,14.87,48143.0
