date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,6.08,6.09,6.04,6.05,289011.0
2021-03-11,6.11,6.11,6.07,6.105,265476.0
2021-03-10,6.1,6.11,6.07,6.11,237073.0
2021-03-09,6.08,6.1,6.04,6.09,372873.0
2021-03-08,6.07,6.0933,6.05,6.07,280884.0
2021-03-05,6.08,6.1099,6.05,6.08,240339.0
2021-03-04,6.07,6.11,6.06,6.07,284609.0
2021-03-03,6.12,6.13,6.07,6.08,215364.0
2021-03-02,6.07,6.17,6.05,6.15,461572.0
2021-03-01,6.07,6.11,6.06,6.07,408459.0
2021-02-26,6.09,6.11,6.05,6.07,248553.0
2021-02-25,6.13,6.13,6.07,6.09,250050.0
2021-02-24,6.13,6.13,6.0841,6.12,230801.0
2021-02-23,6.12,6.12,6.08,6.11,183894.0
2021-02-22,6.14,6.1585,6.1,6.12,185567.0
2021-02-19,6.15,6.17,6.13,6.13,213550.0
2021-02-18,6.16,6.17,6.13,6.14,128837.0
2021-02-17,6.11,6.17,6.09,6.17,219854.0
2021-02-16,6.09,6.12,6.08,6.09,238679.0
2021-02-12,6.12,6.1732,6.12,6.13,178733.0
2021-02-11,6.16,6.18,6.1396,6.17,187044.0
2021-02-10,6.15,6.17,6.07,6.16,569749.0
2021-02-09,6.16,6.17,6.11,6.17,156517.0
2021-02-08,6.18,6.18,6.13,6.15,157658.0
2021-02-05,6.17,6.18,6.15,6.16,147764.0
2021-02-04,6.16,6.17,6.13,6.16,165019.0
2021-02-03,6.13,6.16,6.11,6.16,184891.0
2021-02-02,6.11,6.13,6.0902,6.1,124133.0
2021-02-01,6.17,6.17,6.09,6.12,242883.0
2021-01-29,6.13,6.17,6.1,6.17,119619.0
2021-01-28,6.13,6.14,6.1,6.13,216159.0
2021-01-27,6.12,6.13,6.1,6.13,138829.0
2021-01-26,6.13,6.13,6.09,6.12,217410.0
2021-01-25,6.11,6.13,6.1,6.13,230754.0
2021-01-22,6.11,6.115,6.09,6.1,157175.0
2021-01-21,6.13,6.14,6.07,6.08,182816.0
2021-01-20,6.11,6.17,6.06,6.12,432076.0
