date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,15.96,15.97,15.9,15.91,47447.0
2021-03-11,16.31,16.38,15.98,16.04,133412.0
2021-03-10,16.31,16.34,16.275,16.29,68935.0
2021-03-09,16.19,16.3,16.175,16.29,86619.0
2021-03-08,16.05,16.22,16.05,16.16,88358.0
2021-03-05,16.05,16.14,15.95,16.09,75396.0
2021-03-04,16.06,16.18,15.86,15.98,125157.0
2021-03-03,16.02,16.12,15.97,16.09,83094.0
2021-03-02,15.95,16.08,15.93,16.08,67672.0
2021-03-01,15.84,15.97,15.84,15.95,68305.0
2021-02-26,15.72,15.84,15.62,15.81,87702.0
2021-02-25,15.84,15.92,15.65,15.67,97564.0
2021-02-24,15.87,15.92,15.84,15.9,82220.0
2021-02-23,15.94,15.94,15.751,15.85,131083.0
2021-02-22,15.93,15.9678,15.88,15.9,90289.0
2021-02-19,16.0,16.02,15.9224,15.93,121022.0
2021-02-18,15.94,15.96,15.88,15.96,79401.0
2021-02-17,15.92,15.98,15.83,15.96,103408.0
2021-02-16,16.0,16.025,15.92,15.96,100412.0
2021-02-12,16.0,16.06,15.95,16.02,84754.0
2021-02-11,16.15,16.15,16.02,16.08,76221.0
2021-02-10,16.15,16.16,16.04,16.1,86075.0
2021-02-09,16.03,16.13,16.01,16.12,57093.0
2021-02-08,16.0,16.04,15.94,16.04,79848.0
2021-02-05,15.95,15.95,15.86,15.94,72405.0
2021-02-04,15.88,15.91,15.82,15.85,129950.0
2021-02-03,15.85,15.88,15.8,15.87,110781.0
2021-02-02,15.64,15.8,15.64,15.79,58500.0
2021-02-01,15.67,15.7498,15.55,15.59,280532.0
2021-01-29,15.64,15.69,15.579,15.66,72638.0
2021-01-28,15.74,15.82,15.65,15.66,138041.0
2021-01-27,15.79,15.83,15.66,15.71,144103.0
2021-01-26,15.86,15.92,15.82,15.82,123687.0
2021-01-25,15.97,15.97,15.85,15.88,119415.0
2021-01-22,16.22,16.22,15.96,15.98,141322.0
2021-01-21,16.25,16.25,16.14,16.21,95086.0
2021-01-20,16.13,16.24,16.13,16.19,59235.0
2021-01-19,15.99,16.17,15.99,16.15,80113.0
2021-01-15,16.14,16.19,15.97,15.97,99640.0
2021-01-14,16.05,16.12,16.03,16.11,81755.0
2021-01-13,15.9,16.05,15.9,16.05,130737.0
2021-01-12,15.86,15.96,15.859,15.95,89313.0
2021-01-11,15.82,15.89,15.7831,15.86,97116.0
2021-01-08,15.88,15.92,15.79,15.82,115984.0
2021-01-07,15.91,15.95,15.81,15.84,120600.0
2021-01-06,15.79,15.98,15.7,15.83,328675.0
2021-01-05,15.69,15.83,15.61,15.77,249151.0
2021-01-04,15.88,15.89,15.64,15.65,278410.0
2020-12-31,15.8,15.92,15.749,15.92,143642.0
2020-12-30,15.77,15.84,15.77,15.8,103511.0
2020-12-29,15.82,15.86,15.8,15.8334,108449.0
2020-12-28,15.92,15.98,15.78,15.82,149178.0
2020-12-24,15.9,15.98,15.9,15.92,54042.0
2020-12-23,15.85,15.93,15.82,15.89,79067.0
2020-12-22,15.88,15.94,15.8,15.83,114189.0
2020-12-21,15.93,15.95,15.87,15.95,128074.0
2020-12-18,15.71,16.02,15.71,15.95,273949.0
2020-12-17,15.72,15.74,15.66,15.69,72773.0
2020-12-16,15.72,15.72,15.6,15.66,80442.0
2020-12-15,15.6,15.69,15.59,15.69,96144.0
2020-12-14,15.7,15.73,15.58,15.6,82818.0
2020-12-11,15.85,15.87,15.65,15.69,115829.0
2020-12-10,15.85,15.92,15.8,15.83,78704.0
2020-12-09,15.86,15.95,15.82,15.83,111693.0
2020-12-08,15.75,15.91,15.75,15.88,66172.0
2020-12-07,15.86,15.93,15.75,15.76,115540.0
2020-12-04,15.88,15.93,15.82,15.89,113735.0
2020-12-03,15.92,15.99,15.86,15.88,81150.0
2020-12-02,15.88,15.95,15.88,15.93,122587.0
2020-12-01,15.91,15.9906,15.8,15.87,149798.0
2020-11-30,15.75,15.89,15.69,15.89,185330.0
2020-11-27,15.75,15.81,15.73,15.75,39263.0
2020-11-25,15.73,15.85,15.675,15.75,123091.0
2020-11-24,15.55,15.69,15.5499,15.69,95360.0
2020-11-23,15.41,15.51,15.4,15.51,86098.0
2020-11-20,15.37,15.42,15.315,15.39,151769.0
2020-11-19,15.27,15.37,15.24,15.36,125404.0
2020-11-18,15.18,15.29,15.18,15.27,110088.0
2020-11-17,15.08,15.22,15.0301,15.22,72067.0
2020-11-16,15.1,15.14,15.07,15.12,80613.0
2020-11-13,15.03,15.07,14.9996,15.05,85751.0
2020-11-12,15.19,15.19,15.0729,15.12,90640.0
2020-11-11,15.1,15.2,15.07,15.2,96748.0
2020-11-10,15.04,15.14,14.95,15.1,98326.0
2020-11-09,15.02,15.05,14.95,15.0,102289.0
2020-11-06,14.62,14.87,14.5769,14.82,194952.0
2020-11-05,14.46,14.65,14.46,14.62,111084.0
2020-11-04,14.29,14.52,14.29,14.4,110145.0
2020-11-03,14.39,14.49,14.16,14.24,465897.0
2020-11-02,14.3,14.41,14.3,14.35,61140.0
2020-10-30,14.36,14.3854,14.27,14.29,80213.0
2020-10-29,14.34,14.35,14.29,14.34,98847.0
2020-10-28,14.41,14.47,14.27,14.32,87483.0
2020-10-27,14.55,14.55,14.5161,14.52,56830.0
2020-10-26,14.67,14.67,14.54,14.55,99831.0
2020-10-23,14.72,14.7585,14.65,14.67,70333.0
2020-10-22,14.74,14.74,14.62,14.69,93291.0
2020-10-21,14.71,14.79,14.71,14.74,54616.0
2020-10-20,14.68,14.75,14.66,14.75,67599.0
2020-10-19,14.71,14.77,14.61,14.65,149370.0
2020-10-16,14.84,14.87,14.66,14.67,80173.0
2020-10-15,14.82,14.855,14.7703,14.825,46009.0
2020-10-14,14.9,15.0,14.9,14.92,58431.0
2020-10-13,15.05,15.0804,15.03,15.03,54748.0
2020-10-12,15.12,15.12,15.04,15.11,70789.0
2020-10-09,15.0,15.07,15.0,15.06,38887.0
2020-10-08,15.13,15.13,14.96,14.98,78664.0
