date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,26.72,27.12,26.11,27.06,159207.0
2021-03-11,27.0,27.45,26.77,27.15,225492.0
2021-03-10,26.89,27.0,26.36,26.49,264990.0
2021-03-09,26.0,26.72,26.0,26.65,401511.0
2021-03-08,26.66,26.9999,25.4,25.45,352273.0
2021-03-05,27.0,27.0,25.78,26.77,474971.0
2021-03-04,27.74,28.17,26.49,27.0,367770.0
2021-03-03,28.6,28.7,27.75,27.93,199087.0
2021-03-02,28.35,28.827,28.07,28.59,324186.0
2021-03-01,27.38,28.39,27.38,28.13,169601.0
2021-02-26,27.63,28.09,27.2,27.23,259391.0
2021-02-25,28.42,29.0,27.6,27.71,394440.0
2021-02-24,28.58,29.33,28.5,28.6,225898.0
2021-02-23,28.83,29.18,27.61,28.9801,418532.0
2021-02-22,29.4,29.8,28.9,28.94,244408.0
2021-02-19,29.46,30.0,29.4,29.81,187431.0
2021-02-18,29.38,29.6,28.86,29.16,422570.0
2021-02-17,29.75,29.99,29.41,29.6,383764.0
2021-02-16,30.9,30.9,29.8,29.81,295149.0
2021-02-12,29.99,30.68,29.99,30.68,265078.0
2021-02-11,29.9,30.55,29.861,30.22,188144.0
2021-02-10,30.08,30.27,29.65,29.92,227545.0
2021-02-09,29.44,30.25,29.43,29.88,259236.0
2021-02-08,29.26,29.71,29.11,29.51,281958.0
2021-02-05,28.7,29.03,28.36,29.0,343610.0
2021-02-04,28.83,29.25,28.57,28.6,794299.0
2021-02-03,28.83,29.0,28.6,28.72,262131.0
2021-02-02,28.23,28.87,27.99,28.73,472765.0
2021-02-01,28.69,28.8,26.88,28.0,739670.0
2021-01-29,29.48,29.55,28.54,28.89,201833.0
2021-01-28,28.92,29.64,28.59,29.32,151015.0
2021-01-27,29.91,30.14,28.9,29.32,146884.0
2021-01-26,30.3,30.5,30.04,30.04,117393.0
2021-01-25,30.69,30.75,30.2901,30.35,111279.0
2021-01-22,30.56,30.56,30.02,30.25,215419.0
2021-01-21,30.41,30.94,30.07,30.22,161993.0
2021-01-20,30.42,30.7,30.26,30.53,120419.0
2021-01-19,30.31,30.64,29.8,30.16,161103.0
2021-01-15,30.15,30.34,29.6806,29.78,118706.0
2021-01-14,29.67,30.67,29.67,30.35,165901.0
2021-01-13,30.04,30.0497,29.68,29.89,140672.0
2021-01-12,30.1,30.26,29.82,29.98,141257.0
2021-01-11,29.56,30.43,29.3962,30.14,152252.0
2021-01-08,29.9,30.4,29.76,29.94,113318.0
2021-01-07,28.82,30.25,28.82,29.9,115945.0
2021-01-06,29.08,29.58,28.33,28.86,144073.0
2021-01-05,29.46,29.46,28.9,29.25,116311.0
2021-01-04,28.65,29.76,28.2,29.26,331732.0
2020-12-31,28.7,29.52,28.5186,28.65,184285.0
2020-12-30,29.12,29.12,28.34,28.45,177319.0
2020-12-29,29.38,29.6499,28.79,28.93,176775.0
2020-12-28,30.15,30.5968,29.18,29.46,135400.0
2020-12-24,30.29,30.34,29.81,29.9,72711.0
2020-12-23,29.98,30.46,29.7205,30.15,166170.0
2020-12-22,29.59,29.9,29.25,29.81,162307.0
2020-12-21,29.0,29.521,29.0,29.3,136387.0
2020-12-18,29.79,30.0,29.27,29.5,154290.0
2020-12-17,29.45,29.63,29.04,29.49,146227.0
2020-12-16,29.92,29.96,29.36,29.45,147691.0
2020-12-15,29.36,29.76,29.07,29.76,176616.0
2020-12-14,30.0,30.0,29.12,29.27,128098.0
2020-12-11,29.75,29.79,29.42,29.52,161718.0
2020-12-10,29.5,29.8,29.01,29.75,171479.0
2020-12-09,28.75,30.96,28.5976,29.65,315495.0
2020-12-08,28.44,28.75,28.2514,28.67,116698.0
2020-12-07,28.23,28.75,28.21,28.25,180848.0
2020-12-04,28.18,28.6,28.16,28.3,184848.0
2020-12-03,28.81,28.96,28.2,28.26,195491.0
2020-12-02,28.2,29.18,27.9101,28.97,221513.0
2020-12-01,27.33,28.2,27.17,28.15,110895.0
2020-11-30,27.81,27.81,27.0,27.35,160240.0
2020-11-27,27.09,27.45,26.91,27.45,46219.0
2020-11-25,26.89,27.0,26.7113,26.8999,112970.0
2020-11-24,26.81,27.0,26.4,26.72,155956.0
2020-11-23,25.98,26.76,25.9306,26.4025,200499.0
2020-11-20,25.97,26.02,25.6301,25.93,143260.0
2020-11-19,26.05,26.05,25.4,26.0,155136.0
2020-11-18,27.06,27.09,25.89,25.99,207896.0
2020-11-17,26.87,26.97,26.4,26.88,175884.0
2020-11-16,26.69,26.74,26.28,26.74,144578.0
2020-11-13,25.96,26.31,25.9,26.2,200029.0
2020-11-12,25.98,26.01,25.61,25.77,150372.0
2020-11-11,25.58,26.49,25.5495,25.9,298358.0
2020-11-10,25.3,25.45,25.03,25.4,124966.0
2020-11-09,26.56,26.89,25.29,25.37,191788.0
2020-11-06,25.42,25.9,25.34,25.72,186748.0
2020-11-05,25.6,26.11,25.51,25.55,254318.0
2020-11-04,24.47,25.655,24.47,25.14,277654.0
2020-11-03,23.88,24.25,23.85,24.24,101263.0
2020-11-02,23.67,23.77,23.29,23.72,193274.0
2020-10-30,23.8,23.8,23.29,23.38,169921.0
2020-10-29,23.89,23.89,23.4601,23.7,142331.0
2020-10-28,23.77,23.9,23.03,23.89,302758.0
2020-10-27,24.15,24.19,23.92,24.06,128096.0
2020-10-26,24.45,24.45,23.73,24.08,214412.0
2020-10-23,24.89,24.89,24.2833,24.41,133903.0
2020-10-22,24.46,24.83,24.46,24.59,215651.0
2020-10-21,24.68,24.81,24.33,24.45,127669.0
2020-10-20,24.54,24.69,24.32,24.68,171390.0
2020-10-19,24.95,25.13,24.47,24.5,85990.0
2020-10-16,25.08,25.3,24.76,24.79,243215.0
2020-10-15,25.3,25.3,24.83,24.89,148147.0
2020-10-14,25.31,25.93,24.97,25.26,139581.0
2020-10-13,25.2,25.64,25.1,25.64,134552.0
2020-10-12,25.12,25.2479,24.9201,25.05,129703.0
2020-10-09,25.39,25.5,24.77,24.81,191142.0
2020-10-08,25.3,25.45,24.9,24.9,173126.0
2020-10-07,25.31,25.49,25.01,25.27,141674.0
2020-10-06,24.98,25.43,24.73,24.95,238228.0
2020-10-05,23.99,24.95,23.99,24.95,185387.0
2020-10-02,23.78,24.25,23.5813,24.22,230661.0
2020-10-01,24.0,24.38,23.47,23.84,257218.0
2020-09-30,23.73,23.96,23.41,23.85,142519.0
2020-09-29,22.99,23.58,22.8101,23.49,234820.0
2020-09-28,23.0,23.16,22.8,22.81,211707.0
2020-09-25,22.35,22.83,22.3404,22.69,203131.0
2020-09-24,22.35,22.4669,22.0,22.42,282829.0
2020-09-23,22.95,23.04,22.21,22.28,345759.0
2020-09-22,23.32,23.36,22.77,22.95,206275.0
2020-09-21,23.3,23.3,22.74,23.05,204299.0
2020-09-18,23.6,23.92,23.39,23.42,151447.0
2020-09-17,23.23,23.6,23.23,23.54,126074.0
2020-09-16,23.75,23.856,23.29,23.63,160581.0
2020-09-15,23.9,24.0,23.67,23.76,185832.0
2020-09-14,23.15,23.89,23.15,23.71,178833.0
2020-09-11,23.4,23.525,23.2,23.37,133274.0
2020-09-10,22.99,23.37,22.9,23.19,218451.0
2020-09-09,22.49,22.94,22.35,22.81,163862.0
2020-09-08,22.17,22.45,21.96,22.26,237481.0
2020-09-04,23.96,23.96,21.75,22.7,509166.0
2020-09-03,24.36,24.57,23.16,23.24,233646.0
2020-09-02,24.73,24.89,24.25,24.5,221667.0
2020-09-01,24.33,24.73,24.15,24.73,219785.0
2020-08-31,24.3,24.34,24.01,24.33,202851.0
2020-08-28,24.1,24.18,23.96,24.18,138231.0
2020-08-27,24.3,24.3,23.91,24.04,182035.0
2020-08-26,24.0,24.2,23.88,24.2,232715.0
2020-08-25,23.95,24.05,23.65,24.05,217926.0
2020-08-24,23.99,23.9987,23.66,23.77,123317.0
2020-08-21,23.72,23.85,23.6,23.6,149278.0
2020-08-20,23.73,23.9837,23.6201,23.84,133200.0
2020-08-19,23.66,23.92,23.55,23.675,132899.0
2020-08-18,23.64,23.71,23.43,23.63,168927.0
