date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,12.7,13.0,12.7,12.89,265446.0
2021-03-11,12.9,12.985,12.75,12.83,423341.0
2021-03-10,12.4,12.8,12.35,12.76,322681.0
2021-03-09,12.26,12.53,12.11,12.43,341591.0
2021-03-08,12.42,12.42,12.1,12.35,402208.0
2021-03-05,12.35,12.36,11.91,12.26,443840.0
2021-03-04,12.08,12.46,11.99,12.05,508530.0
2021-03-03,11.62,12.28,11.62,12.07,623860.0
2021-03-02,11.77,11.85,11.5,11.58,1353649.0
2021-03-01,11.51,11.85,11.51,11.7,615111.0
2021-02-26,11.81,11.9,11.01,11.41,1274373.0
2021-02-25,12.38,12.51,11.73,11.76,754618.0
2021-02-24,12.2,12.64,11.97,12.0,796886.0
2021-02-23,12.14,12.31,11.7682,12.14,346884.0
2021-02-22,12.33,12.62,11.85,11.93,600991.0
2021-02-19,12.28,12.41,12.1222,12.24,361381.0
2021-02-18,12.47,12.6,11.91,12.04,320859.0
2021-02-17,12.61,12.71,12.34,12.56,210972.0
2021-02-16,12.41,12.65,12.34,12.57,474777.0
2021-02-12,12.12,12.35,12.08,12.32,248786.0
2021-02-11,12.12,12.23,11.91,12.11,221601.0
2021-02-10,12.08,12.12,11.85,12.06,166447.0
2021-02-09,11.88,12.03,11.77,12.03,245755.0
2021-02-08,11.85,11.923,11.75,11.86,238896.0
2021-02-05,11.82,11.91,11.66,11.85,220311.0
2021-02-04,11.59,11.83,11.55,11.8,321179.0
2021-02-03,11.54,11.87,11.53,11.64,241878.0
2021-02-02,11.45,11.88,11.375,11.56,268609.0
2021-02-01,11.76,11.7619,11.19,11.35,598960.0
2021-01-29,11.8,12.09,11.51,11.66,390707.0
2021-01-28,12.0,12.13,11.6,11.83,823835.0
2021-01-27,12.5,12.62,11.98,12.07,633068.0
2021-01-26,13.0,13.12,12.79,12.96,1207006.0
2021-01-25,12.58,12.89,12.38,12.88,615251.0
2021-01-22,12.2,12.53,12.03,12.52,480381.0
2021-01-21,12.59,12.61,12.05,12.2,363041.0
2021-01-20,12.86,12.86,12.43,12.45,582253.0
2021-01-19,13.0,13.08,12.6368,12.89,550572.0
2021-01-15,12.97,13.05,12.59,12.95,453287.0
2021-01-14,12.95,13.09,12.7806,13.03,544020.0
2021-01-13,12.95,13.1199,12.77,12.85,423808.0
2021-01-12,12.3,12.92,12.3,12.89,713883.0
2021-01-11,11.99,12.465,11.8801,12.27,404577.0
2021-01-08,12.07,12.15,11.67,12.06,530006.0
2021-01-07,11.78,12.12,11.7301,11.98,499018.0
2021-01-06,11.22,12.033,10.97,11.71,1189752.0
2021-01-05,10.56,11.08,10.56,10.89,327999.0
2021-01-04,10.71,10.97,10.54,10.55,269702.0
2020-12-31,10.32,10.63,10.25,10.6,226183.0
2020-12-30,10.59,10.6576,10.42,10.51,195720.0
2020-12-29,10.5,10.64,10.43,10.51,493052.0
2020-12-28,10.66,10.7,10.4,10.49,271225.0
2020-12-24,10.69,10.81,10.55,10.61,97672.0
2020-12-23,10.65,10.789,10.5,10.58,181146.0
2020-12-22,10.67,10.75,10.5,10.67,192915.0
2020-12-21,10.9,10.95,10.51,10.69,287029.0
2020-12-18,10.8,11.03,10.69,10.85,462316.0
2020-12-17,10.72,10.82,10.58,10.71,201056.0
2020-12-16,10.6,10.8075,10.481,10.72,405607.0
2020-12-15,10.74,10.8,10.51,10.65,442080.0
2020-12-14,11.21,11.21,10.37,10.67,704038.0
2020-12-11,10.98,11.05,10.85,10.99,275607.0
2020-12-10,10.8,11.1,10.8,10.99,339065.0
2020-12-09,11.0,11.1,10.43,10.75,1117071.0
2020-12-08,11.18,11.348,10.91,10.95,631719.0
2020-12-07,11.7,11.73,11.16,11.18,357596.0
2020-12-04,11.6,11.87,11.51,11.69,502418.0
2020-12-03,11.29,11.57,11.22,11.51,197516.0
2020-12-02,11.24,11.44,11.2,11.29,293750.0
2020-12-01,11.47,11.47,11.13,11.21,294194.0
2020-11-30,11.39,11.5113,11.24,11.34,404383.0
2020-11-27,11.54,11.55,11.36,11.4,214675.0
2020-11-25,11.44,11.5,11.22,11.4,392633.0
2020-11-24,11.48,11.5426,11.29,11.44,362190.0
2020-11-23,11.08,11.39,11.08,11.27,248892.0
2020-11-20,10.92,11.04,10.82,10.91,297027.0
2020-11-19,11.0,11.1,10.83,10.94,578795.0
2020-11-18,11.14,11.33,10.9,11.01,446340.0
2020-11-17,10.98,11.075,10.83,10.97,325206.0
2020-11-16,10.9,11.16,10.86,10.99,327407.0
2020-11-13,10.51,10.94,10.36,10.68,213410.0
2020-11-12,10.6,10.77,10.4,10.51,137799.0
2020-11-11,10.68,10.8229,10.44,10.62,190709.0
2020-11-10,10.62,10.86,10.27,10.58,191292.0
2020-11-09,10.0,10.635,9.795,10.49,500490.0
2020-11-06,9.86,9.91,9.515,9.54,255141.0
2020-11-05,9.79,9.92,9.55,9.76,230328.0
2020-11-04,9.75,10.05,9.7,9.78,193006.0
2020-11-03,9.74,9.88,9.6161,9.75,132986.0
2020-11-02,9.7,9.8094,9.5,9.62,194199.0
2020-10-30,9.6,9.71,9.4801,9.7,236899.0
2020-10-29,9.46,9.8,9.4338,9.7,205706.0
2020-10-28,9.46,9.69,9.35,9.52,307605.0
2020-10-27,10.07,10.12,9.88,10.05,232915.0
2020-10-26,10.0,10.17,9.8,10.04,187468.0
2020-10-23,10.1,10.25,9.95,10.04,109772.0
2020-10-22,9.75,10.13,9.75,10.0,194410.0
2020-10-21,9.75,9.93,9.71,9.71,121877.0
2020-10-20,9.94,10.09,9.71,9.83,195287.0
2020-10-19,10.18,10.49,9.85,9.86,249520.0
2020-10-16,10.29,10.5,10.0,10.0,424894.0
2020-10-15,10.12,10.4,10.02,10.32,249338.0
2020-10-14,9.9,10.4,9.9,10.09,231189.0
2020-10-13,9.9,10.06,9.8,9.96,175170.0
2020-10-12,10.0,10.15,9.92,9.94,88331.0
2020-10-09,9.99,10.25,9.86,10.06,273376.0
2020-10-08,9.66,9.9684,9.6,9.88,192456.0
2020-10-07,9.78,9.85,9.55,9.61,133226.0
2020-10-06,10.2,10.2,9.56,9.67,161682.0
2020-10-05,9.98,10.18,9.77,10.09,110359.0
2020-10-02,9.73,9.87,9.62,9.84,180004.0
2020-10-01,9.91,10.1,9.59,9.9,171100.0
2020-09-30,10.09,10.26,9.91,9.91,281710.0
2020-09-29,9.58,10.19,9.555,10.03,205835.0
2020-09-28,9.53,9.75,9.32,9.67,223725.0
2020-09-25,9.39,9.6103,9.3,9.5,454588.0
2020-09-24,9.88,9.97,9.45,9.51,437071.0
2020-09-23,10.28,10.365,9.87,9.87,226786.0
2020-09-22,10.14,10.23,9.96,10.14,189586.0
2020-09-21,10.25,10.25,9.43,10.05,267341.0
2020-09-18,10.81,10.81,10.255,10.29,231132.0
2020-09-17,10.79,11.06,10.6,10.79,198172.0
2020-09-16,10.65,11.0,10.61,10.81,68533.0
2020-09-15,10.84,10.85,10.56,10.56,148842.0
2020-09-14,10.91,10.91,10.7,10.76,96286.0
2020-09-11,11.02,11.22,10.66,10.85,150867.0
2020-09-10,10.92,11.25,10.87,11.03,122031.0
2020-09-09,10.9,11.13,10.81,10.95,277037.0
2020-09-08,10.69,10.96,10.39,10.93,265015.0
2020-09-04,11.05,11.2,10.71,10.94,170805.0
2020-09-03,11.4,11.45,10.89,10.99,342375.0
2020-09-02,11.7,11.83,11.32,11.49,481757.0
2020-09-01,11.79,11.91,11.53,11.71,308823.0
2020-08-31,11.8,12.19,11.55,11.79,999696.0
2020-08-28,11.17,11.82,11.16,11.7,286330.0
2020-08-27,11.11,11.4167,10.88,11.21,374535.0
2020-08-26,11.0,11.17,10.69,10.83,338020.0
2020-08-25,11.21,11.2968,10.7,11.12,533359.0
2020-08-24,11.79,11.79,11.12,11.24,310823.0
2020-08-21,11.77,11.77,11.1,11.58,172027.0
2020-08-20,11.88,12.19,11.73,11.76,261401.0
2020-08-19,11.41,11.97,11.38,11.92,161835.0
2020-08-18,11.57,11.71,11.32,11.43,129389.0
2020-08-17,11.7,11.7,11.4,11.46,67049.0
2020-08-14,11.57,11.81,11.51,11.7,104973.0
2020-08-13,11.93,12.05,11.54,11.58,283101.0
2020-08-12,11.78,11.97,11.71,11.81,197863.0
2020-08-11,11.8,11.85,11.57,11.67,163936.0
2020-08-10,11.08,11.65,11.08,11.63,125916.0
2020-08-07,11.28,11.3,10.94,11.05,91161.0
2020-08-06,10.76,11.47,10.68,11.43,289679.0
2020-08-05,10.57,10.9,10.55,10.63,94414.0
2020-08-04,10.65,10.7458,10.2,10.49,196887.0
2020-08-03,10.93,11.15,10.51,10.63,160954.0
2020-07-31,10.82,10.99,10.67,10.9,93595.0
2020-07-30,10.9,11.0,10.66,10.97,99303.0
2020-07-29,11.15,11.15,10.83,11.1,122811.0
2020-07-28,11.19,11.45,11.14,11.33,249050.0
2020-07-27,10.88,11.22,10.8,11.15,166387.0
2020-07-24,11.01,11.085,10.81,10.88,129352.0
2020-07-23,11.12,11.24,10.91,11.04,121913.0
2020-07-22,11.31,11.3899,11.08,11.16,114469.0
2020-07-21,10.99,11.395,10.97,11.29,150058.0
2020-07-20,10.93,11.121,10.785,10.89,135870.0
2020-07-17,11.29,11.415,10.84,10.9,146799.0
2020-07-16,11.17,11.4,11.03,11.29,94686.0
2020-07-15,10.69,11.26,10.52,11.24,162715.0
2020-07-14,10.26,10.6,10.22,10.48,105136.0
2020-07-13,10.57,10.61,9.92,10.29,235763.0
2020-07-10,10.44,10.59,10.2,10.48,143583.0
2020-07-09,10.74,10.858,10.38,10.42,289057.0
2020-07-08,11.11,11.17,10.581,10.8,282657.0
2020-07-07,11.07,11.4,10.9,11.14,145334.0
2020-07-06,11.64,11.73,10.93,10.97,184750.0
2020-07-02,11.87,11.87,11.35,11.44,67389.0
2020-07-01,11.51,11.7,11.41,11.67,56621.0
2020-06-30,11.51,11.51,11.14,11.47,223372.0
2020-06-29,11.42,11.66,11.18,11.48,98361.0
2020-06-26,11.41,11.505,11.12,11.29,287474.0
2020-06-25,11.66,11.97,11.41,11.54,147802.0
2020-06-24,11.88,11.94,11.53,11.73,296345.0
2020-06-23,11.93,12.14,11.72,11.97,473828.0
2020-06-22,11.96,12.02,11.78,11.89,76681.0
2020-06-19,12.5,12.56,12.06,12.07,205022.0
2020-06-18,11.86,12.28,11.86,12.27,170242.0
2020-06-17,11.87,12.23,11.655,11.95,237399.0
2020-06-16,12.4,12.4,11.85,11.86,290839.0
2020-06-15,11.25,12.17,11.1,11.96,199166.0
2020-06-12,11.9,12.23,11.29,11.51,199511.0
2020-06-11,11.75,11.84,11.15,11.41,303817.0
2020-06-10,12.19,12.43,11.95,12.22,167386.0
2020-06-09,12.87,13.01,12.14,12.25,289797.0
2020-06-08,13.43,13.5,12.835,12.96,422298.0
2020-06-05,13.47,13.62,12.97,13.2,342974.0
2020-06-04,12.92,13.23,12.88,13.07,227987.0
2020-06-03,13.03,13.17,12.79,13.03,143773.0
2020-06-02,12.94,13.2,12.76,12.79,297385.0
2020-06-01,12.47,12.97,12.36,12.76,173398.0
2020-05-29,12.84,12.84,11.95,12.51,497064.0
2020-05-28,12.66,12.9,12.275,12.84,390938.0
2020-05-27,12.85,12.85,12.44,12.64,251307.0
2020-05-26,12.86,12.86,12.32,12.73,170675.0
2020-05-22,12.04,12.43,11.95,12.36,127004.0
2020-05-21,12.07,12.46,11.95,12.09,181875.0
2020-05-20,12.26,12.818,12.06,12.15,406902.0
2020-05-19,11.87,12.49,11.69,12.19,217513.0
2020-05-18,11.89,12.1,11.69,11.76,211822.0
2020-05-15,10.83,11.53,10.83,11.52,218438.0
2020-05-14,11.04,11.24,10.61,10.94,322164.0
2020-05-13,11.41,11.41,10.84,11.08,145445.0
2020-05-12,11.55,11.87,11.35,11.42,158535.0
2020-05-11,12.02,12.02,11.22,11.35,238160.0
2020-05-08,10.97,11.88,10.91,11.85,372280.0
2020-05-07,11.25,11.3,10.69,10.87,215780.0
2020-05-06,11.27,11.406,10.9,11.14,168888.0
2020-05-05,12.03,12.12,11.15,11.27,219513.0
2020-05-04,10.87,11.85,10.65,11.7,487074.0
2020-05-01,11.3,11.46,10.825,11.0,267800.0
2020-04-30,12.14,12.71,11.31,11.44,683563.0
2020-04-29,11.95,12.48,11.536,12.39,585227.0
2020-04-28,11.83,12.275,11.76,11.96,548364.0
2020-04-27,11.49,11.74,10.85,11.71,599012.0
2020-04-24,11.45,11.62,11.02,11.44,663686.0
2020-04-23,11.15,11.38,10.9,11.36,348335.0
2020-04-22,10.85,11.08,10.55,10.86,275354.0
2020-04-21,10.7,10.87,10.32,10.59,387102.0
2020-04-20,10.91,11.09,10.44,10.86,501946.0
2020-04-17,10.64,11.0,10.27,10.99,859715.0
2020-04-16,9.55,10.69,9.55,10.24,529638.0
2020-04-15,9.76,9.78,9.25,9.38,1164457.0
2020-04-14,9.77,10.12,9.52,9.97,356056.0
2020-04-13,9.78,10.135,9.36,9.65,274718.0
2020-04-09,9.33,9.86,9.17,9.35,391391.0
2020-04-08,9.12,9.505,8.65,9.15,411848.0
2020-04-07,9.34,9.583,8.66,9.2,314089.0
2020-04-06,8.93,9.28,8.61,9.0,171922.0
2020-04-03,9.63,9.694,8.36,8.84,312321.0
2020-04-02,9.11,9.88,9.019,9.52,483742.0
2020-04-01,9.13,9.18,8.59,8.96,387272.0
2020-03-31,8.34,9.4,8.21,9.31,1264036.0
2020-03-30,8.64,8.74,7.97,8.25,801430.0
2020-03-27,8.79,8.79,8.27,8.58,524984.0
2020-03-26,8.92,9.25,8.6,9.02,387875.0
2020-03-25,8.15,9.08,8.0,8.92,566662.0
2020-03-24,8.3,8.47,7.84,8.1,687314.0
2020-03-23,8.42,8.79,6.9,7.87,913364.0
2020-03-20,7.63,9.5,7.62,8.31,1255551.0
2020-03-19,7.32,8.13,6.51,7.45,2462897.0
2020-03-18,7.43,7.49,6.41,6.89,1872808.0
2020-03-17,8.29,8.45,7.42,7.89,624342.0
2020-03-16,8.28,8.94,8.0,8.26,627580.0
2020-03-13,8.47,9.59,7.98,9.29,379982.0
2020-03-12,8.1,8.46,7.86,7.99,648051.0
2020-03-11,9.01,9.19,8.66,8.93,1029651.0
2020-03-10,8.86,9.54,8.03,9.34,985040.0
2020-03-09,9.88,9.95,8.15,8.15,600855.0
2020-03-06,12.28,12.28,10.92,10.92,580685.0
2020-03-05,12.59,12.59,12.3,12.45,228209.0
2020-03-04,13.05,13.07,12.42,12.59,359311.0
2020-03-03,13.07,13.14,12.52,12.87,326324.0
2020-03-02,13.39,13.49,12.82,13.06,480298.0
2020-02-28,12.46,13.32,12.17,13.32,663806.0
2020-02-27,12.68,13.19,12.26,12.75,726334.0
2020-02-26,13.6,13.779,12.66,12.66,680857.0
2020-02-25,14.01,14.115,13.6,13.6,440693.0
2020-02-24,14.01,14.15,13.82,14.03,285722.0
2020-02-21,14.41,14.41,14.017,14.19,251146.0
2020-02-20,14.26,14.45,14.235,14.41,236959.0
2020-02-19,14.34,14.455,14.15,14.15,333353.0
2020-02-18,14.25,14.318,14.15,14.23,378967.0
2020-02-14,14.22,14.276,14.06,14.18,169373.0
2020-02-13,14.28,14.45,14.05,14.2,234934.0
2020-02-12,14.09,14.335,13.97,14.28,383365.0
2020-02-11,14.0,14.27,13.97,14.05,250642.0
2020-02-10,14.2,14.23,13.95,13.96,254525.0
2020-02-07,14.33,14.38,14.2,14.23,187282.0
2020-02-06,14.52,14.52,14.31,14.39,178413.0
2020-02-05,14.56,14.69,14.41,14.58,302921.0
2020-02-04,14.44,14.65,14.31,14.47,230622.0
2020-02-03,14.48,14.56,14.28,14.39,258819.0
2020-01-31,14.53,14.72,14.37,14.43,337599.0
2020-01-30,14.66,14.76,14.54,14.63,277899.0
2020-01-29,14.75,14.935,14.65,14.75,399709.0
2020-01-28,15.17,15.365,15.05,15.25,354834.0
2020-01-27,15.18,15.75,15.01,15.1,312677.0
2020-01-24,15.55,15.65,15.25,15.29,300951.0
2020-01-23,15.9,15.963,15.5,15.53,330355.0
2020-01-22,16.38,16.38,15.91,15.96,221758.0
2020-01-21,16.72,16.74,16.35,16.37,264117.0
2020-01-17,16.85,17.0,16.81,16.87,126993.0
2020-01-16,16.74,16.98,16.66,16.93,177180.0
2020-01-15,16.85,17.08,16.67,16.69,209532.0
2020-01-14,16.67,17.0,16.54,16.85,328557.0
2020-01-13,16.5,16.75,16.44,16.67,304085.0
2020-01-10,16.41,16.62,16.32,16.5,343596.0
2020-01-09,16.44,16.57,16.15,16.4,518859.0
2020-01-08,16.46,16.6,16.32,16.45,366024.0
2020-01-07,16.2,16.54,16.09,16.46,216545.0
2020-01-06,16.22,16.32,16.12,16.2,282063.0
2020-01-03,15.92,16.25,15.83,16.22,196880.0
2020-01-02,15.75,15.96,15.52,15.93,190648.0
2019-12-31,15.75,15.81,15.53,15.61,169279.0
2019-12-30,15.7,15.86,15.63,15.76,172447.0
2019-12-27,16.01,16.01,15.55,15.69,144067.0
2019-12-26,15.58,15.91,15.52,15.9,119222.0
2019-12-24,15.5,15.62,15.35,15.59,49668.0
2019-12-23,15.3,15.513,15.27,15.48,223437.0
