date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,22.25,22.25,22.02,22.22,77174.0
2021-03-17,21.48,22.01,21.45,21.73,68381.0
2021-03-16,21.88,22.0,21.3,21.52,46272.0
2021-03-15,21.74,21.75,20.9501,21.56,80221.0
2021-03-12,21.25,21.72,21.24,21.5,15596.0
2021-03-11,21.0,21.25,20.9701,21.25,17540.0
2021-03-10,20.65,21.25,20.6,21.23,28943.0
2021-03-09,21.0,21.25,20.62,20.83,19439.0
2021-03-08,20.39,21.01,20.05,21.0,21750.0
2021-03-05,20.17,20.25,19.8,19.82,14401.0
2021-03-04,20.4,20.4,20.0,20.01,16518.0
2021-03-03,19.91,20.7,19.88,20.45,31221.0
2021-03-02,20.26,20.26,19.53,20.0,14729.0
2021-03-01,20.0711,20.4,20.05,20.4,33841.0
2021-02-26,19.779,20.495,19.72,19.97,23425.0
2021-02-25,20.275,20.275,19.85,19.95,31832.0
2021-02-24,19.9,20.1,19.5,19.95,40204.0
2021-02-23,19.8,20.0,19.8,19.9,21962.0
2021-02-22,19.85,20.115,19.66,19.8,37159.0
2021-02-19,19.41,20.24,19.41,20.02,23578.0
2021-02-18,20.26,20.26,19.11,19.7,15476.0
2021-02-17,19.56,20.5,19.56,19.75,22970.0
2021-02-16,20.5,20.5,19.44,19.9,29519.0
2021-02-12,20.157,20.5,20.0,20.29,22419.0
2021-02-11,22.25,22.68,20.04,20.13,49112.0
2021-02-10,19.93,24.33,19.6,21.24,176312.0
2021-02-09,19.69,19.85,19.51,19.82,24917.0
2021-02-08,19.35,19.65,19.3,19.63,37158.0
2021-02-05,19.6,19.65,19.1,19.35,9691.0
2021-02-04,19.15,19.24,19.005,19.23,19462.0
2021-02-03,19.16,19.16,19.0,19.05,35555.0
2021-02-02,19.04,19.35,18.85,19.05,17882.0
2021-02-01,18.99,19.74,18.99,19.46,7352.0
2021-01-29,18.6,18.83,18.6,18.83,2113.0
2021-01-28,18.6,18.9999,18.0,18.6,1658.0
2021-01-27,18.56,19.19,18.56,18.6,1560.0
2021-01-26,19.25,19.425,18.71,18.71,4843.0
2021-01-25,19.15,19.86,19.15,19.21,6301.0
2021-01-22,19.0,19.95,19.0,19.5,10675.0
2021-01-21,19.5,20.0,19.5,19.8,12602.0
2021-01-20,19.75,19.75,19.0,19.61,8933.0
2021-01-19,19.19,19.4,19.0,19.4,15993.0
2021-01-15,18.88,18.9,18.74,18.74,1034.0
2021-01-14,18.9,19.0,18.85,18.9,4469.0
2021-01-13,18.75,19.0,18.7094,19.0,4420.0
2021-01-12,17.75,18.75,17.75,18.75,6266.0
2021-01-11,18.25,18.34,18.2,18.2,658.0
2021-01-08,18.16,18.35,18.0,18.3,5324.0
2021-01-07,17.65,18.26,17.65,18.15,9885.0
2021-01-06,17.8503,18.2,17.63,17.63,2114.0
2021-01-05,18.05,18.09,17.94,17.94,808.0
2021-01-04,18.0,18.04,17.85,17.85,8290.0
2020-12-31,17.905,18.19,17.81,17.81,1215.0
2020-12-30,17.72,18.1,17.72,18.0,496.0
2020-12-29,17.9999,18.1,17.75,17.75,7939.0
2020-12-28,18.25,18.25,17.85,18.1,5594.0
2020-12-24,17.731,18.15,17.731,17.91,2865.0
2020-12-23,17.87,18.02,17.68,17.88,1975.0
2020-12-22,17.85,18.02,17.69,18.02,1355.0
2020-12-21,17.25,18.08,17.25,18.08,2781.0
2020-12-18,18.03,18.04,17.14,17.14,1327.0
2020-12-17,17.7,18.04,17.55,18.04,4574.0
2020-12-16,18.2,18.2,17.5,17.5,2978.0
2020-12-15,18.0,18.0,17.35,17.9,53375.0
2020-12-14,17.75,18.08,17.335,17.7,5675.0
2020-12-11,16.11,17.57,16.11,17.215,77211.0
2020-12-10,16.006,16.41,15.94,16.41,4857.0
2020-12-09,16.2,16.2699,16.075,16.075,419.0
2020-12-08,16.2412,16.2412,16.115,16.115,2169.0
2020-12-07,16.9254,16.9254,16.04,16.075,2962.0
2020-12-04,16.04,16.3004,15.91,15.91,1518.0
2020-12-03,15.75,15.85,15.71,15.85,3584.0
2020-12-02,15.62,15.62,15.25,15.25,1417.0
2020-12-01,14.99,15.29,14.99,15.21,1930.0
2020-11-30,15.0,15.0,14.81,14.81,774.0
2020-11-27,15.2741,15.2741,15.2741,15.2741,262.0
2020-11-25,15.0,15.36,15.0,15.36,1236.0
2020-11-24,15.15,15.385,15.15,15.15,2782.0
2020-11-23,14.71,15.72,14.66,15.0,10422.0
2020-11-20,14.81,15.09,14.65,14.65,1150.0
2020-11-19,14.64,15.14,14.62,14.65,3843.0
2020-11-18,14.6461,15.12,14.5701,14.5701,3520.0
2020-11-17,14.62,15.28,14.62,14.9,4137.0
2020-11-16,14.39,15.15,14.39,14.54,2266.0
2020-11-13,14.35,14.8,14.34,14.365,2034.0
2020-11-12,14.465,15.2,14.465,15.2,2453.0
2020-11-11,14.19,14.62,14.17,14.52,996.0
2020-11-10,14.5,15.409,14.32,14.55,3075.0
2020-11-09,14.14,14.4,14.0,14.21,3528.0
2020-11-06,14.14,14.39,14.0,14.3,3087.0
2020-11-05,14.41,14.41,13.98,14.015,4758.0
2020-11-04,14.17,14.335,14.17,14.1701,1583.0
2020-11-03,14.32,14.4,13.95,14.1695,4872.0
2020-11-02,14.0,14.2,13.77,14.09,8402.0
2020-10-30,13.63,13.63,13.61,13.61,1319.0
2020-10-29,13.61,13.61,13.61,13.61,275.0
2020-10-28,13.85,13.85,13.61,13.61,1651.0
2020-10-27,14.09,14.15,13.7,13.7,1855.0
2020-10-26,13.95,13.995,13.7,13.81,2742.0
2020-10-23,14.14,14.14,14.14,14.14,106.0
2020-10-22,13.98,14.38,13.98,14.14,2331.0
2020-10-21,13.8794,13.88,13.8794,13.88,1141.0
2020-10-20,14.841,14.841,13.9391,14.3,2972.0
2020-10-19,13.89,13.91,13.63,13.63,2671.0
2020-10-16,13.8894,13.89,13.73,13.74,1292.0
2020-10-15,13.78,13.89,13.78,13.89,712.0
2020-10-14,13.77,13.78,13.77,13.78,1707.0
2020-10-13,13.88,14.02,13.64,13.75,3266.0
2020-10-12,13.85,13.85,13.47,13.47,5901.0
2020-10-09,13.85,14.21,13.85,14.09,2445.0
2020-10-08,14.3461,14.44,14.3461,14.355,1651.0
2020-10-07,13.95,13.9937,13.95,13.9501,1754.0
2020-10-06,13.85,14.52,13.85,13.93,4500.0
2020-10-05,13.8,13.95,13.73,13.8,4685.0
2020-10-02,13.605,13.64,13.605,13.64,327.0
2020-10-01,13.55,13.7,13.5,13.5,2683.0
2020-09-30,13.55,13.55,13.55,13.55,374.0
2020-09-29,13.52,14.0,13.52,13.53,3878.0
2020-09-28,13.82,13.82,13.52,13.52,1425.0
2020-09-25,13.74,14.0517,13.53,13.57,5529.0
2020-09-24,13.62,13.62,13.62,13.62,7.0
2020-09-23,13.62,13.62,13.62,13.62,90.0
2020-09-22,13.62,13.62,13.62,13.62,418.0
2020-09-21,15.6,15.6,13.62,13.62,2903.0
2020-09-18,13.675,14.37,13.6201,14.37,5790.0
2020-09-17,13.61,13.63,13.61,13.62,1549.0
2020-09-16,13.75,13.85,13.7,13.745,1051.0
2020-09-15,13.75,13.7699,13.5899,13.61,6472.0
2020-09-14,13.75,13.75,13.6819,13.7131,5120.0
2020-09-11,13.5,13.76,13.5,13.61,3014.0
2020-09-10,13.84,13.89,13.57,13.58,5779.0
2020-09-09,14.0,14.0,13.755,13.81,2044.0
2020-09-08,13.56,13.65,13.56,13.65,420.0
2020-09-04,13.8,13.8,13.6798,13.6798,1814.0
2020-09-03,13.665,13.8098,13.52,13.75,2105.0
2020-09-02,14.0,14.0,13.5201,13.83,1746.0
2020-09-01,13.7,13.9,13.6,13.9,735.0
2020-08-31,14.25,14.25,13.62,13.62,776.0
2020-08-28,14.05,14.05,13.9307,14.0,2505.0
2020-08-27,14.0,14.42,14.0,14.42,2547.0
2020-08-26,13.95,14.0,13.95,14.0,2920.0
2020-08-25,13.975,13.975,13.95,13.95,352.0
2020-08-24,14.17,14.17,13.89,13.89,1481.0
2020-08-21,13.55,14.0,13.55,13.8,1852.0
2020-08-20,13.86,14.2,13.86,14.2,1735.0
2020-08-19,14.14,14.14,13.75,13.75,2392.0
2020-08-18,13.55,13.8,13.51,13.8,13186.0
2020-08-17,13.74,13.8,13.51,13.51,5129.0
2020-08-14,13.85,13.85,13.72,13.72,5921.0
2020-08-13,14.75,14.75,13.4101,13.7,14858.0
2020-08-12,14.6719,14.6719,14.43,14.45,3422.0
2020-08-11,14.625,14.625,14.5,14.625,1961.0
