date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,11.47,11.58,11.31,11.44,172883.0
2021-03-17,11.37,11.48,11.19,11.47,195995.0
2021-03-16,12.05,12.05,11.36,11.51,197554.0
2021-03-15,12.0,12.06,11.74,12.05,214892.0
2021-03-12,11.52,11.98,11.52,11.96,172116.0
2021-03-11,11.67,11.83,11.46,11.62,180782.0
2021-03-10,11.51,11.8594,11.37,11.56,276228.0
2021-03-09,11.44,11.98,11.35,11.49,317592.0
2021-03-08,11.15,11.6,10.8701,11.52,444330.0
2021-03-05,10.96,11.15,10.65,11.08,386819.0
2021-03-04,11.1,11.4,10.66,10.8,361365.0
2021-03-03,10.75,11.44,10.66,11.12,336303.0
2021-03-02,10.7,11.05,10.55,10.82,237577.0
2021-03-01,11.0,11.34,10.84,10.88,462826.0
2021-02-26,10.91,11.15,10.45,10.72,446625.0
2021-02-25,11.57,11.65,10.81,10.93,538934.0
2021-02-24,11.75,12.2,11.48,11.73,520083.0
2021-02-23,11.37,12.0,11.28,11.84,476398.0
2021-02-22,11.14,11.62,11.14,11.35,447681.0
2021-02-19,11.04,11.55,10.98,11.24,369752.0
2021-02-18,11.29,11.56,11.06,11.07,397465.0
2021-02-17,11.62,11.86,11.22,11.39,277217.0
2021-02-16,11.24,11.87,11.2,11.67,371883.0
2021-02-12,10.54,11.44,10.54,11.29,245369.0
2021-02-11,11.49,11.8,10.12,10.46,595579.0
2021-02-10,11.62,12.27,11.62,11.86,358954.0
2021-02-09,11.43,11.71,11.35,11.71,344886.0
2021-02-08,11.26,11.72,11.08,11.52,457263.0
2021-02-05,11.39,11.57,11.025,11.27,352979.0
2021-02-04,10.71,11.4201,10.7,11.24,345352.0
2021-02-03,10.88,10.925,10.54,10.85,219953.0
2021-02-02,10.49,11.0,10.41,10.9,214018.0
2021-02-01,10.45,10.49,10.16,10.4,188229.0
2021-01-29,10.8,11.15,10.31,10.46,279312.0
2021-01-28,10.54,11.15,10.47,10.83,310108.0
2021-01-27,10.71,11.0,10.45,10.49,280360.0
2021-01-26,11.27,11.27,10.82,10.96,237065.0
2021-01-25,11.33,11.56,10.82,11.17,233522.0
2021-01-22,11.25,11.52,11.2,11.43,267964.0
2021-01-21,11.7,11.7,11.03,11.4,190155.0
2021-01-20,11.4,11.785,11.3724,11.64,240355.0
2021-01-19,11.83,11.86,11.285,11.48,283154.0
2021-01-15,11.37,11.84,11.28,11.84,156275.0
2021-01-14,11.75,11.88,11.4,11.52,205467.0
2021-01-13,11.73,11.933,11.62,11.76,158045.0
2021-01-12,11.6,11.87,11.57,11.81,200019.0
2021-01-11,11.51,11.76,11.41,11.61,213391.0
2021-01-08,12.005,12.05,11.675,11.9,207490.0
2021-01-07,12.11,12.16,11.57,11.85,269883.0
2021-01-06,12.12,12.2,11.83,12.05,303378.0
2021-01-05,12.15,12.25,11.84,11.85,316527.0
2021-01-04,12.67,12.83,12.03,12.08,384199.0
2020-12-31,12.07,12.75,11.86,12.67,270322.0
2020-12-30,11.65,12.2,11.48,12.01,305623.0
2020-12-29,11.94,12.01,11.38,11.69,340201.0
2020-12-28,11.87,12.085,11.66,11.99,273586.0
2020-12-24,11.29,12.03,11.22,11.84,168220.0
2020-12-23,11.3,11.55,10.98,11.33,191221.0
2020-12-22,11.62,11.69,10.92,11.3,581946.0
2020-12-21,11.74,11.82,11.21,11.6,553674.0
2020-12-18,11.68,11.99,11.09,11.96,1120248.0
2020-12-17,11.41,11.84,11.2,11.74,353936.0
2020-12-16,11.2,11.75,11.08,11.38,890424.0
2020-12-15,11.02,11.29,10.9,11.06,251150.0
2020-12-14,10.91,10.98,10.57,10.84,247299.0
2020-12-11,11.53,11.53,10.675,10.81,152235.0
2020-12-10,11.4,11.74,11.4,11.62,241327.0
2020-12-09,11.15,11.58,10.855,11.53,418114.0
2020-12-08,10.66,11.14,10.66,11.14,180590.0
2020-12-07,10.71,10.77,10.5,10.71,234856.0
2020-12-04,10.58,11.01,10.58,10.79,207835.0
2020-12-03,10.45,10.66,10.4,10.61,154349.0
2020-12-02,10.48,10.5623,10.05,10.48,200358.0
