date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,35.83,35.8599,35.02,35.84,153096.0
2021-03-11,35.56,36.2984,35.42,36.07,216414.0
2021-03-10,35.65,35.65,34.78,34.78,228979.0
2021-03-09,33.9,35.19,33.9,34.96,266474.0
2021-03-08,34.71,34.9985,33.3,33.36,431061.0
2021-03-05,34.96,35.37,33.11,34.78,396146.0
2021-03-04,36.03,36.35,33.6,34.83,518088.0
2021-03-03,37.3,37.49,35.91,36.4,175367.0
2021-03-02,37.54,37.84,37.01,37.71,253366.0
2021-03-01,37.0,37.6417,36.75,37.38,180297.0
2021-02-26,36.01,36.73,35.69,36.42,192426.0
2021-02-25,36.79,37.22,35.71,35.87,287416.0
2021-02-24,37.29,37.56,36.39,37.21,284046.0
2021-02-23,37.22,37.74,35.06,37.29,519755.0
2021-02-22,39.95,40.14,38.38,38.38,239828.0
2021-02-19,40.44,40.6699,39.88,40.15,171546.0
2021-02-18,40.0,40.23,39.1,40.09,241359.0
2021-02-17,40.13,41.0,39.31,40.2,210753.0
2021-02-16,40.55,40.94,39.9,40.28,152708.0
2021-02-12,39.98,40.38,39.34,40.3,277314.0
2021-02-11,39.68,40.2299,39.6,40.03,237938.0
2021-02-10,39.82,39.8999,39.02,39.6,191322.0
2021-02-09,39.25,39.6,38.8,39.49,181932.0
2021-02-08,39.92,39.94,38.96,39.1,192137.0
2021-02-05,38.87,39.5,38.7069,39.31,272465.0
2021-02-04,38.35,38.925,38.35,38.58,258974.0
2021-02-03,37.94,38.23,37.55,38.15,173657.0
2021-02-02,36.97,37.7,36.65,37.64,185699.0
2021-02-01,35.63,36.55,35.55,36.47,229667.0
2021-01-29,35.92,36.04,34.96,35.41,200200.0
2021-01-28,35.45,36.14,35.35,35.91,211593.0
2021-01-27,36.45,36.55,35.48,35.66,184602.0
2021-01-26,36.87,36.98,36.54,36.62,190035.0
2021-01-25,37.06,37.32,36.52,37.04,139503.0
2021-01-22,37.0,37.0999,36.65,36.88,135543.0
2021-01-21,37.5,37.66,36.9,37.01,168394.0
2021-01-20,36.85,37.2437,36.79,37.05,130716.0
2021-01-19,36.01,36.85,36.01,36.55,167006.0
2021-01-15,36.19,36.5,35.72,35.96,168023.0
2021-01-14,36.27,36.69,36.05,36.195,165262.0
2021-01-13,35.77,36.36,35.77,36.19,172558.0
2021-01-12,35.34,36.02,35.34,35.92,186638.0
2021-01-11,35.18,35.8,35.17,35.47,302247.0
2021-01-08,36.0,36.3,35.781,36.17,249845.0
2021-01-07,34.39,35.9,34.39,35.72,284475.0
2021-01-06,34.94,35.2658,34.37,34.55,234739.0
2021-01-05,35.07,35.46,34.71,35.2,311729.0
2021-01-04,36.37,36.38,34.88,35.34,327130.0
2020-12-31,36.21,36.67,36.12,36.38,157446.0
2020-12-30,36.58,37.0,36.01,36.39,163151.0
2020-12-29,36.8,37.0525,35.86,36.42,205079.0
2020-12-28,37.21,37.759,36.66,36.74,156590.0
2020-12-24,38.18,38.18,36.78,37.08,132024.0
2020-12-23,37.91,38.3465,37.85,37.9,98067.0
2020-12-22,37.18,37.84,37.15,37.68,206604.0
2020-12-21,35.7,37.77,35.5,36.94,210905.0
2020-12-18,35.2,36.12,35.2,36.02,266477.0
2020-12-17,34.66,35.28,34.66,35.23,225488.0
2020-12-16,34.35,34.75,34.18,34.61,195638.0
2020-12-15,34.7,34.7408,34.3501,34.56,171376.0
2020-12-14,34.35,34.75,34.2,34.44,185962.0
2020-12-11,34.3,34.556,34.05,34.2,137399.0
2020-12-10,33.82,34.6792,33.82,34.24,155509.0
2020-12-09,33.9,35.0,33.59,33.82,171399.0
2020-12-08,33.74,33.9,33.585,33.89,126014.0
2020-12-07,33.75,33.75,32.85,33.75,194641.0
2020-12-04,33.5,33.9,33.5,33.76,154986.0
2020-12-03,33.43,33.9,33.25,33.29,205503.0
2020-12-02,33.43,33.5,33.13,33.49,169933.0
2020-12-01,33.11,33.4399,32.67,33.43,221259.0
2020-11-30,32.69,33.22,32.14,32.82,199570.0
2020-11-27,32.18,32.7,32.18,32.53,74321.0
2020-11-25,31.95,32.2406,31.66,31.94,141721.0
2020-11-24,31.87,31.98,31.55,31.85,191542.0
2020-11-23,31.08,31.9,31.0399,31.52,239248.0
2020-11-20,30.45,31.1,30.45,30.82,150690.0
2020-11-19,29.96,30.34,29.77,30.34,148734.0
2020-11-18,29.95,30.25,29.77,29.99,239024.0
2020-11-17,29.48,29.89,29.23,29.75,136409.0
2020-11-16,29.39,29.9399,29.23,29.5,187533.0
2020-11-13,29.0,29.374,28.63,29.23,200791.0
2020-11-12,29.12,29.5,28.5,28.69,169357.0
2020-11-11,28.45,29.18,28.45,28.88,172455.0
2020-11-10,28.95,28.95,28.06,28.28,281351.0
2020-11-09,31.145,31.29,29.01,29.17,392747.0
2020-11-06,29.98,30.3299,29.5024,30.01,296201.0
2020-11-05,29.15,29.9,29.1458,29.76,299127.0
2020-11-04,27.76,28.74,27.76,28.54,191594.0
2020-11-03,26.97,27.38,26.72,27.28,137171.0
2020-11-02,26.53,26.84,26.31,26.73,164791.0
2020-10-30,26.65,26.85,26.05,26.18,190281.0
2020-10-29,26.0,26.77,26.0,26.63,175067.0
2020-10-28,26.05,26.365,25.88,26.02,222993.0
2020-10-27,26.93,27.13,26.65,26.68,159939.0
2020-10-26,27.53,27.77,26.71,26.89,325953.0
2020-10-23,27.79,27.94,27.5064,27.8,123959.0
2020-10-22,27.59,27.82,27.41,27.51,171126.0
2020-10-21,27.76,27.9791,27.51,27.59,150057.0
2020-10-20,27.92,28.0076,27.51,27.65,223010.0
2020-10-19,28.25,28.5699,27.63,27.75,183123.0
2020-10-16,27.78,28.48,27.78,28.19,127131.0
2020-10-15,27.85,27.94,27.65,27.85,109491.0
2020-10-14,28.42,28.5599,27.63,28.1,200268.0
2020-10-13,28.41,28.74,28.29,28.59,230059.0
2020-10-12,28.25,28.52,27.9784,28.29,198461.0
2020-10-09,27.81,28.08,27.5297,27.75,159667.0
2020-10-08,27.59,27.73,27.37,27.45,143206.0
2020-10-07,27.21,27.47,27.1,27.46,188448.0
2020-10-06,27.05,27.24,26.8325,26.87,192832.0
2020-10-05,26.51,26.98,26.51,26.98,201632.0
2020-10-02,26.01,26.84,25.97,26.47,270935.0
2020-10-01,25.99,26.43,25.85,26.43,189334.0
2020-09-30,25.5,25.7,25.37,25.65,168994.0
2020-09-29,25.07,25.37,24.96,25.36,158209.0
2020-09-28,24.97,25.25,24.89,25.07,160426.0
2020-09-25,24.36,24.75,24.26,24.7,163211.0
2020-09-24,24.03,24.539,24.01,24.34,237033.0
2020-09-23,25.1,25.1,24.3,24.32,267867.0
2020-09-22,24.83,25.0616,24.62,24.89,272333.0
