date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,12.83,12.903,12.6701,12.72,26765.0
2021-03-11,12.71,12.843,12.71,12.82,14728.0
2021-03-10,12.67,12.7,12.67,12.685,18349.0
2021-03-09,12.59,12.65,12.55,12.65,10327.0
2021-03-08,12.52,12.54,12.4705,12.54,13346.0
2021-03-05,12.5,12.58,12.48,12.49,23202.0
2021-03-04,12.63,12.695,12.4,12.47,31877.0
2021-03-03,12.62,12.69,12.58,12.62,16022.0
2021-03-02,12.64,12.7,12.64,12.67,25524.0
2021-03-01,12.54,12.69,12.54,12.64,42997.0
2021-02-26,12.44,12.6,12.44,12.59,47015.0
2021-02-25,12.47,12.52,12.3686,12.44,75001.0
2021-02-24,12.33,12.53,12.3,12.47,42897.0
2021-02-23,12.52,12.54,12.17,12.39,118047.0
2021-02-22,12.76,12.76,12.44,12.5,67904.0
2021-02-19,12.78,12.78,12.7,12.72,46624.0
2021-02-18,12.87,12.87,12.78,12.78,34888.0
2021-02-17,12.85,12.99,12.84,12.86,33356.0
2021-02-16,12.96,13.025,12.86,12.9,94892.0
2021-02-12,13.1,13.12,13.0,13.0,49461.0
2021-02-11,13.2,13.2,13.12,13.12,23152.0
2021-02-10,13.08,13.19,13.08,13.11,25974.0
2021-02-09,13.12,13.14,13.04,13.12,28215.0
2021-02-08,12.99,13.3,12.955,13.11,33912.0
2021-02-05,13.0,13.19,12.94,12.9886,24424.0
2021-02-04,12.95,12.95,12.9,12.93,6580.0
2021-02-03,13.03,13.03,12.88,12.89,29918.0
2021-02-02,13.0,13.01,12.93,12.97,11457.0
2021-02-01,12.9,13.02,12.88,12.95,31396.0
2021-01-29,12.88,12.91,12.85,12.9,8294.0
2021-01-28,12.88,12.94,12.8501,12.93,14917.0
2021-01-27,12.86,12.92,12.8,12.83,70075.0
2021-01-26,12.98,13.18,12.84,13.16,30905.0
2021-01-25,12.81,12.99,12.8,12.93,51598.0
2021-01-22,12.83,12.84,12.73,12.78,32865.0
2021-01-21,12.83,12.83,12.77,12.795,32043.0
2021-01-20,12.81,12.9,12.74,12.79,51478.0
2021-01-19,12.82,12.82,12.77,12.81,6526.0
2021-01-15,12.83,12.83,12.7601,12.78,17598.0
2021-01-14,12.8,12.84,12.69,12.82,43919.0
2021-01-13,12.84,12.84,12.7,12.83,22094.0
2021-01-12,12.9,12.9,12.82,12.84,17301.0
2021-01-11,12.82,12.92,12.82,12.89,20376.0
2021-01-08,12.74,12.84,12.68,12.79,26227.0
2021-01-07,12.69,12.76,12.6537,12.68,26554.0
2021-01-06,12.72,12.72,12.62,12.65,18382.0
2021-01-05,12.64,12.72,12.63,12.67,30391.0
2021-01-04,12.7,12.78,12.62,12.74,43326.0
2020-12-31,12.7,12.78,12.56,12.72,55152.0
2020-12-30,12.68,12.75,12.64,12.75,34991.0
2020-12-29,12.76,12.84,12.64,12.7,51338.0
2020-12-28,12.9,12.9,12.609,12.7,61206.0
2020-12-24,12.81,12.9,12.81,12.86,7791.0
2020-12-23,12.72,12.76,12.65,12.75,15638.0
2020-12-22,12.76,12.76,12.66,12.66,21865.0
2020-12-21,12.74,12.7667,12.6832,12.71,22614.0
2020-12-18,12.68,12.745,12.44,12.72,21488.0
2020-12-17,12.54,12.69,12.54,12.63,24127.0
