date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,7.21,7.69,7.15,7.4,1056292.0
2021-03-11,7.24,7.33,7.03,7.33,729837.0
2021-03-10,7.1,7.46,6.8,7.03,895274.0
2021-03-09,6.8,7.36,6.8,7.21,1556243.0
2021-03-08,6.66,6.92,6.49,6.76,907105.0
2021-03-05,6.98,7.1,5.93,6.59,1553954.0
2021-03-04,7.26,7.81,6.38,6.78,2557577.0
2021-03-03,7.46,7.58,6.97,7.45,1241473.0
2021-03-02,7.08,7.69,6.9365,7.4,1796112.0
2021-03-01,7.26,7.3,6.79,7.02,784232.0
2021-02-26,6.9,7.19,6.3,7.08,1922421.0
2021-02-25,7.23,7.38,6.71,6.96,1030238.0
2021-02-24,6.86,7.36,6.85,7.3,1889188.0
2021-02-23,6.33,6.74,5.77,6.74,2435866.0
2021-02-22,6.32,6.94,6.26,6.67,1385264.0
2021-02-19,6.63,6.63,6.32,6.38,2284659.0
2021-02-18,6.8,6.973,6.6,6.6,1518572.0
2021-02-17,7.38,7.38,6.56,6.72,2201942.0
2021-02-16,7.51,7.84,7.28,7.39,2121512.0
2021-02-12,7.75,8.24,7.21,7.33,2485121.0
2021-02-11,7.25,7.94,7.22,7.75,4987858.0
2021-02-10,6.4,7.43,6.16,7.25,14905616.0
2021-02-09,6.41,6.4358,5.91,6.04,977929.0
2021-02-08,6.7,6.74,6.23,6.51,676806.0
2021-02-05,6.37,6.618,6.05,6.59,539373.0
2021-02-04,6.44,6.55,6.09,6.27,617642.0
2021-02-03,6.06,6.43,6.0,6.32,522058.0
2021-02-02,5.97,6.385,5.95,6.15,658530.0
2021-02-01,5.7,6.14,5.37,5.86,1135527.0
2021-01-29,5.83,6.42,5.45,5.55,796708.0
2021-01-28,6.18,6.39,5.55,5.81,955780.0
2021-01-27,6.68,7.4,6.05,6.18,1521126.0
2021-01-26,6.61,7.64,6.45,6.77,2218500.0
2021-01-25,6.74,6.77,6.26,6.46,1290774.0
2021-01-22,5.91,6.42,5.75,6.28,1861782.0
