date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,22.0,22.1542,21.79,21.91,75620.0
2021-03-11,21.64,21.83,21.45,21.83,67759.0
2021-03-10,21.13,21.67,21.0,21.64,84189.0
2021-03-09,21.39,21.39,20.72,21.13,91431.0
2021-03-08,21.25,22.09,21.25,21.66,147448.0
2021-03-05,21.19,21.22,20.37,21.15,139464.0
2021-03-04,21.15,21.56,20.29,20.7,123866.0
2021-03-03,20.37,21.5175,20.37,21.08,70898.0
2021-03-02,20.54,20.64,20.0,20.46,112086.0
2021-03-01,20.38,20.99,20.19,20.59,177979.0
2021-02-26,19.96,20.235,19.535,19.92,169640.0
2021-02-25,20.31,20.31,19.85,20.02,103770.0
2021-02-24,19.66,20.34,19.66,20.28,195299.0
2021-02-23,19.37,19.88,19.37,19.76,161494.0
2021-02-22,18.83,19.41,18.83,19.37,76269.0
2021-02-19,18.47,18.89,18.45,18.84,119592.0
2021-02-18,18.71,18.905,18.45,18.48,68573.0
2021-02-17,18.97,19.1499,18.48,18.78,86894.0
2021-02-16,19.73,19.815,19.02,19.19,57663.0
2021-02-12,19.01,19.99,19.0,19.5,100951.0
2021-02-11,18.75,18.88,18.5942,18.83,557926.0
2021-02-10,18.71,18.99,18.59,18.75,226084.0
2021-02-09,18.39,18.8,18.26,18.68,81459.0
2021-02-08,17.79,18.27,17.58,18.26,58692.0
2021-02-05,17.51,17.67,17.18,17.62,219770.0
2021-02-04,16.91,17.5,16.91,17.5,115411.0
2021-02-03,16.73,16.99,16.56,16.91,62402.0
2021-02-02,16.8,16.98,16.76,16.86,59590.0
2021-02-01,16.07,16.57,16.01,16.54,75080.0
2021-01-29,15.91,16.21,15.55,16.07,1632177.0
2021-01-28,14.96,15.08,14.59,14.98,71312.0
2021-01-27,15.28,15.28,14.6,14.7,146154.0
2021-01-26,16.23,16.23,15.67,15.74,42491.0
2021-01-25,16.43,16.43,15.94,16.21,37977.0
2021-01-22,16.13,16.74,16.13,16.69,58533.0
2021-01-21,16.29,16.49,16.18,16.39,56265.0
2021-01-20,16.65,16.84,16.3,16.49,34082.0
2021-01-19,16.49,16.77,16.3169,16.58,84158.0
2021-01-15,16.24,16.49,15.95,16.24,81822.0
2021-01-14,16.37,16.9,16.35,16.6,52516.0
2021-01-13,16.2,16.5,15.95,16.19,38155.0
2021-01-12,15.86,16.25,15.85,16.19,57155.0
2021-01-11,15.78,16.02,15.57,15.86,85743.0
2021-01-08,16.69,16.69,15.655,15.98,86387.0
2021-01-07,16.88,16.89,16.49,16.58,54435.0
2021-01-06,16.45,17.05,16.25,16.61,131674.0
2021-01-05,15.67,16.385,15.5001,16.0,106149.0
2021-01-04,15.53,15.71,15.15,15.6,58722.0
2020-12-31,15.46,15.57,15.36,15.45,35162.0
2020-12-30,15.19,15.58,15.19,15.45,40829.0
2020-12-29,15.53,15.66,15.13,15.24,35452.0
2020-12-28,15.61,15.64,15.28,15.48,52096.0
2020-12-24,15.54,15.63,15.28,15.43,55402.0
2020-12-23,15.67,15.74,15.45,15.56,100683.0
2020-12-22,15.74,15.93,15.46,15.5,79646.0
2020-12-21,16.29,16.29,15.6,15.74,136239.0
2020-12-18,16.44,16.53,16.16,16.16,196336.0
2020-12-17,16.33,16.38,15.875,16.38,87258.0
2020-12-16,16.23,16.45,16.2,16.26,82100.0
2020-12-15,16.04,16.38,15.82,16.23,47494.0
2020-12-14,16.15,16.15,15.75,15.86,57108.0
2020-12-11,15.93,16.08,15.76,15.98,56136.0
2020-12-10,15.7,15.96,15.52,15.79,46205.0
2020-12-09,16.07,16.07,15.7,15.78,80389.0
2020-12-08,15.6,15.925,15.6,15.83,50014.0
2020-12-07,16.12,16.12,15.73,15.8,66736.0
2020-12-04,15.83,16.22,15.8,16.17,60190.0
2020-12-03,16.02,16.02,15.47,15.63,53040.0
2020-12-02,15.53,15.99,15.53,15.96,41534.0
2020-12-01,15.69,15.83,15.37,15.54,54623.0
2020-11-30,15.76,15.84,15.17,15.33,90702.0
2020-11-27,16.0,16.145,15.5,15.97,25608.0
2020-11-25,16.18,16.27,15.75,16.12,38222.0
2020-11-24,15.45,16.58,15.4,16.3,118782.0
2020-11-23,15.25,15.25,14.91,15.09,81243.0
2020-11-20,14.82,15.02,14.77,15.02,77513.0
2020-11-19,15.3,15.34,15.07,15.13,35404.0
2020-11-18,15.735,15.99,15.35,15.35,48130.0
2020-11-17,15.22,15.98,15.22,15.69,81198.0
2020-11-16,15.19,15.67,15.09,15.4,83595.0
2020-11-13,14.91,15.06,14.74,14.8,58537.0
2020-11-12,15.16,15.16,14.66,14.69,45507.0
2020-11-11,15.92,16.06,15.17,15.45,74524.0
2020-11-10,15.85,16.4074,15.63,15.87,124525.0
2020-11-09,14.36,15.99,14.36,15.55,175423.0
2020-11-06,13.97,13.97,12.96,13.19,39173.0
2020-11-05,13.12,13.88,13.11,13.79,24659.0
2020-11-04,13.4,13.4,13.0,13.12,180702.0
2020-11-03,13.65,13.99,13.62,13.92,51371.0
2020-11-02,13.35,13.41,13.17,13.36,71277.0
2020-10-30,13.07,13.33,12.9926,13.14,55238.0
2020-10-29,13.04,13.18,12.42,12.98,60314.0
2020-10-28,13.2,13.6,12.71,13.12,46726.0
2020-10-27,13.75,13.75,13.23,13.52,62085.0
2020-10-26,14.15,14.24,13.8,13.9,59888.0
2020-10-23,14.0,14.5,13.8273,14.01,103284.0
2020-10-22,13.6,13.96,13.6,13.82,155639.0
2020-10-21,13.36,13.81,13.36,13.53,31346.0
2020-10-20,13.35,13.67,13.35,13.45,24250.0
2020-10-19,13.1,13.435,12.98,13.28,29974.0
2020-10-16,13.01,13.44,12.82,13.04,34243.0
2020-10-15,12.53,13.11,12.44,13.06,27199.0
2020-10-14,12.12,12.995,12.12,12.69,48923.0
2020-10-13,12.86,12.91,12.51,12.87,29610.0
2020-10-12,12.65,13.05,12.58,12.99,34108.0
2020-10-09,12.98,12.98,12.64,12.69,22723.0
2020-10-08,12.79,13.07,12.57,12.93,45331.0
2020-10-07,12.56,12.88,12.37,12.7,46278.0
2020-10-06,12.44,12.94,12.27,12.34,41044.0
2020-10-05,11.8,12.34,11.75,12.22,55428.0
2020-10-02,11.08,11.71,11.07,11.66,32381.0
2020-10-01,11.32,11.49,11.07,11.48,39610.0
2020-09-30,11.36,11.575,11.13,11.28,56139.0
2020-09-29,11.41,11.41,11.08,11.35,35022.0
2020-09-28,11.18,11.61,11.18,11.41,67277.0
2020-09-25,10.71,11.06,10.71,11.01,58877.0
2020-09-24,10.73,11.055,10.49,10.86,40979.0
2020-09-23,10.74,11.02,10.63,10.67,117366.0
2020-09-22,10.75,10.92,10.515,10.8,105818.0
2020-09-21,11.08,11.11,10.66,10.79,90311.0
2020-09-18,11.79,11.81,11.32,11.46,179723.0
2020-09-17,11.68,11.825,11.65,11.68,26594.0
2020-09-16,11.55,12.0,11.48,11.83,45817.0
2020-09-15,12.12,12.12,11.47,11.51,159798.0
2020-09-14,11.96,12.12,11.89,12.04,60556.0
2020-09-11,11.9,12.31,11.84,11.88,80471.0
2020-09-10,11.97,12.12,11.82,11.95,132225.0
2020-09-09,12.37,12.37,11.965,11.97,65171.0
2020-09-08,12.59,12.59,12.13,12.27,66366.0
2020-09-04,12.96,13.01,12.54,12.78,31943.0
2020-09-03,12.55,12.93,12.47,12.59,32214.0
2020-09-02,12.3,12.53,12.1,12.45,53046.0
2020-09-01,12.51,12.77,12.29,12.4,41103.0
2020-08-31,12.83,12.88,12.63,12.64,64596.0
2020-08-28,13.29,13.29,12.83,12.96,75313.0
2020-08-27,12.93,13.2,12.88,13.1,42388.0
2020-08-26,13.13,13.13,12.72,12.8,24135.0
2020-08-25,13.15,13.23,12.87,13.12,28558.0
2020-08-24,12.61,13.16,12.45,12.95,55915.0
2020-08-21,12.75,12.75,12.36,12.43,45124.0
2020-08-20,12.83,13.14,12.69,12.91,22926.0
2020-08-19,12.97,13.37,12.92,13.09,45871.0
2020-08-18,13.44,13.44,12.76,12.98,37103.0
2020-08-17,13.43,13.5,13.01,13.47,51099.0
2020-08-14,13.53,13.76,13.41,13.46,87277.0
2020-08-13,13.74,13.9,13.56,13.71,25239.0
2020-08-12,14.2,14.47,13.74,13.94,39706.0
2020-08-11,14.14,14.33,13.77,13.88,73022.0
2020-08-10,13.63,14.0,13.45,13.8,119192.0
2020-08-07,12.89,13.65,12.89,13.49,51423.0
2020-08-06,13.14,13.19,12.94,13.06,25036.0
2020-08-05,12.96,13.17,12.82,13.14,43065.0
2020-08-04,12.5,12.84,12.44,12.84,64766.0
2020-08-03,13.0,13.0,12.61,12.63,49200.0
2020-07-31,13.92,13.92,12.91,12.96,105191.0
2020-07-30,13.07,13.53,12.77,13.44,50304.0
2020-07-29,13.51,13.76,13.38,13.5,71139.0
2020-07-28,13.36,13.71,13.3515,13.49,80130.0
2020-07-27,13.63,13.92,13.53,13.85,101468.0
2020-07-24,13.39,13.95,13.39,13.56,47969.0
2020-07-23,12.5,13.08,12.5,13.08,29751.0
2020-07-22,12.79,12.91,12.49,12.64,31887.0
2020-07-21,12.7,13.05,12.64,12.95,34166.0
2020-07-20,12.64,12.64,12.37,12.42,43098.0
2020-07-17,12.84,12.91,12.66,12.72,59910.0
2020-07-16,13.06,13.095,12.7,12.89,43269.0
2020-07-15,12.29,13.28,12.24,13.09,144021.0
2020-07-14,11.9,12.065,11.62,11.82,41115.0
2020-07-13,11.93,12.17,11.54,11.9,46345.0
2020-07-10,11.25,11.68,11.25,11.66,41410.0
2020-07-09,11.65,11.72,11.07,11.18,53682.0
2020-07-08,11.87,12.11,11.51,11.78,57750.0
2020-07-07,12.24,12.28,11.91,11.96,51592.0
2020-07-06,13.04,13.09,12.35,12.4,33686.0
2020-07-02,12.88,12.99,12.31,12.61,85331.0
2020-07-01,13.14,13.14,12.39,12.44,71638.0
2020-06-30,12.69,13.17,12.64,13.1,89001.0
2020-06-29,12.17,12.925,12.09,12.81,76229.0
2020-06-26,12.26,12.26,11.685,11.79,204648.0
2020-06-25,11.82,12.49,11.8,12.49,70711.0
2020-06-24,12.34,12.6,11.89,11.92,68949.0
2020-06-23,13.04,13.17,12.59,12.67,81424.0
2020-06-22,12.25,12.73,12.13,12.72,54969.0
2020-06-19,12.75,12.75,12.2,12.5,120450.0
2020-06-18,12.27,12.78,12.27,12.58,47460.0
2020-06-17,13.09,13.09,12.28,12.41,44099.0
2020-06-16,13.38,13.395,12.74,13.05,59439.0
2020-06-15,11.71,12.81,11.7,12.71,78107.0
2020-06-12,12.5,12.58,11.95,12.38,60248.0
2020-06-11,12.41,12.65,11.92,11.96,78204.0
2020-06-10,14.07,14.22,13.24,13.26,71094.0
2020-06-09,14.07,14.59,13.935,14.29,62738.0
2020-06-08,14.61,14.765,14.295,14.61,53436.0
2020-06-05,13.76,14.49,13.71,14.12,111663.0
2020-06-04,12.8,13.17,12.62,13.07,159671.0
2020-06-03,12.58,13.2,12.56,13.0,76484.0
2020-06-02,12.0,12.46,12.0,12.14,58324.0
2020-06-01,12.31,12.48,12.09,12.09,109508.0
2020-05-29,12.13,12.29,11.86,12.15,125521.0
2020-05-28,13.54,13.54,12.41,12.49,120640.0
2020-05-27,12.74,13.3,12.4,13.29,219763.0
2020-05-26,11.69,12.08,11.57,12.07,117770.0
2020-05-22,11.58,11.58,10.89,11.12,88558.0
2020-05-21,11.28,11.68,11.28,11.45,174513.0
2020-05-20,10.46,11.29,10.448,11.26,160549.0
2020-05-19,10.45,10.63,10.16,10.19,132534.0
2020-05-18,9.91,10.69,9.91,10.63,120327.0
2020-05-15,9.46,9.55,9.235,9.48,72942.0
2020-05-14,9.03,9.619,8.69,9.33,96713.0
2020-05-13,9.98,9.98,8.96,9.28,106195.0
2020-05-12,10.36,10.48,9.99,9.99,83498.0
2020-05-11,11.31,11.33,10.32,10.33,176413.0
2020-05-08,11.15,11.64,11.15,11.62,89256.0
2020-05-07,10.45,11.075,10.39,10.71,123460.0
2020-05-06,10.37,10.59,10.06,10.32,127948.0
2020-05-05,11.08,11.41,10.7,10.71,85230.0
2020-05-04,10.98,11.2,10.8,10.86,103317.0
2020-05-01,11.09,11.88,10.58,11.15,156471.0
2020-04-30,12.62,12.89,12.29,12.32,108937.0
2020-04-29,12.23,13.18,12.2,13.07,145087.0
2020-04-28,12.26,12.375,11.78,11.87,108135.0
2020-04-27,10.93,11.94,10.91,11.8,87647.0
2020-04-24,10.62,10.98,10.49,10.82,42526.0
2020-04-23,10.65,11.02,10.58,10.62,108480.0
2020-04-22,10.96,10.96,10.57,10.72,121267.0
2020-04-21,9.84,10.62,9.83,10.5,93415.0
2020-04-20,9.85,10.31,9.81,10.26,163928.0
2020-04-17,9.27,9.985,9.26,9.92,91172.0
2020-04-16,9.48,9.48,8.68,8.96,132018.0
2020-04-15,10.06,10.06,9.6,9.62,95323.0
2020-04-14,10.93,11.185,10.15,10.52,124170.0
2020-04-13,11.5,11.615,10.75,10.87,68633.0
2020-04-09,10.5,11.66,10.5,11.63,123809.0
2020-04-08,9.83,10.445,9.64,10.41,165197.0
2020-04-07,9.59,9.98,9.4,9.58,191918.0
2020-04-06,9.07,9.64,8.9,9.21,230723.0
2020-04-03,9.42,9.63,8.62,8.76,154186.0
2020-04-02,9.75,9.94,9.395,9.64,99759.0
2020-04-01,9.94,10.19,9.84,9.84,132615.0
2020-03-31,10.38,10.38,9.93,10.37,183386.0
2020-03-30,11.05,11.05,10.165,10.54,153667.0
2020-03-27,10.22,11.34,10.1,11.05,218729.0
2020-03-26,9.76,10.84,9.75,10.76,171159.0
2020-03-25,9.66,9.98,9.25,9.68,81859.0
2020-03-24,9.29,9.72,9.15,9.72,157978.0
2020-03-23,8.98,9.04,8.13,8.97,137734.0
2020-03-20,9.12,9.55,8.86,9.04,154548.0
2020-03-19,8.5,9.13,8.435,9.1,295544.0
2020-03-18,9.84,9.9,8.45,8.55,127999.0
2020-03-17,10.15,10.36,9.705,10.27,248583.0
2020-03-16,10.95,11.26,9.86,10.15,139746.0
2020-03-13,11.92,12.285,10.975,11.45,404010.0
2020-03-12,12.11,12.3,11.37,11.42,136916.0
2020-03-11,12.92,13.17,12.5,12.61,112918.0
2020-03-10,13.75,13.87,13.07,13.3,202722.0
2020-03-09,14.31,14.55,13.35,13.37,90031.0
2020-03-06,16.0,16.03,15.35,15.37,149073.0
2020-03-05,16.75,16.93,16.021,16.21,89227.0
2020-03-04,17.29,17.29,16.83,17.15,72549.0
2020-03-03,17.7,17.7,17.02,17.15,58775.0
2020-03-02,17.41,17.83,17.16,17.79,59816.0
2020-02-28,17.36,17.58,16.99,17.5,129512.0
2020-02-27,18.12,18.61,17.82,17.82,87449.0
2020-02-26,18.84,18.905,18.42,18.5,53747.0
2020-02-25,19.13,19.13,18.59,18.72,68971.0
2020-02-24,18.97,19.18,18.92,19.16,58439.0
2020-02-21,19.61,19.61,19.34,19.46,45713.0
