date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,15.35,15.4,15.32,15.37,262278.0
2021-03-11,15.31,15.36,15.31,15.35,322844.0
2021-03-10,15.33,15.37,15.28,15.29,672234.0
2021-03-09,15.33,15.35,15.3,15.32,267140.0
2021-03-08,15.32,15.35,15.3,15.33,158642.0
2021-03-05,15.31,15.35,15.29,15.29,384861.0
2021-03-04,15.3,15.32,15.27,15.28,602400.0
2021-03-03,15.27,15.31,15.27,15.3,190536.0
2021-03-02,15.29,15.3,15.27,15.27,299732.0
2021-03-01,15.31,15.32,15.3,15.31,306431.0
2021-02-26,15.29,15.32,15.27,15.28,218005.0
2021-02-25,15.31,15.31,15.28,15.28,232376.0
2021-02-24,15.3,15.305,15.28,15.29,363941.0
2021-02-23,15.3,15.43,15.27,15.3,237723.0
2021-02-22,15.29,15.305,15.28,15.3,182227.0
2021-02-19,15.3,15.325,15.29,15.3,470068.0
2021-02-18,15.32,15.33,15.28,15.28,942563.0
2021-02-17,15.3,15.33,15.29,15.32,422894.0
2021-02-16,15.28,15.31,15.27,15.29,378060.0
2021-02-12,15.28,15.31,15.28,15.28,1053643.0
2021-02-11,15.26,15.31,15.25,15.3,481168.0
2021-02-10,15.28,15.32,15.25,15.25,301354.0
2021-02-09,15.29,15.33,15.28,15.28,291709.0
2021-02-08,15.31,15.31,15.28,15.29,520958.0
2021-02-05,15.28,15.31,15.26,15.29,382426.0
2021-02-04,15.19,15.29,15.19,15.27,542290.0
2021-02-03,15.27,15.3,15.2,15.2,2579299.0
2021-02-02,15.24,15.3,15.24,15.27,251792.0
2021-02-01,15.24,15.26,15.23,15.24,954512.0
2021-01-29,15.22,15.27,15.21,15.24,1008729.0
2021-01-28,15.25,15.265,15.245,15.25,879564.0
2021-01-27,15.23,15.2822,15.22,15.25,646006.0
2021-01-26,15.27,15.28,15.22,15.23,567535.0
2021-01-25,15.25,15.32,15.24,15.26,1062416.0
2021-01-22,15.25,15.27,15.23,15.26,287543.0
2021-01-21,15.25,15.262,15.24,15.25,560077.0
2021-01-20,15.27,15.28,15.25,15.25,940348.0
2021-01-19,15.3,15.3,15.27,15.28,899534.0
2021-01-15,15.31,15.33,15.27,15.28,734685.0
2021-01-14,15.28,15.35,15.27,15.29,532728.0
2021-01-13,15.29,15.31,15.26,15.26,483983.0
2021-01-12,15.33,15.34,15.27,15.29,306157.0
2021-01-11,15.32,15.345,15.295,15.33,337179.0
2021-01-08,15.31,15.33,15.3,15.32,249910.0
2021-01-07,15.28,15.32,15.25,15.29,396804.0
2021-01-06,15.25,15.34,15.23,15.31,1217383.0
2021-01-05,15.31,15.36,15.2,15.22,942960.0
2021-01-04,15.31,15.39,15.275,15.32,538479.0
2020-12-31,15.24,15.34,15.24,15.28,388099.0
2020-12-30,15.27,15.29,15.24,15.24,401631.0
2020-12-29,15.25,15.3,15.25,15.27,254344.0
2020-12-28,15.32,15.32,15.24,15.24,256317.0
2020-12-24,15.25,15.305,15.24,15.29,278137.0
2020-12-23,15.22,15.3,15.21,15.27,872440.0
2020-12-22,15.24,15.25,15.2,15.22,376932.0
2020-12-21,15.22,15.31,15.21,15.24,741690.0
2020-12-18,15.32,15.43,15.28,15.3,2012738.0
2020-12-17,15.3,15.31,15.285,15.3,332130.0
2020-12-16,15.26,15.36,15.245,15.3,1105639.0
2020-12-15,15.23,15.28,15.2,15.26,591284.0
2020-12-14,15.25,15.26,15.21,15.21,329881.0
2020-12-11,15.24,15.25,15.18,15.25,275426.0
2020-12-10,15.18,15.3,15.18,15.27,892420.0
2020-12-09,15.23,15.24,15.16,15.19,781534.0
2020-12-08,15.22,15.23,15.2,15.22,249198.0
2020-12-07,15.21,15.255,15.2,15.22,197150.0
2020-12-04,15.21,15.23,15.19,15.22,248159.0
2020-12-03,15.21,15.215,15.19,15.2,243430.0
2020-12-02,15.22,15.24,15.2,15.2,455861.0
2020-12-01,15.23,15.25,15.19,15.22,994428.0
2020-11-30,15.2,15.24,15.2,15.21,463635.0
2020-11-27,15.24,15.245,15.19,15.22,150743.0
2020-11-25,15.24,15.26,15.21,15.21,888235.0
2020-11-24,15.21,15.25,15.21,15.23,569497.0
2020-11-23,15.23,15.26,15.21,15.22,482643.0
2020-11-20,15.22,15.26,15.21,15.24,653944.0
2020-11-19,15.25,15.265,15.22,15.26,485961.0
2020-11-18,15.27,15.28,15.225,15.24,690066.0
2020-11-17,15.24,15.29,15.22,15.28,774388.0
2020-11-16,15.23,15.25,15.2,15.23,787582.0
2020-11-13,15.24,15.27,15.22,15.23,449017.0
2020-11-12,15.25,15.27,15.21,15.26,351550.0
2020-11-11,15.25,15.29,15.21,15.25,268826.0
2020-11-10,15.15,15.29,15.15,15.25,883671.0
2020-11-09,15.21,15.22,15.13,15.17,287921.0
2020-11-06,15.2,15.28,15.17,15.18,364387.0
2020-11-05,15.2,15.24,15.16,15.21,431581.0
2020-11-04,15.17,15.35,15.155,15.35,562294.0
2020-11-03,15.15,15.21,15.1,15.19,238139.0
2020-11-02,15.08,15.16,15.05,15.14,666959.0
2020-10-30,15.1,15.12,15.05,15.05,396274.0
2020-10-29,15.1,15.15,15.08,15.09,426934.0
2020-10-28,15.12,15.14,15.1,15.11,634000.0
2020-10-27,15.17,15.17,15.12,15.13,166849.0
2020-10-26,15.12,15.2,15.12,15.2,285022.0
2020-10-23,15.14,15.16,15.11,15.14,200549.0
2020-10-22,15.12,15.15,15.1,15.12,135203.0
2020-10-21,15.14,15.16,15.11,15.11,379860.0
2020-10-20,15.13,15.16,15.11,15.14,258964.0
2020-10-19,15.12,15.14,15.11,15.12,256571.0
2020-10-16,15.09,15.165,15.08,15.13,246582.0
2020-10-15,15.08,15.12,15.07,15.12,392490.0
2020-10-14,15.07,15.1,15.07,15.09,298573.0
2020-10-13,15.07,15.09,15.06,15.08,363801.0
2020-10-12,15.09,15.12,15.06,15.09,345832.0
2020-10-09,15.06,15.09,15.04,15.07,312703.0
2020-10-08,15.04,15.07,15.02,15.05,246885.0
2020-10-07,15.01,15.06,15.01,15.04,348447.0
2020-10-06,15.02,15.04,15.0,15.0,378415.0
2020-10-05,15.02,15.06,15.01,15.02,325172.0
2020-10-02,15.0,15.06,15.0,15.02,585354.0
2020-10-01,15.11,15.11,15.03,15.05,326897.0
2020-09-30,15.02,15.065,14.97,15.0,637628.0
2020-09-29,15.05,15.06,15.0,15.05,191432.0
2020-09-28,15.0,15.08,15.0,15.04,480514.0
2020-09-25,14.99,15.02,14.99,15.0,504328.0
2020-09-24,15.0,15.0,14.99,14.99,526588.0
2020-09-23,15.02,15.075,15.0,15.02,676111.0
2020-09-22,15.05,15.05,15.03,15.05,188496.0
2020-09-21,15.1,15.105,15.03,15.05,323465.0
2020-09-18,15.06,15.22,15.05,15.08,893064.0
2020-09-17,15.01,15.05,15.0,15.04,431153.0
2020-09-16,15.04,15.06,15.0,15.0,375716.0
2020-09-15,15.01,15.06,14.96,15.03,155054.0
2020-09-14,15.07,15.08,15.0,15.02,614268.0
2020-09-11,15.07,15.07,15.05,15.07,421775.0
2020-09-10,15.08,15.09,15.06,15.07,499123.0
2020-09-09,15.11,15.12,15.07,15.08,994796.0
