date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,3.45,3.52,3.28,3.458,14022.0
2021-03-11,3.19,3.27,3.18,3.27,8262.0
2021-03-10,3.27,3.27,2.98,3.03,9922.0
2021-03-09,2.9,3.24,2.9,3.13,18241.0
2021-03-08,3.13,3.2987,2.98,2.98,21314.0
2021-03-05,3.68,3.68,3.09,3.15,40364.0
2021-03-04,3.61,3.7636,3.6,3.61,18576.0
2021-03-03,3.8,3.8,3.6,3.61,14805.0
2021-03-02,3.8,3.87,3.72,3.72,25346.0
2021-03-01,3.6,3.6997,3.6,3.67,45441.0
2021-02-26,3.6,3.72,3.6,3.6,18865.0
2021-02-25,3.89,3.89,3.65,3.7,10829.0
2021-02-24,3.73,3.87,3.73,3.78,13828.0
2021-02-23,4.01,4.02,3.56,3.79,65684.0
2021-02-22,4.35,4.4,4.03,4.15,59661.0
2021-02-19,4.35,4.5429,4.35,4.4,29065.0
2021-02-18,4.52,4.55,4.4,4.41,48379.0
2021-02-17,4.4,4.6,4.37,4.53,150943.0
2021-02-16,4.5,4.5,4.3701,4.42,72452.0
2021-02-12,4.3,4.6,4.2301,4.39,78445.0
2021-02-11,4.3,4.3,4.21,4.26,50325.0
2021-02-10,4.3,4.3,4.18,4.23,21894.0
2021-02-09,4.3,4.31,4.2101,4.28,40818.0
2021-02-08,4.15,4.4899,4.1013,4.25,50931.0
2021-02-05,4.5,4.5,4.2,4.28,105658.0
2021-02-04,3.88,4.45,3.88,4.35,275241.0
2021-02-03,3.65,3.968,3.51,3.81,100213.0
2021-02-02,3.8,3.8,3.71,3.71,20385.0
2021-02-01,3.52,3.8,3.52,3.74,102275.0
2021-01-29,3.48,3.73,3.35,3.59,63812.0
2021-01-28,3.6,3.6,3.4,3.54,25444.0
2021-01-27,3.6,3.6,3.33,3.442,29648.0
2021-01-26,3.41,3.61,3.3917,3.48,17957.0
2021-01-25,3.58,3.6,3.25,3.52,52318.0
2021-01-22,3.78,3.78,3.3,3.6001,22713.0
2021-01-21,3.5,3.7,3.38,3.7,83911.0
2021-01-20,3.17,3.5,3.17,3.44,81052.0
2021-01-19,3.3,3.38,3.1601,3.27,18429.0
2021-01-15,3.09,3.29,3.09,3.26,12827.0
2021-01-14,3.2,3.305,3.15,3.22,39053.0
2021-01-13,3.0,3.2,3.0,3.16,12429.0
2021-01-12,3.13,3.2,2.99,3.1,37260.0
2021-01-11,3.05,3.18,3.05,3.13,18683.0
2021-01-08,3.28,3.42,2.97,3.25,27141.0
2021-01-07,3.36,3.36,2.95,3.15,86763.0
2021-01-06,3.14,3.55,3.0301,3.4,62705.0
2021-01-05,3.21,3.67,3.04,3.37,148009.0
2021-01-04,2.76,3.35,2.74,3.2,60660.0
2020-12-31,2.7,2.85,2.7,2.74,28132.0
2020-12-30,2.76,2.7774,2.65,2.69,12414.0
2020-12-29,2.78,2.9,2.66,2.8,17339.0
2020-12-28,2.92,3.61,2.6512,2.77,50519.0
2020-12-24,3.0,3.03,2.75,2.9136,19024.0
2020-12-23,3.03,3.0912,2.9515,3.07,29383.0
2020-12-22,3.0,3.262,2.95,3.11,89508.0
2020-12-21,3.26,3.59,3.15,3.27,99613.0
2020-12-18,3.23,3.89,3.1356,3.7,277689.0
2020-12-17,3.29,3.33,3.0,3.3,283045.0
2020-12-16,3.23,3.5,2.91,3.3,1391782.0
2020-12-15,2.05,5.89,1.95,5.31,8376730.0
2020-12-14,1.9523,1.97,1.9001,1.9001,2862.0
2020-12-11,2.06,2.06,1.9,1.9,969.0
2020-12-10,2.07,2.07,1.9089,1.94,10691.0
2020-12-09,1.96,2.09,1.92,1.97,4373.0
2020-12-08,2.07,2.1,1.89,1.965,27394.0
2020-12-07,2.2,2.3,2.1456,2.22,17237.0
2020-12-04,1.91,2.4,1.83,2.4,177251.0
2020-12-03,2.09,2.09,1.83,1.91,6389.0
2020-12-02,1.94,2.0292,1.94,2.0,675.0
2020-12-01,1.91,1.94,1.91,1.94,1096.0
2020-11-30,1.98,2.01,1.9,1.9,2652.0
2020-11-27,2.06,2.06,2.05,2.06,380.0
2020-11-25,2.09,2.14,2.01,2.0303,9039.0
2020-11-24,2.1687,2.23,2.1687,2.18,1286.0
2020-11-23,2.4,2.4,2.1,2.2455,2715.0
2020-11-20,2.4,2.4,2.17,2.28,3140.0
2020-11-19,1.95,2.29,1.95,2.29,2230.0
2020-11-18,2.25,2.2571,2.07,2.254,5029.0
2020-11-17,2.19,2.34,2.12,2.31,6511.0
2020-11-16,2.21,2.4,2.2,2.31,8162.0
2020-11-13,2.3473,2.4,2.3073,2.31,11721.0
2020-11-12,2.25,2.37,2.25,2.3066,9017.0
2020-11-11,2.2001,2.25,2.2001,2.25,971.0
2020-11-10,1.9733,2.17,1.9733,2.1,3109.0
2020-11-09,2.22,2.22,2.0027,2.01,1296.0
2020-11-06,2.0965,2.15,2.08,2.11,6212.0
2020-11-05,2.1187,2.1187,2.1187,2.1187,190.0
2020-11-04,1.95,2.1187,1.95,2.1187,2976.0
2020-11-03,1.855,2.1,1.855,2.05,10075.0
2020-11-02,1.84,1.89,1.84,1.89,1938.0
2020-10-30,1.9038,1.9038,1.85,1.85,1302.0
2020-10-29,1.94,1.94,1.94,1.94,106.0
2020-10-28,2.03,2.03,1.82,1.87,2809.0
2020-10-27,1.85,2.17,1.85,2.007,8447.0
2020-10-26,1.8396,1.8396,1.8396,1.8396,703.0
2020-10-23,2.0,2.0527,1.84,1.87,17346.0
2020-10-22,1.7216,2.1558,1.68,2.13,119206.0
2020-10-21,1.705,1.73,1.705,1.7299,1219.0
2020-10-20,1.68,1.8665,1.68,1.75,6128.0
2020-10-19,1.7001,1.7001,1.7001,1.7001,2.0
2020-10-16,1.7,1.72,1.7,1.7001,1336.0
2020-10-15,1.71,1.71,1.71,1.71,2.0
2020-10-14,1.71,1.71,1.71,1.71,413.0
2020-10-13,1.77,1.77,1.71,1.71,865.0
2020-10-12,1.7186,1.76,1.7186,1.735,6546.0
2020-10-09,1.74,1.78,1.74,1.75,1049.0
2020-10-08,1.8173,1.8173,1.8173,1.8173,112.0
2020-10-07,1.81,1.8173,1.795,1.8173,1461.0
2020-10-06,1.9,1.9,1.78,1.81,9817.0
2020-10-05,1.82,2.0371,1.82,2.0371,6030.0
2020-10-02,1.81,1.87,1.805,1.805,1590.0
2020-10-01,1.94,1.94,1.88,1.88,1621.0
2020-09-30,1.95,2.0,1.95,1.975,2173.0
2020-09-29,1.966,1.9922,1.88,1.9814,3600.0
2020-09-28,2.02,2.02,1.93,1.975,765.0
2020-09-25,2.04,2.05,2.04,2.05,877.0
2020-09-24,2.0,2.0,2.0,2.0,758.0
2020-09-23,1.99,1.99,1.99,1.99,200.0
2020-09-22,2.06,2.06,2.06,2.06,308.0
2020-09-21,2.06,2.06,2.06,2.06,349.0
2020-09-18,2.03,2.04,2.02,2.04,1461.0
2020-09-17,2.06,2.06,2.06,2.06,884.0
2020-09-16,2.035,2.06,2.035,2.06,1482.0
2020-09-15,2.05,2.0728,2.025,2.06,4258.0
2020-09-14,2.09,2.12,2.09,2.12,652.0
2020-09-11,2.0027,2.0387,2.0,2.02,3869.0
2020-09-10,2.0305,2.0305,2.0305,2.0305,59.0
2020-09-09,2.0305,2.0305,2.0305,2.0305,616.0
2020-09-08,2.04,2.04,2.04,2.04,568.0
2020-09-04,2.03,2.12,2.03,2.1,1877.0
2020-09-03,2.03,2.11,2.01,2.11,2534.0
2020-09-02,2.18,2.18,2.13,2.17,2028.0
2020-09-01,2.1,2.175,2.1,2.14,7926.0
2020-08-31,2.1,2.12,2.01,2.0528,7714.0
2020-08-28,2.0,2.12,2.0,2.1,15722.0
2020-08-27,1.93,2.0,1.93,2.0,295.0
2020-08-26,1.95,2.01,1.895,2.01,1777.0
2020-08-25,2.07,2.07,1.94,1.96,2348.0
2020-08-24,1.94,2.01,1.9,1.95,15109.0
2020-08-21,1.85,2.02,1.8,1.9404,10972.0
2020-08-20,1.92,1.97,1.88,1.905,6763.0
2020-08-19,1.96,1.97,1.88,1.95,12603.0
2020-08-18,1.892,1.99,1.8474,1.962,25923.0
2020-08-17,1.825,2.0,1.825,1.872,29343.0
2020-08-14,1.81,1.81,1.8,1.8,3070.0
2020-08-13,1.78,1.79,1.78,1.79,6833.0
2020-08-12,1.8,1.816,1.7838,1.785,2604.0
2020-08-11,1.85,1.855,1.78,1.78,6036.0
2020-08-10,1.7101,1.7912,1.7101,1.765,5293.0
2020-08-07,1.8199,1.8199,1.67,1.791,10583.0
2020-08-06,1.8191,1.9,1.81,1.81,12929.0
2020-08-05,1.79,1.81,1.75,1.795,13871.0
2020-08-04,1.7013,1.9,1.67,1.79,85736.0
2020-08-03,1.6,1.844,1.6,1.76,25734.0
2020-07-31,1.92,1.99,1.7401,1.78,46838.0
2020-07-30,1.7,2.06,1.61,1.9301,474974.0
2020-07-29,1.65,1.7,1.6,1.66,9168.0
2020-07-28,1.6001,1.6601,1.6001,1.65,1794.0
2020-07-27,1.6379,1.71,1.62,1.63,10380.0
2020-07-24,1.6101,1.73,1.58,1.64,6252.0
2020-07-23,1.63,1.65,1.61,1.64,5035.0
2020-07-22,1.63,1.66,1.63,1.66,3963.0
2020-07-21,1.73,1.74,1.61,1.66,19514.0
2020-07-20,1.63,2.04,1.63,1.77,253456.0
2020-07-17,1.64,1.68,1.6,1.63,17700.0
2020-07-16,1.59,1.67,1.54,1.57,5800.0
2020-07-15,1.61,1.69,1.57,1.62,2700.0
2020-07-14,1.62,1.62,1.45,1.59,10900.0
2020-07-13,1.71,1.71,1.5,1.67,28600.0
2020-07-10,1.64,2.1,1.64,1.71,250600.0
2020-07-09,1.61,1.68,1.61,1.67,44100.0
2020-07-08,1.64,1.69,1.56,1.66,9700.0
2020-07-07,1.58,1.68,1.46,1.66,7700.0
2020-07-06,1.7,1.7,1.59,1.63,7200.0
2020-07-02,1.63,1.68,1.58,1.68,2700.0
2020-07-01,1.55,1.65,1.45,1.65,7300.0
2020-06-30,1.64,1.75,1.6,1.65,10600.0
2020-06-29,1.48,1.6,1.46,1.6,5300.0
2020-06-26,1.61,1.62,1.53,1.53,771.0
2020-06-25,1.51,1.61,1.45,1.61,3539.0
2020-06-24,1.5899,1.5899,1.5001,1.5001,2574.0
2020-06-23,1.6,1.6242,1.5001,1.59,4096.0
2020-06-22,1.72,1.72,1.56,1.6,11905.0
2020-06-19,1.661,1.7,1.66,1.68,7977.0
2020-06-18,1.65,1.92,1.5,1.68,56681.0
2020-06-17,1.61,1.8199,1.41,1.6902,67815.0
2020-06-16,1.95,1.95,1.6,1.62,34540.0
2020-06-15,1.48,2.05,1.38,1.77,181106.0
2020-06-12,1.48,1.58,1.48,1.51,15797.0
2020-06-11,1.57,1.57,1.351,1.48,53223.0
2020-06-10,1.3,2.2,1.3,1.7,282393.0
2020-06-09,1.36,1.4,1.3,1.3,69322.0
