date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,3.17,3.17,3.08,3.13,33422.0
2021-03-11,3.17,3.19,3.1,3.14,40052.0
2021-03-10,3.03,3.18,3.03,3.15,26372.0
2021-03-09,3.2,3.23,3.0,3.08,25787.0
2021-03-08,3.08,3.2451,3.02,3.08,54921.0
2021-03-05,3.01,3.2014,2.92,3.02,50784.0
2021-03-04,3.18,3.25,2.8,2.94,91012.0
2021-03-03,3.19,3.31,3.13,3.24,53914.0
2021-03-02,3.32,3.32,3.1,3.12,47466.0
2021-03-01,3.39,3.44,3.21,3.27,83456.0
2021-02-26,3.2,3.45,3.13,3.34,89959.0
2021-02-25,3.45,3.5,3.0653,3.27,88302.0
2021-02-24,3.37,3.59,3.31,3.44,98510.0
2021-02-23,3.3,3.41,3.07,3.37,84210.0
2021-02-22,3.25,3.57,3.25,3.41,103188.0
2021-02-19,3.16,3.2901,3.16,3.26,33575.0
2021-02-18,3.33,3.36,3.155,3.21,54190.0
2021-02-17,3.39,3.39,3.2,3.33,73862.0
2021-02-16,3.22,3.4099,3.13,3.35,131513.0
2021-02-12,3.23,3.2776,3.1,3.15,34892.0
2021-02-11,3.25,3.2982,3.1023,3.17,60755.0
2021-02-10,3.16,3.3,3.0201,3.25,130490.0
2021-02-09,3.26,3.31,3.02,3.1,172908.0
2021-02-08,3.1,3.29,3.0627,3.22,118457.0
2021-02-05,2.93,3.2499,2.93,3.05,68312.0
2021-02-04,3.01,3.1,2.89,3.02,107316.0
2021-02-03,2.74,2.96,2.7001,2.9,138898.0
2021-02-02,2.71,2.85,2.6801,2.74,101455.0
2021-02-01,2.8,2.86,2.66,2.76,140521.0
2021-01-29,3.13,3.26,2.715,2.82,309721.0
2021-01-28,2.65,3.63,2.6407,3.26,982707.0
2021-01-27,2.61,2.8414,2.5598,2.7,92584.0
2021-01-26,2.95,2.95,2.71,2.74,57185.0
2021-01-25,2.93,2.95,2.8001,2.82,58688.0
2021-01-22,2.83,3.1,2.8041,2.93,105647.0
2021-01-21,2.8,2.87,2.7558,2.83,19598.0
2021-01-20,2.96,2.96,2.8005,2.82,53382.0
2021-01-19,2.8,3.0711,2.79,2.96,131913.0
2021-01-15,2.75,2.849,2.57,2.8,120189.0
2021-01-14,2.6,2.74,2.54,2.71,84201.0
2021-01-13,2.62,2.6581,2.5,2.53,60646.0
2021-01-12,2.53,2.615,2.46,2.57,129197.0
2021-01-11,2.66,2.8,2.434,2.47,68623.0
2021-01-08,2.46,2.68,2.36,2.64,159528.0
2021-01-07,2.32,2.46,2.318,2.4,77566.0
2021-01-06,2.29,2.43,2.28,2.32,84455.0
2021-01-05,2.28,2.4699,2.28,2.37,71774.0
2021-01-04,2.36,2.3899,2.23,2.28,41315.0
2020-12-31,2.3,2.38,2.21,2.3,172872.0
2020-12-30,2.24,2.29,2.23,2.2627,55337.0
2020-12-29,2.29,2.29,2.2146,2.26,25342.0
2020-12-28,2.35,2.37,2.2102,2.24,112297.0
2020-12-24,2.42,2.4681,2.36,2.38,35341.0
2020-12-23,2.36,2.53,2.36,2.48,92666.0
2020-12-22,2.39,2.3983,2.353,2.36,32182.0
2020-12-21,2.34,2.44,2.34,2.38,69575.0
2020-12-18,2.42,2.49,2.37,2.41,45882.0
2020-12-17,2.32,2.4591,2.32,2.4,33532.0
2020-12-16,2.58,2.6475,2.25,2.35,142802.0
2020-12-15,2.66,2.66,2.525,2.59,30712.0
2020-12-14,2.7,2.7,2.55,2.64,56684.0
2020-12-11,2.7,2.7273,2.55,2.65,74384.0
2020-12-10,2.68,2.94,2.55,2.72,291663.0
2020-12-09,2.35,3.86,2.34,2.38,3142611.0
2020-12-08,2.3,2.4099,2.3,2.35,69118.0
2020-12-07,2.23,2.39,2.21,2.29,54153.0
2020-12-04,2.425,2.445,2.11,2.35,108954.0
2020-12-03,2.3,2.455,2.3,2.39,42774.0
2020-12-02,2.3,2.49,2.3,2.33,69729.0
2020-12-01,2.36,2.4,2.3014,2.37,83207.0
2020-11-30,2.55,2.58,2.35,2.37,49643.0
