date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,2.22,2.26,2.22,2.24,192875.0
2021-03-11,2.25,2.2689,2.21,2.24,176842.0
2021-03-10,2.15,2.24,2.13,2.24,269090.0
2021-03-09,2.14,2.18,2.1,2.15,170820.0
2021-03-08,2.12,2.1742,2.1,2.13,304010.0
2021-03-05,2.15,2.19,2.09,2.12,316701.0
2021-03-04,2.16,2.2,2.08,2.11,428808.0
2021-03-03,2.17,2.2,2.12,2.15,265846.0
2021-03-02,2.25,2.26,2.12,2.18,327049.0
2021-03-01,2.24,2.26,2.2,2.23,166909.0
2021-02-26,2.24,2.24,2.15,2.2,237085.0
2021-02-25,2.26,2.28,2.2,2.22,448182.0
2021-02-24,2.26,2.2699,2.21,2.23,246621.0
2021-02-23,2.29,2.3099,2.22,2.26,297915.0
2021-02-22,2.32,2.34,2.2538,2.27,525851.0
2021-02-19,2.36,2.38,2.32,2.34,218573.0
2021-02-18,2.39,2.4,2.33,2.34,293103.0
2021-02-17,2.4,2.4,2.33,2.38,332609.0
2021-02-16,2.4,2.42,2.3601,2.38,281027.0
2021-02-12,2.36,2.4,2.36,2.37,123357.0
2021-02-11,2.45,2.45,2.36,2.39,235778.0
2021-02-10,2.48,2.5,2.38,2.43,209399.0
2021-02-09,2.5,2.5,2.4289,2.47,198993.0
2021-02-08,2.46,2.48,2.41,2.45,350485.0
2021-02-05,2.39,2.42,2.37,2.4,101779.0
2021-02-04,2.33,2.37,2.28,2.36,139240.0
2021-02-03,2.41,2.42,2.31,2.33,217012.0
2021-02-02,2.43,2.43,2.32,2.37,127730.0
2021-02-01,2.35,2.4144,2.3,2.36,264588.0
2021-01-29,2.34,2.34,2.24,2.29,315278.0
2021-01-28,2.41,2.43,2.31,2.33,102651.0
2021-01-27,2.36,2.39,2.32,2.33,99666.0
2021-01-26,2.36,2.45,2.33,2.36,254340.0
2021-01-25,2.39,2.4396,2.33,2.36,133925.0
2021-01-22,2.39,2.44,2.35,2.39,139059.0
2021-01-21,2.47,2.47,2.36,2.38,198480.0
2021-01-20,2.44,2.5299,2.41,2.47,165756.0
2021-01-19,2.51,2.51,2.43,2.45,160876.0
2021-01-15,2.5,2.565,2.46,2.49,116544.0
2021-01-14,2.54,2.58,2.51,2.55,149383.0
2021-01-13,2.55,2.65,2.51,2.56,83741.0
2021-01-12,2.47,2.55,2.4694,2.55,81936.0
2021-01-11,2.52,2.53,2.44,2.44,128975.0
2021-01-08,2.51,2.5899,2.495,2.51,145848.0
2021-01-07,2.62,2.63,2.51,2.52,185805.0
2021-01-06,2.62,2.65,2.56,2.58,108985.0
2021-01-05,2.64,2.71,2.57,2.64,218947.0
2021-01-04,2.73,2.73,2.52,2.68,417894.0
2020-12-31,2.6,2.71,2.5125,2.7,399632.0
2020-12-30,2.67,2.74,2.55,2.61,248760.0
2020-12-29,2.61,2.67,2.46,2.66,245854.0
2020-12-28,2.62,2.65,2.48,2.63,320614.0
2020-12-24,2.66,2.675,2.63,2.64,12443.0
2020-12-23,2.64,2.73,2.64,2.66,107519.0
2020-12-22,2.69,2.7099,2.615,2.68,273649.0
2020-12-21,2.62,2.74,2.62,2.69,111899.0
2020-12-18,2.71,2.8,2.67,2.79,177995.0
2020-12-17,2.66,2.74,2.6599,2.73,58238.0
2020-12-16,2.64,2.67,2.58,2.67,95727.0
2020-12-15,2.7,2.7,2.63,2.66,58735.0
2020-12-14,2.73,2.75,2.63,2.65,105822.0
2020-12-11,2.69,2.78,2.69,2.73,60422.0
