date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,201.59,205.31,201.55,205.31,17417.0
2021-03-11,196.34,199.52,196.34,198.97,304327.0
2021-03-10,193.68,197.8,193.68,197.8,2516.0
2021-03-09,199.04,199.46,193.45,193.73,1559.0
2021-03-08,204.52,205.18,200.73,202.05,39153.0
2021-03-05,202.98,204.84,193.51,204.03,25702.0
2021-03-04,199.68,201.31,192.51,196.83,49837.0
2021-03-03,186.51,189.5,186.51,187.66,2645.0
2021-03-02,183.42,185.23,183.15,183.94,1100.0
2021-03-01,188.92,190.03,187.15,187.15,3447.0
2021-02-26,182.87,185.21,182.87,184.6,10901.0
2021-02-25,188.15,188.34,183.47,186.25,56301.0
2021-02-24,186.03,191.05,186.03,190.11,2820.0
2021-02-23,181.35,186.94,181.35,185.18,13612.0
2021-02-22,183.64,186.56,183.64,185.69,8771.0
2021-02-19,176.79,180.62,176.79,180.13,131231.0
2021-02-18,159.34,168.84,159.34,167.67,11092.0
2021-02-17,159.71,159.71,157.22,157.22,25843.0
2021-02-16,166.2,166.2,163.13,163.13,3631.0
2021-02-12,165.12,168.5,165.07,168.5,4678.0
2021-02-11,164.8,165.68,161.89,165.68,4603.0
2021-02-10,166.7,166.74,166.7,166.74,2858.0
2021-02-09,165.22,165.32,165.22,165.32,876.0
2021-02-08,166.19,166.19,166.19,166.19,763.0
2021-02-05,163.1,163.32,163.1,163.32,1056.0
2021-02-04,163.08,163.08,163.08,163.08,1074.0
2021-02-03,159.49,161.18,159.06,161.18,15448.0
2021-02-02,163.3,163.3,157.37,158.3,32841.0
2021-02-01,155.05,159.13,153.73,159.03,28234.0
2021-01-29,163.82,163.82,152.72,154.08,20591.0
2021-01-28,172.35,172.76,159.91,160.43,12301.0
2021-01-27,166.02,174.16,166.02,168.83,27168.0
2021-01-26,166.88,168.51,166.83,168.51,9833.0
2021-01-25,167.24,167.24,165.12,165.8,3055.0
2021-01-22,165.37,167.94,165.37,167.94,1705.0
2021-01-21,165.78,166.83,164.32,166.3,113185.0
2021-01-20,166.13,168.41,164.76,166.57,11501.0
2021-01-19,160.61,164.4,160.61,164.4,2993.0
2021-01-15,159.85,161.49,159.05,161.16,5997.0
2021-01-14,164.84,164.84,162.92,164.825,27725.0
2021-01-13,166.22,166.71,162.59,163.15,359415.0
2021-01-12,165.92,169.65,165.92,169.49,141706.0
2021-01-11,164.74,166.79,164.24,164.24,1376.0
2021-01-08,165.04,165.18,162.45,165.18,1516.0
2021-01-07,169.2,170.87,168.97,169.83,403505.0
2021-01-06,163.62,170.96,163.62,168.52,4800.0
2021-01-05,159.46,160.01,159.46,159.81,1617.0
2021-01-04,159.64,159.64,154.26,155.8,2321.0
2020-12-31,159.49,163.24,159.49,161.54,57898.0
2020-12-30,154.77,160.06,154.77,159.72,127850.0
2020-12-29,155.35,155.61,153.04,153.14,2203.0
2020-12-28,156.51,156.62,155.55,155.55,1589.0
2020-12-24,154.2517,154.29,154.2517,154.26,959.0
2020-12-23,153.7299,155.06,153.7299,155.06,1309.0
2020-12-22,153.39,154.04,152.6324,152.82,2284.0
2020-12-21,148.3,153.24,148.3,153.24,1319.0
2020-12-18,156.32,156.32,152.84,154.52,15556.0
2020-12-17,156.51,158.21,154.78,155.56,20125.0
2020-12-16,152.71,155.96,152.71,155.75,7611.0
2020-12-15,153.75,155.19,153.75,154.43,1894.0
2020-12-14,154.63,154.63,151.41,151.41,1113.0
2020-12-11,158.74,158.74,156.105,156.44,1000.0
2020-12-10,158.6334,158.6334,158.6334,158.6334,4775.0
2020-12-09,158.36,158.36,158.17,158.295,1333.0
2020-12-08,156.71,157.98,156.58,157.98,1518.0
2020-12-07,157.83,157.83,157.11,157.11,892.0
2020-12-04,157.4,159.4725,157.4,159.4725,941.0
2020-12-03,155.12,155.12,155.12,155.12,310744.0
2020-12-02,153.48,153.48,153.48,153.48,233.0
2020-12-01,153.79,154.71,153.48,153.48,1651.0
2020-11-30,152.12,152.18,151.14,151.21,9410.0
