date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,8.46,8.46,8.17,8.3,73759.0
2021-03-11,8.4,8.41,8.27,8.34,60194.0
2021-03-10,8.25,8.3796,8.235,8.31,70272.0
2021-03-09,8.2,8.36,8.0001,8.23,60464.0
2021-03-08,7.98,8.28,7.96,8.17,38598.0
2021-03-05,8.36,8.36,7.75,8.03,73813.0
2021-03-04,8.87,8.98,8.12,8.17,76365.0
2021-03-03,8.78,8.92,8.63,8.86,309857.0
2021-03-02,8.76,8.7884,8.502,8.66,184539.0
2021-03-01,8.85,8.955,8.54,8.8,89087.0
2021-02-26,8.87,8.87,8.5591,8.73,70544.0
2021-02-25,8.73,8.95,8.38,8.95,93742.0
2021-02-24,8.38,8.79,8.38,8.69,53779.0
2021-02-23,8.33,8.41,8.165,8.32,41138.0
2021-02-22,7.55,8.53,7.55,8.29,84968.0
2021-02-19,7.61,7.73,7.4901,7.62,27961.0
2021-02-18,7.67,7.75,7.48,7.52,18698.0
2021-02-17,7.89,7.89,7.54,7.6,39580.0
2021-02-16,7.87,7.88,7.6,7.7,47157.0
2021-02-12,7.57,7.8,7.48,7.74,44599.0
2021-02-11,7.2,7.545,7.2,7.45,93292.0
2021-02-10,7.74,7.76,7.27,7.27,70711.0
2021-02-09,7.81,7.94,7.66,7.72,15304.0
2021-02-08,7.53,7.81,7.465,7.81,42399.0
2021-02-05,7.42,7.54,7.3,7.53,56908.0
2021-02-04,7.06,7.31,7.06,7.26,48919.0
2021-02-03,7.16,7.2,6.98,7.1,69410.0
2021-02-02,7.24,7.24,7.07,7.18,44000.0
2021-02-01,7.03,7.2,6.9,7.14,50148.0
2021-01-29,7.2,7.2,6.89,7.01,64862.0
2021-01-28,7.09,7.41,7.075,7.24,72531.0
2021-01-27,7.06,7.15,6.95,7.1,108005.0
2021-01-26,7.17,7.305,7.12,7.12,90950.0
2021-01-25,7.17,7.22,7.06,7.18,67170.0
2021-01-22,7.22,7.3,7.2,7.27,60080.0
2021-01-21,7.36,7.36,7.13,7.27,54268.0
2021-01-20,7.4,7.5,7.31,7.36,42618.0
2021-01-19,7.46,7.46,7.36,7.37,90337.0
2021-01-15,7.25,7.53,7.18,7.46,160566.0
2021-01-14,7.3,7.51,7.27,7.35,95104.0
2021-01-13,7.26,7.35,7.2,7.33,68298.0
2021-01-12,7.22,7.34,7.1901,7.31,69709.0
2021-01-11,7.15,7.24,7.0101,7.14,87137.0
2021-01-08,7.21,7.23,7.16,7.17,33288.0
2021-01-07,7.22,7.27,7.01,7.23,89252.0
2021-01-06,7.06,7.43,7.06,7.17,137261.0
2021-01-05,6.8,7.1101,6.8,6.96,158937.0
2021-01-04,7.13,7.13,6.77,6.88,97443.0
2020-12-31,7.15,7.15,6.91,7.05,116975.0
2020-12-30,6.9,7.1199,6.9,7.07,182000.0
2020-12-29,6.91,6.91,6.77,6.85,100640.0
2020-12-28,6.6,6.9,6.56,6.76,153412.0
2020-12-24,6.49,6.54,6.45,6.48,41857.0
2020-12-23,6.47,6.51,6.38,6.41,42593.0
2020-12-22,6.4,6.49,6.3118,6.37,81319.0
2020-12-21,6.37,6.4034,6.16,6.4,278469.0
2020-12-18,6.58,6.69,6.41,6.5,311299.0
2020-12-17,6.2,6.57,6.2,6.56,93248.0
2020-12-16,6.49,6.54,6.2,6.2,65018.0
2020-12-15,6.5,6.59,6.348,6.49,38610.0
2020-12-14,6.56,6.64,6.415,6.43,53550.0
2020-12-11,6.67,6.67,6.469,6.55,35685.0
2020-12-10,6.48,6.76,6.4006,6.72,66342.0
2020-12-09,6.55,6.7342,6.47,6.49,71675.0
2020-12-08,6.36,6.65,6.36,6.5,159478.0
2020-12-07,6.7,6.71,6.4298,6.49,174195.0
2020-12-04,6.58,6.83,6.58,6.7,178425.0
2020-12-03,6.56,6.635,6.49,6.51,149256.0
2020-12-02,6.59,6.6887,6.49,6.56,29682.0
2020-12-01,6.5,6.66,6.42,6.59,90196.0
2020-11-30,6.24,6.48,6.24,6.35,77769.0
2020-11-27,6.18,6.2936,6.0701,6.24,45255.0
2020-11-25,6.2,6.29,6.05,6.1,67017.0
2020-11-24,6.0,6.37,5.99,6.24,114943.0
2020-11-23,6.05,6.1,5.97,5.99,90752.0
2020-11-20,5.96,6.04,5.901,6.0,71586.0
2020-11-19,6.01,6.11,5.91,6.03,68921.0
2020-11-18,6.12,6.2333,6.1,6.1,89067.0
2020-11-17,6.08,6.3327,6.03,6.11,92985.0
2020-11-16,5.84,6.1,5.84,6.08,68996.0
2020-11-13,5.59,5.78,5.59,5.69,87348.0
2020-11-12,5.7,5.8,5.51,5.6,127102.0
2020-11-11,5.85,5.95,5.64,5.72,74417.0
