date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,77.28,77.72,76.8013,77.31,646743.0
2021-03-11,77.14,77.915,76.75,77.29,716706.0
2021-03-10,76.78,76.78,75.51,76.32,405742.0
2021-03-09,75.0,76.285,73.84,76.06,663984.0
2021-03-08,75.11,75.11,73.07,73.12,641113.0
2021-03-05,74.22,75.31,73.46,75.1,531229.0
2021-03-04,72.84,75.28,72.64,73.0,588100.0
2021-03-03,75.63,75.75,73.24,73.24,495852.0
2021-03-02,75.81,75.81,74.74,75.41,193909.0
2021-03-01,75.0,76.33,74.73,75.8,284820.0
2021-02-26,74.01,74.62,73.15,74.28,460739.0
2021-02-25,73.72,74.23,73.0,73.39,417220.0
2021-02-24,73.62,74.45,73.21,73.36,655358.0
2021-02-23,74.18,74.87,73.39,73.39,746601.0
2021-02-22,74.98,75.0,74.15,74.43,378116.0
2021-02-19,76.62,76.87,75.25,75.34,416169.0
2021-02-18,76.55,77.7365,76.16,76.43,867375.0
2021-02-17,75.89,77.7496,75.89,76.95,1006737.0
2021-02-16,76.91,77.865,76.54,76.71,492118.0
2021-02-12,76.73,77.7298,76.69,76.98,1227927.0
2021-02-11,77.59,77.59,76.8,76.99,570228.0
2021-02-10,77.64,78.02,77.01,77.24,661194.0
2021-02-09,77.4,78.09,77.0,77.21,319082.0
2021-02-08,77.6,78.865,77.32,77.44,605298.0
2021-02-05,79.59,79.59,77.72,77.73,353977.0
2021-02-04,78.81,80.015,78.4,78.42,519237.0
2021-02-03,79.5,79.5,75.77,78.77,553246.0
2021-02-02,79.73,80.41,78.59,80.0,487756.0
2021-02-01,79.83,79.965,78.36,78.53,266261.0
2021-01-29,79.0,80.24,77.94,78.97,501465.0
2021-01-28,80.88,81.12,79.0901,79.51,560609.0
2021-01-27,78.35,80.19,78.35,79.99,475627.0
2021-01-26,80.61,80.95,79.69,80.52,341359.0
2021-01-25,79.28,80.11,78.51,79.95,410220.0
2021-01-22,79.09,80.39,79.03,79.72,398175.0
2021-01-21,80.13,80.41,79.46,80.0,581418.0
2021-01-20,80.21,81.0,79.93,80.35,704262.0
2021-01-19,78.7,80.18,77.35,79.98,808231.0
2021-01-15,80.96,81.49,77.5,77.63,1577941.0
2021-01-14,82.8,83.73,81.59,81.82,644169.0
2021-01-13,82.11,84.96,81.75,82.4,857926.0
2021-01-12,86.0,89.1,83.76,83.87,2783796.0
2021-01-11,80.91,84.72,80.91,84.66,352984.0
2021-01-08,82.69,84.29,81.25,82.48,235687.0
2021-01-07,81.82,82.83,80.565,82.7,131213.0
2021-01-06,80.69,82.33,80.17,81.89,229702.0
2021-01-05,76.22,79.52,76.22,79.16,295849.0
2021-01-04,79.05,79.7144,75.42,76.17,485338.0
2020-12-31,78.9,79.82,78.07,78.86,180778.0
2020-12-30,77.53,80.19,77.0101,78.69,198955.0
2020-12-29,79.15,79.94,77.27,77.58,251214.0
2020-12-28,80.3,80.6448,79.06,79.13,144172.0
2020-12-24,79.88,80.91,78.23,79.45,207648.0
2020-12-23,77.29,79.98,77.2,79.52,218302.0
2020-12-22,77.57,78.61,76.14,76.59,221643.0
2020-12-21,74.51,77.93,74.35,77.06,377503.0
2020-12-18,77.13,77.61,75.31,76.77,668514.0
2020-12-17,76.8,77.21,75.55,76.97,317016.0
2020-12-16,76.89,77.79,75.37,76.9,305397.0
2020-12-15,77.57,77.57,75.81,76.46,449435.0
2020-12-14,75.4,77.45,74.2,76.01,563613.0
2020-12-11,73.19,74.56,72.1,74.46,305687.0
2020-12-10,72.06,75.38,72.06,74.27,416569.0
2020-12-09,76.0,76.0,71.16,72.78,614634.0
2020-12-08,64.0,76.03,63.53,75.1,1759769.0
2020-12-07,63.23,64.36,60.94,61.6,749910.0
2020-12-04,61.14,63.52,60.89,63.18,216582.0
2020-12-03,59.32,61.745,59.095,60.3,193498.0
2020-12-02,59.55,59.69,58.08,59.33,209515.0
2020-12-01,60.49,61.78,59.25,59.75,277561.0
2020-11-30,59.61,60.82,58.6,59.43,242360.0
2020-11-27,58.66,60.21,58.061,59.95,129484.0
2020-11-25,58.79,59.47,56.58,58.59,183243.0
2020-11-24,59.22,60.04,56.59,59.31,337268.0
2020-11-23,57.28,58.74,56.54,58.27,201137.0
2020-11-20,56.15,56.93,55.59,56.32,148117.0
2020-11-19,54.98,56.64,54.98,56.52,139486.0
2020-11-18,57.7,57.7,55.26,55.34,222119.0
2020-11-17,56.07,57.445,54.76,57.3,236274.0
2020-11-16,56.95,57.05,55.4,56.82,163088.0
2020-11-13,54.02,56.31,54.02,55.65,170022.0
2020-11-12,53.76,54.34,52.865,53.37,208871.0
2020-11-11,57.34,57.5,54.02,54.5,189276.0
2020-11-10,57.29,58.13,56.73,57.23,235093.0
2020-11-09,58.99,60.1,56.91,57.01,637363.0
2020-11-06,52.93,53.46,52.02,52.25,179495.0
2020-11-05,50.5,53.04,50.14,52.64,551642.0
2020-11-04,48.75,51.05,48.46,50.54,330062.0
2020-11-03,49.79,50.4,48.99,49.6,260309.0
2020-11-02,48.64,48.88,47.7,48.69,335881.0
2020-10-30,48.28,48.58,47.08,47.84,244287.0
2020-10-29,45.91,48.99,45.875,48.37,248448.0
2020-10-28,46.51,47.36,45.97,46.31,240653.0
2020-10-27,50.38,50.98,47.504,47.81,542391.0
2020-10-26,51.17,51.89,49.87,50.62,251367.0
2020-10-23,52.58,52.87,51.25,52.07,478022.0
2020-10-22,50.5,53.16,50.5,51.82,844014.0
2020-10-21,47.53,48.24,47.04,47.92,120966.0
2020-10-20,49.26,49.79,47.59,47.72,292386.0
2020-10-19,47.59,49.49,47.38,48.81,543812.0
2020-10-16,46.38,47.56,46.015,47.33,272291.0
2020-10-15,43.44,46.75,43.29,46.38,283931.0
2020-10-14,44.39,44.99,43.44,43.92,181874.0
2020-10-13,46.55,46.9,44.56,44.57,206898.0
2020-10-12,47.38,48.45,47.07,47.2,232030.0
2020-10-09,47.83,47.98,46.28,47.36,278879.0
2020-10-08,46.45,48.04,45.69,47.4,394147.0
2020-10-07,44.65,45.83,44.423,45.76,251302.0
2020-10-06,43.73,45.82,43.73,44.26,268942.0
2020-10-05,43.49,44.36,42.06,43.1,308090.0
