date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,10.4,10.57,10.25,10.47,471670.0
2021-03-11,10.51,10.57,10.215,10.49,647496.0
2021-03-10,10.05,10.41,9.98,10.37,559795.0
2021-03-09,9.93,10.05,9.72,9.97,487099.0
2021-03-08,9.97,10.12,9.76,9.9,569316.0
2021-03-05,9.96,9.96,9.34,9.8,882933.0
2021-03-04,10.11,10.52,9.61,9.83,1199159.0
2021-03-03,10.08,10.28,9.85,10.05,1064492.0
2021-03-02,9.72,10.19,9.7,9.97,807361.0
2021-03-01,9.83,9.95,9.54,9.61,794667.0
2021-02-26,9.67,9.75,9.4056,9.65,741709.0
2021-02-25,10.04,10.0671,9.62,9.67,900798.0
2021-02-24,9.97,10.43,9.91,10.11,782401.0
2021-02-23,10.14,10.25,9.63,9.9,869201.0
2021-02-22,9.96,10.36,9.93,10.2,949803.0
2021-02-19,9.6,9.96,9.6,9.93,662550.0
2021-02-18,9.8,9.83,9.51,9.51,496026.0
2021-02-17,9.83,10.03,9.75,9.89,533014.0
2021-02-16,9.82,10.09,9.71,9.84,1131471.0
2021-02-12,9.09,9.57,9.01,9.54,880582.0
2021-02-11,9.09,9.13,8.81,9.13,491859.0
2021-02-10,9.2,9.3,8.95,9.05,523622.0
2021-02-09,9.0,9.22,8.83,9.14,640129.0
2021-02-08,8.77,9.205,8.7,9.02,847216.0
2021-02-05,8.55,8.79,8.49,8.56,712586.0
2021-02-04,8.24,8.5,8.23,8.42,774742.0
2021-02-03,8.15,8.44,8.08,8.21,892198.0
2021-02-02,8.42,8.44,7.7,8.16,1870699.0
2021-02-01,8.25,8.56,8.2,8.43,764337.0
2021-01-29,7.98,8.43,7.81,8.0,949852.0
2021-01-28,7.88,8.12,7.88,8.05,744819.0
2021-01-27,8.14,8.2,7.76,7.84,915703.0
2021-01-26,8.5,8.5,8.045,8.13,813391.0
2021-01-25,8.8,8.81,8.2199,8.5,691269.0
2021-01-22,8.4,8.81,8.2701,8.81,736578.0
2021-01-21,8.76,8.76,8.47,8.48,631474.0
2021-01-20,8.82,8.8687,8.44,8.64,781224.0
2021-01-19,8.94,9.0272,8.55,8.71,776626.0
2021-01-15,9.28,9.29,8.9,8.96,620512.0
2021-01-14,9.13,9.43,9.02,9.29,678622.0
2021-01-13,9.35,9.425,8.87,9.02,691547.0
2021-01-12,9.24,9.61,9.1795,9.37,769815.0
2021-01-11,8.69,9.16,8.63,9.16,586235.0
2021-01-08,8.7,9.23,8.6,8.77,756897.0
2021-01-07,8.12,8.63,8.02,8.57,837204.0
2021-01-06,8.35,8.44,7.96,8.12,718782.0
2021-01-05,8.22,8.33,8.03,8.27,503965.0
2021-01-04,8.33,8.475,8.2,8.22,696963.0
2020-12-31,8.0,8.325,7.98,8.28,481742.0
2020-12-30,7.78,8.18,7.78,8.04,436988.0
2020-12-29,7.85,7.9,7.68,7.8,344416.0
2020-12-28,7.98,8.04,7.82,7.86,369336.0
2020-12-24,8.03,8.03,7.75,7.84,559074.0
2020-12-23,7.83,8.205,7.82,8.05,475552.0
2020-12-22,8.05,8.05,7.7,7.8,454714.0
2020-12-21,7.92,8.09,7.83,8.05,563114.0
2020-12-18,7.99,8.33,7.9317,8.06,652225.0
2020-12-17,7.93,7.9992,7.8,7.93,378812.0
2020-12-16,8.04,8.07,7.74,7.92,509539.0
2020-12-15,7.66,8.09,7.66,7.99,464942.0
2020-12-14,7.8,8.12,7.65,7.66,637777.0
2020-12-11,7.7,7.7,7.49,7.62,383061.0
2020-12-10,7.46,7.798,7.36,7.7,470852.0
2020-12-09,7.44,7.5,7.26,7.46,516915.0
2020-12-08,7.33,7.57,7.31,7.37,445915.0
2020-12-07,7.67,7.7318,7.3,7.42,696004.0
2020-12-04,7.29,7.75,7.22,7.68,754823.0
2020-12-03,7.2,7.36,7.11,7.29,483188.0
2020-12-02,7.03,7.25,6.92,7.18,375791.0
2020-12-01,7.31,7.425,6.945,7.1,650613.0
2020-11-30,7.4,7.45,7.15,7.18,811162.0
2020-11-27,7.2,7.47,7.11,7.44,343128.0
2020-11-25,7.18,7.3,7.05,7.26,510712.0
2020-11-24,7.28,7.44,7.2,7.24,829062.0
2020-11-23,7.05,7.185,6.97,7.15,1011775.0
2020-11-20,6.86,6.93,6.69,6.91,466194.0
2020-11-19,7.05,7.07,6.78,6.92,750277.0
2020-11-18,7.11,7.39,6.9,6.9,1145483.0
2020-11-17,6.84,7.0,6.71,6.99,536438.0
2020-11-16,6.55,6.86,6.475,6.86,731419.0
2020-11-13,6.34,6.515,6.3344,6.38,644380.0
2020-11-12,6.45,6.5,6.155,6.25,535534.0
2020-11-11,6.66,6.66,6.26,6.48,570814.0
2020-11-10,6.47,6.695,6.36,6.64,757443.0
2020-11-09,6.2,6.47,6.15,6.38,757722.0
2020-11-06,6.0,6.01,5.77,5.8,378134.0
2020-11-05,5.87,6.07,5.87,5.98,395551.0
2020-11-04,5.81,5.91,5.68,5.8,328856.0
2020-11-03,5.87,5.98,5.78,5.9,568215.0
2020-11-02,5.73,5.86,5.68,5.72,446317.0
2020-10-30,5.7,5.8,5.6301,5.69,505668.0
2020-10-29,5.82,5.83,5.5,5.71,1147687.0
2020-10-28,6.26,6.35,5.74,5.78,1062811.0
2020-10-27,6.5,6.62,6.38,6.56,512555.0
2020-10-26,6.81,6.82,6.4,6.52,530343.0
2020-10-23,6.9,7.05,6.81,6.91,511122.0
2020-10-22,6.77,6.89,6.7,6.82,352571.0
2020-10-21,7.28,7.35,6.63,6.76,1069336.0
2020-10-20,6.88,7.47,6.82,7.38,2087087.0
2020-10-19,6.89,6.895,6.72,6.79,398297.0
2020-10-16,7.11,7.14,6.84,6.88,509828.0
2020-10-15,6.68,7.09,6.56,7.05,609261.0
2020-10-14,6.69,6.77,6.51,6.67,445530.0
2020-10-13,6.59,6.71,6.43,6.67,595685.0
2020-10-12,6.48,6.69,6.38,6.63,597318.0
2020-10-09,6.6,6.67,6.45,6.49,366796.0
2020-10-08,6.34,6.56,6.34,6.53,448967.0
2020-10-07,6.3,6.38,6.16,6.34,701334.0
2020-10-06,6.42,6.43,6.18,6.18,758315.0
2020-10-05,6.57,6.74,6.36,6.38,453314.0
2020-10-02,6.17,6.59,6.11,6.52,515093.0
2020-10-01,6.1,6.44,6.1,6.38,1047645.0
2020-09-30,6.16,6.26,6.06,6.07,719501.0
2020-09-29,5.84,6.425,5.83,6.16,1645768.0
2020-09-28,5.56,5.84,5.47,5.79,1002703.0
2020-09-25,5.1,5.19,5.0858,5.13,507959.0
2020-09-24,5.2,5.2,4.97,5.1,580863.0
2020-09-23,5.22,5.33,5.1418,5.19,527598.0
2020-09-22,5.37,5.4,5.21,5.23,538054.0
2020-09-21,5.82,5.82,5.34,5.36,841774.0
2020-09-18,5.86,6.07,5.7343,5.95,970776.0
2020-09-17,5.9,5.975,5.7,5.84,693859.0
2020-09-16,5.6,5.96,5.48,5.94,1109911.0
2020-09-15,5.55,5.68,5.46,5.56,558370.0
2020-09-14,5.52,5.56,5.33,5.54,580170.0
2020-09-11,5.3,5.58,5.19,5.44,1077837.0
2020-09-10,5.01,5.39,4.99,5.24,1001535.0
2020-09-09,5.04,5.06,4.95,5.01,547845.0
2020-09-08,4.98,5.08,4.86,5.01,690754.0
2020-09-04,4.9,5.0,4.78,4.99,597397.0
2020-09-03,4.9,4.93,4.77,4.81,542445.0
2020-09-02,4.98,5.0,4.82,4.9,577890.0
2020-09-01,5.01,5.04,4.93,5.0,530427.0
2020-08-31,5.15,5.24,5.05,5.05,579130.0
2020-08-28,5.0,5.22,4.94,5.22,777314.0
2020-08-27,4.86,5.139,4.7763,4.94,1160889.0
2020-08-26,4.8,4.92,4.73,4.77,859298.0
2020-08-25,5.06,5.1801,4.745,4.9,1817553.0
2020-08-24,4.95,5.1,4.89,5.03,503737.0
2020-08-21,4.98,5.03,4.88,4.89,318107.0
2020-08-20,4.94,5.1,4.81,5.05,483650.0
2020-08-19,5.11,5.185,5.0,5.0,388181.0
2020-08-18,5.42,5.42,5.14,5.14,579668.0
2020-08-17,5.4,5.4698,5.3618,5.43,517706.0
2020-08-14,5.19,5.5,5.19,5.43,463452.0
2020-08-13,5.2,5.29,5.11,5.29,390819.0
2020-08-12,5.39,5.42,5.1501,5.23,304439.0
2020-08-11,5.3,5.55,5.22,5.27,862056.0
2020-08-10,4.99,5.28,4.9801,5.24,914967.0
2020-08-07,4.8,4.98,4.7,4.97,438486.0
2020-08-06,4.77,4.8488,4.665,4.75,361733.0
2020-08-05,4.72,4.77,4.6499,4.75,561672.0
2020-08-04,4.64,4.78,4.6,4.66,497105.0
2020-08-03,4.57,4.65,4.48,4.6,498000.0
2020-07-31,4.79,4.79,4.5,4.55,834315.0
2020-07-30,4.78,4.8701,4.67,4.78,534446.0
2020-07-29,4.89,4.92,4.75,4.78,736136.0
2020-07-28,5.05,5.12,4.7,4.8,1381875.0
2020-07-27,5.22,5.22,5.07,5.12,603771.0
2020-07-24,5.43,5.43,5.14,5.18,826458.0
2020-07-23,5.07,5.47,5.06,5.46,1199950.0
2020-07-22,5.02,5.38,4.87,5.02,1593550.0
2020-07-21,4.78,4.81,4.63,4.74,659567.0
2020-07-20,4.91,4.94,4.81,4.81,838907.0
2020-07-17,4.92,4.99,4.84,4.88,506452.0
2020-07-16,4.96,4.97,4.85,4.91,398360.0
2020-07-15,4.99,5.07,4.9,4.99,451759.0
2020-07-14,4.73,4.9,4.67,4.9,473362.0
2020-07-13,4.9,4.93,4.6,4.73,944498.0
2020-07-10,4.58,4.87,4.58,4.81,538468.0
2020-07-09,4.89,4.89,4.56,4.6,1030431.0
2020-07-08,5.06,5.1,4.79,4.9,860957.0
2020-07-07,5.21,5.21,5.03,5.12,405438.0
2020-07-06,5.2,5.29,5.1,5.24,651981.0
2020-07-02,5.45,5.47,5.09,5.1,795379.0
2020-07-01,5.57,5.64,5.25,5.39,628851.0
2020-06-30,5.55,5.59,5.36,5.56,484988.0
2020-06-29,5.35,5.72,5.305,5.59,828606.0
2020-06-26,5.6,5.63,5.25,5.36,1230958.0
2020-06-25,5.64,5.84,5.52,5.65,806944.0
2020-06-24,6.0,6.04,5.54,5.83,1379218.0
2020-06-23,5.35,6.22,5.28,5.95,3925691.0
2020-06-22,5.34,5.43,5.17,5.26,559512.0
2020-06-19,5.1,5.59,4.96,5.23,1408686.0
2020-06-18,4.79,5.06,4.66,5.0,554881.0
2020-06-17,4.9,4.93,4.8,4.85,331634.0
2020-06-16,5.38,5.38,4.86,4.89,708800.0
2020-06-15,4.69,5.14,4.6,5.13,479306.0
2020-06-12,5.06,5.08,4.74,4.81,565313.0
2020-06-11,5.09,5.09,4.81,4.82,589606.0
2020-06-10,5.55,5.55,5.19,5.2,544673.0
2020-06-09,5.69,5.69,5.31,5.6,804060.0
2020-06-08,5.46,5.85,5.45,5.85,593478.0
2020-06-05,5.19,5.47,5.19,5.3,822996.0
2020-06-04,4.93,5.0,4.81,5.0,352036.0
2020-06-03,4.8,4.97,4.77,4.95,643481.0
2020-06-02,4.82,4.85,4.61,4.7,465823.0
2020-06-01,4.55,4.83,4.53,4.78,473993.0
2020-05-29,4.85,4.86,4.57,4.6,518773.0
2020-05-28,5.12,5.16,4.84,4.86,394403.0
2020-05-27,5.1,5.12,4.99,5.1,397912.0
2020-05-26,4.63,4.98,4.63,4.93,602762.0
2020-05-22,4.6,4.62,4.42,4.48,424848.0
2020-05-21,4.64,4.7,4.57,4.63,265149.0
2020-05-20,4.51,4.75,4.48,4.67,584339.0
2020-05-19,4.48,4.53,4.35,4.42,260904.0
2020-05-18,4.42,4.52,4.36,4.48,508630.0
2020-05-15,4.32,4.32,4.17,4.21,438568.0
2020-05-14,4.2,4.32,4.01,4.31,426047.0
2020-05-13,4.29,4.33,4.03,4.26,538638.0
2020-05-12,4.55,4.55,4.31,4.34,584457.0
2020-05-11,4.7,4.73,4.47,4.52,541352.0
2020-05-08,4.81,4.9,4.69,4.78,398103.0
2020-05-07,4.51,4.66,4.5,4.65,508260.0
2020-05-06,4.69,4.73,4.49,4.51,521575.0
2020-05-05,4.85,4.91,4.67,4.69,586031.0
2020-05-04,4.57,4.76,4.45,4.76,529805.0
2020-05-01,4.86,4.87,4.43,4.69,989188.0
2020-04-30,5.34,5.34,4.93,5.02,780927.0
2020-04-29,5.55,5.55,5.01,5.46,1398411.0
2020-04-28,5.16,5.22,5.01,5.15,495655.0
2020-04-27,5.04,5.24,5.0,5.06,826315.0
2020-04-24,4.95,5.08,4.83,5.04,549880.0
2020-04-23,4.61,5.03,4.61,4.86,549676.0
2020-04-22,4.93,4.93,4.52,4.59,579949.0
2020-04-21,4.81,4.95,4.79,4.79,871531.0
2020-04-20,4.8,4.97,4.68,4.96,741437.0
2020-04-17,4.98,5.09,4.89,5.01,747580.0
2020-04-16,4.98,5.1,4.71,4.84,866432.0
2020-04-15,4.8,5.04,4.41,4.98,1205060.0
2020-04-14,4.91,5.11,4.71,5.04,875991.0
2020-04-13,4.71,4.93,4.54,4.89,752358.0
2020-04-09,4.75,4.92,4.51,4.71,878698.0
2020-04-08,4.31,4.67,4.25,4.66,704031.0
2020-04-07,4.2,4.42,4.2,4.25,721203.0
2020-04-06,4.17,4.25,4.0,4.06,608672.0
2020-04-03,4.15,4.22,3.86,4.02,448669.0
2020-04-02,4.33,4.37,4.03,4.17,678856.0
2020-04-01,4.25,4.57,4.2,4.34,732163.0
2020-03-31,4.4,4.62,4.33,4.52,735844.0
2020-03-30,4.23,4.45,4.18,4.3,474842.0
2020-03-27,4.84,4.87,4.28,4.28,731650.0
2020-03-26,4.45,5.1,4.37,5.07,1086504.0
2020-03-25,3.96,4.53,3.9,4.33,836279.0
2020-03-24,3.85,3.93,3.71,3.89,558693.0
2020-03-23,3.58,3.7,3.41,3.56,671165.0
2020-03-20,3.58,4.49,3.57,3.69,1018886.0
2020-03-19,3.49,3.67,3.16,3.55,990410.0
2020-03-18,3.63,3.99,3.25,3.6,1044743.0
2020-03-17,3.9,4.26,3.7,4.0,1264096.0
2020-03-16,4.15,4.36,3.9,3.92,1327936.0
2020-03-13,5.26,5.34,4.5,4.62,1728568.0
2020-03-12,5.08,5.32,5.0,5.01,1004803.0
2020-03-11,5.6,5.84,5.51,5.61,651523.0
2020-03-10,5.68,5.86,5.43,5.84,890420.0
2020-03-09,5.82,6.14,5.46,5.48,975032.0
2020-03-06,6.15,6.38,6.03,6.19,923191.0
2020-03-05,6.4,6.46,6.24,6.32,1359614.0
2020-03-04,6.43,6.57,6.35,6.47,1019211.0
2020-03-03,6.44,6.65,6.26,6.34,1613930.0
2020-03-02,6.57,6.57,6.22,6.38,1217277.0
2020-02-28,6.16,6.53,6.13,6.53,1579267.0
2020-02-27,6.37,6.72,6.16,6.35,1472722.0
2020-02-26,6.49,6.62,6.34,6.55,1096075.0
2020-02-25,6.69,6.77,6.37,6.42,1354775.0
2020-02-24,6.84,6.92,6.65,6.68,980023.0
2020-02-21,7.38,7.47,7.04,7.09,850994.0
2020-02-20,7.46,7.66,7.42,7.48,807662.0
2020-02-19,7.57,7.6,7.31,7.46,722409.0
2020-02-18,7.66,7.66,7.36,7.49,922122.0
2020-02-14,7.6,7.7,7.49,7.66,777727.0
2020-02-13,7.8,7.8,7.53,7.54,601963.0
2020-02-12,7.78,7.86,7.74,7.8,1065725.0
2020-02-11,7.65,7.8,7.58,7.64,465138.0
2020-02-10,7.78,7.78,7.43,7.54,698552.0
2020-02-07,7.76,7.87,7.62,7.78,484404.0
2020-02-06,8.26,8.27,7.73,7.77,754812.0
2020-02-05,8.12,8.24,8.05,8.23,718884.0
2020-02-04,8.14,8.14,7.96,8.09,677571.0
2020-02-03,7.94,8.04,7.81,7.96,1228509.0
2020-01-31,8.05,8.1,7.85,7.93,855131.0
2020-01-30,8.28,8.35,7.76,8.14,1062962.0
2020-01-29,8.75,9.29,8.15,8.29,1919240.0
2020-01-28,8.15,8.39,7.95,8.26,1286729.0
2020-01-27,7.6,8.16,7.51,8.05,1883444.0
2020-01-24,7.97,8.1,7.76,7.84,967335.0
