date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,27.4,27.55,27.4,27.55,5226.0
2021-03-11,27.47,27.65,27.4537,27.65,9123.0
2021-03-10,27.3,27.39,27.27,27.39,19142.0
2021-03-09,27.2652,27.31,27.251,27.3,4312.0
2021-03-08,27.06,27.19,27.06,27.19,7015.0
2021-03-05,26.92,27.1007,26.92,27.06,3675.0
2021-03-04,27.05,27.17,26.89,27.0,13167.0
2021-03-03,26.71,27.0299,26.71,27.0299,6311.0
2021-03-02,26.7477,26.94,26.7477,26.885,9395.0
2021-03-01,26.66,26.8,26.66,26.8,5904.0
2021-02-26,26.47,26.63,26.47,26.63,17958.0
2021-02-25,26.73,26.73,26.4209,26.52,13042.0
2021-02-24,26.87,26.875,26.57,26.595,16284.0
2021-02-23,26.91,27.1,26.9,26.94,4926.0
2021-02-22,27.07,27.08,26.96,26.97,15525.0
2021-02-19,27.03,27.13,27.03,27.1144,5259.0
2021-02-18,27.04,27.13,26.98,27.13,8060.0
2021-02-17,27.06,27.14,27.04,27.08,11191.0
2021-02-16,27.255,27.42,27.08,27.12,13137.0
2021-02-12,27.355,27.58,27.24,27.49,7698.0
2021-02-11,27.6265,27.6265,27.42,27.43,7520.0
2021-02-10,27.6785,27.68,27.5879,27.62,5496.0
2021-02-09,27.67,27.67,27.67,27.67,1081.0
2021-02-08,27.55,27.64,27.54,27.54,3307.0
2021-02-05,27.67,27.67,27.4633,27.6399,3761.0
2021-02-04,27.68,27.68,27.4979,27.65,5968.0
2021-02-03,27.74,27.74,27.53,27.62,3224.0
2021-02-02,27.67,27.75,27.64,27.66,21687.0
2021-02-01,27.63,27.63,27.3236,27.55,3646.0
2021-01-29,27.6,27.63,27.36,27.63,30534.0
2021-01-28,27.46,27.6,27.415,27.52,4332.0
2021-01-27,27.7,27.7764,27.39,27.46,11342.0
2021-01-26,27.59,27.78,27.58,27.78,40608.0
2021-01-25,27.7,27.7056,27.59,27.59,3657.0
2021-01-22,27.68,27.74,27.66,27.716,2600.0
2021-01-21,27.62,27.63,27.57,27.57,4934.0
2021-01-20,27.62,27.7,27.57,27.635,10153.0
2021-01-19,27.5708,27.65,27.55,27.61,6361.0
