date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,4.48,4.53,4.48,4.5,37824.0
2021-03-11,4.53,4.55,4.5,4.51,30772.0
2021-03-10,4.55,4.5592,4.5,4.51,32438.0
2021-03-09,4.54,4.56,4.54,4.55,19273.0
2021-03-08,4.51,4.54,4.5,4.52,24741.0
2021-03-05,4.54,4.54,4.5101,4.52,44734.0
2021-03-04,4.48,4.52,4.48,4.5,17870.0
2021-03-03,4.5,4.55,4.48,4.49,45430.0
2021-03-02,4.49,4.53,4.46,4.51,186775.0
2021-03-01,4.49,4.52,4.49,4.51,83304.0
2021-02-26,4.44,4.47,4.39,4.47,73160.0
2021-02-25,4.44,4.48,4.41,4.44,88056.0
2021-02-24,4.41,4.52,4.41,4.48,77007.0
2021-02-23,4.43,4.43,4.38,4.43,113519.0
2021-02-22,4.49,4.49,4.4,4.4,130832.0
2021-02-19,4.5,4.5393,4.495,4.51,74404.0
2021-02-18,4.53,4.5399,4.48,4.5,129595.0
2021-02-17,4.59,4.6073,4.53,4.54,41585.0
2021-02-16,4.67,4.67,4.57,4.57,46817.0
2021-02-12,4.7,4.7,4.67,4.7,54019.0
2021-02-11,4.65,4.73,4.62,4.72,124494.0
2021-02-10,4.63,4.64,4.6099,4.64,70462.0
2021-02-09,4.57,4.61,4.57,4.61,40856.0
2021-02-08,4.58,4.6,4.5447,4.59,67136.0
2021-02-05,4.49,4.59,4.49,4.56,130302.0
2021-02-04,4.52,4.54,4.49,4.5,126676.0
2021-02-03,4.49,4.69,4.48,4.69,43946.0
2021-02-02,4.47,4.5,4.47,4.5,85740.0
2021-02-01,4.44,4.48,4.44,4.47,86386.0
2021-01-29,4.48,4.4832,4.43,4.45,144131.0
2021-01-28,4.45,4.49,4.45,4.48,60349.0
2021-01-27,4.42,4.48,4.42,4.46,191312.0
2021-01-26,4.49,4.49,4.46,4.4873,43712.0
2021-01-25,4.47,4.48,4.47,4.48,67508.0
2021-01-22,4.47,4.48,4.47,4.48,85264.0
2021-01-21,4.47,4.49,4.468,4.475,51959.0
2021-01-20,4.43,4.46,4.43,4.45,41975.0
2021-01-19,4.46,4.4602,4.42,4.43,56501.0
2021-01-15,4.45,4.4899,4.43,4.44,36058.0
2021-01-14,4.46,4.5398,4.45,4.45,60751.0
2021-01-13,4.46,4.46,4.44,4.45,78793.0
2021-01-12,4.45,4.46,4.43,4.45,39552.0
2021-01-11,4.42,4.44,4.42,4.43,32034.0
2021-01-08,4.44,4.4499,4.43,4.43,32830.0
2021-01-07,4.44,4.456,4.4275,4.44,38609.0
2021-01-06,4.42,4.76,4.42,4.44,323781.0
2021-01-05,4.41,4.44,4.41,4.44,47881.0
2021-01-04,4.4,4.42,4.35,4.41,143543.0
2020-12-31,4.37,4.4,4.355,4.4,142932.0
2020-12-30,4.36,4.41,4.34,4.34,474999.0
2020-12-29,4.34,4.37,4.33,4.36,145636.0
2020-12-28,4.38,4.43,4.32,4.33,232629.0
2020-12-24,4.35,4.39,4.34,4.39,85349.0
2020-12-23,4.36,4.38,4.35,4.35,87240.0
2020-12-22,4.36,4.38,4.35,4.36,76458.0
2020-12-21,4.37,4.39,4.35,4.36,97835.0
2020-12-18,4.35,4.39,4.35,4.36,66271.0
2020-12-17,4.4,4.4,4.34,4.35,64529.0
2020-12-16,4.37,4.4055,4.36,4.39,102532.0
2020-12-15,4.43,4.43,4.37,4.39,105886.0
2020-12-14,4.45,4.45,4.42,4.44,169441.0
2020-12-11,4.45,4.46,4.43,4.44,30652.0
2020-12-10,4.45,4.47,4.431,4.44,57073.0
2020-12-09,4.42,4.45,4.399,4.45,81978.0
2020-12-08,4.4,4.42,4.39,4.41,30028.0
2020-12-07,4.39,4.4097,4.38,4.39,40018.0
2020-12-04,4.37,4.4,4.37,4.38,42918.0
2020-12-03,4.35,4.38,4.35,4.38,39760.0
2020-12-02,4.34,4.37,4.335,4.35,60125.0
2020-12-01,4.35,4.35,4.32,4.33,80995.0
2020-11-30,4.36,4.36,4.3,4.32,107550.0
2020-11-27,4.32,4.35,4.32,4.35,12520.0
2020-11-25,4.32,4.35,4.29,4.31,58467.0
2020-11-24,4.3,4.33,4.2916,4.31,76997.0
2020-11-23,4.32,4.33,4.29,4.29,116140.0
2020-11-20,4.32,4.33,4.31,4.32,26776.0
2020-11-19,4.32,4.37,4.32,4.325,23493.0
2020-11-18,4.3,4.38,4.3,4.32,107742.0
2020-11-17,4.3,4.32,4.28,4.31,21773.0
2020-11-16,4.3,4.33,4.29,4.3,50911.0
2020-11-13,4.29,4.3,4.28,4.28,34284.0
2020-11-12,4.29,4.29,4.28,4.28,16095.0
2020-11-11,4.27,4.29,4.27,4.28,16341.0
2020-11-10,4.27,4.29,4.26,4.27,22262.0
2020-11-09,4.25,4.31,4.25,4.27,40841.0
2020-11-06,4.21,4.26,4.21,4.24,34263.0
2020-11-05,4.25,4.26,4.21,4.23,124705.0
2020-11-04,4.2,4.24,4.1915,4.22,37626.0
2020-11-03,4.17,4.18,4.14,4.17,47028.0
2020-11-02,4.17,4.2,4.14,4.17,51736.0
2020-10-30,4.2,4.2,4.13,4.17,66067.0
2020-10-29,4.15,4.185,4.14,4.18,64780.0
2020-10-28,4.16,4.18,4.11,4.18,82340.0
2020-10-27,4.15,4.17,4.11,4.17,64457.0
2020-10-26,4.16,4.1757,4.14,4.14,86302.0
2020-10-23,4.24,4.24,4.18,4.19,58544.0
2020-10-22,4.22,4.24,4.2,4.22,59135.0
2020-10-21,4.23,4.24,4.19,4.22,55382.0
2020-10-20,4.19,4.24,4.19,4.23,27574.0
2020-10-19,4.19,4.22,4.19,4.2,53973.0
2020-10-16,4.21,4.2199,4.19,4.2,25324.0
2020-10-15,4.2,4.23,4.2,4.21,57781.0
2020-10-14,4.22,4.24,4.22,4.22,35633.0
