date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,4.6,4.64,4.51,4.58,60509.0
2021-03-12,4.63,4.64,4.56,4.57,68717.0
2021-03-11,4.78,4.79,4.58,4.62,121002.0
2021-03-10,4.55,4.83,4.33,4.8,449835.0
2021-03-09,4.55,4.6,4.2,4.53,394331.0
2021-03-08,4.79,4.79,4.5,4.55,310861.0
2021-03-05,4.83,4.86,4.7,4.79,649602.0
2021-03-04,4.88,4.88,4.77,4.8,478241.0
2021-03-03,4.9,4.95,4.86,4.91,735482.0
2021-03-02,4.9,4.98,4.8,4.92,2356633.0
2021-03-01,4.31,4.42,4.21,4.32,187095.0
2021-02-26,4.4,4.57,4.14,4.16,401165.0
2021-02-25,4.3,4.6524,4.28,4.46,741628.0
2021-02-24,4.39,4.46,4.32,4.35,167920.0
2021-02-23,4.47,4.51,4.02,4.38,476959.0
2021-02-22,4.38,4.62,4.3762,4.52,248193.0
2021-02-19,4.41,4.67,4.27,4.38,467540.0
2021-02-18,4.4,4.44,4.22,4.35,240573.0
2021-02-17,4.63,4.66,4.4,4.4,246891.0
2021-02-16,4.45,4.63,4.4321,4.62,264780.0
2021-02-12,4.55,4.6,4.38,4.45,277420.0
2021-02-11,4.36,4.56,4.34,4.55,285643.0
2021-02-10,4.41,4.4799,4.2,4.34,308085.0
2021-02-09,4.42,4.4379,4.31,4.4,360929.0
2021-02-08,4.17,4.27,4.1321,4.22,288849.0
2021-02-05,4.13,4.19,3.99,4.16,219810.0
2021-02-04,4.02,4.24,4.02,4.11,332566.0
2021-02-03,4.04,4.1,4.0,4.03,101243.0
2021-02-02,4.05,4.07,4.0,4.04,155409.0
2021-02-01,3.97,4.07,3.9201,4.0,223105.0
2021-01-29,3.85,3.9659,3.845,3.87,159615.0
2021-01-28,3.9,3.98,3.8,3.8,135834.0
2021-01-27,4.13,4.15,3.88,3.9,121367.0
2021-01-26,4.05,4.19,4.04,4.13,163641.0
2021-01-25,3.92,4.05,3.9,4.04,254315.0
2021-01-22,3.96,3.96,3.84,3.94,78812.0
2021-01-21,3.98,3.98,3.86,3.92,109687.0
2021-01-20,3.96,4.1,3.93,3.97,462080.0
2021-01-19,4.0,4.03,3.83,3.95,240536.0
