date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,23.77,24.09,23.77,24.0,118642.0
2021-03-11,23.74,24.07,23.57,23.83,114310.0
2021-03-10,23.87,24.0877,23.79,23.81,133236.0
2021-03-09,24.44,24.44,23.8613,23.87,229012.0
2021-03-08,23.73,24.49,23.67,24.26,215817.0
2021-03-05,24.12,24.125,23.04,23.82,219036.0
2021-03-04,24.49,24.5999,23.5,23.99,178376.0
2021-03-03,23.9,24.66,23.7222,24.43,206602.0
2021-03-02,22.96,24.39,22.9501,24.01,250796.0
2021-03-01,24.03,24.6,22.61,22.72,393079.0
2021-02-26,23.87,24.18,23.5,23.65,287002.0
2021-02-25,23.33,24.28,23.33,23.83,338730.0
2021-02-24,22.9,23.55,22.88,23.33,221317.0
2021-02-23,23.02,23.1251,22.5,22.91,134427.0
2021-02-22,23.5,23.6133,22.86,22.98,107739.0
2021-02-19,23.27,23.6512,22.995,23.59,97880.0
2021-02-18,22.96,23.41,22.53,23.27,149126.0
2021-02-17,23.41,23.51,22.9,23.16,126840.0
2021-02-16,23.5,23.79,23.2719,23.79,166610.0
2021-02-12,22.92,23.41,22.62,23.26,224407.0
2021-02-11,22.68,22.86,22.46,22.85,100296.0
2021-02-10,22.68,22.789,22.39,22.58,137550.0
2021-02-09,21.84,22.75,21.8,22.68,205443.0
2021-02-08,21.37,22.0516,21.37,21.9,175296.0
2021-02-05,21.02,21.47,21.02,21.44,98593.0
2021-02-04,21.24,21.4999,21.24,21.43,64853.0
2021-02-03,20.68,21.24,20.68,21.18,123366.0
2021-02-02,20.6,20.968,20.6,20.91,77389.0
2021-02-01,20.8,20.82,20.4,20.51,248427.0
2021-01-29,20.89,20.97,20.35,20.6,233215.0
2021-01-28,20.94,20.9499,20.57,20.76,207046.0
2021-01-27,20.5,20.94,20.48,20.78,227170.0
2021-01-26,20.94,21.16,20.6004,20.85,158125.0
2021-01-25,21.36,21.36,20.5127,20.94,316900.0
2021-01-22,21.45,21.68,21.13,21.37,257365.0
2021-01-21,21.23,21.59,21.2,21.41,263669.0
2021-01-20,21.75,21.75,21.1562,21.36,178000.0
2021-01-19,21.4,21.95,21.3709,21.66,230734.0
2021-01-15,21.03,21.48,20.9,21.45,178169.0
