date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,8.0,8.02,8.0,8.02,969.0
2021-03-11,8.14,8.2616,8.0,8.0,1145.0
2021-03-10,8.8,8.8,8.225,8.225,3257.0
2021-03-09,9.02,9.02,8.3978,8.91,15138.0
2021-03-08,8.0,8.4907,8.0,8.2,1123.0
2021-03-05,8.02,8.02,8.0101,8.0101,627.0
2021-03-04,8.01,8.79,8.01,8.06,71278.0
2021-03-03,8.66,8.67,8.4901,8.67,3342.0
2021-03-02,8.69,8.69,8.5,8.5,30313.0
2021-03-01,8.7,8.7,8.4401,8.475,2843.0
2021-02-26,8.2,8.7199,8.04,8.45,32295.0
2021-02-25,8.23,8.23,8.15,8.15,1066.0
2021-02-24,8.1376,8.1376,8.1157,8.1157,782.0
2021-02-23,8.445,8.45,8.3,8.3,9753.0
2021-02-22,8.86,8.86,8.2801,8.695,2158.0
2021-02-19,8.38,8.46,8.3,8.3,445.0
2021-02-18,8.57,8.7549,8.3101,8.3101,1257.0
2021-02-17,8.55,8.95,8.36,8.36,1834.0
2021-02-16,8.3352,9.0,8.3352,8.8786,1551.0
2021-02-12,9.01,9.01,8.64,8.64,1248.0
2021-02-11,8.97,8.97,8.77,8.77,521.0
2021-02-10,8.51,8.51,8.51,8.51,517.0
2021-02-09,8.72,8.77,8.72,8.77,545.0
2021-02-08,8.57,8.77,8.53,8.53,1709.0
2021-02-05,8.09,8.6,8.09,8.4319,1298.0
2021-02-04,8.4975,8.4975,8.4975,8.4975,530.0
2021-02-03,8.0,8.4,8.0,8.4,1808.0
2021-02-02,8.04,8.05,8.04,8.05,3213.0
2021-02-01,8.05,8.05,7.5887,7.75,2924.0
2021-01-29,8.0552,8.0552,8.0552,8.0552,494.0
2021-01-28,7.92,8.1,7.92,8.1,339.0
2021-01-27,8.23,8.23,8.146,8.146,1701.0
2021-01-26,8.44,8.44,7.99,8.05,4906.0
2021-01-25,7.79,8.6,7.7226,8.6,3479.0
2021-01-22,7.83,8.11,7.83,7.965,997.0
2021-01-21,7.5,8.1213,7.5,8.1213,3686.0
2021-01-20,8.05,8.05,8.03,8.03,1587.0
2021-01-19,8.06,8.11,7.9,8.11,5090.0
2021-01-15,7.93,7.93,7.93,7.93,424.0
2021-01-14,8.02,8.02,7.9318,7.9318,613.0
2021-01-13,7.74,8.0,7.6699,8.0,4360.0
2021-01-12,7.74,7.74,7.74,7.74,186.0
2021-01-11,8.0,8.0,7.28,7.34,2672.0
2021-01-08,7.97,8.0,7.96,8.0,1596.0
2021-01-07,7.8638,7.8638,7.388,7.56,1099.0
2021-01-06,7.43,7.61,7.43,7.51,1028.0
2021-01-05,7.47,7.47,7.47,7.47,167.0
2021-01-04,7.46,7.8,7.46,7.47,1431.0
2020-12-31,7.46,7.46,7.46,7.46,124.0
