date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,9.57,10.28,9.2,9.54,222600.0
2021-03-11,9.4,9.63,9.05,9.63,202411.0
2021-03-10,9.31,9.5,9.14,9.27,172108.0
2021-03-09,9.06,9.28,8.88,9.25,208355.0
2021-03-08,8.89,9.11,8.71,8.99,141347.0
2021-03-05,8.82,8.87,8.3,8.78,187834.0
2021-03-04,8.6,9.0,8.4128,8.59,219823.0
2021-03-03,8.82,9.14,8.54,8.59,487802.0
2021-03-02,8.83,9.17,8.69,8.77,188386.0
2021-03-01,9.4,9.49,8.94,8.95,242856.0
2021-02-26,9.05,9.31,8.7,9.11,292827.0
2021-02-25,9.52,9.83,9.035,9.12,160345.0
2021-02-24,9.12,10.0,9.12,9.65,400964.0
2021-02-23,8.63,9.1399,8.5,8.99,399083.0
2021-02-22,8.15,9.105,8.15,8.67,333778.0
2021-02-19,8.18,8.5,8.15,8.22,197131.0
2021-02-18,8.28,8.43,8.09,8.17,130284.0
2021-02-17,8.21,8.4,8.01,8.31,130918.0
2021-02-16,8.21,8.38,8.21,8.3,162990.0
2021-02-12,8.18,8.2608,8.02,8.23,104313.0
2021-02-11,8.29,8.41,8.03,8.24,133906.0
2021-02-10,7.79,8.23,7.76,8.22,183269.0
2021-02-09,7.99,7.99,7.7,7.74,288976.0
2021-02-08,7.85,8.1303,7.8,8.0,162290.0
2021-02-05,7.82,7.99,7.6,7.8,242114.0
2021-02-04,7.5,7.9,7.5,7.74,330207.0
2021-02-03,7.14,7.5,7.14,7.39,283428.0
2021-02-02,6.9,7.37,6.85,7.3,267973.0
2021-02-01,6.8,7.03,6.62,6.83,98844.0
2021-01-29,6.97,7.05,6.74,6.81,195484.0
2021-01-28,6.92,7.17,6.75,7.06,112890.0
2021-01-27,6.85,6.9603,6.51,6.82,190846.0
2021-01-26,7.29,7.29,7.0,7.08,165401.0
2021-01-25,7.28,7.41,6.93,7.24,90015.0
2021-01-22,6.87,7.4,6.67,7.39,138332.0
2021-01-21,7.33,7.33,6.9,7.07,95790.0
2021-01-20,7.03,7.33,7.0,7.28,248315.0
2021-01-19,6.87,7.11,6.745,7.03,142482.0
2021-01-15,6.66,6.74,6.59,6.71,90040.0
2021-01-14,6.93,7.01,6.79,6.84,71193.0
2021-01-13,6.7,6.81,6.64,6.79,99475.0
2021-01-12,6.7,7.02,6.64,6.76,89946.0
2021-01-11,6.57,6.75,6.55,6.63,117473.0
2021-01-08,6.79,6.82,6.58,6.75,70462.0
2021-01-07,6.87,6.92,6.57,6.79,93830.0
2021-01-06,6.61,7.1,6.51,6.86,118917.0
2021-01-05,6.48,6.69,6.34,6.44,139430.0
2021-01-04,6.93,6.93,6.4,6.42,104020.0
2020-12-31,6.73,6.96,6.57,6.88,133419.0
2020-12-30,7.02,7.05,6.65,6.74,126512.0
2020-12-29,6.89,6.99,6.785,6.95,90240.0
2020-12-28,6.74,7.02,6.74,6.84,60862.0
2020-12-24,6.54,6.77,6.48,6.77,42294.0
2020-12-23,6.34,6.65,6.32,6.64,103853.0
2020-12-22,6.25,6.36,6.14,6.3,197770.0
2020-12-21,6.33,6.34,6.05,6.25,166445.0
2020-12-18,6.46,6.65,6.35,6.38,351607.0
2020-12-17,6.57,6.68,6.3,6.52,271393.0
2020-12-16,6.72,6.74,6.39,6.51,222412.0
2020-12-15,6.61,6.755,6.5,6.66,192550.0
2020-12-14,6.88,6.955,6.55,6.6,126934.0
2020-12-11,6.91,6.93,6.71,6.76,175548.0
2020-12-10,6.98,7.1,6.85,6.96,117943.0
2020-12-09,7.04,7.2031,6.85,6.98,101826.0
2020-12-08,6.95,7.17,6.88,6.95,118459.0
2020-12-07,7.49,7.49,6.94,6.98,258765.0
2020-12-04,7.38,7.48,7.22,7.44,300073.0
2020-12-03,7.15,7.38,6.96,7.23,267858.0
2020-12-02,6.57,7.11,6.5,7.02,157445.0
