date,1. open,2. high,3. low,4. close,5. volume
2021-02-12,25.055,25.07,25.05,25.06,14687.0
2021-02-11,25.05,25.06,25.05,25.06,20509.0
2021-02-10,25.05,25.06,25.05,25.06,19237.0
2021-02-09,25.05,25.07,25.05,25.07,14841.0
2021-02-08,25.06,25.08,25.05,25.05,53415.0
2021-02-05,25.05,25.08,25.05,25.05,26035.0
2021-02-04,25.05,25.08,25.05,25.08,10516.0
2021-02-03,25.05,25.08,25.05,25.05,57776.0
2021-02-02,25.09,25.09,25.05,25.06,98600.0
2021-02-01,25.29,25.34,25.28,25.32,22391.0
2021-01-29,25.25,25.29,25.23,25.28,17815.0
2021-01-28,25.22,25.29,25.1999,25.25,26278.0
2021-01-27,25.65,25.68,25.51,25.54,30864.0
2021-01-26,25.62,25.68,25.59,25.65,14467.0
2021-01-25,25.59,25.62,25.55,25.62,21625.0
2021-01-22,25.57,25.6,25.55,25.58,10171.0
2021-01-21,25.53,25.54,25.485,25.53,18362.0
2021-01-20,25.53,25.54,25.46,25.53,14435.0
2021-01-19,25.48,25.53,25.46,25.49,14669.0
2021-01-15,25.44,25.49,25.41,25.42,19706.0
2021-01-14,25.42,25.54,25.4,25.49,20045.0
2021-01-13,25.44,25.44,25.42,25.44,11823.0
2021-01-12,25.48,25.48,25.39,25.41,7781.0
2021-01-11,25.4,25.44,25.39,25.44,7933.0
2021-01-08,25.43,25.44,25.41,25.43,5956.0
2021-01-07,25.38,25.5,25.38,25.41,22392.0
2021-01-06,25.42,25.42,25.36,25.38,24807.0
2021-01-05,25.4,25.42,25.38,25.42,21654.0
2021-01-04,25.45,25.46,25.36,25.37,27725.0
2020-12-31,25.4,25.44,25.33,25.37,339510.0
2020-12-30,25.44,25.48,25.35,25.35,50995.0
2020-12-29,25.53,25.54,25.41,25.45,17198.0
2020-12-28,25.4771,25.5,25.47,25.5,10821.0
2020-12-24,25.43,25.49,25.43,25.48,3018.0
2020-12-23,25.5,25.55,25.41,25.43,18890.0
2020-12-22,25.61,25.61,25.4,25.43,16765.0
2020-12-21,25.56,25.65,25.5414,25.61,15060.0
2020-12-18,25.56,25.56,25.52,25.55,4665.0
2020-12-17,25.53,25.572,25.5,25.53,15701.0
2020-12-16,25.65,25.65,25.5,25.53,31039.0
2020-12-15,25.49,25.74,25.49,25.74,27415.0
2020-12-14,25.47,25.53,25.47,25.49,4656.0
2020-12-11,25.52,25.52,25.41,25.43,20910.0
2020-12-10,25.514,25.53,25.48,25.5,11831.0
2020-12-09,25.47,25.5,25.47,25.49,5903.0
2020-12-08,25.56,25.56,25.48,25.5,9043.0
2020-12-07,25.52,25.52,25.45,25.48,8051.0
2020-12-04,25.53,25.5399,25.46,25.5,12504.0
2020-12-03,25.55,25.5599,25.45,25.5,9942.0
2020-12-02,25.5,25.53,25.45,25.505,13659.0
2020-12-01,25.56,25.56,25.46,25.46,16410.0
2020-11-30,25.67,25.67,25.45,25.5,10287.0
2020-11-27,25.54,25.55,25.46,25.49,6689.0
2020-11-25,25.53,25.53,25.4602,25.4804,10998.0
2020-11-24,25.5,25.5176,25.45,25.46,21388.0
2020-11-23,25.5,25.55,25.43,25.4999,21740.0
2020-11-20,25.6,25.6,25.48,25.51,14610.0
2020-11-19,25.73,25.73,25.48,25.51,16180.0
2020-11-18,25.67,25.7834,25.62,25.62,11575.0
2020-11-17,25.76,25.81,25.7,25.8,8406.0
2020-11-16,25.67,25.85,25.6452,25.81,14074.0
2020-11-13,25.66,25.68,25.62,25.62,3313.0
2020-11-12,25.69,25.7,25.65,25.66,6207.0
2020-11-11,25.7,25.7,25.55,25.61,11469.0
2020-11-10,25.7,25.7,25.556,25.63,10176.0
2020-11-09,25.8,25.8,25.523,25.69,26590.0
2020-11-06,25.72,25.72,25.63,25.63,4832.0
2020-11-05,25.69,25.72,25.61,25.71,16022.0
2020-11-04,25.62,25.69,25.62,25.67,6320.0
2020-11-03,25.63,25.7,25.45,25.45,10792.0
2020-11-02,25.49,25.59,25.3576,25.49,12835.0
2020-10-30,25.39,25.53,25.2,25.53,23650.0
2020-10-29,25.43,25.43,25.25,25.26,9852.0
2020-10-28,25.79,25.85,25.7,25.7,7115.0
2020-10-27,25.75,25.87,25.7,25.79,22418.0
2020-10-26,25.77,25.78,25.64,25.7382,9282.0
2020-10-23,25.7,25.78,25.67,25.77,10399.0
2020-10-22,25.6,25.7,25.56,25.64,9773.0
2020-10-21,25.65,25.6554,25.55,25.55,11700.0
2020-10-20,25.78,25.78,25.65,25.65,3188.0
2020-10-19,25.86,25.86,25.65,25.65,7397.0
2020-10-16,25.8,25.87,25.73,25.73,4700.0
2020-10-15,25.88,25.89,25.72,25.87,13317.0
2020-10-14,25.97,25.97,25.73,25.89,10302.0
2020-10-13,26.0,26.0,25.9136,25.97,3140.0
2020-10-12,26.0,26.0,25.87,26.0,7379.0
2020-10-09,25.98,26.0,25.8502,26.0,5069.0
2020-10-08,25.9,25.94,25.9,25.93,7036.0
2020-10-07,25.8,25.94,25.8,25.94,13287.0
2020-10-06,25.87,25.89,25.75,25.88,14544.0
2020-10-05,25.9,25.9,25.74,25.75,14065.0
2020-10-02,25.74,25.91,25.7133,25.85,25577.0
2020-10-01,25.86,25.86,25.56,25.78,9540.0
2020-09-30,25.7,25.9,25.54,25.54,63983.0
2020-09-29,25.7,25.85,25.645,25.76,29604.0
2020-09-28,25.7,25.7,25.68,25.69,5186.0
2020-09-25,25.59,25.7638,25.59,25.7,11813.0
2020-09-24,25.6,25.6,25.45,25.51,6352.0
2020-09-23,25.7698,25.77,25.43,25.66,7459.0
2020-09-22,25.88,25.896,25.74,25.87,9204.0
2020-09-21,25.75,25.7703,25.6,25.72,5045.0
2020-09-18,25.88,25.9,25.77,25.7893,3953.0
