date,1. open,2. high,3. low,4. close,5. volume
2021-03-17,25.01,25.01,25.01,25.01,50.0
2021-03-16,25.01,25.01,25.01,25.01,150.0
2021-03-15,25.01,25.01,25.01,25.01,150.0
2021-03-12,25.01,25.01,25.01,25.01,0.0
2021-03-11,25.01,25.01,25.01,25.01,50.0
2021-03-10,25.01,25.01,25.01,25.01,50.0
2021-03-09,25.01,25.01,25.01,25.01,0.0
2021-03-08,25.01,25.01,25.01,25.01,100.0
2021-03-05,25.01,25.01,25.01,25.01,50.0
2021-03-04,25.01,25.01,25.01,25.01,100.0
2021-03-03,25.01,25.01,25.01,25.01,100.0
2021-03-02,25.01,25.01,25.01,25.01,150.0
2021-03-01,25.01,25.01,25.01,25.01,100.0
2021-02-26,25.01,25.01,25.01,25.01,0.0
2021-02-25,25.01,25.01,25.01,25.01,100.0
2021-02-24,25.01,25.01,25.01,25.01,100.0
2021-02-23,25.01,25.01,25.01,25.01,150.0
2021-02-22,25.01,25.01,25.01,25.01,50.0
2021-02-19,25.01,25.01,25.01,25.01,50.0
2021-02-18,25.01,25.01,25.01,25.01,150.0
2021-02-17,25.01,25.01,25.01,25.01,50.0
2021-02-16,25.01,25.01,25.01,25.01,150.0
2021-02-12,25.01,25.01,25.01,25.01,50.0
2021-02-11,25.01,25.01,25.01,25.01,0.0
2021-02-10,25.01,25.01,25.01,25.01,50.0
2021-02-09,25.01,25.01,25.01,25.01,0.0
2021-02-08,25.01,25.01,25.01,25.01,0.0
2021-02-05,25.01,25.01,25.01,25.01,100.0
2021-02-04,25.01,25.01,25.01,25.01,250.0
2021-02-03,25.01,25.01,25.01,25.01,50.0
2021-02-02,25.01,25.01,25.01,25.01,0.0
2021-02-01,25.01,25.01,25.01,25.01,200.0
2021-01-29,25.01,25.01,25.01,25.01,50.0
2021-01-28,25.01,25.01,25.01,25.01,100.0
2021-01-27,25.01,25.01,25.01,25.01,150.0
2021-01-26,25.01,25.01,25.01,25.01,200.0
2021-01-25,25.01,25.01,25.01,25.01,50.0
2021-01-22,25.01,25.01,25.01,25.01,150.0
2021-01-21,25.01,25.01,25.01,25.01,0.0
2021-01-20,25.01,25.01,25.01,25.01,50.0
2021-01-19,25.01,25.01,25.01,25.01,100.0
2021-01-15,25.01,25.01,25.01,25.01,150.0
2021-01-14,25.01,25.01,25.01,25.01,50.0
2021-01-13,25.01,25.01,25.01,25.01,50.0
2021-01-12,25.01,25.01,25.01,25.01,50.0
2021-01-11,25.01,25.01,25.01,25.01,50.0
2021-01-08,25.01,25.01,25.01,25.01,100.0
2021-01-07,25.01,25.01,25.01,25.01,0.0
2021-01-06,25.01,25.01,25.01,25.01,100.0
2021-01-05,25.01,25.01,25.01,25.01,150.0
2021-01-04,25.01,25.01,25.01,25.01,0.0
2020-12-31,25.01,25.01,25.01,25.01,0.0
