date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,20.64,20.8599,20.62,20.84,20979.0
2021-03-11,20.74,20.79,20.5765,20.65,27273.0
2021-03-10,19.64,20.61,19.64,20.59,13571.0
2021-03-09,19.86,20.07,19.575,19.64,32081.0
2021-03-08,20.03,20.18,19.76,19.91,41963.0
2021-03-05,20.24,20.4143,19.24,20.0,28995.0
2021-03-04,19.85,20.37,19.635,19.94,36009.0
2021-03-03,19.63,19.95,19.63,19.66,19559.0
2021-03-02,19.35,19.67,19.15,19.55,17669.0
2021-03-01,18.58,19.578,18.58,19.34,38537.0
2021-02-26,19.04,19.04,18.02,18.31,37504.0
2021-02-25,19.61,19.6774,18.71,19.04,37552.0
2021-02-24,18.75,19.55,18.75,19.49,34826.0
2021-02-23,18.47,18.74,17.77,18.61,50670.0
2021-02-22,17.97,18.55,17.97,18.47,22941.0
2021-02-19,17.67,18.08,17.67,17.89,30086.0
2021-02-18,18.48,18.48,17.53,17.61,57333.0
2021-02-17,18.93,18.93,18.2766,18.89,42129.0
2021-02-16,18.46,19.25,18.36,18.8,106409.0
2021-02-12,17.72,18.18,17.69,18.18,28955.0
2021-02-11,17.84,17.91,17.43,17.73,38351.0
2021-02-10,17.56,17.749,17.39,17.7,29030.0
2021-02-09,17.53,17.57,17.35,17.51,25742.0
2021-02-08,17.37,17.64,17.37,17.64,22115.0
2021-02-05,17.02,17.2171,16.99,17.11,31221.0
2021-02-04,16.84,17.215,16.7,16.77,69669.0
2021-02-03,16.33,16.72,16.33,16.62,43848.0
2021-02-02,16.23,16.57,16.18,16.18,29510.0
2021-02-01,16.08,16.12,15.8,15.91,21439.0
2021-01-29,16.13,16.31,15.75,15.86,53485.0
2021-01-28,15.94,16.23,15.86,16.22,46213.0
2021-01-27,16.18,16.375,15.72,15.75,38172.0
2021-01-26,16.49,16.86,16.27,16.34,28022.0
2021-01-25,16.23,16.47,15.92,16.33,27457.0
2021-01-22,16.33,16.42,16.08,16.39,22143.0
2021-01-21,17.36,17.36,16.56,16.63,44461.0
2021-01-20,17.62,17.67,17.18,17.39,60191.0
2021-01-19,17.63,17.63,17.36,17.48,51472.0
2021-01-15,17.64,17.72,17.13,17.5,54545.0
2021-01-14,17.5,17.99,17.5,17.77,39695.0
2021-01-13,17.42,17.5799,17.29,17.41,36937.0
2021-01-12,16.55,17.39,16.55,17.3,45925.0
2021-01-11,15.93,16.34,15.84,16.32,24291.0
2021-01-08,16.49,16.5,15.84,16.06,29351.0
2021-01-07,16.07,16.355,16.06,16.25,38425.0
2021-01-06,15.5,15.95,15.3,15.9,35165.0
