date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,10.96,10.9633,10.7922,10.95,157478.0
2021-03-11,10.79,11.0,10.72,10.9,256239.0
2021-03-10,10.5,10.81,10.4392,10.7,178567.0
2021-03-09,10.66,10.87,10.46,10.48,185864.0
2021-03-08,10.48,10.68,10.27,10.55,219760.0
2021-03-05,10.31,10.4,10.03,10.4,246927.0
2021-03-04,10.45,10.57,10.1,10.16,211558.0
2021-03-03,10.48,10.58,10.37,10.42,178573.0
2021-03-02,10.6,10.72,10.46,10.52,178898.0
2021-03-01,10.34,10.63,10.33,10.59,193338.0
2021-02-26,10.51,10.55,10.19,10.21,284662.0
2021-02-25,11.05,11.055,10.53,10.61,317599.0
2021-02-24,11.2,11.3,11.06,11.26,270730.0
2021-02-23,11.13,11.3,11.05,11.18,310591.0
2021-02-22,10.88,11.1329,10.79,11.11,226067.0
2021-02-19,10.57,10.93,10.5,10.92,271354.0
2021-02-18,10.49,10.63,10.4,10.55,165620.0
2021-02-17,11.0,11.0,10.28,10.48,205617.0
2021-02-16,10.91,11.03,10.57,10.62,284809.0
2021-02-12,10.59,10.83,10.1301,10.51,821448.0
2021-02-11,11.17,11.43,11.15,11.39,300108.0
2021-02-10,11.07,11.2,10.94,11.15,264634.0
2021-02-09,10.85,11.07,10.75,10.94,292517.0
2021-02-08,10.69,10.87,10.51,10.85,433434.0
2021-02-05,10.65,10.69,10.08,10.41,702734.0
2021-02-04,9.55,9.9,9.51,9.81,222103.0
2021-02-03,9.52,9.63,9.335,9.54,178568.0
2021-02-02,9.34,9.53,9.27,9.45,180301.0
2021-02-01,9.13,9.29,8.94,9.28,168379.0
2021-01-29,9.16,9.3,9.08,9.12,193471.0
2021-01-28,9.11,9.35,9.02,9.21,200402.0
2021-01-27,9.36,9.4,9.05,9.08,271031.0
2021-01-26,9.75,9.8,9.4,9.49,189129.0
2021-01-25,9.64,9.695,9.3101,9.65,270100.0
2021-01-22,9.63,9.72,9.43,9.72,156950.0
2021-01-21,9.67,9.79,9.43,9.7,212117.0
2021-01-20,9.61,9.76,9.6,9.67,92191.0
2021-01-19,9.66,9.75,9.48,9.64,328631.0
2021-01-15,9.5,9.59,9.3707,9.53,133880.0
2021-01-14,9.62,9.75,9.53,9.56,206288.0
2021-01-13,9.5,9.6,9.35,9.57,151389.0
2021-01-12,9.42,9.45,9.29,9.45,393826.0
2021-01-11,9.42,9.5,9.3,9.41,151420.0
2021-01-08,9.55,9.62,9.3888,9.48,121809.0
2021-01-07,9.45,9.58,9.31,9.54,175005.0
2021-01-06,9.3,9.55,9.24,9.48,216539.0
2021-01-05,9.05,9.32,9.04,9.15,217109.0
2021-01-04,9.42,9.46,9.05,9.08,206479.0
2020-12-31,9.2,9.41,9.1,9.36,164616.0
2020-12-30,9.16,9.33,9.16,9.21,144989.0
2020-12-29,9.35,9.53,9.14,9.19,245356.0
2020-12-28,9.34,9.52,9.31,9.34,149480.0
2020-12-24,9.13,9.36,9.1,9.25,77534.0
2020-12-23,9.26,9.3,9.1,9.15,204260.0
2020-12-22,9.11,9.19,8.97,9.1,265183.0
2020-12-21,9.35,9.45,9.05,9.11,369202.0
2020-12-18,10.14,10.155,9.45,9.46,1243352.0
2020-12-17,10.05,10.25,9.98,10.16,355534.0
2020-12-16,10.0,10.05,9.9,9.98,280727.0
2020-12-15,9.95,10.0,9.76,9.97,287830.0
2020-12-14,9.49,9.87,9.485,9.86,589336.0
2020-12-11,9.25,9.43,9.18,9.43,135148.0
2020-12-10,9.31,9.34,9.25,9.28,164825.0
2020-12-09,9.41,9.45,9.29,9.34,192505.0
2020-12-08,9.28,9.43,9.28,9.33,283112.0
2020-12-07,9.5,9.64,9.315,9.39,225767.0
2020-12-04,9.33,9.41,9.25,9.41,251438.0
2020-12-03,9.35,9.39,9.182,9.24,260181.0
2020-12-02,9.49,9.55,9.36,9.37,193118.0
2020-12-01,9.62,9.86,9.46,9.5,277579.0
2020-11-30,9.65,9.77,9.48,9.59,218034.0
2020-11-27,9.76,9.83,9.47,9.62,123455.0
2020-11-25,10.0,10.0,9.84,9.87,154930.0
2020-11-24,9.87,9.96,9.73,9.94,357864.0
2020-11-23,9.88,10.0,9.72,9.76,205651.0
2020-11-20,9.6,9.83,9.56,9.81,262639.0
2020-11-19,9.73,9.82,9.39,9.61,277856.0
2020-11-18,9.76,9.88,9.67,9.79,366276.0
2020-11-17,9.4,9.79,9.31,9.65,190533.0
2020-11-16,9.2,9.55,9.2,9.53,229985.0
2020-11-13,8.92,9.1664,8.85,9.12,237839.0
2020-11-12,9.01,9.18,8.72,8.83,481419.0
2020-11-11,9.04,9.31,8.89,9.1,144028.0
2020-11-10,8.99,9.22,8.85,9.04,295468.0
2020-11-09,9.26,9.79,8.9,8.91,291807.0
2020-11-06,8.85,8.94,8.7,8.83,234055.0
2020-11-05,8.72,8.9,8.69,8.81,146196.0
2020-11-04,8.77,8.9,8.6,8.64,201309.0
2020-11-03,8.79,8.95,8.6055,8.91,244536.0
2020-11-02,8.7,8.815,8.46,8.64,161699.0
2020-10-30,8.88,9.19,8.43,8.69,298118.0
2020-10-29,8.05,8.42,7.915,8.38,243003.0
2020-10-28,8.06,8.22,7.98,8.09,234622.0
2020-10-27,8.23,8.35,8.04,8.05,298252.0
2020-10-26,8.24,8.36,8.15,8.27,300953.0
2020-10-23,8.28,8.405,8.2501,8.31,178129.0
2020-10-22,8.23,8.29,8.15,8.22,317388.0
2020-10-21,8.36,8.48,8.28,8.29,153386.0
2020-10-20,8.28,8.48,8.2501,8.41,238129.0
2020-10-19,8.44,8.61,8.25,8.25,270555.0
2020-10-16,8.63,8.74,8.3,8.48,485441.0
2020-10-15,8.68,8.76,8.6,8.67,212684.0
2020-10-14,8.74,8.82,8.6401,8.72,460133.0
2020-10-13,8.8,8.84,8.65,8.68,185836.0
2020-10-12,8.89,8.96,8.82,8.89,193755.0
2020-10-09,9.12,9.15,8.885,8.9,312721.0
2020-10-08,9.19,9.25,9.04,9.06,416541.0
2020-10-07,8.97,9.16,8.97,9.12,190493.0
2020-10-06,9.05,9.07,8.72,8.93,358249.0
2020-10-05,9.04,9.23,8.82,8.92,165265.0
2020-10-02,8.75,9.0023,8.75,8.97,291362.0
2020-10-01,8.96,9.14,8.88,8.93,327922.0
2020-09-30,9.21,9.24,8.82,8.93,238086.0
2020-09-29,9.01,9.25,8.9728,9.18,145206.0
2020-09-28,8.77,9.07,8.77,9.01,117232.0
2020-09-25,8.46,8.7,8.46,8.65,148116.0
2020-09-24,8.54,8.61,8.4105,8.46,356167.0
2020-09-23,8.9,8.93,8.49,8.5,199576.0
2020-09-22,8.76,9.07,8.71,8.95,203290.0
2020-09-21,9.0,9.0,8.43,8.68,336845.0
2020-09-18,9.36,9.42,8.9,9.17,584863.0
2020-09-17,9.32,9.37,9.14,9.3,197740.0
2020-09-16,9.32,9.4519,9.29,9.32,243919.0
2020-09-15,9.35,9.6,9.3,9.3,158186.0
2020-09-14,9.01,9.32,8.96,9.28,164143.0
