date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,25.75,25.75,25.75,25.75,858.0
2021-03-11,25.986,25.986,25.85,25.85,1416.0
2021-03-10,25.89,25.945,25.85,25.85,14831.0
2021-03-09,25.933,25.99,25.74,25.96,13140.0
2021-03-08,25.83,25.83,25.8,25.8001,900.0
2021-03-05,25.7,26.2646,25.7,25.91,1722.0
2021-03-04,25.78,25.89,25.25,25.5,12643.0
2021-03-03,25.9001,26.16,25.9001,26.16,1628.0
2021-03-02,25.88,26.05,25.88,26.05,2436.0
2021-03-01,25.8,26.03,25.8,26.03,6887.0
2021-02-26,25.65,25.98,25.65,25.75,2551.0
2021-02-25,25.95,25.9931,25.37,25.9931,27465.0
2021-02-24,25.85,26.08,25.75,25.95,8934.0
2021-02-23,25.75,25.96,25.75,25.95,3226.0
2021-02-22,25.8733,25.88,25.87,25.8701,1602.0
2021-02-19,25.7512,25.95,25.7512,25.9,44626.0
2021-02-18,25.75,25.8,25.7,25.76,6107.0
2021-02-17,25.65,25.744,25.65,25.68,12649.0
2021-02-16,25.65,25.73,25.65,25.7,8715.0
2021-02-12,25.55,25.67,25.55,25.55,5375.0
2021-02-11,25.55,25.74,25.474,25.62,15523.0
2021-02-10,25.6391,25.6391,25.55,25.55,1375.0
2021-02-09,25.51,25.6386,25.434,25.6386,1161.0
2021-02-08,25.5,25.68,25.45,25.63,14328.0
2021-02-05,25.455,25.455,25.25,25.39,7257.0
2021-02-04,25.5,25.5,25.405,25.405,4720.0
2021-02-03,25.42,25.49,25.4097,25.4665,5334.0
2021-02-02,25.4,25.49,25.35,25.39,3980.0
2021-02-01,25.412,25.412,25.4,25.4,702.0
2021-01-29,25.3,25.49,25.3,25.3101,6060.0
2021-01-28,25.4799,25.5,25.4501,25.4501,2869.0
2021-01-27,25.3626,25.395,25.3101,25.3101,1350.0
2021-01-26,25.5,25.5,25.44,25.5,7450.0
2021-01-25,25.47,25.5,25.47,25.5,1160.0
2021-01-22,25.28,25.55,25.28,25.5156,4300.0
2021-01-21,25.26,25.45,25.26,25.3354,4591.0
2021-01-20,25.41,25.41,25.27,25.31,10202.0
2021-01-19,25.5314,25.5314,25.5314,25.5314,307.0
2021-01-15,25.4896,25.74,25.4896,25.74,878.0
2021-01-14,25.5,25.65,25.5,25.65,1350.0
2021-01-13,25.21,25.62,25.15,25.57,8247.0
2021-01-12,25.26,25.55,25.03,25.03,7843.0
2021-01-11,25.6001,25.615,25.25,25.25,11500.0
2021-01-08,25.37,25.75,25.25,25.75,7825.0
2021-01-07,25.84,25.84,25.6155,25.6155,4600.0
2021-01-06,25.68,25.8364,25.45,25.8364,3819.0
2021-01-05,25.65,25.825,25.65,25.65,3600.0
2021-01-04,25.7355,25.75,25.7001,25.75,4864.0
2020-12-31,25.905,26.06,25.62,25.62,3616.0
2020-12-30,25.93,26.1,25.755,25.765,7240.0
2020-12-29,25.47,26.22,25.47,25.85,84094.0
2020-12-28,25.9,25.9,25.33,25.35,8190.0
2020-12-24,25.7,25.799,25.7,25.76,3102.0
2020-12-23,25.6,25.9,25.6,25.7,2295.0
2020-12-22,25.35,25.9,25.35,25.36,8110.0
2020-12-21,25.45,25.6125,25.35,25.4,10840.0
2020-12-18,25.6571,25.79,25.56,25.56,2735.0
2020-12-17,25.09,26.0,25.06,25.82,12875.0
2020-12-16,25.0513,25.28,24.97,25.07,8855.0
2020-12-15,24.89,25.1441,24.7966,25.1441,8289.0
2020-12-14,25.35,25.35,24.66,24.9672,20740.0
2020-12-11,25.33,25.65,25.33,25.33,5197.0
2020-12-10,25.57,25.9,25.39,25.39,6936.0
2020-12-09,25.34,25.99,25.333,25.75,10320.0
2020-12-08,25.27,25.4,25.25,25.4,3375.0
2020-12-07,25.18,25.455,25.18,25.4,5418.0
2020-12-04,25.29,25.35,25.14,25.18,12650.0
2020-12-03,25.33,25.55,25.2601,25.2601,2310.0
2020-12-02,25.35,25.61,25.28,25.28,8608.0
2020-12-01,25.26,25.6,25.2521,25.3001,7961.0
2020-11-30,25.14,25.44,25.1,25.25,11044.0
2020-11-27,25.15,25.33,25.15,25.155,1776.0
2020-11-25,25.16,25.4,25.13,25.1375,18127.0
2020-11-24,25.3,25.5,25.1,25.1,13655.0
2020-11-23,25.11,25.4,25.05,25.4,11100.0
2020-11-20,25.09,25.25,24.96,25.17,26377.0
2020-11-19,25.5,25.5,25.15,25.25,9465.0
2020-11-18,25.15,25.5,25.1,25.495,14401.0
2020-11-17,25.2,25.2,24.9,25.15,20835.0
2020-11-16,25.05,25.15,25.0441,25.14,19043.0
2020-11-13,25.05,25.05,24.9,25.05,25959.0
2020-11-12,25.035,25.07,24.9,25.0,4590.0
2020-11-11,25.07,25.09,24.9182,25.09,14209.0
2020-11-10,24.98,25.25,24.97,25.1489,13475.0
2020-11-09,25.0,25.0,24.91,25.0,28661.0
2020-11-06,24.9,25.0,24.83,25.0,4449.0
2020-11-05,24.88,25.0,24.6707,25.0,8951.0
2020-11-04,24.7,24.7,24.51,24.51,1914.0
2020-11-03,24.5799,24.8,24.5799,24.8,4400.0
