date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.9,15.18,14.76,15.18,1115030.0
2021-03-11,14.65,14.82,14.47,14.79,700605.0
2021-03-10,14.76,14.82,14.435,14.64,751611.0
2021-03-09,15.0,15.07,14.69,14.74,753162.0
2021-03-08,14.56,15.11,14.42,14.97,1030695.0
2021-03-05,14.62,14.62,14.01,14.41,605526.0
2021-03-04,14.67,14.84,14.14,14.43,868774.0
2021-03-03,14.5,14.8478,14.47,14.61,976895.0
2021-03-02,14.63,14.68,14.41,14.54,1082327.0
2021-03-01,14.5,15.01,14.5,14.77,1055232.0
2021-02-26,14.47,14.635,14.04,14.12,1961171.0
2021-02-25,15.23,15.41,14.695,14.74,1365939.0
2021-02-24,14.91,15.39,14.815,15.23,1463800.0
2021-02-23,14.39,14.9,14.385,14.83,995408.0
2021-02-22,13.82,14.33,13.73,14.32,1069612.0
2021-02-19,14.0,14.22,13.5108,13.79,1343224.0
2021-02-18,14.15,14.36,13.91,14.1,958567.0
2021-02-17,14.2,14.34,14.02,14.22,625155.0
2021-02-16,14.37,14.42,14.135,14.25,1002088.0
2021-02-12,14.21,14.38,14.16,14.28,564589.0
2021-02-11,14.25,14.51,14.15,14.27,810967.0
2021-02-10,14.44,14.7,14.205,14.24,532187.0
2021-02-09,14.42,14.43,14.02,14.3,641116.0
2021-02-08,14.16,14.44,14.0,14.43,500484.0
2021-02-05,14.13,14.13,13.75,14.08,901675.0
2021-02-04,13.72,14.01,13.715,13.97,1003581.0
2021-02-03,13.61,13.76,13.4,13.7,1130502.0
2021-02-02,13.61,13.72,13.215,13.71,662673.0
2021-02-01,13.63,13.74,13.3,13.55,422485.0
2021-01-29,13.68,14.03,13.53,13.6,828189.0
2021-01-28,13.83,14.15,13.7,13.82,520235.0
2021-01-27,13.76,14.08,13.62,13.71,1009962.0
2021-01-26,14.16,14.345,13.79,14.01,400879.0
2021-01-25,13.94,14.327,13.75,14.02,634186.0
2021-01-22,13.66,14.16,13.66,14.14,859933.0
2021-01-21,14.75,14.75,14.15,14.22,869482.0
2021-01-20,14.8,14.9099,14.79,14.84,819254.0
2021-01-19,14.76,14.98,14.57,14.77,1143362.0
2021-01-15,14.34,14.73,14.17,14.66,671691.0
2021-01-14,14.08,14.44,13.95,14.42,732425.0
2021-01-13,13.74,13.91,13.69,13.9,512973.0
2021-01-12,13.5,13.725,13.41,13.72,420459.0
2021-01-11,13.54,13.88,13.395,13.49,484656.0
2021-01-08,13.85,13.85,13.47,13.63,584090.0
2021-01-07,13.89,13.89,13.58,13.76,524441.0
2021-01-06,13.8,14.13,13.54,13.9,726166.0
2021-01-05,13.81,14.05,13.55,13.59,809131.0
2021-01-04,14.45,14.87,13.79,13.81,808321.0
2020-12-31,14.07,14.405,13.94,14.34,656092.0
2020-12-30,14.05,14.27,13.95,14.11,814570.0
2020-12-29,14.55,14.65,13.96,14.01,730773.0
2020-12-28,14.37,14.64,14.33,14.46,524677.0
2020-12-24,14.34,14.37,14.12,14.36,166754.0
2020-12-23,14.3,14.645,14.21,14.26,671657.0
2020-12-22,14.25,14.26,13.98,14.19,801636.0
2020-12-21,13.68,14.26,13.41,14.26,1318600.0
2020-12-18,14.4,14.5,13.93,14.03,1915529.0
2020-12-17,14.41,14.44,14.22,14.42,439875.0
2020-12-16,14.65,14.66,14.2,14.35,641875.0
2020-12-15,14.22,14.65,14.15,14.65,1016911.0
2020-12-14,14.2,14.48,13.99,14.16,1087416.0
2020-12-11,14.37,14.59,13.85,13.94,1372049.0
2020-12-10,14.25,14.67,14.25,14.53,1500879.0
2020-12-09,14.48,14.52,14.17,14.44,1236692.0
2020-12-08,14.26,14.51,14.22,14.33,477399.0
2020-12-07,14.84,14.84,14.38,14.41,537177.0
2020-12-04,14.59,14.88,14.58,14.87,302171.0
2020-12-03,14.45,14.6,14.33,14.44,434758.0
2020-12-02,14.04,14.46,13.92,14.38,442065.0
2020-12-01,14.17,14.505,13.97,14.08,1175585.0
2020-11-30,14.1,14.34,13.85,13.98,1823758.0
2020-11-27,14.48,14.48,14.15,14.46,329977.0
2020-11-25,14.33,14.55,14.07,14.41,2015027.0
2020-11-24,14.23,14.52,14.02,14.41,2779601.0
2020-11-23,13.93,14.19,13.85,13.9,1343712.0
2020-11-20,13.76,13.89,13.62,13.7,927835.0
