date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,20.03,20.1,19.84,19.85,37248.0
2021-03-11,20.18,20.2784,20.1,20.1,42299.0
2021-03-10,20.08,20.17,20.02,20.11,44728.0
2021-03-09,20.06,20.35,20.0,20.19,82752.0
2021-03-08,19.97,20.14,19.89,20.09,46697.0
2021-03-05,19.89,20.19,19.79,20.03,80823.0
2021-03-04,19.8,19.91,19.75,19.8,21868.0
2021-03-03,19.82,19.9,19.81,19.87,32294.0
2021-03-02,19.83,19.9,19.8004,19.83,27765.0
2021-03-01,19.7,19.94,19.7,19.9,54259.0
2021-02-26,19.67,19.74,19.62,19.66,41636.0
2021-02-25,19.82,19.88,19.66,19.7,44632.0
2021-02-24,19.87,19.9523,19.84,19.87,30061.0
2021-02-23,19.89,19.9668,19.83,19.86,35390.0
2021-02-22,19.95,19.95,19.84,19.9,17296.0
2021-02-19,19.81,19.98,19.8,19.89,20717.0
2021-02-18,19.69,20.0,19.63,19.77,34213.0
2021-02-17,19.49,19.62,19.49,19.61,35159.0
2021-02-16,19.66,19.77,19.51,19.63,38433.0
2021-02-12,19.75,19.88,19.61,19.66,42545.0
2021-02-11,19.95,19.95,19.75,19.81,14801.0
2021-02-10,19.97,20.09,19.92,19.95,21417.0
2021-02-09,19.9,20.25,19.9,20.08,57095.0
2021-02-08,19.96,20.03,19.9405,19.96,30784.0
2021-02-05,19.8,20.063,19.8,19.96,54489.0
2021-02-04,19.95,19.961,19.8,19.82,22183.0
2021-02-03,19.84,20.06,19.84,19.93,10118.0
2021-02-02,19.75,20.25,19.75,19.88,41849.0
2021-02-01,19.65,19.75,19.65,19.72,48152.0
2021-01-29,19.7,19.77,19.51,19.6,61685.0
2021-01-28,19.31,19.77,19.31,19.66,67018.0
2021-01-27,19.6,19.6,19.25,19.39,137758.0
2021-01-26,19.75,19.82,19.5,19.68,36664.0
2021-01-25,19.8,19.98,19.7495,19.8,27683.0
2021-01-22,19.73,20.0,19.73,19.84,94927.0
2021-01-21,19.79,19.865,19.6624,19.83,96178.0
2021-01-20,19.68,19.79,19.58,19.75,33516.0
2021-01-19,19.52,19.75,19.32,19.73,61838.0
2021-01-15,19.69,19.69,19.48,19.53,37387.0
2021-01-14,19.43,19.69,19.37,19.61,95790.0
2021-01-13,19.31,19.56,19.22,19.49,45285.0
2021-01-12,19.1,19.59,19.03,19.55,55875.0
2021-01-11,19.15,19.17,19.1,19.14,34139.0
2021-01-08,19.27,19.324,19.17,19.17,34126.0
2021-01-07,19.16,19.2599,19.01,19.14,35668.0
2021-01-06,19.16,19.2299,19.01,19.04,90474.0
2021-01-05,19.3,19.3477,19.16,19.23,48669.0
2021-01-04,19.61,19.615,19.13,19.42,111832.0
2020-12-31,19.6,19.65,19.42,19.65,71811.0
2020-12-30,19.44,19.54,19.32,19.49,42833.0
2020-12-29,19.07,19.4,19.07,19.37,45591.0
2020-12-28,19.18,19.268,19.03,19.12,70256.0
2020-12-24,19.31,19.32,19.1,19.15,19859.0
2020-12-23,19.12,19.28,18.97,19.24,53691.0
2020-12-22,19.06,19.1234,18.95,19.01,46378.0
2020-12-21,19.01,19.27,18.91,19.07,80227.0
2020-12-18,19.13,19.2136,19.045,19.09,50576.0
2020-12-17,19.17,19.2976,18.955,19.01,95778.0
2020-12-16,19.36,19.45,19.15,19.24,97705.0
2020-12-15,19.64,19.93,19.64,19.87,81668.0
2020-12-14,19.65,19.75,19.6,19.65,61398.0
2020-12-11,19.49,19.7181,19.49,19.63,71701.0
2020-12-10,19.59,19.68,19.52,19.55,28903.0
2020-12-09,19.58,19.6287,19.5,19.59,50950.0
2020-12-08,19.56,19.6999,19.56,19.64,20914.0
2020-12-07,19.6,19.7,19.5,19.59,26699.0
2020-12-04,19.72,19.74,19.5807,19.63,29696.0
2020-12-03,19.64,19.774,19.55,19.61,35515.0
2020-12-02,19.53,19.8125,19.5201,19.64,56594.0
2020-12-01,19.67,19.67,19.41,19.52,87362.0
2020-11-30,19.87,20.295,19.47,19.62,64333.0
2020-11-27,19.72,19.85,19.6806,19.77,14783.0
2020-11-25,19.8,19.8,19.65,19.74,23982.0
2020-11-24,19.74,19.8,19.5087,19.76,22928.0
2020-11-23,19.41,19.69,19.41,19.69,16758.0
2020-11-20,19.51,19.51,19.3412,19.49,12957.0
2020-11-19,19.4,19.5,19.226,19.5,37474.0
2020-11-18,19.38,19.4395,19.27,19.4,43294.0
2020-11-17,19.34,19.49,19.34,19.41,20145.0
2020-11-16,19.27,19.48,19.0101,19.46,40549.0
2020-11-13,19.22,19.36,19.22,19.33,18133.0
2020-11-12,19.36,19.36,19.02,19.15,35314.0
2020-11-11,19.19,19.4,19.165,19.24,34924.0
2020-11-10,18.91,19.27,18.825,19.24,101688.0
2020-11-09,19.3,19.3,19.08,19.21,42762.0
2020-11-06,19.18,19.32,19.18,19.22,13162.0
2020-11-05,19.2,19.4,19.1925,19.21,18433.0
2020-11-04,18.97,19.15,18.937,19.11,20449.0
2020-11-03,18.86,19.25,18.71,18.89,55146.0
2020-11-02,18.9,18.97,18.7401,18.86,23438.0
2020-10-30,18.81,18.99,18.76,18.76,34673.0
2020-10-29,18.85,18.93,18.75,18.88,22927.0
2020-10-28,18.86,18.9,18.71,18.85,40090.0
2020-10-27,18.66,18.92,18.645,18.86,56807.0
2020-10-26,18.68,18.7636,18.51,18.55,44584.0
2020-10-23,18.91,18.91,18.65,18.76,29452.0
2020-10-22,18.89,18.9907,18.74,18.87,31846.0
2020-10-21,18.96,19.0,18.83,18.83,31990.0
2020-10-20,18.93,18.98,18.87,18.88,43145.0
2020-10-19,18.99,18.99,18.84,18.84,22039.0
2020-10-16,19.01,19.02,18.9,18.91,48551.0
2020-10-15,19.15,19.15,19.015,19.015,28445.0
2020-10-14,19.27,19.27,19.12,19.15,20066.0
2020-10-13,19.31,19.34,19.2,19.275,11760.0
2020-10-12,19.16,19.34,19.16,19.29,21805.0
2020-10-09,19.15,19.29,19.15,19.25,11082.0
2020-10-08,19.21,19.27,19.1901,19.22,23921.0
2020-10-07,19.28,19.29,19.12,19.27,35198.0
2020-10-06,19.11,19.1385,19.055,19.12,21303.0
2020-10-05,19.19,19.2721,19.09,19.17,29592.0
2020-10-02,19.125,19.29,19.0,19.16,49954.0
2020-10-01,19.08,19.3,19.08,19.17,31587.0
2020-09-30,19.08,19.27,19.03,19.06,43450.0
2020-09-29,19.01,19.03,18.903,18.98,17254.0
2020-09-28,18.98,19.08,18.89,18.975,27292.0
2020-09-25,18.84,19.05,18.8,18.93,48154.0
2020-09-24,18.88,18.89,18.72,18.86,41315.0
2020-09-23,18.85,18.9494,18.82,18.86,50655.0
2020-09-22,18.79,18.84,18.69,18.81,42743.0
2020-09-21,18.8,18.8555,18.55,18.71,70990.0
2020-09-18,18.87,19.0,18.8,18.96,24260.0
2020-09-17,19.06,19.19,18.61,18.94,133911.0
2020-09-16,19.26,19.34,19.0,19.1,59394.0
2020-09-15,19.42,19.4294,19.35,19.35,22500.0
2020-09-14,19.4,19.4,19.28,19.35,16745.0
2020-09-11,19.47,19.47,19.34,19.38,30483.0
2020-09-10,19.32,19.44,19.32,19.4,21993.0
2020-09-09,19.22,19.365,19.19,19.3,19300.0
2020-09-08,19.21,19.21,19.15,19.16,27802.0
2020-09-04,19.32,19.32,19.08,19.14,44129.0
2020-09-03,19.44,19.4899,19.11,19.34,63733.0
2020-09-02,19.43,19.47,19.3885,19.43,45618.0
2020-09-01,19.55,19.55,19.14,19.37,90054.0
2020-08-31,19.57,19.57,19.44,19.5,35992.0
2020-08-28,19.55,19.63,19.411,19.48,24114.0
2020-08-27,19.43,19.49,19.32,19.39,20667.0
2020-08-26,19.31,19.45,19.31,19.39,22170.0
2020-08-25,19.37,19.445,19.34,19.37,41367.0
2020-08-24,19.49,19.5,19.45,19.45,26281.0
2020-08-21,19.51,19.559,19.4,19.46,51406.0
2020-08-20,19.57,19.57,19.24,19.51,50658.0
2020-08-19,19.33,20.0,19.33,19.55,67075.0
2020-08-18,19.42,19.42,19.31,19.33,32152.0
2020-08-17,19.42,19.42,19.315,19.39,41958.0
2020-08-14,19.5,19.5,19.32,19.37,39369.0
2020-08-13,19.6,19.76,19.42,19.43,184900.0
2020-08-12,19.55,19.55,19.363,19.52,50572.0
2020-08-11,19.75,19.75,19.517,19.63,37845.0
2020-08-10,19.49,19.65,19.3916,19.61,65370.0
2020-08-07,19.42,19.49,19.39,19.48,15184.0
2020-08-06,19.5,19.5,19.39,19.4,28132.0
2020-08-05,19.39,19.51,19.39,19.5,36969.0
2020-08-04,19.42,19.49,19.3893,19.49,18798.0
2020-08-03,19.43,19.45,19.38,19.45,27081.0
2020-07-31,19.36,19.4,19.2016,19.36,48424.0
2020-07-30,19.3,19.38,19.2,19.38,24666.0
