date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,9.21,9.27,9.11,9.19,87033.0
2021-03-11,9.24,9.31,9.21,9.25,92847.0
2021-03-10,9.2,9.26,9.2,9.24,68111.0
2021-03-09,9.22,9.28,9.22,9.25,50878.0
2021-03-08,9.25,9.25,9.196,9.22,55918.0
2021-03-05,9.12,9.23,9.1,9.23,59457.0
2021-03-04,9.14,9.3097,9.12,9.13,67192.0
2021-03-03,9.0672,9.11,8.95,9.1,26189.0
2021-03-02,9.0559,9.1,8.96,8.97,33937.0
2021-03-01,9.06,9.136,9.0207,9.03,27528.0
2021-02-26,8.93,9.04,8.93,9.0,47414.0
2021-02-25,9.0133,9.05,8.92,8.92,21718.0
2021-02-24,9.0,9.02,8.89,9.02,37044.0
2021-02-23,9.06,9.06,8.85,8.92,43565.0
2021-02-22,9.05,9.08,9.02,9.03,27279.0
2021-02-19,8.9947,9.05,8.88,9.05,17339.0
2021-02-18,8.9201,9.04,8.91,8.96,34227.0
2021-02-17,8.99,9.04,8.87,8.92,40496.0
2021-02-16,8.99,9.1,8.943,8.98,29024.0
2021-02-12,9.02,9.11,9.01,9.04,24636.0
2021-02-11,9.03,9.03,8.93,9.03,39768.0
2021-02-10,8.9,9.07,8.86,9.0,43507.0
2021-02-09,8.93,8.99,8.88,8.9,46012.0
2021-02-08,8.91,8.9546,8.91,8.93,14245.0
2021-02-05,8.89,8.97,8.8697,8.96,43571.0
2021-02-04,8.87,8.92,8.8,8.9,46921.0
2021-02-03,8.72,8.85,8.72,8.85,70791.0
2021-02-02,8.75,8.84,8.75,8.82,26680.0
2021-02-01,8.68,8.78,8.68,8.78,22864.0
2021-01-29,8.65,8.79,8.65,8.69,37476.0
2021-01-28,8.82,8.82,8.72,8.73,17669.0
2021-01-27,8.76,8.808,8.68,8.72,36587.0
2021-01-26,8.7,8.8,8.7,8.78,24105.0
2021-01-25,8.67,8.79,8.67,8.74,34084.0
2021-01-22,8.76,8.81,8.67,8.71,32819.0
2021-01-21,8.78,8.83,8.76,8.82,27749.0
2021-01-20,8.68,8.81,8.68,8.77,20711.0
2021-01-19,8.6,8.83,8.6,8.77,23765.0
2021-01-15,8.645,8.75,8.61,8.7295,28951.0
2021-01-14,8.67,8.72,8.6288,8.7,32738.0
2021-01-13,8.65,8.65,8.53,8.62,20972.0
2021-01-12,8.51,8.56,8.51,8.56,58680.0
2021-01-11,8.54,8.67,8.5,8.5,63884.0
2021-01-08,8.63,8.68,8.61,8.66,27999.0
2021-01-07,8.57,8.77,8.57,8.66,40511.0
2021-01-06,8.54,8.6,8.52,8.54,17784.0
2021-01-05,8.53,8.6,8.497,8.58,42217.0
2021-01-04,8.53,8.59,8.48,8.51,60495.0
2020-12-31,8.44,8.5,8.44,8.49,64691.0
2020-12-30,8.48,8.49,8.4,8.43,96248.0
2020-12-29,8.42,8.4834,8.415,8.44,58863.0
2020-12-28,8.49,8.5329,8.44,8.4699,142997.0
