date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,25.26,26.44,25.15,26.09,961582.0
2021-03-11,25.11,25.72,24.5455,25.61,1226575.0
2021-03-10,23.75,25.13,23.63,24.97,1216798.0
2021-03-09,23.69,24.12,23.3655,23.64,610801.0
2021-03-08,23.55,23.94,22.94,23.65,1019555.0
2021-03-05,24.44,24.44,22.0,23.43,1556080.0
2021-03-04,24.09,25.14,23.32,23.76,1826825.0
2021-03-03,24.3,25.24,23.94,24.12,1420945.0
2021-03-02,23.7,24.55,23.34,24.07,1454251.0
2021-03-01,22.2,23.95,22.11,23.92,2048061.0
2021-02-26,21.98,22.3799,20.98,21.86,1185386.0
2021-02-25,22.79,22.84,21.71,22.21,1738566.0
2021-02-24,21.9,22.8,21.83,22.67,1053035.0
2021-02-23,21.45,21.75,19.565,21.7,987760.0
2021-02-22,21.2,21.49,21.1,21.42,577815.0
2021-02-19,20.9,21.48,20.68,21.09,501437.0
2021-02-18,22.07,22.07,20.8,20.96,552881.0
2021-02-17,22.33,22.36,21.4741,22.15,851145.0
2021-02-16,21.74,22.4,21.42,22.17,1258991.0
2021-02-12,20.71,21.46,20.65,21.17,1581744.0
2021-02-11,20.17,21.61,20.146,20.86,2392981.0
2021-02-10,20.81,21.11,20.51,20.92,2045638.0
2021-02-09,20.75,20.98,20.25,20.68,991292.0
2021-02-08,20.98,21.26,20.6416,20.99,1082079.0
2021-02-05,21.4,21.44,20.67,20.96,1177360.0
2021-02-04,20.85,21.36,20.735,21.1,1709556.0
2021-02-03,21.05,21.48,20.97,21.27,1660351.0
2021-02-02,20.8,21.64,20.33,20.79,1135577.0
2021-02-01,20.54,20.85,20.0,20.38,2336232.0
2021-01-29,19.85,20.37,19.655,20.0,1225665.0
2021-01-28,19.5,20.4,19.37,19.87,1299680.0
2021-01-27,19.24,20.4,19.01,19.28,1369672.0
2021-01-26,20.16,20.9,19.425,19.77,933314.0
2021-01-25,20.04,20.24,19.145,19.93,796332.0
2021-01-22,19.93,20.54,19.73,20.03,784833.0
2021-01-21,22.56,22.56,20.43,20.53,1029939.0
2021-01-20,23.05,23.1511,21.69,22.42,1027836.0
2021-01-19,23.91,24.23,22.27,22.57,1578667.0
2021-01-15,23.22,24.2,22.51,23.46,876682.0
2021-01-14,23.25,24.42,23.15,23.77,626538.0
2021-01-13,22.66,23.8,22.66,23.2,783044.0
2021-01-12,21.43,22.8,21.34,22.61,1031212.0
2021-01-11,19.5,20.575,19.39,20.38,688209.0
2021-01-08,20.76,21.09,19.77,19.97,499034.0
2021-01-07,21.96,22.105,20.67,20.67,980129.0
2021-01-06,20.05,22.11,19.68,21.8,1667965.0
2021-01-05,18.74,20.15,18.59,19.8,1442634.0
2021-01-04,18.87,19.29,18.37,18.56,840728.0
2020-12-31,18.39,18.74,18.05,18.52,788825.0
2020-12-30,18.9,19.2,18.4,18.44,644334.0
2020-12-29,19.24,19.65,18.77,18.81,519872.0
2020-12-28,19.02,19.78,18.8406,19.19,1372233.0
2020-12-24,18.66,18.88,18.14,18.84,168918.0
2020-12-23,18.82,19.004,18.31,18.71,561041.0
2020-12-22,18.85,19.23,18.36,18.52,372256.0
2020-12-21,18.35,19.25,17.75,19.01,838255.0
2020-12-18,19.2,19.6,18.93,19.14,1891625.0
2020-12-17,19.94,19.9782,19.2,19.29,828158.0
2020-12-16,20.4,20.4,19.61,19.84,751779.0
2020-12-15,19.94,20.41,19.2738,20.17,1166305.0
2020-12-14,20.98,21.1,19.134,19.65,1502761.0
2020-12-11,20.88,21.02,20.46,20.69,1033913.0
2020-12-10,20.07,21.42,20.0,20.96,1095963.0
2020-12-09,20.92,21.345,19.44,19.95,2229011.0
2020-12-08,20.0,21.08,20.0,20.3,1022193.0
2020-12-07,20.05,20.39,19.38,20.12,1063740.0
2020-12-04,18.84,20.47,18.8,20.31,1411603.0
2020-12-03,17.91,19.03,17.67,18.63,1240718.0
2020-12-02,16.49,18.19,16.38,17.69,1291709.0
2020-12-01,16.7,16.967,16.3,16.38,803020.0
2020-11-30,16.92,17.37,15.9,16.15,1523794.0
2020-11-27,17.25,17.4,16.47,16.83,548401.0
2020-11-25,17.0,17.48,16.17,17.19,885457.0
2020-11-24,16.57,18.13,16.22,17.07,1771720.0
2020-11-23,16.06,16.51,15.87,16.06,1164415.0
2020-11-20,16.14,16.51,15.76,15.81,759798.0
2020-11-19,16.05,16.48,15.69,16.36,1555980.0
2020-11-18,16.25,16.46,15.73,16.05,3399661.0
2020-11-17,15.76,16.14,15.01,16.09,1139369.0
2020-11-16,15.27,16.6,15.15,15.81,1303737.0
2020-11-13,14.75,15.08,14.58,14.86,696037.0
2020-11-12,14.02,14.85,13.8501,14.37,419367.0
2020-11-11,14.95,14.97,13.89,14.38,952686.0
2020-11-10,14.88,15.31,14.29,14.67,723912.0
2020-11-09,14.12,15.29,14.1,14.71,2517945.0
2020-11-06,13.85,13.89,12.72,12.8,794240.0
2020-11-05,12.26,13.82,12.14,13.77,963511.0
2020-11-04,12.18,12.95,11.62,12.42,796750.0
2020-11-03,12.66,13.11,12.1,12.1,942523.0
2020-11-02,12.83,13.16,12.27,12.42,920998.0
2020-10-30,12.11,12.9,11.81,12.77,966505.0
2020-10-29,12.14,12.89,11.81,12.83,636726.0
2020-10-28,13.07,13.1387,12.4,12.7,1237972.0
2020-10-27,13.99,14.079,13.31,13.52,581100.0
2020-10-26,14.32,14.55,13.49,13.98,1062753.0
2020-10-23,14.74,14.9,14.19,14.62,1189908.0
2020-10-22,13.92,14.75,13.9,14.65,882216.0
2020-10-21,13.73,14.22,13.65,13.94,728981.0
2020-10-20,13.18,13.95,13.1114,13.65,537682.0
2020-10-19,13.24,13.52,12.97,12.97,759893.0
2020-10-16,13.15,13.455,12.75,13.06,769564.0
2020-10-15,12.63,13.22,12.3,13.13,1266034.0
2020-10-14,12.21,13.42,12.21,12.95,909705.0
2020-10-13,12.35,12.57,12.16,12.24,1761281.0
2020-10-12,12.65,12.71,12.32,12.47,690703.0
2020-10-09,12.78,12.82,12.31,12.7,783089.0
2020-10-08,12.19,12.88,11.99,12.74,734445.0
2020-10-07,12.03,12.14,11.788,12.01,308733.0
2020-10-06,12.15,12.55,11.62,11.81,913138.0
2020-10-05,11.3,11.99,11.26,11.98,414398.0
2020-10-02,10.48,11.33,10.43,11.21,503186.0
2020-10-01,11.34,11.4099,10.5902,10.88,863225.0
2020-09-30,11.46,12.21,11.13,11.17,1769412.0
2020-09-29,11.0,11.49,10.68,11.45,859140.0
2020-09-28,10.64,11.085,10.56,11.03,1317079.0
2020-09-25,10.08,10.52,9.95,10.4,890227.0
2020-09-24,9.95,10.48,9.62,10.2,968658.0
2020-09-23,10.57,10.88,9.95,9.97,1191201.0
2020-09-22,10.52,10.923,10.36,10.52,714411.0
2020-09-21,10.5,10.6,10.22,10.49,994815.0
2020-09-18,10.9,11.08,10.59,10.77,1599265.0
2020-09-17,10.93,11.29,10.54,10.87,1463818.0
2020-09-16,10.66,11.62,10.6,11.28,1264864.0
2020-09-15,10.82,11.13,10.57,10.62,1386007.0
2020-09-14,10.72,11.04,10.555,10.83,1153982.0
2020-09-11,11.11,11.2999,10.38,10.75,1335485.0
2020-09-10,12.5,12.5,10.91,11.07,2295663.0
2020-09-09,12.0,12.59,11.64,12.38,1123948.0
2020-09-08,12.23,12.39,11.59,11.89,667481.0
2020-09-04,12.69,12.8,12.26,12.59,812274.0
2020-09-03,12.68,13.02,12.54,12.6,1084515.0
2020-09-02,12.64,12.87,12.5168,12.76,834299.0
2020-09-01,12.78,12.99,12.5,12.6,828554.0
2020-08-31,13.0,13.0,12.39,12.67,2572849.0
2020-08-28,13.23,13.23,12.53,13.15,818501.0
2020-08-27,12.78,13.05,12.3546,12.95,848723.0
2020-08-26,13.5,13.525,12.63,12.74,1100029.0
2020-08-25,13.55,13.6396,12.99,13.62,754144.0
2020-08-24,13.56,13.68,13.37,13.54,1037669.0
2020-08-21,13.49,13.71,13.34,13.54,902080.0
2020-08-20,13.25,13.705,12.9351,13.65,1023400.0
2020-08-19,13.78,13.945,13.3,13.42,749871.0
2020-08-18,14.35,14.4599,13.75,13.86,597305.0
2020-08-17,14.71,14.9,14.35,14.42,887120.0
2020-08-14,14.73,14.74,14.38,14.67,1217788.0
2020-08-13,15.35,15.38,14.33,14.57,848256.0
2020-08-12,14.42,15.35,14.34,15.34,2400838.0
2020-08-11,14.98,15.18,13.985,14.27,1091944.0
2020-08-10,14.05,14.89,14.05,14.68,1111623.0
2020-08-07,14.5,14.5,13.58,13.96,1326147.0
2020-08-06,14.35,14.92,13.72,14.44,2899922.0
2020-08-05,12.0,13.0,11.91,12.49,948960.0
2020-08-04,11.25,11.9308,11.12,11.77,747004.0
2020-08-03,11.3,11.89,11.28,11.44,647621.0
2020-07-31,11.92,12.1859,11.2,11.45,989307.0
2020-07-30,12.2,12.41,11.7,12.0,574059.0
2020-07-29,12.39,12.82,12.065,12.65,769575.0
2020-07-28,11.92,12.49,11.81,12.15,547433.0
2020-07-27,12.47,12.57,11.94,12.1,592980.0
2020-07-24,12.71,12.75,12.32,12.44,356732.0
2020-07-23,13.24,13.315,12.49,12.74,1189604.0
2020-07-22,13.12,13.5,12.7094,13.42,643700.0
2020-07-21,12.66,13.5,12.59,13.46,900159.0
2020-07-20,11.94,12.66,11.84,12.48,2577365.0
2020-07-17,11.44,12.09,11.37,11.81,1134516.0
2020-07-16,11.56,11.86,10.93,11.4,1569567.0
2020-07-15,10.7,11.91,10.66,11.86,2014600.0
2020-07-14,10.2,10.59,9.93,10.55,886819.0
2020-07-13,10.26,10.65,10.1,10.33,1436165.0
2020-07-10,9.61,10.29,9.44,10.13,1493827.0
2020-07-09,10.16,10.4,9.49,9.75,1382106.0
2020-07-08,10.75,10.85,10.06,10.16,1278593.0
2020-07-07,10.08,11.15,10.01,10.73,739093.0
2020-07-06,10.73,10.79,9.91,10.35,1049800.0
2020-07-02,11.18,11.21,10.33,10.45,1756890.0
2020-07-01,11.32,11.6,10.55,10.93,1512978.0
2020-06-30,11.12,11.4,10.85,11.3,931525.0
2020-06-29,11.46,11.77,11.04,11.21,914242.0
2020-06-26,11.85,11.85,10.9,11.35,1071356.0
2020-06-25,11.61,12.11,11.37,11.96,1153744.0
2020-06-24,12.58,12.62,11.59,11.92,1522561.0
2020-06-23,13.34,13.81,12.85,12.85,1046281.0
2020-06-22,13.15,13.6,12.86,13.52,712897.0
2020-06-19,13.6,13.85,12.75,12.93,2223525.0
2020-06-18,13.15,13.88,12.57,12.89,1624911.0
2020-06-17,13.68,14.06,12.93,13.23,1244640.0
2020-06-16,13.77,14.16,13.43,13.52,2794935.0
2020-06-15,11.54,13.17,11.41,12.84,1937879.0
2020-06-12,12.91,13.07,12.02,12.31,1682127.0
2020-06-11,12.34,13.41,11.6,12.0,2611656.0
2020-06-10,14.27,14.75,13.69,14.61,1943836.0
2020-06-09,15.39,15.46,14.06,14.67,2242118.0
2020-06-08,15.0,16.24,14.71,16.22,2050433.0
2020-06-05,13.75,14.21,13.51,14.11,1645554.0
2020-06-04,12.2,12.8,12.03,12.77,939502.0
2020-06-03,11.87,12.51,11.76,12.39,1251581.0
2020-06-02,11.02,11.78,11.0,11.61,847781.0
2020-06-01,11.19,11.26,10.71,10.82,1070623.0
2020-05-29,11.17,11.48,10.83,11.0,2419326.0
2020-05-28,11.23,11.72,10.85,11.31,1444564.0
2020-05-27,10.81,11.26,10.11,11.22,1268214.0
2020-05-26,10.08,10.67,10.0,10.55,1095853.0
2020-05-22,9.56,9.65,9.03,9.65,757769.0
2020-05-21,9.81,9.9,9.21,9.53,1039768.0
2020-05-20,9.51,9.95,9.26,9.68,1716210.0
2020-05-19,9.2,9.65,8.73,9.16,1745657.0
2020-05-18,8.72,9.25,8.68,9.16,1886744.0
2020-05-15,8.0,8.19,7.66,8.04,1149271.0
2020-05-14,7.4,7.84,6.9,7.64,1098265.0
2020-05-13,8.4,8.4,7.5,7.52,1946449.0
2020-05-12,7.99,8.52,7.88,8.1,1664388.0
2020-05-11,7.91,7.95,7.59,7.79,1382077.0
2020-05-08,7.85,8.0,7.65,7.95,1581363.0
2020-05-07,7.82,8.56,7.2,7.65,3840226.0
2020-05-06,8.13,8.3,7.44,8.16,1530618.0
2020-05-05,8.75,8.9,8.1,8.32,1782305.0
2020-05-04,7.4,8.29,7.12,8.23,2934827.0
2020-05-01,8.7,9.05,7.65,7.85,2388982.0
2020-04-30,9.66,9.92,8.8,9.1,4925128.0
2020-04-29,8.65,10.11,8.51,10.03,4006951.0
2020-04-28,8.45,8.7,8.12,8.37,1444898.0
2020-04-27,8.21,8.4,7.88,8.31,2273751.0
2020-04-24,8.54,9.36,8.05,8.42,3361822.0
2020-04-23,7.25,8.53,7.02,8.53,3901405.0
2020-04-22,6.32,6.96,5.99,6.72,2897155.0
2020-04-21,5.76,6.0,5.51,5.99,3421773.0
2020-04-20,5.49,6.3,5.35,5.68,2912377.0
2020-04-17,5.9,6.18,5.68,6.1,3316389.0
2020-04-16,6.1,6.13,5.55,5.7,2212710.0
2020-04-15,6.3,6.54,5.63,5.96,3319304.0
2020-04-14,6.45,6.95,6.34,6.63,3460515.0
2020-04-13,6.71,6.8,6.02,6.29,3560034.0
2020-04-09,6.56,7.18,5.95,6.1,4422863.0
2020-04-08,5.6,6.24,5.56,6.12,3918950.0
2020-04-07,5.31,6.68,5.31,5.4,5239537.0
2020-04-06,4.91,5.55,4.64,4.99,3589492.0
2020-04-03,5.01,5.15,4.02,4.62,4538678.0
2020-04-02,4.12,5.0,4.05,4.57,4860429.0
2020-04-01,3.83,4.0,3.55,3.89,2801891.0
2020-03-31,3.66,4.19,3.53,4.07,5486074.0
2020-03-30,3.51,3.51,3.09,3.35,3428332.0
2020-03-27,4.12,4.19,3.39,3.49,3726786.0
2020-03-26,4.07,4.45,3.81,4.05,2947950.0
2020-03-25,4.3,4.5,3.81,4.03,3749912.0
2020-03-24,4.62,4.99,4.0,4.26,3775245.0
2020-03-23,4.69,5.17,4.0,4.2,5433651.0
2020-03-20,3.89,4.89,3.61,4.26,8757613.0
2020-03-19,3.1,4.21,2.81,3.34,7155194.0
2020-03-18,3.95,4.0,2.2,2.68,6133092.0
2020-03-17,5.74,6.02,4.11,4.22,3504001.0
2020-03-16,5.99,6.5,5.11,5.47,2801018.0
2020-03-13,6.79,7.11,6.01,6.49,3892476.0
2020-03-12,6.16,6.65,5.63,6.0,2543486.0
2020-03-11,6.87,7.85,6.54,6.92,4304791.0
2020-03-10,7.88,8.1,5.8,7.2,4975501.0
2020-03-09,9.06,9.06,6.38,6.38,6616736.0
2020-03-06,13.31,13.49,12.22,12.22,3027485.0
2020-03-05,14.5,14.51,13.7,13.79,1781466.0
2020-03-04,15.06,15.11,14.56,14.6,988589.0
2020-03-03,15.24,15.69,14.5,14.73,2195543.0
2020-03-02,15.85,15.86,14.92,15.24,2497280.0
2020-02-28,15.09,15.86,14.46,15.59,2284270.0
2020-02-27,15.96,16.22,14.86,15.41,2560237.0
2020-02-26,17.35,17.47,16.51,16.51,1891522.0
2020-02-25,18.65,18.69,17.36,17.4,1356704.0
2020-02-24,18.71,18.73,18.15,18.63,1768978.0
2020-02-21,19.32,19.4,18.76,19.15,1122125.0
2020-02-20,19.42,19.72,19.21,19.32,1441732.0
2020-02-19,19.97,20.11,19.42,19.44,1320625.0
2020-02-18,20.22,20.27,19.68,19.86,772032.0
2020-02-14,20.42,20.43,19.9,20.3,716700.0
2020-02-13,20.82,21.14,19.77,20.19,848481.0
2020-02-12,20.59,21.85,20.53,21.0,1540355.0
2020-02-11,20.99,21.31,20.72,21.16,933331.0
2020-02-10,21.67,22.0,20.88,20.98,825352.0
2020-02-07,22.0,22.0,21.54,21.72,617805.0
2020-02-06,22.36,22.43,21.93,22.2,579138.0
2020-02-05,21.82,22.45,21.82,22.37,521869.0
2020-02-04,21.69,22.0,21.3,21.53,658143.0
2020-02-03,21.0,21.66,21.0,21.36,683344.0
2020-01-31,21.0,21.43,20.98,21.03,657933.0
2020-01-30,22.7,22.87,21.94,21.94,1267699.0
2020-01-29,22.76,23.17,22.72,22.74,673276.0
2020-01-28,22.6,22.87,22.35,22.67,578273.0
2020-01-27,22.55,22.74,22.22,22.49,431441.0
2020-01-24,23.4,23.4,22.72,22.77,900629.0
2020-01-23,23.28,23.59,22.92,23.36,575520.0
2020-01-22,23.95,24.0,23.11,23.38,1337500.0
2020-01-21,24.28,24.54,23.9,23.92,1108528.0
2020-01-17,25.04,25.08,24.35,24.49,828953.0
2020-01-16,24.74,25.13,24.68,24.95,310921.0
2020-01-15,24.62,24.83,24.41,24.67,1209209.0
2020-01-14,24.76,25.15,24.42,24.64,1078234.0
2020-01-13,25.0,25.03,24.41,24.73,911382.0
2020-01-10,25.48,25.53,24.62,24.87,1039301.0
2020-01-09,26.0,26.1,25.42,25.5,1147767.0
2020-01-08,26.05,26.08,25.48,26.0,1197792.0
2020-01-07,26.01,26.26,25.95,26.06,1082487.0
2020-01-06,25.62,26.15,25.53,26.1,869734.0
2020-01-03,25.43,25.7,25.23,25.51,1259489.0
2020-01-02,24.65,25.38,24.46,25.19,1160313.0
2019-12-31,24.32,25.8,24.2,24.49,1137494.0
2019-12-30,25.0,25.3,24.34,24.43,1331063.0
2019-12-27,25.75,25.82,24.86,25.03,1290271.0
2019-12-26,25.41,26.1,25.26,25.64,1329033.0
2019-12-24,25.37,25.62,24.95,25.28,428078.0
2019-12-23,24.58,25.33,24.23,25.31,998996.0
2019-12-20,24.88,24.97,24.51,24.58,3246205.0
2019-12-19,25.08,25.4,24.31,24.76,1086742.0
2019-12-18,24.81,25.55,24.7,25.21,1367656.0
2019-12-17,24.09,25.66,23.89,24.8,3195212.0
2019-12-16,23.28,24.14,23.14,24.04,957055.0
2019-12-13,23.65,23.78,22.81,23.17,1138719.0
2019-12-12,24.23,24.84,23.64,23.69,868795.0
2019-12-11,24.46,25.09,23.68,24.25,2085422.0
2019-12-10,22.6,24.52,22.43,24.39,2277735.0
2019-12-09,21.0,22.64,20.8,22.6,1490235.0
2019-12-06,20.62,21.23,20.5,21.0,868873.0
2019-12-05,20.79,20.94,20.56,20.64,618219.0
2019-12-04,20.79,20.94,20.4,20.76,680360.0
2019-12-03,21.1,21.29,20.66,20.69,663777.0
2019-12-02,21.15,21.46,21.03,21.29,1331546.0
2019-11-29,21.09,21.41,20.98,21.11,573946.0
2019-11-27,21.56,21.79,20.67,21.28,709822.0
2019-11-26,22.38,22.58,21.54,21.57,485659.0
2019-11-25,22.06,22.48,21.82,22.38,764194.0
2019-11-22,21.59,22.39,21.5,22.05,1246903.0
2019-11-21,21.3,21.63,20.84,21.61,499159.0
2019-11-20,21.03,21.41,20.65,21.23,501641.0
2019-11-19,22.4,22.58,21.03,21.06,762152.0
2019-11-18,23.19,23.19,22.38,22.4,715608.0
