date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,36.39,37.39,36.1601,37.03,31861.0
2021-03-11,36.34,37.3,35.9,36.73,52248.0
2021-03-10,34.7,36.93,34.7,36.17,63424.0
2021-03-09,35.0,36.25,34.58,34.7,90195.0
2021-03-08,35.94,36.85,35.1,35.3,40471.0
2021-03-05,36.37,37.5,33.6,35.44,92300.0
2021-03-04,35.91,36.91,34.55,35.54,83826.0
2021-03-03,36.71,37.476,36.14,36.15,40859.0
2021-03-02,37.49,38.1099,36.21,37.04,112312.0
2021-03-01,36.51,38.2,36.51,37.44,74815.0
2021-02-26,37.99,38.999,36.5,36.88,623629.0
2021-02-25,39.0,39.97,36.6,37.77,259838.0
2021-02-24,41.97,42.72,35.185,39.48,637063.0
2021-02-23,41.0,42.77,39.0,42.33,91600.0
2021-02-22,41.92,43.15,41.06,41.32,70550.0
2021-02-19,41.04,41.98,40.4505,41.89,79214.0
2021-02-18,41.43,41.59,39.55,40.73,55364.0
2021-02-17,41.0,41.99,39.59,41.41,89463.0
2021-02-16,41.12,41.86,40.33,40.7,48093.0
2021-02-12,39.76,40.7,39.75,40.7,36777.0
2021-02-11,39.6,40.19,39.0201,39.87,40402.0
2021-02-10,39.57,39.95,38.98,39.72,39171.0
2021-02-09,39.0,39.6278,38.795,39.4,53828.0
2021-02-08,38.38,41.0007,38.05,39.28,180033.0
2021-02-05,37.67,38.84,37.4125,38.31,51228.0
2021-02-04,37.39,37.79,36.52,37.24,40769.0
2021-02-03,36.66,37.8,36.178,37.02,59292.0
2021-02-02,36.41,36.92,35.1608,36.17,72074.0
2021-02-01,38.02,38.42,36.04,36.49,270500.0
2021-01-29,38.17,39.1,37.36,38.37,127941.0
2021-01-28,39.15,39.6,37.2627,38.05,104173.0
2021-01-27,39.55,40.2199,38.5,39.15,63836.0
2021-01-26,39.5,40.575,38.36,40.01,90885.0
2021-01-25,38.28,39.75,38.01,39.5,74541.0
2021-01-22,37.05,38.2286,36.5,38.18,30678.0
2021-01-21,38.64,38.95,36.6759,37.28,128672.0
2021-01-20,37.48,39.34,36.985,38.86,128570.0
2021-01-19,35.84,37.5,35.71,37.09,141148.0
2021-01-15,35.65,35.65,33.19,35.0,148888.0
2021-01-14,35.08,36.0,34.575,35.64,30141.0
2021-01-13,35.77,35.784,34.57,35.09,33943.0
2021-01-12,34.77,35.8799,34.45,35.53,42599.0
2021-01-11,33.54,34.86,33.5,34.6,52184.0
