date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,14.28,14.3,14.1,14.13,35466.0
2021-03-11,14.36,14.36,14.25,14.31,24111.0
2021-03-10,14.19,14.35,14.19,14.29,16082.0
2021-03-09,14.17,14.23,14.11,14.21,16485.0
2021-03-08,14.01,14.15,14.0,14.1,19748.0
2021-03-05,14.16,14.1787,13.92,14.01,26642.0
2021-03-04,14.21,14.24,13.99,14.07,29565.0
2021-03-03,14.14,14.17,14.02,14.14,34370.0
2021-03-02,14.12,14.22,14.06,14.19,29040.0
2021-03-01,13.97,14.1126,13.97,14.09,37039.0
2021-02-26,13.79,13.96,13.72,13.95,74394.0
2021-02-25,13.98,13.99,13.67,13.76,60618.0
2021-02-24,13.9,14.01,13.76,13.98,45142.0
2021-02-23,14.28,14.29,13.64,13.88,195183.0
2021-02-22,14.32,14.47,14.26,14.31,60114.0
2021-02-19,14.5,14.5,14.27,14.38,53937.0
2021-02-18,14.5,14.5,14.4,14.43,45167.0
2021-02-17,14.71,14.84,14.53,14.55,16775.0
2021-02-16,14.93,14.93,14.65,14.65,30528.0
2021-02-12,14.99,14.99,14.83,14.94,13276.0
2021-02-11,15.01,15.08,14.86,14.9,25694.0
2021-02-10,14.92,14.9303,14.89,14.9,17374.0
2021-02-09,14.98,14.98,14.55,14.86,86826.0
2021-02-08,14.79,14.98,14.75,14.93,37609.0
2021-02-05,14.83,14.9526,14.74,14.84,23720.0
2021-02-04,14.83,14.83,14.69,14.83,20362.0
2021-02-03,14.8,14.8001,14.76,14.79,12878.0
2021-02-02,14.69,14.84,14.655,14.77,30568.0
2021-02-01,14.65,14.71,14.5,14.69,61256.0
2021-01-29,14.41,14.5,14.31,14.5,19518.0
2021-01-28,14.52,14.58,14.43,14.44,18325.0
2021-01-27,14.41,14.42,14.3,14.39,25938.0
2021-01-26,14.45,14.6,14.42,14.5,41293.0
2021-01-25,14.52,14.52,14.4,14.46,13166.0
2021-01-22,14.52,14.55,14.41,14.46,23117.0
2021-01-21,14.4,14.49,14.33,14.45,36120.0
2021-01-20,14.42,14.42,14.3102,14.33,23998.0
2021-01-19,14.34,14.37,14.2932,14.32,23376.0
2021-01-15,14.43,14.4638,14.35,14.37,20590.0
2021-01-14,14.21,14.46,14.2,14.4,27508.0
2021-01-13,14.12,14.46,14.1002,14.26,46187.0
2021-01-12,14.13,14.16,14.115,14.14,20710.0
2021-01-11,14.05,14.1,14.0254,14.095,29607.0
2021-01-08,14.05,14.09,14.0,14.05,32189.0
2021-01-07,14.08,14.08,14.0,14.05,21073.0
2021-01-06,14.0,14.04,14.0,14.01,21813.0
2021-01-05,13.97,14.06,13.96,13.96,27143.0
2021-01-04,14.04,14.04,13.92,13.92,28657.0
2020-12-31,13.95,14.04,13.95,14.02,33515.0
2020-12-30,13.97,14.0,13.9101,13.95,30394.0
2020-12-29,13.97,13.98,13.92,13.95,42151.0
2020-12-28,14.04,14.04,13.935,13.95,19430.0
2020-12-24,13.9,13.9817,13.9,13.914,8955.0
2020-12-23,13.87,13.89,13.81,13.89,53699.0
2020-12-22,13.83,13.9099,13.79,13.85,39372.0
2020-12-21,13.9,13.915,13.79,13.88,28646.0
2020-12-18,13.9,13.97,13.9,13.93,19364.0
2020-12-17,13.97,13.97,13.88,13.93,23357.0
2020-12-16,13.97,13.97,13.87,13.93,39065.0
2020-12-15,14.05,14.22,13.98,14.07,41566.0
2020-12-14,14.1,14.11,14.05,14.05,55917.0
2020-12-11,14.07,14.1,14.07,14.09,13231.0
2020-12-10,14.21,14.28,14.03,14.13,34460.0
2020-12-09,14.24,14.24,14.18,14.21,17854.0
2020-12-08,14.16,14.18,14.1501,14.17,22396.0
2020-12-07,14.22,14.23,14.12,14.16,27768.0
2020-12-04,14.05,14.2,14.04,14.2,18081.0
2020-12-03,14.05,14.05,14.02,14.04,9170.0
2020-12-02,14.0,14.04,13.94,14.01,34663.0
2020-12-01,13.9,13.9883,13.855,13.94,36094.0
2020-11-30,13.87,13.89,13.8,13.89,15176.0
2020-11-27,13.89,13.89,13.8468,13.85,7710.0
2020-11-25,13.89,13.89,13.77,13.8298,45397.0
2020-11-24,13.89,13.89,13.86,13.86,17581.0
2020-11-23,13.89,13.89,13.83,13.86,24073.0
2020-11-20,13.81,13.89,13.801,13.89,22351.0
2020-11-19,13.87,13.87,13.8,13.82,16482.0
2020-11-18,13.83,13.86,13.79,13.84,30642.0
2020-11-17,13.89,13.9,13.845,13.89,19127.0
2020-11-16,13.8,13.89,13.7397,13.8474,28708.0
2020-11-13,13.7,13.78,13.7,13.7,11012.0
2020-11-12,13.66,13.75,13.6001,13.69,25586.0
2020-11-11,13.52,13.65,13.52,13.6,24095.0
2020-11-10,13.56,13.63,13.5233,13.63,26488.0
2020-11-09,13.64,13.64,13.44,13.57,31969.0
2020-11-06,13.47,13.5357,13.47,13.53,47967.0
2020-11-05,13.39,13.48,13.39,13.47,38015.0
2020-11-04,13.2,13.42,13.175,13.38,42181.0
2020-11-03,12.99,13.11,12.92,13.11,65951.0
2020-11-02,13.07,13.1371,12.92,12.99,64489.0
2020-10-30,13.03,13.0599,12.98,13.02,52675.0
2020-10-29,13.02,13.075,13.0,13.07,46838.0
2020-10-28,13.05,13.16,13.04,13.07,51670.0
2020-10-27,13.17,13.2395,13.15,13.2,25379.0
2020-10-26,13.23,13.27,13.19,13.21,53737.0
2020-10-23,13.34,13.37,13.29,13.37,49008.0
2020-10-22,13.49,13.49,13.36,13.45,84470.0
2020-10-21,13.73,13.7498,13.42,13.51,65387.0
2020-10-20,13.64,13.84,13.6225,13.7643,61002.0
2020-10-19,13.71,13.71,13.6033,13.67,30431.0
2020-10-16,13.65,13.7403,13.63,13.66,47317.0
2020-10-15,13.69,13.74,13.63,13.66,20367.0
2020-10-14,13.75,13.78,13.7,13.78,17909.0
2020-10-13,13.72,13.72,13.67,13.7199,11009.0
2020-10-12,13.65,13.72,13.65,13.715,16489.0
2020-10-09,13.61,13.72,13.6,13.71,18658.0
2020-10-08,13.66,13.7,13.65,13.6999,19148.0
2020-10-07,13.6,13.68,13.6,13.68,13150.0
2020-10-06,13.56,13.62,13.56,13.61,11514.0
2020-10-05,13.58,13.62,13.55,13.62,25125.0
2020-10-02,13.45,13.6,13.45,13.59,16493.0
2020-10-01,13.56,13.56,13.48,13.5324,21566.0
2020-09-30,13.44,13.52,13.39,13.45,20688.0
2020-09-29,13.4,13.48,13.4,13.4799,12186.0
2020-09-28,13.35,13.445,13.35,13.445,20555.0
2020-09-25,13.4,13.4,13.33,13.3847,34420.0
2020-09-24,13.45,13.45,13.32,13.3497,41411.0
2020-09-23,13.58,13.58,13.36,13.3967,48079.0
2020-09-22,13.68,13.737,13.54,13.6201,41871.0
2020-09-21,13.78,13.79,13.65,13.74,27641.0
2020-09-18,13.64,13.77,13.64,13.77,19774.0
2020-09-17,13.64,13.78,13.63,13.68,22095.0
2020-09-16,13.67,13.77,13.6607,13.73,29965.0
2020-09-15,13.67,13.7221,13.67,13.7,19873.0
2020-09-14,13.57,13.74,13.53,13.7,58737.0
2020-09-11,13.45,13.56,13.45,13.55,20214.0
2020-09-10,13.47,13.5122,13.44,13.46,56615.0
2020-09-09,13.36,13.46,13.36,13.46,24165.0
2020-09-08,13.49,13.5,13.34,13.35,41944.0
2020-09-04,13.64,13.6812,13.48,13.57,11583.0
2020-09-03,13.8,13.8039,13.54,13.63,44616.0
2020-09-02,13.77,13.865,13.7683,13.82,46447.0
2020-09-01,13.81,13.85,13.59,13.8,45641.0
2020-08-31,13.68,13.77,13.68,13.77,20246.0
2020-08-28,13.41,13.65,13.41,13.65,47037.0
2020-08-27,13.54,13.54,13.4,13.4,26243.0
2020-08-26,13.49,13.5,13.451,13.5,34602.0
2020-08-25,13.6,13.6,13.425,13.46,38818.0
2020-08-24,13.62,13.65,13.59,13.62,43223.0
2020-08-21,13.74,13.7621,13.56,13.62,30513.0
2020-08-20,13.89,13.89,13.71,13.76,22491.0
2020-08-19,13.88,13.8815,13.855,13.8699,11695.0
2020-08-18,13.93,13.93,13.72,13.819,38952.0
2020-08-17,13.85,13.92,13.81,13.88,45526.0
2020-08-14,14.09,14.09,13.89,13.91,65644.0
2020-08-13,14.24,14.335,14.0,14.0,106940.0
2020-08-12,14.17,14.25,14.17,14.24,84345.0
2020-08-11,14.2,14.29,14.1808,14.2501,75744.0
2020-08-10,14.17,14.19,14.09,14.14,28460.0
2020-08-07,14.1,14.15,14.05,14.1,46191.0
2020-08-06,13.95,13.9924,13.93,13.9894,23403.0
2020-08-05,13.83,13.86,13.82,13.85,32604.0
2020-08-04,13.79,13.83,13.74,13.83,32951.0
2020-08-03,13.76,13.77,13.72,13.73,39132.0
2020-07-31,13.7,13.74,13.6825,13.72,32284.0
2020-07-30,13.75,13.7699,13.66,13.67,29353.0
2020-07-29,13.75,13.8,13.67,13.75,51038.0
2020-07-28,13.58,13.76,13.5786,13.76,43714.0
2020-07-27,13.54,13.6,13.54,13.6,62100.0
2020-07-24,13.55,13.55,13.5,13.54,32033.0
2020-07-23,13.51,13.54,13.46,13.51,37056.0
2020-07-22,13.47,13.569,13.47,13.56,52303.0
2020-07-21,13.48,13.51,13.43,13.51,45901.0
2020-07-20,13.4,13.48,13.4,13.46,30045.0
2020-07-17,13.43,13.44,13.35,13.38,39783.0
2020-07-16,13.36,13.44,13.36,13.44,28361.0
2020-07-15,13.3,13.4,13.3,13.39,40942.0
2020-07-14,13.28,13.36,13.26,13.36,40589.0
2020-07-13,13.51,13.51,13.28,13.28,45116.0
2020-07-10,13.28,13.4,13.28,13.38,16402.0
2020-07-09,13.32,13.4,13.32,13.34,37478.0
2020-07-08,13.21,13.35,13.21,13.32,37597.0
2020-07-07,13.18,13.25,13.14,13.25,34850.0
2020-07-06,13.07,13.17,13.07,13.14,49936.0
2020-07-02,13.05,13.15,13.03,13.11,58673.0
2020-07-01,13.13,13.13,13.04,13.09,35935.0
2020-06-30,13.06,13.14,12.99,13.09,42035.0
2020-06-29,13.03,13.09,12.97,13.09,36641.0
2020-06-26,13.09,13.15,13.04,13.04,42124.0
2020-06-25,13.25,13.29,13.11,13.11,73655.0
2020-06-24,13.38,13.47,13.15,13.25,90088.0
2020-06-23,13.34,13.37,13.33,13.36,45974.0
2020-06-22,13.33,13.37,13.31,13.31,19995.0
2020-06-19,13.41,13.41,13.31,13.34,25676.0
2020-06-18,13.22,13.29,13.22,13.28,18640.0
2020-06-17,13.36,13.36,13.16,13.26,25487.0
2020-06-16,13.14,13.31,13.14,13.28,20691.0
2020-06-15,13.21,13.26,13.14,13.19,36078.0
2020-06-12,13.23,13.23,13.15,13.21,18935.0
2020-06-11,13.29,13.3,13.1,13.14,70638.0
2020-06-10,13.28,13.37,13.25,13.3,30016.0
2020-06-09,13.36,13.36,13.28,13.3,50508.0
2020-06-08,13.14,13.75,13.07,13.35,111161.0
2020-06-05,13.05,13.15,13.03,13.11,36991.0
2020-06-04,13.06,13.06,12.99,13.01,53149.0
2020-06-03,13.18,13.21,13.01,13.01,55843.0
2020-06-02,13.04,13.16,13.01,13.14,36881.0
2020-06-01,12.88,13.04,12.88,13.04,51364.0
2020-05-29,12.7,12.89,12.7,12.89,40908.0
2020-05-28,12.68,12.74,12.6,12.7,74135.0
2020-05-27,12.68,12.68,12.61,12.65,68707.0
2020-05-26,12.82,12.82,12.61,12.66,69534.0
2020-05-22,12.72,12.72,12.61,12.62,65973.0
2020-05-21,12.5,12.62,12.5,12.61,52490.0
2020-05-20,12.55,12.55,12.48,12.51,100377.0
2020-05-19,12.42,12.5,12.42,12.49,42305.0
2020-05-18,12.7,12.7,12.38,12.46,54897.0
2020-05-15,12.37,12.42,12.33,12.42,52894.0
2020-05-14,12.57,12.57,12.26,12.32,46611.0
2020-05-13,12.57,12.67,12.38,12.38,60302.0
2020-05-12,12.51,12.67,12.51,12.57,48181.0
2020-05-11,12.43,12.58,12.41,12.54,57015.0
2020-05-08,12.69,12.69,12.53,12.55,43618.0
2020-05-07,12.45,12.67,12.45,12.59,59201.0
2020-05-06,12.41,12.49,12.33,12.43,55140.0
2020-05-05,12.28,12.41,12.25,12.4,99640.0
2020-05-04,12.15,12.25,12.1,12.25,40683.0
2020-05-01,12.2,12.24,12.1,12.17,85366.0
2020-04-30,12.03,12.21,12.03,12.19,65977.0
2020-04-29,11.9,12.24,11.9,12.21,101219.0
2020-04-28,11.99,12.02,11.91,11.99,53616.0
2020-04-27,12.12,12.13,11.79,11.95,133099.0
2020-04-24,12.24,12.24,12.07,12.17,85258.0
2020-04-23,12.32,12.35,12.16,12.21,62720.0
2020-04-22,12.38,12.42,12.26,12.27,80628.0
2020-04-21,12.23,12.45,12.23,12.35,76591.0
2020-04-20,12.33,12.52,12.33,12.42,56402.0
2020-04-17,12.85,12.85,12.46,12.52,144138.0
2020-04-16,12.79,12.86,12.61,12.75,125002.0
2020-04-15,12.72,12.84,12.55,12.82,70767.0
2020-04-14,12.7,12.75,12.55,12.74,98418.0
2020-04-13,12.6,12.62,12.39,12.46,65519.0
2020-04-09,12.37,12.7,12.22,12.57,140721.0
2020-04-08,11.84,12.13,11.79,12.1,75790.0
2020-04-07,11.82,12.06,11.82,11.92,78277.0
2020-04-06,11.54,11.84,11.54,11.7,107932.0
2020-04-03,11.9,11.9,11.41,11.48,100182.0
2020-04-02,11.83,11.89,11.47,11.66,107871.0
2020-04-01,12.36,12.36,11.67,11.91,142909.0
2020-03-31,12.26,12.45,12.23,12.39,135247.0
2020-03-30,12.0,12.44,11.97,12.38,69450.0
2020-03-27,11.66,12.28,11.66,12.0,113704.0
2020-03-26,11.55,12.27,11.55,12.05,95704.0
2020-03-25,11.15,12.04,10.93,11.54,107088.0
2020-03-24,10.86,11.0,10.62,11.0,99501.0
2020-03-23,10.8,10.95,10.1,10.42,119446.0
