date,1. open,2. high,3. low,4. close,5. volume
2021-03-18,14.8,14.8,14.5,14.68,43114.0
2021-03-17,14.9,14.9,14.71,14.74,66282.0
2021-03-16,14.85,14.9,14.7439,14.9,98175.0
2021-03-15,14.53,14.85,14.4972,14.8,77767.0
2021-03-12,14.64,14.65,14.45,14.53,39514.0
2021-03-11,14.65,14.65,14.55,14.57,45077.0
2021-03-10,14.73,14.75,14.5808,14.64,40157.0
2021-03-09,14.55,14.75,14.53,14.73,77517.0
2021-03-08,14.49,14.55,14.44,14.53,49718.0
2021-03-05,14.36,14.42,14.25,14.42,54399.0
2021-03-04,14.36,14.4553,14.25,14.34,73728.0
2021-03-03,14.33,14.49,14.285,14.42,77392.0
2021-03-02,14.53,14.6,14.28,14.3,144164.0
2021-03-01,14.82,14.83,14.51,14.6,43811.0
2021-02-26,14.45,14.84,14.37,14.78,76187.0
2021-02-25,14.59,14.59,14.3,14.36,43837.0
2021-02-24,14.59,14.62,14.4402,14.59,40108.0
2021-02-23,14.75,14.75,14.33,14.52,80699.0
2021-02-22,14.41,14.755,14.41,14.67,47562.0
2021-02-19,14.6,14.6014,14.35,14.44,55768.0
2021-02-18,14.53,14.63,14.39,14.46,48773.0
2021-02-17,14.49,14.7,14.36,14.7,68439.0
2021-02-16,14.76,14.8696,14.235,14.45,170438.0
2021-02-12,14.95,14.95,14.7,14.76,67245.0
2021-02-11,14.6,15.0,14.5268,14.96,136862.0
2021-02-10,14.53,14.6464,14.51,14.535,55742.0
2021-02-09,14.5,14.62,14.48,14.53,91895.0
2021-02-08,14.38,14.5,14.3799,14.5,46132.0
2021-02-05,14.32,14.332,14.25,14.33,81473.0
2021-02-04,14.73,14.73,13.87,14.25,331853.0
2021-02-03,14.59,14.7327,14.481,14.73,69451.0
2021-02-02,14.34,14.57,14.34,14.55,69078.0
2021-02-01,14.3,14.5798,14.28,14.31,57214.0
2021-01-29,14.45,14.45,14.25,14.3,37629.0
2021-01-28,14.51,14.51,14.28,14.38,38708.0
2021-01-27,14.44,14.44,14.22,14.31,34899.0
2021-01-26,14.25,14.74,14.25,14.34,63609.0
2021-01-25,14.18,14.23,14.08,14.23,32312.0
2021-01-22,14.16,14.24,14.1301,14.16,24768.0
2021-01-21,14.24,14.29,14.09,14.12,59879.0
2021-01-20,14.23,14.42,14.23,14.41,83011.0
2021-01-19,14.07,14.26,14.069,14.26,62349.0
2021-01-15,14.14,14.17,13.95,14.04,60784.0
2021-01-14,14.08,14.1402,13.83,14.1,96086.0
2021-01-13,14.14,14.17,14.02,14.14,79348.0
2021-01-12,14.11,14.14,13.98,14.1,39009.0
2021-01-11,14.12,14.26,14.0481,14.05,42126.0
2021-01-08,14.1,14.1699,14.08,14.12,18924.0
2021-01-07,14.09,14.17,14.03,14.09,41857.0
2021-01-06,14.18,14.18,14.02,14.02,41685.0
2021-01-05,14.09,14.19,14.0364,14.14,52665.0
2021-01-04,14.24,14.25,13.93,14.08,89792.0
2020-12-31,14.05,14.23,14.045,14.18,85874.0
2020-12-30,14.08,14.141,14.02,14.05,81278.0
2020-12-29,14.16,14.1998,14.01,14.08,57335.0
2020-12-28,14.17,14.2,14.0901,14.11,30842.0
2020-12-24,14.08,14.15,13.92,14.06,24810.0
2020-12-23,14.21,14.21,13.96,14.01,58475.0
2020-12-22,14.3,14.3,14.1,14.17,55795.0
2020-12-21,14.3,14.46,14.2674,14.37,66836.0
2020-12-18,14.3,14.42,14.25,14.41,111660.0
2020-12-17,14.1,14.3,14.04,14.24,102107.0
2020-12-16,14.0,14.1,13.95,14.05,106696.0
2020-12-15,13.97,14.1,13.9,13.93,81178.0
2020-12-14,13.99,14.07,13.86,13.94,65743.0
2020-12-11,13.93,14.0999,13.82,13.88,63308.0
2020-12-10,14.02,14.115,13.91,13.93,44259.0
2020-12-09,13.95,14.16,13.95,14.1,76269.0
2020-12-08,13.95,14.06,13.85,13.92,38336.0
2020-12-07,13.97,14.005,13.8901,13.95,54741.0
2020-12-04,14.1,14.19,13.865,13.96,59935.0
2020-12-03,14.16,14.19,14.08,14.12,36038.0
2020-12-02,14.05,14.2699,14.0,14.12,69993.0
2020-12-01,13.96,14.22,13.92,13.97,68472.0
2020-11-30,13.93,14.0,13.8,13.85,56099.0
2020-11-27,13.81,13.9,13.71,13.9,16970.0
2020-11-25,13.9,13.92,13.73,13.74,49982.0
2020-11-24,13.86,14.0,13.7,13.93,50911.0
2020-11-23,13.46,13.83,13.46,13.8,56751.0
2020-11-20,13.46,13.64,13.38,13.43,36761.0
