date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,25.53,25.552,25.35,25.5,52939.0
2021-03-11,25.52,25.66,25.5,25.58,49999.0
2021-03-10,25.47,25.59,25.47,25.57,34902.0
2021-03-09,25.53,25.5896,25.46,25.48,27352.0
2021-03-08,25.531,25.6299,25.47,25.58,23958.0
2021-03-05,25.4958,25.6394,25.3703,25.58,29205.0
2021-03-04,25.63,25.7,25.4302,25.52,49754.0
2021-03-03,25.45,25.62,25.45,25.6,17789.0
2021-03-02,25.4121,25.63,25.4121,25.59,28478.0
2021-03-01,25.45,25.63,25.45,25.62,52173.0
2021-02-26,25.3,25.48,25.25,25.39,78361.0
2021-02-25,25.32,25.35,25.0985,25.3,94420.0
2021-02-24,25.39,25.39,25.25,25.31,63907.0
2021-02-23,25.3,25.39,25.3,25.37,29619.0
2021-02-22,25.33,25.4,25.3,25.32,55659.0
2021-02-19,25.35,25.4528,25.33,25.4,56793.0
2021-02-18,25.31,25.4068,25.31,25.38,30032.0
2021-02-17,25.35,25.42,25.31,25.33,46325.0
2021-02-16,25.33,25.4384,25.29,25.31,60184.0
2021-02-12,25.44,25.5,25.3,25.46,41424.0
2021-02-11,25.54,25.55,25.45,25.48,52796.0
2021-02-10,25.64,25.64,25.5,25.52,32282.0
2021-02-09,25.6,25.6193,25.57,25.6,28470.0
2021-02-08,25.56,25.61,25.53,25.56,19416.0
2021-02-05,25.56,25.62,25.53,25.55,32873.0
2021-02-04,25.57,25.6,25.4365,25.6,33975.0
2021-02-03,25.61,25.625,25.47,25.54,52008.0
2021-02-02,25.6,25.68,25.56,25.58,38569.0
2021-02-01,25.74,25.74,25.56,25.56,50084.0
2021-01-29,25.74,25.76,25.55,25.65,112784.0
2021-01-28,25.75,25.815,25.57,25.79,40419.0
2021-01-27,26.01,26.12,25.8622,25.95,48161.0
2021-01-26,26.05,26.07,26.0,26.01,16187.0
2021-01-25,26.03,26.08,25.97,26.01,36042.0
2021-01-22,25.95,26.02,25.9,26.02,76770.0
2021-01-21,26.05,26.05,24.94,25.96,46353.0
2021-01-20,26.08,26.13,25.9544,26.05,87950.0
2021-01-19,25.88,26.5,25.88,25.98,43614.0
2021-01-15,25.87,25.99,25.87,25.96,43272.0
2021-01-14,25.83,25.97,25.79,25.97,55018.0
2021-01-13,25.77,25.97,25.74,25.79,59486.0
2021-01-12,25.64,25.73,25.595,25.73,51423.0
2021-01-11,25.82,25.82,25.72,25.72,40336.0
2021-01-08,25.7488,25.8666,25.7488,25.82,19271.0
2021-01-07,25.64,25.84,25.57,25.81,51585.0
2021-01-06,25.975,25.975,25.5717,25.76,40896.0
2021-01-05,26.05,26.086,25.9142,25.98,58319.0
2021-01-04,26.11,26.1532,25.96,26.0,62618.0
2020-12-31,26.1,26.18,25.9664,26.18,229048.0
2020-12-30,25.98,25.99,25.9589,25.99,87313.0
2020-12-29,25.95,25.98,25.95,25.98,46216.0
2020-12-28,25.94,25.99,25.93,25.98,60264.0
2020-12-24,25.96,25.97,25.92,25.95,51439.0
2020-12-23,25.97,25.99,25.9,25.96,82363.0
2020-12-22,25.94,26.0,25.9,25.95,136338.0
2020-12-21,25.93,25.96,25.88,25.96,46046.0
2020-12-18,25.93,25.9907,25.9,25.93,24977.0
2020-12-17,25.94,25.98,25.86,25.98,36649.0
2020-12-16,25.86,25.94,25.8302,25.94,49397.0
2020-12-15,25.89,25.9,25.81,25.87,39840.0
2020-12-14,25.87,25.9,25.81,25.88,33388.0
2020-12-11,25.78,25.87,25.78,25.86,42400.0
2020-12-10,25.83,25.8899,25.76,25.81,52388.0
2020-12-09,25.92,25.99,25.85,25.89,48495.0
2020-12-08,25.89,26.0099,25.89,26.0,30003.0
2020-12-07,25.88,25.97,25.8663,25.97,24276.0
2020-12-04,25.9,25.9,25.85,25.88,34056.0
2020-12-03,25.75,25.86,25.73,25.86,44695.0
2020-12-02,25.79,25.84,25.74,25.77,59407.0
2020-12-01,25.86,25.86,25.74,25.79,22105.0
2020-11-30,25.87,25.87,25.73,25.73,80269.0
2020-11-27,25.79,25.8599,25.78,25.84,14734.0
2020-11-25,25.83,25.86,25.7826,25.811,25470.0
2020-11-24,25.9,25.9,25.77,25.83,34711.0
2020-11-23,25.8,25.86,25.7805,25.85,86511.0
2020-11-20,25.88,25.8802,25.76,25.82,20831.0
2020-11-19,25.88,25.89,25.82,25.87,42018.0
2020-11-18,25.86,25.88,25.82,25.85,35790.0
2020-11-17,25.83,25.9,25.83,25.88,72962.0
2020-11-16,25.81,25.94,25.79,25.9,72310.0
2020-11-13,25.81,25.9,25.81,25.81,42716.0
2020-11-12,25.83,25.9,25.56,25.87,23695.0
2020-11-11,25.82,25.93,25.82,25.83,26155.0
2020-11-10,25.73,25.89,25.73,25.87,34138.0
2020-11-09,25.74,25.86,25.68,25.75,49170.0
2020-11-06,25.75,25.79,25.63,25.64,23324.0
2020-11-05,25.72,25.904,25.72,25.81,27948.0
2020-11-04,25.62,25.7779,25.62,25.72,33483.0
2020-11-03,25.55,25.72,25.55,25.62,49377.0
2020-11-02,25.72,25.74,25.55,25.55,75564.0
2020-10-30,25.69,25.74,25.5925,25.66,105091.0
2020-10-29,25.74,25.97,25.66,25.66,51490.0
2020-10-28,25.87,25.87,25.75,25.77,58567.0
2020-10-27,26.19,26.295,26.1001,26.15,35773.0
2020-10-26,26.17,26.32,26.16,26.27,33666.0
